household_id,region_id,size,home_type,area_type
H0000307,R033,5,Rent,Urban
H0000308,R037,6,Rent,Urban
H0000309,R032,1,Rent,Rural
H0000310,R038,5,Own,Urban
H0000311,R050,1,Own,Urban
H0000312,R040,5,Own,Rural
H0000313,R042,8,Rent,Suburban
H0000314,R022,3,Own,Suburban
H0000315,R033,6,Own,Suburban
H0000316,R030,3,Own,Rural
H0000317,R026,2,Own,Suburban
H0000318,R022,1,Own,Suburban
H0000319,R030,1,Rent,Rural
H0000320,R048,7,Rent,Urban
H0000321,R002,2,Rent,Urban
H0000322,R048,8,Rent,Suburban
H0000323,R013,6,Own,Rural
H0000324,R048,5,Rent,Rural
H0000325,R050,4,Own,Urban
H0000326,R048,7,Own,Rural
H0000327,R033,6,Own,Suburban
H0000328,R033,1,Rent,Rural
H0000329,R042,6,Rent,Rural
H0000330,R005,4,Own,Urban
H0000331,R033,8,Rent,Rural
H0000332,R039,3,Own,Rural
H0000333,R024,4,Own,Rural
H0000334,R038,8,Rent,Suburban
H0000335,R048,6,Rent,Urban
H0000336,R007,6,Rent,Urban
H0000337,R020,8,Rent,Urban
H0000338,R028,7,Rent,Rural
H0000339,R029,2,Own,Suburban
H0000340,R030,7,Rent,Rural
H0000341,R022,3,Rent,Suburban
H0000342,R038,3,Own,Suburban
H0000343,R021,3,Rent,Urban
H0000344,R028,3,Rent,Suburban
H0000345,R045,5,Rent,Rural
H0000346,R002,4,Rent,Rural
H0000347,R042,5,Rent,Suburban
H0000348,R044,8,Rent,Suburban
H0000349,R045,7,Rent,Rural
H0000350,R003,7,Rent,Rural
H0000351,R006,3,Own,Suburban
H0000352,R041,4,Own,Suburban
H0000353,R015,7,Rent,Suburban
H0000354,R042,4,Own,Urban
H0000355,R012,8,Own,Urban
H0000356,R008,8,Own,Suburban
H0000357,R007,6,Rent,Urban
H0000358,R021,6,Own,Rural
H0000359,R028,3,Rent,Rural
H0000360,R004,8,Rent,Suburban
H0000361,R006,8,Own,Urban
H0000362,R021,7,Own,Suburban
H0000363,R021,7,Rent,Rural
H0000364,R009,1,Own,Urban
H0000365,R021,2,Rent,Suburban
H0000366,R009,5,Own,Urban
H0000367,R009,7,Own,Rural
H0000368,R025,6,Own,Rural
H0000369,R008,8,Rent,Suburban
H0000370,R015,5,Rent,Rural
H0000371,R005,7,Rent,Urban
H0000372,R012,5,Own,Suburban
H0000373,R037,6,Rent,Urban
H0000374,R014,7,Own,Urban
H0000375,R011,3,Own,Rural
H0000376,R026,2,Own,Suburban
H0000377,R027,5,Rent,Urban
H0000378,R042,3,Own,Suburban
H0000379,R039,3,Own,Urban
H0000380,R005,2,Rent,Suburban
H0000381,R042,5,Own,Urban
H0000382,R047,6,Own,Suburban
H0000383,R044,2,Own,Rural
H0000384,R037,2,Rent,Suburban
H0000385,R003,2,Rent,Rural
H0000386,R017,5,Rent,Urban
H0000387,R009,5,Own,Urban
H0000388,R024,6,Rent,Urban
H0000389,R018,1,Rent,Suburban
H0000390,R027,1,Rent,Urban
H0000391,R021,4,Own,Urban
H0000392,R029,6,Own,Rural
H0000393,R027,8,Rent,Suburban
H0000394,R001,5,Own,Rural
H0000395,R021,2,Own,Rural
H0000396,R021,1,Rent,Rural
H0000397,R010,1,Rent,Urban
H0000398,R013,3,Rent,Urban
H0000399,R034,3,Rent,Urban
H0000400,R039,5,Own,Rural
H0000401,R044,7,Own,Suburban
H0000402,R031,7,Own,Urban
H0000403,R018,4,Own,Urban
H0000404,R046,1,Rent,Rural
H0000405,R002,8,Rent,Urban
H0000406,R016,4,Rent,Suburban
H0000407,R037,4,Own,Urban
H0000408,R029,4,Rent,Urban
H0000409,R048,1,Own,Rural
H0000410,R046,5,Rent,Suburban
H0000411,R031,1,Rent,Rural
H0000412,R037,1,Own,Suburban
H0000413,R050,7,Rent,Rural
H0000414,R046,6,Own,Suburban
H0000415,R040,4,Own,Urban
H0000416,R020,6,Own,Urban
H0000417,R010,2,Rent,Suburban
H0000418,R012,1,Own,Suburban
H0000419,R020,2,Own,Suburban
H0000420,R031,8,Own,Suburban
H0000421,R038,3,Own,Urban
H0000422,R017,3,Rent,Suburban
H0000423,R030,3,Own,Suburban
H0000424,R050,6,Rent,Suburban
H0000425,R021,3,Rent,Suburban
H0000426,R047,7,Rent,Rural
H0000427,R013,5,Rent,Rural
H0000428,R035,2,Own,Rural
H0000429,R048,7,Rent,Urban
H0000430,R020,6,Own,Urban
H0000431,R041,8,Own,Urban
H0000432,R040,4,Own,Suburban
H0000433,R008,5,Own,Urban
H0000434,R018,2,Own,Suburban
H0000435,R021,6,Rent,Rural
H0000436,R043,6,Own,Rural
H0000437,R015,2,Own,Suburban
H0000438,R016,5,Own,Urban
H0000439,R009,1,Rent,Rural
H0000440,R044,6,Rent,Suburban
H0000441,R009,4,Own,Rural
H0000442,R022,1,Rent,Rural
H0000443,R039,8,Own,Rural
H0000444,R012,7,Rent,Suburban
H0000445,R019,2,Rent,Suburban
H0000446,R024,8,Rent,Urban
H0000447,R030,7,Rent,Rural
H0000448,R005,6,Rent,Rural
H0000449,R043,4,Own,Urban
H0000450,R004,6,Own,Rural
H0000451,R050,4,Rent,Suburban
H0000452,R038,6,Rent,Rural
H0000453,R018,4,Rent,Urban
H0000454,R015,4,Rent,Rural
H0000455,R010,5,Rent,Suburban
H0000456,R009,1,Own,Suburban
H0000457,R046,6,Rent,Urban
H0000458,R020,7,Rent,Suburban
H0000459,R010,1,Own,Rural
H0000460,R042,2,Rent,Rural
H0000461,R014,1,Own,Urban
H0000462,R040,7,Own,Rural
H0000463,R022,5,Rent,Urban
H0000464,R048,3,Rent,Suburban
H0000465,R002,7,Rent,Rural
H0000466,R006,2,Own,Urban
H0000467,R021,4,Own,Rural
H0000468,R025,6,Rent,Suburban
H0000469,R023,7,Rent,Rural
H0000470,R043,7,Own,Rural
H0000471,R014,4,Rent,Suburban
H0000472,R021,5,Rent,Suburban
H0000473,R025,1,Rent,Urban
H0000474,R045,6,Rent,Suburban
H0000475,R027,4,Own,Suburban
H0000476,R032,8,Rent,Urban
H0000477,R031,1,Own,Urban
H0000478,R010,5,Rent,Urban
H0000479,R050,8,Own,Urban
H0000480,R022,1,Own,Urban
H0000481,R043,6,Own,Suburban
H0000482,R012,2,Rent,Rural
H0000483,R016,6,Rent,Rural
H0000484,R026,5,Rent,Rural
H0000485,R037,2,Rent,Urban
H0000486,R023,6,Rent,Urban
H0000487,R007,6,Own,Urban
H0000488,R035,6,Own,Urban
H0000489,R031,2,Own,Urban
H0000490,R047,3,Rent,Suburban
H0000491,R031,2,Rent,Urban
H0000492,R001,8,Own,Suburban
H0000493,R017,2,Rent,Rural
H0000494,R014,2,Rent,Suburban
H0000495,R017,6,Rent,Rural
H0000496,R009,3,Rent,Urban
H0000497,R049,2,Rent,Urban
H0000498,R015,5,Rent,Urban
H0000499,R043,6,Rent,Suburban
H0000500,R024,2,Rent,Suburban
H0000501,R023,3,Own,Suburban
H0000502,R027,1,Rent,Suburban
H0000503,R048,4,Rent,Urban
H0000504,R036,2,Rent,Suburban
H0000505,R003,3,Own,Rural
H0000506,R038,5,Rent,Suburban
H0000507,R008,3,Rent,Rural
H0000508,R036,2,Own,Rural
H0000509,R025,2,Own,Rural
H0000510,R015,5,Rent,Suburban
H0000511,R024,4,Own,Rural
H0000512,R001,2,Own,Rural
H0000513,R008,6,Own,Rural
H0000514,R015,1,Own,Urban
H0000515,R048,7,Rent,Rural
H0000516,R002,1,Rent,Urban
H0000517,R044,5,Rent,Rural
H0000518,R011,1,Own,Urban
H0000519,R024,6,Own,Rural
H0000520,R020,1,Own,Urban
H0000521,R007,6,Rent,Rural
H0000522,R014,8,Own,Urban
H0000523,R013,3,Own,Suburban
H0000524,R035,5,Own,Rural
H0000525,R019,6,Own,Rural
H0000526,R007,3,Own,Suburban
H0000527,R038,8,Rent,Suburban
H0000528,R004,3,Rent,Rural
H0000529,R036,4,Own,Rural
H0000530,R044,5,Rent,Urban
H0000531,R038,1,Own,Suburban
H0000532,R014,1,Rent,Rural
H0000533,R036,6,Rent,Suburban
H0000534,R011,5,Own,Urban
H0000535,R006,7,Own,Rural
H0000536,R024,1,Own,Urban
H0000537,R020,6,Rent,Suburban
H0000538,R023,4,Own,Urban
H0000539,R019,8,Own,Rural
H0000540,R039,2,Rent,Suburban
H0000541,R018,2,Rent,Urban
H0000542,R014,5,Own,Rural
H0000543,R048,5,Rent,Rural
H0000544,R038,1,Rent,Urban
H0000545,R023,3,Rent,Urban
H0000546,R002,6,Rent,Suburban
H0000547,R011,7,Rent,Rural
H0000548,R035,8,Rent,Rural
H0000549,R017,5,Own,Suburban
H0000550,R013,2,Own,Suburban
H0000551,R030,1,Rent,Urban
H0000552,R023,6,Rent,Urban
H0000553,R008,2,Rent,Rural
H0000554,R038,1,Rent,Rural
H0000555,R019,5,Own,Suburban
H0000556,R039,2,Own,Rural
H0000557,R002,3,Rent,Urban
H0000558,R011,5,Rent,Rural
H0000559,R050,5,Rent,Urban
H0000560,R037,3,Rent,Rural
H0000561,R046,2,Own,Urban
H0000562,R048,2,Own,Suburban
H0000563,R026,7,Rent,Urban
H0000564,R026,7,Own,Suburban
H0000565,R018,2,Rent,Rural
H0000566,R046,2,Own,Suburban
H0000567,R039,2,Own,Suburban
H0000568,R014,1,Rent,Urban
H0000569,R011,3,Rent,Rural
H0000570,R037,8,Rent,Rural
H0000571,R015,2,Own,Urban
H0000572,R023,7,Rent,Rural
H0000573,R042,5,Rent,Urban
H0000574,R006,7,Own,Suburban
H0000575,R038,2,Own,Urban
H0000576,R020,2,Own,Suburban
H0000577,R013,1,Own,Rural
H0000578,R040,6,Own,Suburban
H0000579,R046,3,Rent,Suburban
H0000580,R026,2,Own,Urban
H0000581,R048,3,Own,Suburban
H0000582,R032,8,Own,Urban
H0000583,R001,5,Rent,Urban
H0000584,R013,5,Rent,Rural
H0000585,R016,4,Rent,Urban
H0000586,R019,3,Rent,Suburban
H0000587,R025,2,Own,Suburban
H0000588,R008,6,Rent,Urban
H0000589,R029,4,Own,Rural
H0000590,R007,1,Rent,Suburban
H0000591,R022,2,Own,Suburban
H0000592,R019,1,Own,Urban
H0000593,R036,2,Own,Rural
H0000594,R050,8,Own,Urban
H0000595,R047,1,Own,Urban
H0000596,R044,3,Rent,Suburban
H0000597,R034,7,Rent,Suburban
H0000598,R049,7,Rent,Suburban
H0000599,R039,1,Rent,Urban
H0000600,R011,7,Own,Rural
H0000601,R017,2,Own,Rural
H0000602,R008,4,Own,Rural
H0000603,R024,1,Rent,Suburban
H0000604,R034,4,Own,Suburban
H0000605,R035,3,Rent,Suburban
H0000606,R032,8,Own,Rural
H0000607,R028,8,Rent,Urban
H0000608,R030,5,Own,Rural
H0000609,R011,2,Rent,Rural
H0000610,R034,1,Own,Urban
H0000611,R012,1,Rent,Suburban
H0000612,R041,4,Rent,Rural
H0000613,R005,5,Own,Suburban
H0000614,R018,7,Rent,Urban
H0000615,R010,8,Own,Suburban
H0000616,R024,5,Own,Urban
H0000617,R005,5,Rent,Suburban
H0000618,R036,2,Rent,Suburban
H0000619,R045,1,Rent,Rural
H0000620,R025,1,Own,Urban
H0000621,R025,4,Own,Urban
H0000622,R033,4,Own,Rural
H0000623,R038,8,Own,Rural
H0000624,R004,4,Rent,Suburban
H0000625,R042,1,Own,Rural
H0000626,R037,8,Own,Urban
H0000627,R007,4,Rent,Urban
H0000628,R009,3,Own,Suburban
H0000629,R046,6,Rent,Suburban
H0000630,R043,3,Rent,Urban
H0000631,R024,2,Rent,Urban
H0000632,R049,4,Rent,Urban
H0000633,R037,5,Rent,Urban
H0000634,R035,8,Rent,Suburban
H0000635,R039,4,Rent,Suburban
H0000636,R016,7,Rent,Suburban
H0000637,R046,4,Own,Urban
H0000638,R017,6,Own,Rural
H0000639,R032,5,Own,Rural
H0000640,R031,7,Own,Urban
H0000641,R040,5,Rent,Urban
H0000642,R005,8,Own,Suburban
H0000643,R035,1,Rent,Urban
H0000644,R015,8,Rent,Rural
H0000645,R049,5,Own,Urban
H0000646,R035,3,Rent,Suburban
H0000647,R040,8,Own,Suburban
H0000648,R022,3,Rent,Suburban
H0000649,R008,1,Rent,Suburban
H0000650,R009,4,Own,Urban
H0000651,R031,8,Own,Rural
H0000652,R038,2,Rent,Urban
H0000653,R018,8,Own,Rural
H0000654,R006,3,Own,Rural
H0000655,R040,2,Rent,Rural
H0000656,R048,6,Rent,Rural
H0000657,R050,1,Rent,Rural
H0000658,R047,5,Rent,Urban
H0000659,R009,8,Rent,Suburban
H0000660,R045,8,Own,Suburban
H0000661,R037,5,Own,Urban
H0000662,R010,6,Own,Urban
H0000663,R014,1,Rent,Urban
H0000664,R031,8,Own,Urban
H0000665,R043,7,Rent,Urban
H0000666,R034,2,Rent,Rural
H0000667,R049,5,Own,Suburban
H0000668,R041,3,Rent,Urban
H0000669,R037,4,Own,Suburban
H0000670,R006,2,Rent,Rural
H0000671,R012,2,Rent,Suburban
H0000672,R035,4,Own,Suburban
H0000673,R040,7,Own,Suburban
H0000674,R048,1,Rent,Suburban
H0000675,R028,6,Own,Rural
H0000676,R025,8,Own,Rural
H0000677,R031,8,Rent,Suburban
H0000678,R050,6,Own,Suburban
H0000679,R002,1,Rent,Suburban
H0000680,R007,5,Own,Rural
H0000681,R032,7,Rent,Suburban
H0000682,R050,1,Rent,Urban
H0000683,R036,3,Rent,Urban
H0000684,R016,5,Rent,Rural
H0000685,R029,6,Rent,Urban
H0000686,R022,3,Rent,Suburban
H0000687,R001,2,Own,Suburban
H0000688,R029,4,Own,Urban
H0000689,R012,7,Own,Suburban
H0000690,R003,1,Own,Suburban
H0000691,R013,2,Rent,Urban
H0000692,R049,7,Own,Suburban
H0000693,R040,1,Rent,Urban
H0000694,R015,6,Rent,Urban
H0000695,R001,7,Rent,Urban
H0000696,R033,5,Own,Rural
H0000697,R033,2,Own,Suburban
H0000698,R023,2,Rent,Rural
H0000699,R003,5,Own,Suburban
H0000700,R013,7,Own,Suburban
H0000701,R050,3,Rent,Rural
H0000702,R007,6,Rent,Suburban
H0000703,R028,6,Own,Urban
H0000704,R014,8,Rent,Rural
H0000705,R032,8,Own,Rural
H0000706,R003,6,Own,Rural
H0000707,R039,2,Own,Urban
H0000708,R002,8,Own,Urban
H0000709,R030,1,Own,Suburban
H0000710,R023,6,Own,Suburban
H0000711,R028,7,Rent,Rural
H0000712,R034,1,Rent,Suburban
H0000713,R033,7,Own,Urban
H0000714,R010,2,Rent,Urban
H0000715,R016,3,Own,Rural
H0000716,R025,6,Own,Rural
H0000717,R048,5,Own,Rural
H0000718,R040,1,Own,Urban
H0000719,R035,8,Own,Urban
H0000720,R024,3,Own,Urban
H0000721,R015,7,Rent,Urban
H0000722,R009,1,Rent,Suburban
H0000723,R013,6,Own,Urban
H0000724,R040,8,Own,Suburban
H0000725,R034,6,Rent,Urban
H0000726,R016,3,Rent,Suburban
H0000727,R046,6,Rent,Rural
H0000728,R010,7,Rent,Suburban
H0000729,R017,8,Rent,Suburban
H0000730,R021,3,Rent,Rural
H0000731,R034,1,Rent,Rural
H0000732,R021,3,Rent,Suburban
H0000733,R014,5,Own,Urban
H0000734,R015,6,Own,Rural
H0000735,R025,7,Own,Urban
H0000736,R007,3,Rent,Suburban
H0000737,R021,5,Rent,Rural
H0000738,R049,7,Rent,Rural
H0000739,R010,1,Own,Suburban
H0000740,R033,3,Rent,Suburban
H0000741,R005,4,Rent,Urban
H0000742,R010,4,Own,Rural
H0000743,R014,8,Rent,Rural
H0000744,R046,6,Rent,Suburban
H0000745,R009,3,Own,Urban
H0000746,R046,3,Own,Urban
H0000747,R036,5,Rent,Rural
H0000748,R028,8,Rent,Urban
H0000749,R045,5,Rent,Suburban
H0000750,R039,1,Rent,Suburban
H0000751,R047,3,Own,Urban
H0000752,R009,4,Rent,Urban
H0000753,R005,2,Own,Suburban
H0000754,R027,2,Rent,Urban
H0000755,R021,6,Rent,Suburban
H0000756,R041,3,Rent,Urban
H0000757,R046,4,Rent,Rural
H0000758,R038,1,Own,Suburban
H0000759,R029,2,Rent,Urban
H0000760,R033,4,Rent,Suburban
H0000761,R008,7,Rent,Rural
H0000762,R036,5,Own,Urban
H0000763,R014,7,Own,Urban
H0000764,R024,1,Rent,Suburban
H0000765,R011,7,Own,Urban
H0000766,R028,7,Own,Suburban
H0000767,R031,3,Own,Rural
H0000768,R031,4,Own,Rural
H0000769,R046,5,Rent,Urban
H0000770,R027,6,Own,Urban
H0000771,R002,5,Rent,Suburban
H0000772,R012,4,Own,Urban
H0000773,R020,5,Rent,Suburban
H0000774,R048,4,Rent,Urban
H0000775,R025,4,Rent,Suburban
H0000776,R039,6,Own,Rural
H0000777,R045,2,Rent,Suburban
H0000778,R050,3,Rent,Suburban
H0000779,R035,4,Rent,Suburban
H0000780,R048,5,Rent,Suburban
H0000781,R008,6,Rent,Suburban
H0000782,R002,3,Own,Suburban
