ACTIVE,BKCLASS,ROA,LONGITUDE,ROE,STNAME,ASSET,OFFICES,NETINC,DEP,NAME,CITY,CERT,STALP,LATITUDE,ESTYMD
1,NM,0.6803597238491842,-82.9465250032705,6.6,Kentucky,244276,3,416,219150,The Commercial Bank of Grayson,Grayson,10137,KY,38.332442011839,01/01/1891
1,SM,1.2998496571482867,-85.707452914541,11.26,Michigan,4391138,50,14296,3671307,ChoiceOne Bank,Sparta,1014,MI,43.161133552511,01/01/1898
1,NM,2.448393769259994,-85.8916559656577,7.74,Kentucky,24001,1,145,16109,Hart County Bank and Trust Company,Munfordville,10145,KY,37.2719890192486,02/20/1890
1,NM,0.8027571620990557,-86.3638798758723,9.88,Michigan,391544,9,780,346438,The Shelby State Bank,Shelby,10157,MI,43.6126445362313,03/02/1910
1,NM,1.6148915709607587,-92.7843319870459,19.65,Minnesota,471002,4,1906,429334,First State Bank and Trust,Bayport,10159,MN,45.0262090168084,01/01/1914
1,N,1.161904886351015,-94.475535766443,4.84,Minnesota,782851,2,2223,557388,VersaBank USA National Association,Holdingford,10160,MN,45.730175434486,10/10/1910
1,NM,1.8233512001864367,-92.5039360357932,16.84,Minnesota,105200,2,489,92226,First State Bank Minnesota,Le Roy,10162,MN,43.5099330002023,06/01/1893
1,NM,2.32532274761094,-92.7696580406137,21.74,Minnesota,235431,4,1359,209683,Security State Bank of Marine,Marine On St. Croix,10163,MN,45.1981190010897,05/12/1919
1,NM,1.3817007809935948,-94.1040029628687,19.17,Minnesota,330978,3,1163,307666,Farmers and Merchants State Bank of Pierz,Pierz,10165,MN,45.9793119998552,01/01/1908
1,NM,1.4741405358954967,-95.7625989596185,12.42,Minnesota,286018,1,1055,250263,Citizens State Bank of Roseau,Roseau,10167,MN,48.8455599913586,05/03/1905
1,NM,1.1762800144542884,-92.9059442067027,13.57,Minnesota,473457,7,1416,425996,First Farmers & Merchants Bank,Cannon Falls,10168,MN,44.4946189140004,06/21/1915
1,NM,1.9659080059635285,-93.8696450339023,23.28,Minnesota,343385,4,1673,284754,Sherburne State Bank,Becker,10169,MN,45.3892090010407,09/07/1920
1,NM,1.6744342797848422,-95.8716839812098,21.58,Minnesota,111995,4,472,102506,Farmers State Bank of Underwood,Underwood,10174,MN,46.2851339933859,12/01/1915
1,NM,1.0165799346484328,-92.9335499801364,10.98,Minnesota,146163,1,378,128731,Security State Bank of Hibbing,Hibbing,10175,MN,47.4277780006769,02/11/1911
1,NM,1.3061107963796466,-93.2046036984446,12.19,Minnesota,110591,4,366,98183,Produce State Bank,Hollandale,10178,MN,43.761142988521,08/02/1926
1,NM,1.735614868605714,-93.6737529997126,14.82,Minnesota,78786,1,337,69365,Elysian Bank,Elysian,10185,MN,44.1984760035754,09/24/1907
1,NM,1.4952717582397246,-95.512571984675,10.14,Minnesota,53476,1,202,45374,The Northern State Bank of Gonvick,Gonvick,10187,MN,47.7372739919169,05/12/1928
1,NM,1.6233439543853767,-95.191439145799,13.91,Minnesota,296243,4,1210,255910,PrinsBank,Prinsburg,10191,MN,44.940269237822,10/14/1916
1,NM,0.8796219131238945,-94.4051420290047,10.83,Minnesota,183686,5,409,168524,Pine River State Bank,Pine River,10194,MN,46.7164850033431,01/22/1918
1,NM,1.8991964937910883,-95.7378119955481,21.63,Minnesota,103054,4,494,93002,Hometown Community Bank,Cyrus,10197,MN,45.6147740202093,10/07/1901
1,NM,2.5178324970655384,-95.1964494325641,18.91,Minnesota,39845,1,244,34228,State Bank of Jeffers,Jeffers,10200,MN,44.0559500513357,06/27/1900
1,NM,1.2262049645227215,-95.5178209839006,13.01,Minnesota,86563,1,267,71020,Lowry State Bank,Lowry,10202,MN,45.7049440199998,10/04/1899
1,NM,1.3125383334793657,-93.2673929693491,10.41,Minnesota,226753,2,749,165500,Commerce Bank,Geneva,10212,MN,43.8236610143556,01/01/1915
1,NM,2.522210949817574,-92.9650695402944,19.63,Minnesota,936640,6,5889,812727,Vermillion State Bank,Vermillion,10214,MN,44.673269369953,08/10/1918
1,NM,1.170537877973008,-94.3696800406881,22.79,Minnesota,310003,3,925,266977,Citizens Bank & Trust Co.,Hutchinson,10218,MN,44.890923004081,01/01/1886
1,N,0.9606061875869684,-90.4821390148635,11.01,Wisconsin,342755,8,831,286713,"Clare Bank, National Association",Platteville,1022,WI,42.7332870162713,10/28/1905
1,NM,0.9977628635346757,-97.3273919882846,9.1,North Dakota,179210,3,446,153585,The Goose River Bank,Mayville,10236,ND,47.5001690199134,10/27/1881
1,NM,2.320800171537404,-103.983503800582,35.48,North Dakota,120879,3,690,113047,First State Bank of Golva,Golva,10243,ND,46.7355673333217,06/01/1914
1,NM,1.274999182976356,-103.282710976565,15.1,North Dakota,6047838,28,19458,5337098,First International Bank & Trust,Watford City,10248,ND,47.8017400055201,05/01/1910
1,NM,1.4151659631328009,-100.929461612171,16.11,North Dakota,206073,2,699,187530,Peoples State Bank of Velva,Velva,10250,ND,48.0574797903823,01/01/1915
1,NM,0.40971126429144866,-101.777885496829,3.57,North Dakota,74118,2,74,65763,First Security Bank - West,Beulah,10253,ND,47.263537337463,01/01/1915
1,NM,1.3678892127456197,-83.1500559687382,20.13,Ohio,853794,11,2905,792466,The Old Fort Banking Company,Old Fort,10255,OH,41.2404690129871,01/16/1916
1,NM,1.5872679558930805,-81.6310410395409,13.18,Ohio,329652,5,1311,285508,The Citizens Bank Company,Beverly,10266,OH,39.549209996848,01/01/1863
1,SM,2.6190195289002647,-89.907253780359,31.89,Arkansas,1303870,16,6188,1173949,Fm Bank And Trust,Blytheville,1027,AR,35.927793977749,03/16/1908
1,SM,1.4911478178692432,-92.4143795074962,22.55,Arkansas,250512,5,927,210357,FBT Bank & Mortgage,Fordyce,1028,AR,33.8133066025624,01/06/1931
1,NM,1.5760053923813993,-81.5164050187526,10.93,Ohio,134933,1,529,115052,The Farmers and Merchants Bank,Caldwell,10280,OH,39.7479359944109,01/20/1912
1,NM,2.041243324851304,-85.310201246902,18.2,Tennessee,2302796,36,11756,2018333,Builtwell Bank,Chattanooga,10307,TN,35.047433173772,05/03/1904
1,SM,0.9536223125250876,-89.620925537134,10.44,Tennessee,1121513,15,2643,969864,The Bank of Fayette County,Piperton,10308,TN,35.048743181419,04/26/1905
1,SM,0.9677818992719774,-89.3958339697662,12.68,Tennessee,134944,2,332,123388,Bank of Halls,Halls,10315,TN,35.8751920032665,10/13/1899
1,NM,1.179686586364168,-83.5090890077451,11.13,Tennessee,274617,5,807,244757,Citizens Bank and Trust Company of Grainger County,Rutledge,10317,TN,36.2826589896729,11/01/1919
1,NM,0.4096051319838759,-86.8098859986336,4.29,Tennessee,185762,2,189,159652,Citizens Savings Bank and Trust Company,Nashville,10319,TN,36.1686369852017,01/04/1904
1,NM,0.49136179662031276,-97.6481700211988,2.69,Texas,63861,2,78,51077,Citizens State Bank of Luling,Luling,10327,TX,29.6793199794736,01/02/1914
1,NM,1.5327699934617263,-96.6612859986077,15.1,Texas,121297,3,463,108528,Commercial State Bank,Palmer,10330,TX,32.4336540151544,03/01/1930
1,NM,2.045802104675047,-98.2702319595358,14.46,Texas,761914,6,3918,645958,Schertz Bank & Trust,Schertz,10344,TX,29.5534460058219,08/13/1913
1,NM,1.3971834641390477,-94.9930587373367,16.86,Texas,182477,3,646,161189,Peoples State Bank,Shepherd,10345,TX,30.4922599355385,09/21/1921
1,SM,2.5919477302507583,-99.7247049769967,24.89,Texas,56919,1,361,50567,Crowell State Bank,Crowell,10352,TX,33.9844180010187,12/28/1931
1,NM,1.140690524640675,-76.7989750284697,10.01,Virginia,2790564,32,7892,2410464,Citizens and Farmers Bank,West Point,10363,VA,37.5376940088056,02/01/1927
1,NM,1.7177236741503594,-89.634185037405,17.72,Wisconsin,824180,8,3516,644021,The Bank of New Glarus,New Glarus,10378,WI,42.815234997689,10/30/1893
1,NM,1.2072136341948128,-87.7969919740208,11.56,Wisconsin,429931,4,1303,380755,Oostburg State Bank,Oostburg,10380,WI,43.6228589870142,03/01/1908
1,NM,1.1460328966671844,-87.6293320337447,12.27,Wisconsin,173633,3,498,146621,Farmers & Merchants Bank & Trust,Marinette,10382,WI,45.0998149929102,12/02/1902
1,SM,1.0785955550509494,-91.2507850170372,12.15,Wisconsin,537110,5,1425,451824,State Bank Financial,La Crosse,10383,WI,43.8124800165242,07/26/1858
1,NM,1.0621609441937674,-91.7069120107716,9.74,Wisconsin,350631,8,931,303517,Waumandee State Bank,Waumandee,10384,WI,44.3022300090186,01/01/1914
1,SM,1.1831196284655958,-88.523855949065,12.69,Illinois,6539611,60,19288,5450631,Midland States Bank,Effingham,1040,IL,39.145854375859,01/01/1881
1,NM,0.7410197885966273,-103.623559979547,3.77,Colorado,112280,3,209,86992,The Farmers State Bank of Brush,Brush,10407,CO,40.2554720082579,10/09/1915
1,NM,0.9483719202674261,-88.7766569986831,8.4,Illinois,323117,5,766,281562,State Bank of Graymont,Graymont,10434,IL,40.8772039929764,01/01/1913
1,NM,1.2177581124749255,-89.0884253439124,10.03,Illinois,77512,3,236,67589,First State Bank of Olmsted,Olmsted,10437,IL,37.1813212689602,11/07/1921
1,NM,0.9810641931380979,-90.9046014044716,8.85,Illinois,255391,3,619,225323,Raritan State Bank,Raritan,10438,IL,40.6832446299209,01/01/1920
1,NM,2.1834482828724338,-88.0976449735917,20.92,Illinois,197597,4,1074,176592,"Frederick Community Bank, The",Paxton,10446,IL,40.4611629901739,06/14/1920
1,NM,1.5056991769950892,-90.7659279605215,18.46,Illinois,130980,2,499,118609,Farmers State Bank & Trust Co.,Mount Sterling,10458,IL,39.9862210126529,06/01/1914
1,NM,3.2824080811764764,-91.367133544463,22.99,Illinois,286643,6,2340,244360,Town & Country Bank Midwest,Quincy,10460,IL,39.937605471321,01/01/1910
1,NM,1.636368361070173,-88.0073009654914,11.24,Illinois,134571,5,551,113905,Federated Bank,Onarga,10464,IL,40.7152209899925,01/01/1918
1,NM,1.9638135135391293,-87.6563737756112,11.02,Illinois,53114,1,259,43515,Farmers & Merchants Bank of Hutsonville,Hutsonville,10469,IL,39.1094212252732,12/20/1920
1,NM,1.1376514416304042,-89.656856995847,10.85,Illinois,644563,11,1817,547503,Bank & Trust Company,Litchfield,1047,IL,39.177522002336,09/01/1902
1,SM,-0.718668307625969,-89.6340970145065,-6.39,Illinois,53758,1,-100,38181,Camp Grove State Bank,Camp Grove,10471,IL,41.0782472987911,01/01/1902
1,NM,1.426113862815051,-90.154810608437,16.1,Illinois,215111,7,772,183031,Ipava State Bank,Lewistown,10473,IL,40.387506932201,09/11/1902
1,NM,1.5052773401698716,-89.8241830011011,15.03,Illinois,449197,5,1782,397985,Citizens State Bank,Lena,10474,IL,42.3779029969023,01/01/1880
1,N,1.8174079667838166,-89.6617332783359,16.73,Illinois,279419,3,1265,235407,First National Bank of Steeleville,Steeleville,1049,IL,38.0070771603663,11/01/1902
1,NM,0.9261770504013569,-91.568364264243,6.73,Iowa,123935,4,286,104415,Farmers and Merchants Savings Bank,Iowa City,10492,IA,41.636483176442,09/25/1901
1,NM,1.296983570319191,-91.4185959992086,11.33,Iowa,195567,1,619,165378,Mount Vernon Bank and Trust Company,Mount Vernon,10494,IA,41.922859992796,01/01/1884
1,NM,1.664689965697728,-94.9898640136187,14.47,Iowa,217843,3,879,192391,Iowa State Bank,Sac City,10497,IA,42.4212950199941,03/29/1926
1,SM,0.7572561592980088,-91.5484305897487,12.48,Arkansas,189551,5,359,167278,Bank of Cave City,Cave City,105,AR,35.9399853720981,07/01/1906
1,NM,0.5912149616007367,-91.2301800359181,5.59,Iowa,133585,3,199,112891,Farmers Savings Bank,Wever,10500,IA,40.7140639939877,10/09/1908
1,SM,1.415812651767708,-99.90475303489,12.91,Kansas,85820,1,301,76177,The First State Bank,Ness City,10503,KS,38.4552580157552,01/01/1916
1,NM,1.2963223897421445,-95.2689269908093,15.01,Kansas,199910,3,667,179228,The Kansas State Bank,Ottawa,10505,KS,38.6199329926725,11/20/1917
1,NM,2.186671653507351,-83.4356770307923,27.09,Kentucky,227919,5,1257,179281,The Citizens Bank,Morehead,10520,KY,38.1804330126291,09/28/1928
1,NM,0.23776428889399373,-92.371082600671,2.84,Louisiana,374604,5,229,329825,Bank of Commerce & Trust Co.,Crowley,10523,LA,30.212493097312,01/01/1926
1,NM,2.3027624848936146,-93.0863359817706,24.29,Louisiana,221046,4,1179,200494,"Exchange Bank and Trust Company, Natchitoches, Louisiana",Natchitoches,10528,LA,31.7617860118681,09/28/1892
1,NM,0.5542534997149553,-91.7258820178573,4.56,Louisiana,250034,6,350,217116,Citizens Progressive Bank,Winnsboro,10531,LA,32.1743230019576,01/01/1918
1,NM,1.427289622836634,-91.8135599940147,13.56,Louisiana,343895,7,1199,307285,CLB The Community Bank,Jonesville,10532,LA,31.6261679919558,10/05/1907
1,NM,1.3874271823073387,-91.719041965771,12.95,Louisiana,412536,5,1404,363526,Winnsboro State Bank & Trust Company,Winnsboro,10533,LA,32.1634180201979,09/02/1902
1,NM,1.911383223557004,-93.487088015995,16.36,Minnesota,241415,3,1143,204179,Arcadian Bank,Hartland,10561,MN,43.803965008726,02/19/1912
1,NM,1.6068195534097767,-94.9420480220309,20.91,Minnesota,53601,1,213,49356,United Minnesota Bank,New London,10567,MN,45.3016060010072,05/05/1890
1,NM,0.5332555668964942,-94.871272069808,4.92,Minnesota,48306,1,64,42156,Farmers and Merchants State Bank of Alpha,Alpha,10571,MN,43.639130775649,08/01/1911
1,NM,1.5154262622076005,-92.0102840159136,19.9,Minnesota,153702,3,585,111631,First Southeast Bank,Harmony,10576,MN,43.5545150020879,03/15/1893
1,SM,1.324887139028191,-90.2984829667483,10.72,Missouri,3034068,18,9961,2521420,Midwest BankCentre,Lemay,1058,MO,38.5247100044623,03/01/1906
1,NM,0.7811752363196864,-90.8892594878325,6.98,Mississippi,303255,5,551,269681,Bank of Franklin,Meadville,10594,MS,31.472606821143,01/12/1912
1,NM,2.5487932224925296,-94.3464420686189,30.52,Missouri,258908,4,1675,235398,Community First Bank,Butler,10595,MO,38.256889722061,01/01/1932
1,NM,0.5997566776636671,-94.122178030257,6.19,Missouri,246896,2,342,218258,TBO Bank,Orrick,10597,MO,39.212440005137,07/02/1902
1,NM,2.011806835258974,-93.1964020213096,19.98,Missouri,1217421,12,6302,1082491,Wood & Huston Bank,Marshall,1060,MO,39.1216020095728,02/12/1874
1,NM,1.1337404552726416,-90.7627939669242,13.18,Missouri,497269,15,1420,449846,UNICO Bank,Mineral Point,10608,MO,37.9239570013825,01/01/1901
1,NM,1.2286014181398053,-94.016907026068,11.49,Missouri,1618873,30,4881,1225471,BTC Bank,Bethany,10618,MO,40.264597511974,09/19/1919
1,NM,1.3916364347129415,-92.171532973727,14.07,Missouri,1842799,18,6479,1546733,Hawthorn Bank,Jefferson City,10619,MO,38.5759960201457,01/01/1911
1,NM,1.3465101024299173,-93.5695060126342,17.09,Missouri,139381,4,467,127587,State Bank of Missouri,Concordia,10623,MO,38.9900940139732,07/28/1884
1,NM,1.240605278522579,-93.0585637657929,26.69,Missouri,138119,5,417,128904,Preferred Bank,Rothville,10628,MO,39.6535476286747,01/08/1904
1,NM,1.4469775712468338,-96.7008780020759,15.24,Nebraska,9115395,72,32513,8132496,Pinnacle Bank,Lincoln,10634,NE,40.812228988303,01/01/1880
1,NM,0.9398581175726357,-96.2343199812967,11.34,Nebraska,25387,1,52,23499,The Bank of Steinauer,Steinauer,10635,NE,40.2073800005984,06/28/1888
1,NM,1.2733750465285287,-100.165771031829,11.36,Nebraska,137631,3,449,115951,First Central Bank,Cambridge,10637,NE,40.282882005108,06/15/1907
1,NM,1.0481059725772717,-100.162301007734,12.37,Nebraska,346649,3,902,310923,Flatwater Bank,Gothenburg,10639,NE,40.928122001201,05/01/1902
1,NM,1.9478365852845334,-96.4302730357415,20.18,Nebraska,586729,9,2775,486369,Riverstone Bank,Eagle,10641,NE,40.8155470065845,09/01/1884
1,NM,2.0854536431350166,-95.9912970084657,23.8,Nebraska,922392,4,4759,819783,Dundee Bank,Omaha,10643,NE,41.2648049887572,02/05/1915
1,SM,2.2318060045549886,-96.2934419868018,26.5,Nebraska,74745,2,403,67197,American Exchange Bank,Elmwood,10647,NE,40.8426130101283,07/13/1889
1,SM,0.6418434497403444,-80.5723080134822,10.39,Ohio,602083,10,954,562715,The Andover Bank,Andover,10663,OH,41.6065579799966,11/01/1884
1,SM,1.2213598540592179,-95.8855749740664,17.54,Oklahoma,1994473,16,6044,1684618,Mabrey Bank,Bixby,10667,OK,35.947723000286,01/26/1924
1,NM,1.1173691271687916,-96.0056910762439,11.27,Oklahoma,155435,3,431,139930,The Exchange Bank,Skiatook,10672,OK,36.3686773543919,06/01/1930
1,NM,2.734471169536067,-98.5777089908989,23.58,Oklahoma,181469,4,1194,157997,Bank of Hydro,Hydro,10674,OK,35.5494133105702,10/01/1903
1,NM,1.30109369550654,-76.4784419985853,13.04,Pennsylvania,1004066,14,3241,846111,"Jonestown Bank and Trust Company, of Jonestown, Pennsylvania",Jonestown,10677,PA,40.4133729824859,01/01/1873
1,SM,2.2046063520509684,-90.4496700365328,15.14,Missouri,1328042,3,7624,1111975,Cass Commercial Bank,Des Peres,1068,MO,38.6071689886074,01/01/1906
1,NM,1.5947087271358917,-77.030500628534,16.63,Pennsylvania,1259608,14,5006,1115949,Central Penn Bank & Trust,Mifflinburg,10685,PA,40.924196965491,01/01/1872
1,NM,0.5500529611803839,-91.312024794199,7.76,Arkansas,52429,1,74,48515,The Merchants & Planters Bank,Clarendon,107,AR,34.692617489348,01/01/1890
1,SM,-0.33063647521478845,-99.7366439922418,-1.49,Texas,39236,3,-33,30217,Avana Bank,Abilene,10704,TX,32.4226049903885,06/03/1903
1,NM,2.470768520267859,-97.1532810000485,29.89,Texas,381174,4,2354,347118,Crossroads Bank,Yoakum,10709,TX,29.2898190157906,01/01/1931
1,NM,0.9465983178221272,-96.9425809927949,11.62,Texas,407529,1,951,372793,Peoples State Bank of Hallettsville,Hallettsville,10719,TX,29.44421300173,01/18/1929
1,SM,3.02292180757736,-90.304409894303,17.83,Missouri,944969,15,7122,700767,Lindell Bank & Trust Company,St. Louis,1073,MO,38.63224575698,01/01/1923
1,NM,1.1156832699161516,-91.592416178408,11.51,Wisconsin,85884,3,243,73564,Independence State Bank,Independence,10741,WI,44.3664280113156,01/01/1897
1,SM,1.11232634444884,-89.0683960118649,7.97,Illinois,171415,3,478,123845,Illini State Bank,Oglesby,10788,IL,41.2929160060794,02/14/1914
1,NM,1.5673315549893165,-89.7921850019098,10.66,Illinois,304070,4,1181,201108,Community Bank,Winslow,10791,IL,42.4929050134928,10/15/1915
1,NM,1.5274451113346768,-89.5496825543651,11.91,Illinois,161022,3,613,138126,First State Bank of Campbell Hill,Campbell Hill,10799,IL,37.9286721982365,01/01/1921
1,NM,1.608736879965994,-88.2890469898884,12.79,Illinois,30279,1,123,26341,Dewey Bank,Dewey,10803,IL,40.3105789983229,01/01/1902
1,SM,0.9684129812778223,-89.2386990176694,27.88,Illinois,143158,5,341,133100,Du Quoin State Bank,Du Quoin,10804,IL,38.0111269922979,04/17/1915
1,NM,0.5405470625852146,-89.3540164379804,5.35,Illinois,40900,2,56,36266,First State Bank of Van Orin,Van Orin,10809,IL,41.551643865037,12/26/1919
1,NM,-3.331650681474003,-89.018873195415,-37.92,Illinois,15141,2,-132,13477,Grand Rivers Community Bank,Grand Chain,10816,IL,37.2447890155539,01/01/1902
1,NM,1.2915186157886605,-90.6074389957858,10.09,Illinois,67060,1,209,58363,State Bank of Industry,Industry,10820,IL,40.3273529886861,03/25/1901
1,NM,1.3410999091178784,-88.5029740298646,12.09,Illinois,106654,1,356,94176,Clay County State Bank,Louisville,10821,IL,38.7722929840778,09/13/1905
1,NM,1.5886007054991282,-90.211872006865,17.19,Illinois,502539,6,1941,445680,"Petefish, Skiles & Co.",Virginia,10829,IL,39.950276981085,01/01/1870
1,SM,1.6888129887071324,-87.7334109636645,11.06,Illinois,333386,2,1382,282278,"The First Trust and Savings Bank of Watseka, Illinois",Watseka,10831,IL,40.7765059875215,06/28/1909
1,NM,2.180221159124774,-88.3076190242114,18.16,Illinois,25498,1,139,22362,Campus State Bank,Campus,10840,IL,41.0253190114281,01/01/1899
1,NM,-0.7175361076304162,-88.2901389842341,-7.34,Illinois,38414,2,-68,33837,Citizens Bank of Chatsworth,Chatsworth,10843,IL,40.7540499888146,12/07/1903
1,N,1.5097560569578778,-89.8211449802952,13.93,Illinois,336492,8,1247,287249,Buena Vista National Bank,Chester,10844,IL,37.9149780133343,01/01/1905
1,NM,1.4234482323282136,-88.353731980712,16.1,Illinois,256234,4,902,231306,The Clay City Banking Co.,Clay City,10845,IL,38.6878469859659,07/05/1892
1,NM,1.031968739345939,-90.435372018458,11.02,Illinois,304921,4,787,275581,Tompkins State Bank,Avon,10849,IL,40.6610329917916,01/01/1913
1,NM,1.613435941473726,-90.0026189675567,17.36,Illinois,237943,6,977,212607,West Central Bank,Ashland,10853,IL,39.8920010029767,06/12/1933
1,NM,0.7229058657876707,-88.5709840378589,7.38,Illinois,185141,4,335,165833,State Bank of Bement,Bement,10855,IL,39.9226360208926,01/17/1914
1,NM,1.5171865836817313,-90.2253940283439,8.94,Illinois,107366,1,401,89135,Anderson State Bank,Oneida,10858,IL,41.0751150180936,02/17/1917
1,SM,1.6735614624852333,-92.8413485484447,11.47,Missouri,350144,5,1468,257764,The Bank of Versailles,Versailles,1086,MO,38.4316553877132,01/01/1882
1,NM,0.9548503142969221,-89.380557196858,9.8,Illinois,207717,6,499,186739,Murphy-Wall State Bank and Trust Company,Pinckneyville,10860,IL,38.080482253842,11/01/1874
1,NM,2.5503010525755734,-88.787238983804,16.66,Illinois,113469,1,719,95725,First State Bank of Beecher City,Beecher City,10871,IL,39.1869459856241,01/01/1910
1,NM,0.31445813776041065,-90.0637810162948,4.44,Illinois,21884,1,17,20252,Chesterfield State Bank,Chesterfield,10872,IL,39.254316321917,09/21/1898
1,NM,0.5258906831272809,-88.776444014523,3.5,Illinois,172363,3,223,143255,Waterman Bank,Waterman,10878,IL,41.769289989848,08/25/1908
1,NM,1.6022349305928403,-90.725789037871,15.22,Illinois,229730,5,899,203634,Eagle Valley Bank,Griggsville,10883,IL,39.708730019493,08/03/1893
1,NM,1.6944865958523014,-88.439870033618,17.41,Illinois,648266,11,2747,581164,Legence Bank,Eldorado,10886,IL,37.8077370104416,01/01/1906
1,NM,0.9833331458787576,-94.3594172837299,9.03,Arkansas,311768,3,765,276749,Horatio State Bank,Horatio,109,AR,33.9384694926378,05/05/1905
1,NM,1.2833640521537306,-87.0796476089761,9.96,Michigan,370983,5,1175,298477,Upper Peninsula State Bank,Escanaba,1090,MI,45.7496444881924,01/01/1902
1,NM,0.8850848869633046,-93.1642539860514,9.34,Iowa,562158,3,1251,470550,Central State Bank,State Center,10903,IA,42.016781019986,01/01/1902
1,NM,0.7568484008299105,-95.1885799948073,7.27,Kansas,107678,2,202,95051,The Baldwin State Bank,Baldwin City,10906,KS,38.7746420124428,08/29/1892
1,NM,1.2840727864353723,-98.1100119641563,12.96,Kansas,386468,9,1247,333348,Guaranty State Bank and Trust Company,Beloit,10907,KS,39.4580790118585,01/23/1922
1,NM,1.9571921120606275,-101.358490037433,16.59,Kansas,306274,2,1505,260771,Grant County Bank,Ulysses,10918,KS,37.5793220184647,01/01/1906
1,NM,1.605729241935225,-95.9718069881069,9.72,Kansas,126405,2,500,105504,The State Bank of Bern,Bern,10919,KS,39.9630590062417,05/04/1889
1,NM,1.4120589133311041,-87.0218354519442,14.31,Michigan,175122,3,607,147582,Baybank,Gladstone,1092,MI,45.8461257752747,07/01/1912
1,SM,2.465426172554999,-100.018882034355,11.05,Kansas,199575,3,1241,152144,The Fidelity State Bank and Trust Company,Dodge City,10920,KS,37.7533960005983,01/02/1933
1,NM,1.1977870671560698,-88.6416520311691,11,Michigan,141345,6,423,124250,The Miners State Bank,Iron River,10928,MI,46.0916279936636,01/01/1932
