wr_returned_date_sk,wr_returned_time_sk,wr_item_sk,wr_refunded_customer_sk,wr_refunded_cdemo_sk,wr_refunded_hdemo_sk,wr_refunded_addr_sk,wr_returning_customer_sk,wr_returning_cdemo_sk,wr_returning_hdemo_sk,wr_returning_addr_sk,wr_web_page_sk,wr_reason_sk,wr_order_number,wr_return_quantity,wr_return_amt,wr_return_tax,wr_return_amt_inc_tax,wr_fee,wr_return_ship_cost,wr_refunded_cash,wr_reversed_charge,wr_account_credit,wr_net_loss
2451500,23720,14,942,4506,3567,203,942,4506,3567,203,1,1,15,26,656.50,26.26,682.76,81.95,585.52,45.95,348.01,262.54,693.73
,,172,,13513,5032,320,,13513,,,1,1,15,,708.66,,,,,687.40,3.82,,
2451619,69877,2,171,13513,5032,320,171,13513,5032,320,1,1,15,18,1970.64,177.35,2147.99,23.54,223.92,1694.75,110.35,165.54,424.81
2452569,42371,180,470,6342,5093,481,470,6342,5093,481,1,1,16,3,61.02,4.27,65.29,47.13,10.50,38.44,15.12,7.46,61.90
2452558,29896,156,483,9202,3114,113,483,9202,3114,113,1,1,17,78,1538.94,107.72,1646.66,60.99,1230.84,538.62,540.17,460.15,1399.55
2452800,,1,,12431,,290,,12431,2038,290,,1,19,6,,9.39,,,6.48,,8.03,81.24,
2452901,75507,84,244,12433,3949,178,244,12433,3949,178,1,1,19,18,905.04,45.25,950.29,77.90,23.76,380.11,136.48,388.45,146.91
2452762,60447,72,797,7413,3236,432,797,7413,3236,432,1,1,19,13,35.49,0.35,35.84,95.21,9.62,11.71,11.41,12.37,105.18
2451704,73535,128,505,4926,6506,83,505,4926,6506,83,1,1,20,6,263.82,18.46,282.28,94.56,275.04,184.67,56.19,22.96,388.06
2452765,33955,168,236,13533,3518,159,236,13533,3518,159,1,1,21,1,13.68,1.09,14.77,92.57,2.82,9.84,2.38,1.46,96.48
2451351,43967,44,155,7425,5977,118,155,7425,5977,118,1,1,22,42,1553.58,108.75,1662.33,99.33,735.84,46.60,301.39,1205.59,943.92
2451300,3039,118,972,6623,5977,356,972,6623,5977,356,1,1,23,10,9.20,0.00,9.20,29.60,74.20,0.09,8.56,0.55,103.80
2451188,18945,43,99,16488,2877,319,99,16488,2877,319,1,1,23,32,220.80,19.87,240.67,82.32,1325.76,13.24,95.47,112.09,1427.95
2452204,65672,61,949,508,1106,161,949,508,1106,161,1,1,24,28,3418.24,102.54,3520.78,70.42,1882.44,3281.51,101.18,35.55,2055.40
2452505,30869,115,191,17570,5566,130,191,17570,5566,130,1,1,25,10,1480.60,29.61,1510.21,76.59,460.20,814.33,359.78,306.49,566.40
,,177,355,,,,,2912,2830,,1,1,25,,,44.36,1153.58,,915.42,288.39,295.49,525.34,1040.43
,,27,,,4610,93,,827,,,1,,25,,,26.05,,71.10,,286.55,396.22,619.73,1118.15
2452512,31466,135,159,8806,829,164,159,8806,829,164,1,1,29,3,93.15,0.00,93.15,65.08,47.31,19.56,25.75,47.84,112.39
2452447,46016,49,599,269,4779,69,599,269,4779,69,1,1,29,43,354.32,14.17,368.49,13.48,1737.20,336.60,6.37,11.35,1764.85
2451329,44968,50,730,2151,4891,95,730,2151,4891,95,1,1,30,53,0.00,0.00,0.00,79.31,2608.66,0.00,0.00,0.00,2687.97
2451691,58507,86,445,10900,6546,220,445,10900,6546,220,1,1,32,6,71.64,2.14,73.78,79.21,124.02,8.59,18.28,44.77,205.37
,73659,169,,,4952,14,,,,,1,1,33,,,17.01,300.60,13.60,139.95,,129.23,134.51,
2451536,69696,91,131,808,1023,297,131,808,1023,297,1,1,34,82,1159.48,46.37,1205.85,38.55,3334.12,962.36,179.37,17.75,3419.04
2452198,43497,110,480,11693,75,449,480,11693,75,449,1,1,35,24,870.00,8.70,878.70,75.86,126.48,234.90,349.30,285.80,211.04
2452126,18038,121,79,9345,4203,265,79,9345,4203,265,1,1,35,39,379.08,15.16,394.24,69.38,2401.23,322.21,4.54,52.33,2485.77
2452027,38566,99,34,424,1605,467,34,424,1605,467,1,1,36,11,52.80,4.75,57.55,0.57,203.17,29.56,9.52,13.72,208.49
2452267,59870,51,810,5675,4372,353,810,5675,4372,353,1,1,36,5,172.95,6.91,179.86,61.44,137.65,8.64,96.94,67.37,206.00
2451814,44894,25,447,10910,5309,40,447,10910,5309,40,1,1,38,36,1311.84,65.59,1377.43,42.09,451.44,1206.89,1.04,103.91,559.12
2451893,58036,2,280,6511,5471,143,280,6511,5471,143,1,1,39,75,663.75,13.27,677.02,94.62,398.25,351.78,81.11,230.86,506.14
2452010,58220,61,225,3889,3721,269,225,3889,3721,269,1,1,39,3,10.92,0.32,11.24,66.56,4.95,4.58,5.64,0.70,71.83
2451251,82390,106,656,10726,6109,459,656,10726,6109,459,1,1,42,18,1209.24,36.27,1245.51,59.99,323.46,0.00,544.15,665.09,419.72
2451370,20532,97,526,7209,6907,474,526,7209,6907,474,1,1,42,27,1328.40,119.55,1447.95,20.62,2804.76,398.52,111.58,818.30,2944.93
2451165,33170,139,906,5279,1044,113,906,5279,1044,113,1,1,42,49,5007.31,350.51,5357.82,94.28,180.81,3004.38,741.08,1261.85,625.60
2451388,67116,74,4,11278,1407,185,4,11278,1407,185,1,1,42,23,618.24,18.54,636.78,15.84,843.18,562.59,38.95,16.70,877.56
2452068,55230,15,754,15779,3715,372,754,15779,3715,372,1,1,43,17,4186.08,83.72,4269.80,57.31,481.10,2093.04,879.07,1213.97,622.13
2451992,35722,173,968,16902,5723,77,968,16902,5723,77,1,1,43,40,504.80,30.28,535.08,26.21,624.40,237.25,192.63,74.92,680.89
2452039,37419,3,180,4345,1776,207,180,4345,1776,207,1,1,43,5,274.75,2.74,277.49,87.11,31.70,16.48,10.33,247.94,121.55
2451372,26900,166,751,4777,4779,146,751,4777,4779,146,1,1,44,9,228.06,4.56,232.62,42.00,40.50,166.48,4.31,57.27,87.06
2451406,,50,663,3534,6053,,663,3534,6053,348,,,45,,,149.11,,75.19,2042.56,,397.39,1131.05,2266.86
2451581,38768,76,912,8385,554,222,912,8385,554,222,1,1,48,4,124.24,8.69,132.93,21.48,269.20,45.96,50.09,28.19,299.37
2451641,31818,158,143,5103,3416,76,143,5103,3416,76,1,1,48,52,2459.08,0.00,2459.08,78.29,1844.44,2237.76,146.07,75.25,1922.73
2451532,19806,91,224,9510,4715,37,224,9510,4715,37,1,1,48,31,5386.87,215.47,5602.34,93.90,3287.86,2477.96,1309.00,1599.91,3597.23
2452741,63455,133,502,17461,2860,439,502,17461,2860,439,1,1,50,59,2451.45,196.11,2647.56,66.26,973.50,1176.69,318.69,956.07,1235.87
2452119,63575,86,110,10847,273,131,110,10847,273,131,1,1,51,33,45.54,0.00,45.54,76.29,10.56,14.57,15.17,15.80,86.85
2452099,67052,77,437,15316,6148,80,437,15316,6148,80,1,1,51,7,1127.84,0.00,1127.84,89.54,375.90,676.70,81.20,369.94,465.44
2452456,44308,157,163,14455,4755,498,163,14455,4755,498,1,1,52,5,570.10,5.70,575.80,53.91,186.35,142.52,260.82,166.76,245.96
2451830,23653,83,466,15357,2312,88,466,15357,2312,88,1,1,53,36,3561.84,142.47,3704.31,46.34,1758.96,2564.52,937.48,59.84,1947.77
2452767,76905,165,83,1842,6722,465,83,1842,6722,465,1,1,54,5,57.40,0.57,57.97,70.72,19.40,19.51,35.99,1.90,90.69
2452733,61712,115,596,9080,2151,446,596,9080,2151,446,1,1,54,60,4770.00,333.90,5103.90,28.00,644.40,906.30,1931.85,1931.85,1006.30
2451974,44355,50,201,9614,4611,216,201,9614,4611,216,1,1,55,28,1339.52,66.97,1406.49,18.33,570.92,910.87,60.01,368.64,656.22
2451032,51071,115,995,15021,3374,187,995,15021,3374,187,1,1,56,4,173.96,6.95,180.91,21.36,98.72,41.75,10.57,121.64,127.03
2451290,46952,26,605,16996,5947,471,605,16996,5947,471,1,1,57,4,293.60,5.87,299.47,65.83,100.92,0.00,49.91,243.69,172.62
2451507,41331,104,247,9092,5633,179,247,9092,5633,179,1,1,58,5,396.30,11.88,408.18,43.45,117.05,210.03,139.70,46.57,172.38
2451793,23325,44,687,9965,1234,484,687,9965,1234,484,1,1,59,22,77.22,6.17,83.39,70.16,334.84,76.44,0.62,0.16,411.17
2451353,73981,32,552,10142,2244,90,552,10142,2244,90,1,1,60,75,7742.25,232.26,7974.51,35.63,4992.00,3638.85,1805.49,2297.91,5259.89
2451759,17440,50,512,5930,1388,479,512,5930,1388,479,1,1,62,62,716.10,50.12,766.22,44.58,1042.22,694.61,6.44,15.05,1136.92
2451279,26601,109,305,9017,3313,217,305,9017,3313,217,1,1,64,36,446.76,17.87,464.63,79.24,213.48,8.93,8.75,429.08,310.59
2451342,1686,85,243,16739,5594,293,243,16739,5594,293,1,1,65,1,5.03,0.40,5.43,37.12,40.28,4.17,0.27,0.59,77.80
2451285,72998,110,871,18522,2644,454,871,18522,2644,454,1,1,65,20,481.80,38.54,520.34,99.89,38.00,433.62,43.36,4.82,176.43
2452022,57045,155,52,2726,591,384,52,2726,591,384,1,1,67,45,6054.30,423.80,6478.10,93.96,1943.10,5388.32,19.97,646.01,2460.86
2451295,38736,98,135,16586,5113,184,135,16586,5113,184,1,1,68,12,114.84,5.74,120.58,79.31,785.40,44.78,69.35,0.71,870.45
2452071,52702,163,363,13286,1592,483,363,13286,1592,483,1,1,69,24,947.52,28.42,975.94,25.81,839.76,559.03,174.82,213.67,893.99
2452177,,62,,18237,,,811,18237,2655,24,1,,69,19,2153.84,150.76,2304.60,38.07,839.99,,667.69,,1028.82
2451564,52809,175,89,8716,6063,3,89,8716,6063,3,1,1,71,32,661.76,59.55,721.31,65.85,220.48,46.32,30.77,584.67,345.88
2451505,63032,44,498,18367,7125,462,498,18367,7125,462,1,1,71,33,1615.02,32.30,1647.32,17.99,1239.48,242.25,315.73,1057.04,1289.77
2451597,66858,118,317,1000,1691,278,317,1000,1691,278,1,1,71,16,1684.64,101.07,1785.71,70.18,921.28,1364.55,64.01,256.08,1092.53
2452153,46738,105,222,5937,5949,236,222,5937,5949,236,1,1,72,3,181.95,0.00,181.95,85.56,67.02,109.17,3.63,69.15,152.58
2452491,82372,115,805,11675,5450,49,805,11675,5450,49,1,1,73,1,7.78,0.07,7.85,22.87,38.92,3.11,0.79,3.88,61.86
2452746,68773,79,156,2232,1475,111,156,2232,1475,111,1,1,75,12,121.20,8.48,129.68,0.63,29.76,107.86,6.00,7.34,38.87
2451977,46782,157,897,12079,3933,304,897,12079,3933,304,1,1,76,63,4153.59,249.21,4402.80,84.68,2010.96,3821.30,212.66,119.63,2344.85
2451558,41425,130,329,10896,6390,344,329,10896,6390,344,1,1,77,11,699.60,62.96,762.56,87.39,118.80,6.99,450.19,242.42,269.15
,52520,19,798,,3145,,798,5007,3145,,,1,78,8,,,,,,800.81,,,633.71
2452844,26226,84,745,4494,699,276,745,4494,699,276,1,1,78,5,18.65,0.37,19.02,17.40,14.90,9.51,6.48,2.66,32.67
2452647,64514,168,488,5538,6964,302,488,5538,6964,302,1,1,78,25,767.75,61.42,829.17,77.29,0.00,406.90,57.73,303.12,138.71
2451730,28598,13,,2995,5773,,835,2995,,,1,,79,19,,,1609.82,,499.13,,,487.65,
,,40,,,,442,633,,2839,442,,1,80,,,,,9.43,,236.80,26.83,1315.09,608.07
2451646,56549,2,820,19113,4978,500,820,19113,4978,500,1,1,81,42,230.16,6.90,237.06,37.43,119.28,80.55,8.97,140.64,163.61
2452216,36435,109,944,9847,6814,149,944,9847,6814,149,1,1,82,2,78.08,3.90,81.98,77.96,2.00,63.24,14.69,0.15,83.86
2452257,34782,5,629,1221,541,397,629,1221,541,397,1,1,82,5,131.55,3.94,135.49,24.08,70.85,59.19,62.95,9.41,98.87
2452700,51986,54,787,9836,7070,235,787,9836,7070,235,1,1,85,23,142.14,2.84,144.98,21.40,629.97,56.85,61.40,23.89,654.21
2451522,15505,22,558,877,3885,372,558,877,3885,372,1,1,86,47,1417.99,42.53,1460.52,87.34,54.52,1162.75,48.49,206.75,184.39
,46434,1,588,,1649,,588,8546,1649,,1,,89,,2846.34,,2846.34,,,,,206.65,1205.32
2452509,50871,75,564,14869,4558,255,564,14869,4558,255,1,1,90,30,660.60,19.81,680.41,95.98,315.90,257.63,225.66,177.31,431.69
2452392,43620,13,754,17499,4027,287,754,17499,4027,287,1,1,92,2,157.70,11.03,168.73,65.97,23.48,64.65,52.10,40.95,100.48
2451192,82266,158,357,7789,5741,186,357,7789,5741,186,1,1,94,39,4095.39,245.72,4341.11,66.32,421.59,3112.49,540.59,442.31,733.63
2451105,74891,110,650,3045,128,420,650,3045,128,420,1,1,94,16,1731.20,0.00,1731.20,22.56,328.32,190.43,446.82,1093.95,350.88
2452713,44242,177,377,4679,653,391,377,4679,653,391,1,1,97,2,375.00,18.75,393.75,78.06,132.80,303.75,42.03,29.22,229.61
2452046,48347,15,887,14027,3486,262,887,14027,3486,262,1,1,98,7,253.05,15.18,268.23,54.02,142.52,245.45,6.99,0.61,211.72
2451812,71972,85,745,13885,524,264,745,13885,524,264,1,1,99,11,574.31,0.00,574.31,48.74,557.37,126.34,443.49,4.48,606.11
2451695,80622,110,875,3005,270,244,875,3005,270,244,1,1,99,53,1808.36,162.75,1971.11,2.02,3164.63,1175.43,506.34,126.59,3329.40
2451477,33819,64,853,15155,2537,279,853,15155,2537,279,1,1,102,79,6022.17,180.66,6202.83,78.89,2760.26,5841.50,43.36,137.31,3019.81
2451499,26274,92,226,18345,6384,310,226,18345,6384,310,1,1,102,6,471.60,0.00,471.60,26.56,46.08,179.20,8.77,283.63,72.64
2451409,35833,52,167,7204,1762,236,167,7204,1762,236,1,1,102,8,17.76,0.88,18.64,14.72,106.56,11.54,4.41,1.81,122.16
2451940,28527,35,530,16727,6949,482,530,16727,6949,482,1,1,103,19,681.34,20.44,701.78,94.69,1557.43,442.87,238.47,0.00,1672.56
2451674,17177,82,801,15089,242,39,801,15089,242,39,1,1,104,19,60.04,1.80,61.84,40.15,290.70,48.63,5.81,5.60,332.65
2451523,77631,88,742,2621,2020,459,742,2621,2020,459,1,1,104,84,3066.00,245.28,3311.28,15.02,31.08,643.86,193.77,2228.37,291.38
2451517,75876,139,401,10345,1455,457,401,10345,1455,457,1,1,108,18,788.22,15.76,803.98,49.26,408.24,204.93,87.49,495.80,473.26
2451577,57144,116,42,1326,5362,75,42,1326,5362,75,1,1,108,31,570.09,34.20,604.29,87.41,427.49,188.12,362.87,19.10,549.10
2451943,4558,77,120,10324,6664,36,120,10324,6664,36,1,1,109,21,147.21,13.24,160.45,36.57,474.81,135.43,0.82,10.96,524.62
2452174,59261,53,696,9650,6117,451,696,9650,6117,451,1,1,110,49,1070.16,85.61,1155.77,46.57,1399.44,609.99,41.41,418.76,1531.62
2451332,18296,16,850,10133,3800,422,850,10133,3800,422,1,1,112,1,5.20,0.00,5.20,2.11,20.82,4.36,0.82,0.02,22.93
2452104,10921,5,630,9243,2368,137,630,9243,2368,137,1,1,113,8,82.80,0.00,82.80,0.95,434.80,34.77,43.22,4.81,435.75
2452378,30563,97,897,5638,732,373,897,5638,732,373,1,1,114,6,289.08,11.56,300.64,76.57,76.20,271.73,2.94,14.41,164.33
2452313,70254,79,391,7709,3267,105,391,7709,3267,105,1,1,114,1,14.75,0.14,14.89,91.54,3.34,6.63,0.16,7.96,95.02
2452319,78853,141,417,18679,2380,438,417,18679,2380,438,1,1,114,11,164.01,13.12,177.13,33.38,89.43,16.40,17.71,129.90,135.93
2451264,57895,158,477,12827,2360,125,477,12827,2360,125,1,1,115,35,141.40,12.72,154.12,96.89,70.70,15.55,91.87,33.98,180.31
2451302,70578,127,421,3186,5183,164,421,3186,5183,164,1,1,115,40,668.00,6.68,674.68,19.14,1425.20,146.96,323.04,198.00,1451.02
2451809,41394,38,486,230,6606,166,486,230,6606,166,1,1,116,11,38.83,0.00,38.83,26.01,15.51,21.35,5.41,12.07,41.52
2451741,25206,47,8,2335,3950,21,8,2335,3950,21,1,1,116,10,1790.40,71.61,1862.01,88.22,801.00,1020.52,138.57,631.31,960.83
2451595,25208,97,657,11821,4473,381,657,11821,4473,381,1,1,116,12,378.48,11.35,389.83,63.19,320.28,166.53,110.21,101.74,394.82
2451534,5920,80,189,17997,2822,462,189,17997,2822,462,1,1,117,6,1078.14,21.56,1099.70,33.31,292.80,75.46,521.39,481.29,347.67
2452007,74735,8,258,13252,4662,264,258,13252,4662,264,1,1,118,72,2674.08,240.66,2914.74,42.52,772.56,80.22,1867.57,726.29,1055.74
2452727,66027,12,308,114,5944,209,308,114,5944,209,1,1,119,66,3679.50,36.79,3716.29,80.03,2060.52,183.97,1922.54,1572.99,2177.34
2452304,62353,153,623,2913,4946,284,623,2913,4946,284,1,1,121,2,30.06,1.20,31.26,75.97,18.54,28.85,1.14,0.07,95.71
2452632,14610,156,809,18409,3865,493,809,18409,3865,493,1,1,123,9,594.27,53.48,647.75,66.00,101.79,481.35,7.90,105.02,221.27
2451789,58207,47,146,15412,6557,39,146,15412,6557,39,1,1,124,37,133.94,4.01,137.95,21.03,80.29,66.97,8.03,58.94,105.33
2451846,31526,107,691,4035,3,6,691,4035,3,6,1,1,124,38,2751.96,247.67,2999.63,75.74,152.76,1678.69,987.40,85.87,476.17
2451710,17785,20,826,13404,1665,146,826,13404,1665,146,1,1,126,21,1923.81,115.42,2039.23,39.80,1082.13,307.80,500.96,1115.05,1237.35
2451687,8140,10,245,14848,6764,47,245,14848,6764,47,1,1,126,2,262.90,2.62,265.52,78.26,16.08,102.53,83.39,76.98,96.96
2451725,58553,32,125,1706,5216,385,125,1706,5216,385,1,1,128,64,9039.36,723.14,9762.50,86.98,3083.52,6779.52,1988.65,271.19,3893.64
2451401,80760,64,184,1085,7139,140,184,1085,7139,140,1,1,129,3,114.33,10.28,124.61,75.87,81.00,57.16,46.30,10.87,167.15
2451407,,68,401,6815,5692,114,401,6815,5692,114,1,1,132,44,96.80,6.77,103.57,,290.84,67.76,4.06,24.98,
2451294,72851,86,481,14905,7168,188,481,14905,7168,188,1,1,132,35,1403.15,0.00,1403.15,49.71,1068.90,280.63,987.81,134.71,1118.61
2451570,51002,110,702,9212,7185,403,702,9212,7185,403,1,1,135,37,4192.10,83.84,4275.94,65.97,509.86,2054.12,1539.34,598.64,659.67
2452378,38449,39,307,12484,365,494,307,12484,365,494,1,1,136,26,1308.84,26.17,1335.01,52.75,888.16,746.03,22.51,540.30,967.08
2451549,39283,172,227,16594,6400,63,227,16594,6400,63,1,1,137,10,125.90,1.25,127.15,37.59,17.70,85.61,36.26,4.03,56.54
2451512,66828,115,732,17019,6177,76,732,17019,6177,76,1,1,137,37,2204.83,22.04,2226.87,61.35,319.31,0.00,1785.91,418.92,402.70
2451690,16982,61,313,325,2688,452,313,325,2688,452,1,1,137,44,766.92,38.34,805.26,21.48,496.32,53.68,135.51,577.73,556.14
2451550,40133,1,870,8681,6341,400,870,8681,6341,400,1,1,138,16,101.12,3.03,104.15,64.93,151.68,4.04,50.48,46.60,219.64
2451263,3252,19,688,12095,5366,5,688,12095,5366,5,1,1,139,30,583.20,40.82,624.02,32.63,205.80,519.04,21.81,42.35,279.25
2451848,33220,130,110,10749,5221,353,110,10749,5221,353,1,1,141,60,556.80,44.54,601.34,31.69,487.20,200.44,42.76,313.60,563.43
2451629,81126,152,815,19021,2251,69,815,19021,2251,69,1,1,141,7,230.30,4.60,234.90,70.97,148.05,168.11,46.02,16.17,223.62
2451611,29573,37,167,6766,4397,412,167,6766,4397,412,1,1,142,11,403.37,28.23,431.60,79.27,479.05,96.80,79.70,226.87,586.55
2451690,72741,44,559,11393,2812,415,559,11393,2812,415,1,1,142,57,10771.86,107.71,10879.57,11.40,4720.17,7863.45,203.58,2704.83,4839.28
2451030,54640,64,111,10683,7119,23,111,10683,7119,23,1,1,143,2,81.78,1.63,83.41,88.13,44.88,64.60,7.73,9.45,134.64
2452474,73509,55,999,16106,292,115,999,16106,292,115,1,1,144,46,4451.42,222.57,4673.99,14.98,1963.74,979.31,312.48,3159.63,2201.29
2452674,17830,133,236,13600,5564,28,236,13600,5564,28,1,1,144,14,207.48,4.14,211.62,46.93,691.60,22.82,42.47,142.19,742.67
2452522,77572,103,245,431,289,458,245,431,289,458,1,1,144,28,309.40,3.09,312.49,45.55,647.08,293.93,4.64,10.83,695.72
2451325,60880,176,353,3904,6343,291,353,3904,6343,291,1,1,145,10,451.50,27.09,478.59,54.36,685.10,442.47,4.24,4.79,766.55
2451941,31339,125,21,586,4376,77,21,586,4376,77,1,1,146,9,102.06,9.18,111.24,14.00,97.56,1.02,10.10,90.94,120.74
2451857,17349,79,371,16724,909,78,371,16724,909,78,1,1,146,59,2067.36,103.36,2170.72,94.96,585.28,0.00,661.55,1405.81,783.60
2452092,34287,134,87,852,6057,442,87,852,6057,442,1,1,147,25,4158.50,249.51,4408.01,86.14,2100.25,998.04,2876.01,284.45,2435.90
2452388,59897,12,484,7556,2156,292,484,7556,2156,292,1,1,148,3,149.46,4.48,153.94,66.52,46.32,98.64,17.78,33.04,117.32
2452232,31304,71,66,18834,1090,102,66,18834,1090,102,1,1,149,34,1485.12,103.95,1589.07,89.70,1242.02,876.22,194.84,414.06,1435.67
2452187,34018,49,206,6196,4026,483,206,6196,4026,483,1,1,149,28,1792.84,107.57,1900.41,50.02,1394.40,932.27,103.26,757.31,1551.99
2452529,8617,7,687,16423,3975,119,687,16423,3975,119,1,1,150,61,4390.78,87.81,4478.59,28.66,46.97,4039.51,179.14,172.13,163.44
2451641,21898,127,557,4589,4788,280,557,4589,4788,280,1,1,153,24,1560.72,124.85,1685.57,27.37,267.36,842.78,344.61,373.33,419.58
2451308,2377,97,167,1280,1504,49,167,1280,1504,49,1,1,156,1,220.17,8.80,228.97,32.03,37.59,145.31,67.37,7.49,78.42
2451379,,134,635,5398,,,,5398,,103,1,,156,,,142.40,,,,,,170.90,1291.15
2451755,46137,145,204,6122,1416,222,204,6122,1416,222,1,1,158,28,522.20,36.55,558.75,16.84,454.16,313.32,183.81,25.07,507.55
2451619,25850,55,623,10156,816,389,623,10156,816,389,1,1,158,6,768.00,30.72,798.72,25.19,274.26,514.56,157.13,96.31,330.17
2451685,34954,151,644,6131,698,125,644,6131,698,125,1,1,160,61,115.90,3.47,119.37,22.40,90.89,37.08,40.19,38.63,116.76
2451373,77164,110,207,10218,2941,8,207,10218,2941,8,1,1,163,21,70.56,5.64,76.20,23.19,15.12,50.09,1.43,19.04,43.95
2452915,75429,9,173,3283,843,279,173,3283,843,279,1,1,164,63,3491.46,279.31,3770.77,50.65,1963.71,558.63,322.61,2610.22,2293.67
2452840,49547,7,946,1718,6971,107,946,1718,6971,107,1,1,165,31,5564.19,222.56,5786.75,13.43,133.92,3338.51,89.02,2136.66,369.91
2452689,45788,180,498,10537,6776,115,498,10537,6776,115,1,1,165,52,1832.48,73.29,1905.77,33.17,2228.72,678.01,669.59,484.88,2335.18
2452857,17695,69,731,16051,6835,87,731,16051,6835,87,1,1,165,21,261.66,10.46,272.12,43.95,805.14,196.24,65.42,0.00,859.55
2452843,50266,103,308,18318,2247,293,308,18318,2247,293,1,1,165,74,3732.56,74.65,3807.21,94.56,1111.48,3620.58,68.30,43.68,1280.69
2452719,70312,15,244,8116,5220,8,244,8116,5220,8,1,1,165,8,1029.28,82.34,1111.62,23.00,418.48,771.96,120.94,136.38,523.82
2451143,34451,58,405,671,1341,198,405,671,1341,198,1,1,167,93,1644.24,49.32,1693.56,58.56,961.62,279.52,982.59,382.13,1069.50
2451248,69696,44,851,5992,350,423,851,5992,350,423,1,1,167,13,283.53,5.67,289.20,63.43,462.67,204.14,64.30,15.09,531.77
2451290,61906,22,225,8791,2605,48,225,8791,2605,48,1,1,167,32,879.68,0.00,879.68,76.33,1539.52,580.58,158.52,140.58,1615.85
2452481,25366,43,763,18792,592,436,763,18792,592,436,1,1,168,12,2992.56,209.47,3202.03,29.90,1323.00,1256.87,277.71,1457.98,1562.37
2451116,66014,100,931,10481,3504,14,931,10481,3504,14,1,1,169,45,567.45,34.04,601.49,63.11,215.10,505.03,53.05,9.37,312.25
2451086,53133,160,332,17695,3314,305,332,17695,3314,305,1,1,169,4,379.60,18.98,398.58,86.08,136.16,277.10,22.55,79.95,241.22
2452714,71077,54,10,14792,6933,371,10,14792,6933,371,1,1,171,23,1526.74,137.40,1664.14,90.97,287.50,1297.72,66.41,162.61,515.87
2452747,25956,21,151,13604,1466,47,151,13604,1466,47,1,1,171,3,162.87,6.51,169.38,62.17,22.74,156.35,1.04,5.48,91.42
2452754,72303,12,935,13288,1898,103,935,13288,1898,103,1,1,171,3,147.36,13.26,160.62,77.17,51.12,113.46,1.01,32.89,141.55
2451682,70115,20,962,9776,4694,360,962,9776,4694,360,1,1,172,81,2551.50,76.54,2628.04,12.67,2916.00,1581.93,639.91,329.66,3005.21
2451648,63656,2,759,14046,1565,268,759,14046,1565,268,1,1,173,6,425.58,25.53,451.11,83.16,135.12,80.86,234.40,110.32,243.81
2451002,54157,157,34,14834,481,81,34,14834,481,81,1,1,174,51,4283.49,128.50,4411.99,73.81,1167.90,3812.30,61.25,409.94,1370.21
2452228,62704,39,43,14047,1331,322,43,14047,1331,322,1,1,177,24,339.36,13.57,352.93,42.93,130.56,207.00,6.61,125.75,187.06
2452291,65272,13,842,3475,4131,99,842,3475,4131,99,1,1,177,2,133.70,4.01,137.71,30.54,157.10,4.01,62.25,67.44,191.65
2451792,66043,88,589,2921,2333,358,589,2921,2333,358,1,1,178,5,545.65,49.10,594.75,3.29,70.85,545.65,0.00,0.00,123.24
