sr_returned_date_sk,sr_return_time_sk,sr_item_sk,sr_customer_sk,sr_cdemo_sk,sr_hdemo_sk,sr_addr_sk,sr_store_sk,sr_reason_sk,sr_ticket_number,sr_return_quantity,sr_return_amt,sr_return_tax,sr_return_amt_inc_tax,sr_fee,sr_return_ship_cost,sr_refunded_cash,sr_reversed_charge,sr_store_credit,sr_net_loss
2451498,41516,148,971,16838,59,128,1,1,34,40,108.80,3.26,112.06,93.60,70.80,27.20,81.60,0.00,167.66
2452278,43093,143,958,16925,6270,48,1,1,35,12,1291.92,103.35,1395.27,79.79,303.96,1136.88,127.13,27.91,487.10
2452292,49197,33,203,3076,6517,174,1,1,35,8,106.00,2.12,108.12,1.04,21.92,84.80,15.90,5.30,25.08
2452296,43686,89,958,15748,5553,7,1,1,35,59,49.56,4.46,54.02,0.69,331.58,49.06,0.21,0.29,336.73
2452300,36052,81,958,4593,287,81,1,1,35,14,26.60,2.39,28.99,73.73,200.06,22.34,2.72,1.54,276.18
2451636,45332,106,409,11687,1497,164,1,1,38,14,644.00,38.64,682.64,1.26,391.02,341.32,27.24,275.44,430.92
2451177,29729,79,890,3517,3196,491,1,1,41,27,1377.81,110.22,1488.03,46.48,448.74,744.01,595.77,38.03,605.44
2451065,59203,140,420,15509,2862,83,1,1,42,9,144.54,11.56,156.10,31.04,92.97,21.68,1.22,121.64,135.57
2451935,37091,68,811,8551,960,20,1,1,43,63,151.20,0.00,151.20,90.22,682.29,120.96,28.72,1.52,772.51
2452442,,141,,,,425,,,44,25,,,599.67,1.81,,,,114.94,
2452315,,31,606,,,409,,,45,8,36.32,,,94.05,,,18.54,8.34,
2452320,59811,121,606,14246,6927,485,1,1,45,24,1855.92,148.47,2004.39,97.56,1003.20,1670.32,154.04,31.56,1249.23
2451470,50439,109,197,9748,6308,340,1,1,46,43,4331.82,259.90,4591.72,54.75,866.02,1646.09,2282.87,402.86,1180.67
2452769,43279,21,202,9265,1733,376,1,1,48,32,1031.36,92.82,1124.18,24.29,664.00,856.02,112.21,63.13,781.11
2451699,54153,134,517,10386,4670,93,1,1,51,2,73.92,5.91,79.83,34.71,20.52,68.74,0.93,4.25,61.14
2451167,45922,160,927,7494,6813,309,1,1,52,31,2420.48,145.22,2565.70,28.63,923.49,1137.62,64.14,1218.72,1097.34
2452782,60821,90,157,1453,4191,420,1,1,54,28,909.44,18.18,927.62,34.02,378.84,709.36,116.04,84.04,431.04
2452702,29862,25,806,123,1016,321,1,1,54,3,86.55,0.00,86.55,75.30,14.40,13.84,61.07,11.64,89.70
2452625,44481,111,157,1499,2172,138,1,1,54,78,2853.24,57.06,2910.30,86.60,1268.28,1341.02,771.23,740.99,1411.94
2451754,45289,134,601,13627,4850,321,1,1,58,21,1455.93,131.03,1586.96,26.21,151.20,931.79,356.41,167.73,308.44
2452233,58735,97,654,12641,1639,232,1,1,60,24,1910.88,76.43,1987.31,29.03,1135.44,57.32,1575.52,278.04,1240.90
2452344,38957,99,654,16963,3185,435,1,1,60,31,355.57,14.22,369.79,97.98,338.83,110.22,14.72,230.63,451.03
2452292,41617,61,197,12919,3093,339,1,1,62,1,8.12,0.73,8.85,60.90,6.22,0.64,5.23,2.25,67.85
2452356,60645,55,197,15087,3793,284,1,1,62,70,2712.50,54.25,2766.75,43.61,180.60,569.62,1542.87,600.01,278.46
2452223,37463,175,197,4530,2978,82,1,1,62,3,119.61,10.76,130.37,17.47,49.83,66.98,15.78,36.85,78.06
2452578,50999,91,129,6296,2719,218,1,1,63,5,196.10,13.72,209.82,57.84,92.05,3.92,84.55,107.63,163.61
2452501,37769,78,17,6325,520,230,1,1,64,39,921.57,55.29,976.86,41.98,416.13,368.62,530.83,22.12,513.40
2452349,57022,75,973,8152,1849,195,1,1,65,75,4284.00,257.04,4541.04,93.75,2817.00,3298.68,29.55,955.77,3167.79
2452512,48748,145,624,18563,1517,396,1,1,67,1,77.75,1.55,79.30,51.09,60.02,10.10,4.05,63.60,112.66
2451191,45734,128,564,3614,713,451,1,1,68,46,1583.32,47.49,1630.81,94.63,495.88,0.00,759.99,823.33,638.00
2451103,54259,8,564,16229,3671,493,1,1,68,5,350.40,0.00,350.40,23.45,284.25,147.16,24.38,178.86,307.70
2451679,37864,178,64,7311,6914,454,1,1,69,2,9.08,0.09,9.17,34.38,5.74,7.53,0.40,1.15,40.21
2451999,55275,29,344,5431,4908,298,1,1,70,34,75.82,3.03,78.85,39.15,31.62,43.97,2.22,29.63,73.80
2451262,53555,176,239,16448,7027,314,1,1,71,9,78.12,3.12,81.24,76.81,5.40,21.87,54.00,2.25,85.33
2451878,46294,125,602,15194,1765,105,1,1,72,7,160.79,8.03,168.82,50.69,13.37,88.43,10.13,62.23,72.09
2451504,31864,20,309,13712,767,413,1,1,73,3,14.43,0.86,15.29,39.16,1.14,8.08,4.06,2.29,41.16
2451226,,46,,,625,,1,,74,11,586.52,52.78,639.30,,,117.30,,187.69,299.96
2451139,57475,158,214,12288,6806,224,1,1,77,16,38.72,3.09,41.81,68.44,242.24,34.07,0.09,4.56,313.77
2451090,33857,164,282,11005,1251,105,1,1,78,75,2628.75,52.57,2681.32,88.67,1404.00,184.01,1197.92,1246.82,1545.24
2451240,60606,49,368,1688,2290,87,1,1,80,3,163.95,6.55,170.50,24.05,59.61,90.17,9.59,64.19,90.21
2451184,31653,1,368,12715,6304,81,1,1,80,60,2574.60,102.98,2677.58,87.99,816.00,1930.95,418.37,225.28,1006.97
2451221,36723,86,625,17198,3912,150,1,1,81,74,5510.04,330.60,5840.64,16.21,1377.14,110.20,4859.85,539.99,1723.95
2451307,55190,85,625,7083,4450,276,1,1,81,41,3852.36,0.00,3852.36,23.32,359.57,3197.45,157.17,497.74,382.89
2451497,34728,73,896,6489,484,334,1,1,82,9,234.63,7.03,241.66,87.25,351.90,145.47,21.39,67.77,446.18
2451372,,70,,6140,5552,,1,1,82,5,24.55,,24.55,,,,2.50,12.23,99.52
2451428,33544,100,177,104,3847,382,1,1,82,36,277.92,25.01,302.93,65.68,176.40,250.12,14.73,13.07,267.09
2452700,,73,,,,307,,,83,15,,12.57,,58.70,193.95,,75.42,0.00,
2452682,38770,135,678,8357,3766,431,1,1,83,12,368.52,25.79,394.31,4.05,120.72,261.64,50.23,56.65,150.56
2452684,34442,156,62,10573,6189,376,1,1,83,75,5130.00,0.00,5130.00,67.09,2611.50,2308.50,1890.40,931.10,2678.59
2452728,52158,42,12,10434,3673,327,1,1,83,22,2301.20,0.00,2301.20,31.89,721.16,736.38,1251.85,312.97,753.05
2452651,38634,103,91,6594,6955,452,1,1,84,28,1192.52,47.70,1240.22,76.30,264.88,560.48,259.13,372.91,388.88
2451270,36964,79,472,3900,3148,208,1,1,85,19,798.95,31.95,830.90,44.74,436.62,103.86,215.47,479.62,513.31
2452701,43246,27,359,9121,6490,382,1,1,86,14,631.54,0.00,631.54,58.54,110.46,214.72,62.52,354.30,169.00
2451559,40772,175,438,10733,560,299,1,1,87,54,782.46,31.29,813.75,88.17,205.74,187.79,428.16,166.51,325.20
2452339,33881,23,272,4084,1466,104,1,1,88,49,416.50,12.49,428.99,11.38,45.57,416.50,0.00,0.00,69.44
2451890,49385,161,994,4560,3124,200,1,1,89,15,1489.80,74.49,1564.29,86.13,331.05,208.57,38.43,1242.80,491.67
2452305,43959,91,,,,90,1,,90,8,139.60,,152.16,,164.24,,40.21,4.47,
2451249,56307,175,306,15468,2045,219,1,1,92,2,13.48,0.13,13.61,63.12,7.62,1.21,1.71,10.56,70.87
2451172,42141,68,306,4044,6650,92,1,1,92,10,75.20,6.76,81.96,3.31,75.20,67.68,5.79,1.73,85.27
2451107,60021,67,306,13734,6573,252,1,1,92,9,296.37,2.96,299.33,24.68,172.89,163.00,110.69,22.68,200.53
2452618,50818,51,789,18447,4364,338,1,1,94,4,221.88,2.21,224.09,12.59,21.64,181.94,19.97,19.97,36.44
2452328,35509,95,907,12858,2303,36,1,1,96,93,1833.96,73.35,1907.31,81.12,416.64,1522.18,62.35,249.43,571.11
2452345,34843,137,907,10919,2864,261,1,1,96,10,90.80,0.00,90.80,17.44,156.90,50.84,34.36,5.60,174.34
2452499,52904,9,232,13614,5894,33,1,1,99,2,153.02,13.77,166.79,5.87,127.52,52.02,90.90,10.10,147.16
2452367,54117,12,875,11660,4069,94,1,1,100,74,3927.18,157.08,4084.26,92.16,1357.16,3455.91,353.45,117.82,1606.40
2452366,49752,54,875,6829,465,378,1,1,100,24,1366.56,109.32,1475.88,73.42,186.24,109.32,1043.50,213.74,368.98
2451287,42659,34,242,3561,4565,437,1,1,101,4,331.64,19.89,351.53,66.57,42.04,298.47,1.99,31.18,128.50
2451599,31028,142,117,847,938,372,1,1,104,32,750.72,67.56,818.28,39.47,281.28,698.16,12.61,39.95,388.31
2452259,35538,29,634,6677,2224,199,1,1,105,49,5229.28,52.29,5281.57,49.57,966.28,941.27,1072.00,3216.01,1068.14
2452104,52476,87,533,4217,5549,318,1,1,106,24,1545.36,46.36,1591.72,78.43,205.92,741.77,755.37,48.22,330.71
2452016,37030,145,533,5209,1686,80,1,1,106,1,0.00,0.00,0.00,69.29,1.63,0.00,0.00,0.00,70.92
2452067,32072,95,780,6522,6408,446,1,1,107,7,131.67,7.90,139.57,26.23,56.42,119.81,8.06,3.80,90.55
2452050,31518,39,780,11172,3698,56,1,1,107,60,1278.00,63.90,1341.90,55.53,670.20,1226.88,50.60,0.52,789.63
2451608,51323,46,322,18247,4484,449,1,1,108,16,1695.68,84.78,1780.46,77.11,1156.16,16.95,1007.23,671.50,1318.05
2451644,55823,74,322,17255,2852,233,1,1,108,57,1855.35,74.21,1929.56,44.61,0.00,964.78,819.32,71.25,118.82
2451655,52395,154,136,18751,3799,59,1,1,109,12,657.72,13.15,670.87,98.58,354.96,315.70,171.01,171.01,466.69
2451748,35381,139,405,15434,6441,312,1,1,110,7,452.20,27.13,479.33,56.42,260.33,226.10,115.31,110.79,343.88
2452625,60270,13,948,10169,4445,253,1,1,111,18,495.36,44.58,539.94,53.32,1321.02,257.58,211.62,26.16,1418.92
2452651,52183,132,948,9200,4521,161,1,1,111,3,6.51,0.00,6.51,77.02,8.01,2.01,0.54,3.96,85.03
2452053,49129,73,742,13455,5609,464,1,1,114,28,56.00,4.48,60.48,70.50,70.56,31.36,12.81,11.83,145.54
2452111,57416,71,742,8314,2160,25,1,1,114,6,50.22,1.50,51.72,1.01,125.58,47.20,1.63,1.39,128.09
,38178,93,,16838,,,1,1,115,13,,,189.54,27.37,,101.79,2.94,70.77,
2452365,35103,115,787,18219,2852,480,1,1,116,9,38.70,0.00,38.70,95.87,387.72,29.79,6.14,2.77,483.59
2452341,34452,105,787,4577,4626,108,1,1,116,25,417.25,25.03,442.28,18.72,446.00,29.20,151.33,236.72,489.75
2452406,44446,121,787,10077,6356,412,1,1,116,2,59.80,3.58,63.38,83.74,61.60,47.84,10.40,1.56,148.92
2451579,34073,158,808,3594,2331,403,1,1,117,2,262.28,0.00,262.28,67.52,23.60,34.09,66.17,162.02,91.12
2451598,49671,172,199,518,4385,121,1,1,119,8,0.00,0.00,0.00,92.07,405.68,0.00,0.00,0.00,497.75
2451264,50242,80,5,879,6677,146,1,1,121,6,571.68,40.01,611.69,84.58,9.06,491.64,40.02,40.02,133.65
2451276,56966,37,145,9599,2476,377,1,1,122,20,755.00,0.00,755.00,65.61,203.20,7.55,523.21,224.24,268.81
2451312,55539,28,145,973,1139,408,1,1,122,37,597.18,0.00,597.18,56.07,646.76,489.68,80.62,26.88,702.83
2451299,56873,58,145,13567,4814,134,1,1,122,62,57.04,2.85,59.89,83.60,161.82,10.26,30.87,15.91,248.27
2451574,31335,92,978,12968,2061,179,1,1,123,60,2336.40,210.27,2546.67,11.28,2955.00,1752.30,29.20,554.90,3176.55
2451675,56468,146,969,9842,3627,303,1,1,123,76,4732.52,141.97,4874.49,2.83,1203.08,3880.66,366.29,485.57,1347.88
2451506,43864,31,908,14303,6326,389,1,1,124,39,2648.88,0.00,2648.88,25.82,523.77,1907.19,311.50,430.19,549.59
2451518,50546,97,955,14505,3400,446,1,1,124,6,469.14,32.83,501.97,63.59,250.20,347.16,58.55,63.43,346.62
2451459,49211,16,567,243,295,59,1,1,124,24,961.68,48.08,1009.76,42.61,378.72,490.45,240.32,230.91,469.41
2451984,50333,98,596,1079,275,234,1,1,125,9,28.53,1.71,30.24,82.40,0.99,15.12,12.20,1.21,85.10
2451973,49578,23,596,7946,2969,261,1,1,125,51,2245.02,134.70,2379.72,59.97,439.62,291.85,625.01,1328.16,634.29
2452699,40808,93,165,13099,3546,178,1,1,126,7,436.10,8.72,444.82,95.27,179.55,331.43,34.54,70.13,283.54
2452639,37466,144,43,13945,4679,444,1,1,126,34,129.20,2.58,131.78,97.18,326.74,55.55,18.41,55.24,426.50
2452140,50723,13,696,9575,726,441,1,1,128,13,520.13,36.40,556.53,84.78,323.31,390.09,66.32,63.72,444.49
2452147,34843,117,5,5900,175,125,1,1,128,18,946.44,75.71,1022.15,39.22,16.02,473.22,468.48,4.74,130.95
,40734,69,,9154,,418,1,,128,41,,19.32,,,,1391.57,,,
,,109,959,13690,,,1,1,128,25,287.50,,,,215.50,,41.11,,
2451207,53097,74,622,6916,2016,180,1,1,130,48,5378.88,107.57,5486.45,42.93,2288.64,5217.51,145.23,16.14,2439.14
2451141,60332,88,469,12735,2624,46,1,1,131,25,1629.75,130.38,1760.13,96.58,1241.75,65.19,62.58,1501.98,1468.71
2451622,45864,127,461,6831,1943,338,1,1,132,14,23.52,1.64,25.16,17.99,129.78,14.81,5.83,2.88,149.41
2451608,60818,88,461,5076,5889,290,1,1,132,28,382.20,26.75,408.95,31.79,186.48,370.73,10.09,1.38,245.02
2451549,38642,91,461,14381,2766,35,1,1,132,17,865.98,77.93,943.91,93.44,1373.77,493.60,316.52,55.86,1545.14
2451550,57319,122,461,235,688,420,1,1,132,9,70.02,1.40,71.42,63.40,83.43,35.01,5.95,29.06,148.23
2451806,58991,97,708,11496,320,56,1,1,133,6,950.16,47.50,997.66,45.44,167.64,560.59,112.97,276.60,260.58
2451876,36646,134,475,338,3346,158,1,1,133,24,2359.20,0.00,2359.20,48.87,24.24,1132.41,613.39,613.40,73.11
2451896,,41,197,,2795,,,1,135,3,254.55,0.00,254.55,,68.37,201.09,13.89,,81.00
2451851,47450,163,197,14579,59,103,1,1,135,10,292.30,11.69,303.99,93.54,187.40,149.07,101.69,41.54,292.63
2452562,36453,151,595,2639,3623,15,1,1,136,3,60.96,0.00,60.96,1.81,19.38,51.81,0.91,8.24,21.19
2451576,58914,100,850,11333,4253,198,1,1,138,5,24.25,0.00,24.25,30.75,0.00,11.88,1.11,11.26,30.75
2451637,32451,154,850,18159,4338,192,1,1,138,63,854.28,42.71,896.99,8.25,240.66,785.93,11.61,56.74,291.62
2451661,54713,40,850,16334,4636,89,1,1,138,64,1623.68,81.18,1704.86,96.21,662.40,146.13,1152.48,325.07,839.79
2451523,31290,94,850,5841,6429,302,1,1,138,25,859.50,42.97,902.47,73.17,308.75,842.31,9.62,7.57,424.89
2452047,55126,71,57,537,4752,279,1,1,139,65,1946.75,0.00,1946.75,18.02,549.25,837.10,798.94,310.71,567.27
2452149,57688,135,57,15902,6057,271,1,1,139,13,348.66,20.91,369.57,83.52,174.33,55.78,38.07,254.81,278.76
2452094,50943,65,57,15080,2716,93,1,1,139,8,479.28,4.79,484.07,63.53,0.00,62.30,304.39,112.59,68.32
2452094,44523,127,738,6270,6010,399,1,1,140,29,33.93,2.37,36.30,44.23,181.25,1.69,13.21,19.03,227.85
2452029,43253,47,738,8814,4709,448,1,1,140,25,64.50,3.22,67.72,51.83,26.25,64.50,0.00,0.00,81.30
2452094,45315,111,570,16618,1074,426,1,1,140,64,4155.52,166.22,4321.74,36.19,2128.00,3906.18,112.20,137.14,2330.41
2451995,58847,80,161,15751,3752,298,1,1,141,31,642.32,25.69,668.01,52.24,550.56,545.97,24.08,72.27,628.49
,,26,668,4036,3388,176,,,142,,,10.76,369.57,,896.76,,,,1004.16
2452531,51736,51,955,11476,518,123,1,1,143,14,1162.70,81.38,1244.08,38.12,724.78,186.03,9.76,966.91,844.28
,,62,826,3569,,336,1,,144,,5.76,0.34,,49.86,,,1.46,,53.62
2452658,33430,177,576,14269,4419,309,1,1,145,9,280.80,16.84,297.64,8.06,76.59,33.69,192.74,54.37,101.49
2451038,45975,62,341,8831,6290,154,1,1,146,8,919.28,64.34,983.62,10.46,199.84,790.58,36.03,92.67,274.64
2451809,41815,101,65,982,3797,407,1,1,147,8,771.84,15.43,787.27,56.99,572.24,455.38,50.63,265.83,644.66
2451149,,13,299,9958,,272,,,148,,807.04,,839.32,,760.76,790.89,11.46,,851.54
2452335,31106,167,514,9358,6076,214,1,1,150,61,1238.30,111.44,1349.74,62.17,1187.06,1114.47,111.44,12.39,1360.67
2451971,55730,115,252,6558,2652,133,1,1,154,76,205.20,12.31,217.51,69.04,924.92,16.41,60.41,128.38,1006.27
2451934,34913,8,252,8952,2618,463,1,1,154,2,109.46,4.37,113.83,48.09,16.84,103.98,2.52,2.96,69.30
2451872,34273,5,252,10412,6754,367,1,1,154,1,25.55,1.27,26.82,9.54,7.22,12.26,7.97,5.32,18.03
2451971,33663,93,327,13879,557,260,1,1,155,85,337.45,10.12,347.57,46.30,4391.95,87.73,92.39,157.33,4448.37
2451961,37015,14,865,10112,919,19,1,1,156,1,33.50,2.68,36.18,70.54,6.09,4.69,23.04,5.77,79.31
2452039,29067,20,923,13599,5011,202,1,1,156,43,199.09,13.93,213.02,56.67,168.99,87.59,28.99,82.51,239.59
2451900,40219,119,865,2021,853,421,1,1,156,67,2704.79,189.33,2894.12,1.62,989.59,2055.64,32.45,616.70,1180.54
2452395,49983,179,692,5433,6821,493,1,1,157,60,6666.60,266.66,6933.26,73.63,182.40,1799.98,3503.96,1362.66,522.69
2451318,43584,170,251,11259,4395,363,1,1,158,2,3.84,0.03,3.87,96.75,0.22,0.38,1.38,2.08,97.00
2451557,56960,1,823,17739,2745,39,1,1,159,2,151.18,1.51,152.69,42.93,92.64,98.26,4.23,48.69,137.08
2452090,60458,77,901,16169,3029,385,1,1,160,29,3286.28,230.03,3516.31,97.54,1342.70,1741.72,957.62,586.94,1670.27
2451714,35992,145,432,4744,5288,208,1,1,164,11,518.21,31.09,549.30,14.45,110.99,62.18,9.12,446.91,156.53
2451817,32886,61,432,2194,1507,372,1,1,164,43,3865.70,38.65,3904.35,2.53,2362.42,1855.53,1206.10,804.07,2403.60
2450999,33966,56,420,18164,3166,136,1,1,165,2,20.22,1.81,22.03,56.54,19.58,13.14,5.94,1.14,77.93
2450960,29097,55,420,15054,4759,403,1,1,165,3,279.30,11.17,290.47,39.75,114.24,189.92,50.94,38.44,165.16
2452702,50204,42,588,15441,2790,138,1,1,167,51,1238.28,12.38,1250.66,1.13,1499.40,829.64,8.17,400.47,1512.91
2452614,45390,147,395,3677,527,400,1,1,167,38,826.88,49.61,876.49,81.26,163.40,727.65,83.35,15.88,294.27
2452565,31423,54,161,8239,1877,50,1,1,168,2,19.78,0.79,20.57,20.61,39.58,14.43,3.53,1.82,60.98
2451061,37430,61,854,9808,2851,73,1,1,170,47,3438.99,68.77,3507.76,30.72,286.23,2200.95,619.02,619.02,385.72
2451042,29679,175,,17019,651,,,1,170,2,,,18.61,,,0.00,11.61,,
2452391,35854,39,253,15482,309,23,1,1,172,43,701.76,35.08,736.84,54.06,491.92,350.88,259.65,91.23,581.06
2452426,,163,,18134,,,1,1,172,76,1830.84,,1958.99,,,,,210.92,
2451097,32630,25,90,886,4301,232,1,1,173,3,165.33,0.00,165.33,71.10,55.11,61.17,5.20,98.96,126.21
2450919,29031,106,588,212,124,139,1,1,174,18,121.68,7.30,128.98,98.08,341.10,38.93,21.51,61.24,446.48
2450913,31888,157,181,13839,6615,188,1,1,174,15,1105.20,11.05,1116.25,36.80,187.65,817.84,287.36,0.00,235.50
2452669,47058,18,554,1843,3948,92,1,1,175,25,555.50,22.22,577.72,73.90,129.50,338.85,75.82,140.83,225.62
2452808,51154,99,727,16538,4980,406,1,1,175,16,22.40,1.34,23.74,74.30,426.72,12.09,1.85,8.46,502.36
2452721,55510,24,727,4515,348,193,1,1,175,16,1241.60,37.24,1278.84,66.24,819.84,37.24,794.87,409.49,923.32
2452174,30991,155,995,10840,7109,419,1,1,176,4,287.96,17.27,305.23,19.13,123.92,213.09,51.66,23.21,160.32
2452742,29174,78,824,10301,2402,167,1,1,177,5,185.70,11.14,196.84,50.39,105.30,98.42,52.36,34.92,166.83
2452648,41711,144,824,1051,891,362,1,1,177,36,646.20,6.46,652.66,89.85,441.36,600.96,11.76,33.48,537.67
,,90,824,3752,,,,1,177,,392.31,35.30,427.61,,,309.92,,,
2452661,43020,9,190,13291,3203,31,1,1,178,5,81.80,4.09,85.89,54.28,47.50,20.45,61.35,0.00,105.87
2452581,31342,60,190,18908,7015,254,1,1,178,2,17.22,0.86,18.08,71.54,9.06,13.60,2.89,0.73,81.46
2452567,56704,129,460,10702,5306,138,1,1,179,48,3127.20,250.17,3377.37,84.99,1756.32,813.07,2244.70,69.43,2091.48
2452590,54131,114,460,8772,6848,392,1,1,179,84,392.28,19.61,411.89,18.13,162.12,231.44,32.16,128.68,199.86
2452592,49857,63,806,16603,7104,453,1,1,179,4,447.68,8.95,456.63,84.94,97.08,393.95,29.01,24.72,190.97
2452535,35516,48,464,14533,1094,358,1,1,181,9,496.62,29.79,526.41,38.84,216.81,387.36,108.16,1.10,285.44
2452455,30362,87,464,12068,7188,368,1,1,181,60,978.00,78.24,1056.24,9.31,1278.60,684.60,196.57,96.83,1366.15
2452208,55480,45,420,16449,3324,460,1,1,183,46,51.98,1.03,53.01,78.51,60.72,46.78,2.54,2.66,140.26
2451519,36537,88,284,11720,2272,195,1,1,184,5,88.80,7.10,95.90,26.36,8.35,70.15,4.10,14.55,41.81
2452715,48485,79,861,4961,6931,245,1,1,186,1,42.10,3.78,45.88,65.05,26.31,4.21,37.89,0.00,95.14
