cr_returned_date_sk,cr_returned_time_sk,cr_item_sk,cr_refunded_customer_sk,cr_refunded_cdemo_sk,cr_refunded_hdemo_sk,cr_refunded_addr_sk,cr_returning_customer_sk,cr_returning_cdemo_sk,cr_returning_hdemo_sk,cr_returning_addr_sk,cr_call_center_sk,cr_catalog_page_sk,cr_ship_mode_sk,cr_warehouse_sk,cr_reason_sk,cr_order_number,cr_return_quantity,cr_return_amount,cr_return_tax,cr_return_amt_inc_tax,cr_fee,cr_return_ship_cost,cr_refunded_cash,cr_reversed_charge,cr_store_credit,cr_net_loss
2450997,11023,133,919,7197,914,388,919,7197,5379,388,1,94,16,1,1,35,5,21.45,1.50,22.95,17.49,157.55,0.00,19.09,2.36,176.54
2450992,43001,100,919,7197,914,388,783,10681,5247,68,1,94,17,1,1,35,22,2069.98,20.69,2090.67,41.71,583.66,869.39,888.43,312.16,646.06
2451002,81295,152,919,7197,914,388,919,7197,3733,388,1,30,15,1,1,35,3,96.96,7.75,104.71,78.27,96.96,63.99,12.52,20.45,182.98
2450939,75571,163,61,18767,4976,457,926,7716,2674,83,1,164,16,1,1,38,1,10.74,0.21,10.95,88.02,5.71,2.89,1.57,6.28,93.94
2451072,49249,44,898,18193,2560,491,632,11092,7045,226,1,107,9,1,1,39,37,936.84,65.57,1002.41,52.01,175.38,496.52,171.72,268.60,292.96
2451033,38396,40,898,18193,2560,491,352,6801,6632,363,1,145,16,1,1,39,8,581.76,0.00,581.76,36.15,426.64,290.88,2.90,287.98,462.79
2451008,60266,62,283,3738,4874,146,194,16294,1086,258,1,53,1,1,1,40,7,881.02,8.81,889.83,33.39,224.91,590.28,203.51,87.23,267.11
2450960,45793,139,161,11185,7057,352,106,7332,1716,64,1,96,15,1,1,41,3,48.66,3.89,52.55,42.14,37.95,4.86,36.79,7.01,83.98
2451047,55642,4,159,14317,7059,462,104,14899,3697,300,1,41,10,1,1,42,20,1887.00,150.96,2037.96,31.33,742.40,981.24,461.93,443.83,924.69
2451082,71104,82,159,14317,7059,462,311,9216,5571,485,1,172,13,1,1,42,2,2.52,0.15,2.67,22.97,27.76,0.05,2.17,0.30,50.88
2450913,71963,32,871,4384,6585,342,600,2070,2843,312,1,15,19,1,1,46,5,92.25,7.38,99.63,1.56,51.85,44.28,11.51,36.46,60.79
2450948,80315,128,722,16152,3877,331,955,6363,4188,66,1,61,7,1,1,47,25,811.75,64.94,876.69,1.73,54.00,40.58,362.44,408.73,120.67
2450989,58431,158,373,4591,3754,268,504,1762,6019,476,1,44,7,1,1,49,28,1098.16,98.83,1196.99,5.38,277.20,571.04,137.05,390.07,381.41
2451077,65717,116,61,14020,651,246,559,5679,3316,70,1,161,6,1,1,50,28,903.00,81.27,984.27,82.55,361.20,623.07,89.57,190.36,525.02
2451015,14576,133,731,10267,6020,41,975,3461,1331,125,1,185,14,1,1,51,20,624.40,56.19,680.59,18.73,832.60,218.54,255.69,150.17,907.52
2451067,28319,26,786,4819,2059,219,358,17091,3974,388,1,113,3,1,1,52,1,7.80,0.31,8.11,95.81,3.18,4.75,0.09,2.96,99.30
2450992,28947,20,127,2046,6038,270,127,2046,5123,270,1,30,3,1,1,56,31,4941.09,296.46,5237.55,91.33,1524.89,1630.55,331.05,2979.49,1912.68
2451066,70701,154,732,4848,5571,67,732,4848,713,67,1,12,4,1,1,57,10,441.20,4.41,445.61,73.35,200.50,251.48,62.60,127.12,278.26
2451105,40465,88,732,4848,5571,67,607,17994,5082,395,1,215,8,1,1,57,19,396.72,27.77,424.49,83.17,650.56,95.21,153.77,147.74,761.50
2451054,53983,170,940,12839,6139,62,858,12516,5866,235,1,50,8,1,1,58,9,242.73,19.41,262.14,57.21,348.93,116.51,71.94,54.28,425.55
2451082,20241,28,21,9620,2860,403,800,15030,4189,168,1,67,5,1,1,59,51,201.45,18.13,219.58,13.41,481.95,14.10,110.53,76.82,513.49
2451037,32717,98,650,3548,5661,43,291,15687,5745,450,1,168,11,1,1,60,27,3799.17,265.94,4065.11,41.38,1978.83,417.90,2299.26,1082.01,2286.15
2451078,66796,58,665,15469,2722,327,35,16909,1109,88,1,74,4,1,1,61,48,1647.36,0.00,1647.36,19.24,4283.04,181.20,58.64,1407.52,4302.28
2451047,28638,122,758,14757,2853,124,681,16278,7154,197,1,43,12,1,1,63,43,5193.11,0.00,5193.11,60.00,749.92,3894.83,1103.53,194.75,809.92
2450906,25355,4,758,14757,2853,124,898,9531,3487,310,1,78,12,1,1,63,42,1163.82,58.19,1222.01,59.49,387.66,430.61,505.91,227.30,505.34
2451032,35833,134,621,15163,960,53,77,17597,6108,4,1,7,6,1,1,64,6,98.16,8.83,106.99,18.02,3.90,42.20,27.42,28.54,30.75
2451076,18005,104,55,15117,6355,352,418,1908,2894,23,1,2,16,1,1,65,3,432.99,38.96,471.95,79.87,304.92,95.25,108.07,229.67,423.75
2450976,76161,110,214,17648,1090,181,940,2510,515,467,1,94,2,1,1,67,17,1386.69,110.93,1497.62,62.40,640.05,804.28,430.98,151.43,813.38
2450943,16356,50,214,17648,1090,181,473,4293,2799,112,1,232,4,1,1,67,21,1497.09,89.82,1586.91,47.95,224.49,1452.17,21.56,23.36,362.26
2450964,17556,85,214,17648,1090,181,485,14019,6866,437,1,279,3,1,1,67,34,359.38,0.00,359.38,74.00,215.56,251.56,73.31,34.51,289.56
2451034,384,74,,17648,,,787,,5364,257,,35,,,,67,,,62.64,1106.79,69.45,459.90,,317.95,,591.99
2451006,36592,140,229,3052,1027,426,521,12779,4017,367,1,217,4,1,1,69,49,1242.15,49.68,1291.83,29.79,894.74,1080.67,124.33,37.15,974.21
2451065,20680,50,701,1488,3274,284,179,3487,1325,371,1,314,9,1,1,70,1,92.73,1.85,94.58,75.84,33.61,6.49,62.09,24.15,111.30
2450995,55946,19,173,5719,5778,204,729,10574,5616,407,1,4,14,1,1,72,1,9.89,0.09,9.98,95.81,17.66,5.04,3.88,0.97,113.56
2451021,32861,86,24,12922,653,144,628,10153,7009,13,1,92,5,1,1,73,67,2596.25,181.73,2777.98,86.96,854.92,51.92,279.87,2264.46,1123.61
2451055,85209,98,448,10097,4139,161,778,3119,6134,333,1,41,3,1,1,74,71,1887.89,113.27,2001.16,45.83,702.90,1151.61,515.39,220.89,862.00
2450972,61869,40,543,1474,7070,457,942,5227,894,4,1,14,7,1,1,75,24,2366.40,70.99,2437.39,58.89,110.88,662.59,1243.78,460.03,240.76
2451050,44538,110,543,1474,7070,457,27,7957,54,147,1,257,12,1,1,75,26,2063.36,0.00,2063.36,4.58,1678.56,1815.75,141.13,106.48,1683.14
2451057,10904,7,674,12213,448,135,8,2448,1410,436,1,69,7,1,1,77,1,89.21,2.67,91.88,19.85,56.50,24.08,37.12,28.01,79.02
2451138,61590,122,468,8050,3704,22,833,12497,2955,46,1,49,6,1,1,81,63,1620.36,0.00,1620.36,52.08,2004.03,1150.45,84.58,385.33,2056.11
2450946,61296,46,942,1192,4242,139,852,11081,4595,317,1,4,3,1,1,83,10,206.30,4.12,210.42,18.27,3.40,158.85,4.74,42.71,25.79
2451023,66045,121,942,1192,4242,139,896,4427,3606,46,1,56,20,1,1,83,4,35.40,0.70,36.10,5.22,13.80,9.91,17.84,7.65,19.72
2451119,35317,10,408,16394,1684,222,40,15881,1358,248,1,52,12,1,1,85,27,168.21,11.77,179.98,53.67,350.73,38.68,98.44,31.09,416.17
2450951,61704,2,224,8934,5629,8,422,17619,6126,313,1,230,14,1,1,86,76,980.40,68.62,1049.02,70.64,534.28,401.96,237.16,341.28,673.54
2451070,71254,67,800,5003,1159,115,103,15645,105,92,1,69,6,1,1,88,2,42.50,1.70,44.20,66.79,16.46,41.22,1.06,0.22,84.95
2451069,68072,172,977,13943,5894,329,440,2768,3039,438,1,314,9,1,1,89,11,16.61,0.16,16.77,78.67,133.32,2.32,0.14,14.15,212.15
2451008,80535,44,252,9348,1764,20,210,12228,3896,79,1,302,14,1,1,90,53,1879.91,112.79,1992.70,59.55,906.83,1015.15,665.86,198.90,1079.17
2450994,59610,73,188,16949,3071,136,93,18320,4342,13,1,71,7,1,1,91,19,1698.60,33.97,1732.57,84.33,1095.16,1443.81,71.34,183.45,1213.46
2451008,77827,56,188,16949,3071,136,809,16902,3332,239,1,28,1,1,1,91,6,23.70,1.18,24.88,85.12,267.06,1.42,14.03,8.25,353.36
2451131,73896,145,,14687,1551,,,,2804,301,,,,,1,92,24,330.72,,330.72,21.60,330.72,112.44,,172.45,
2450986,54086,80,651,13185,655,357,745,15621,4706,483,1,33,14,1,1,100,18,445.68,13.37,459.05,60.89,99.00,387.74,38.24,19.70,173.26
2450988,74068,58,651,13185,655,357,6,17185,187,125,1,33,19,1,1,100,15,173.10,0.00,173.10,66.03,471.15,131.55,4.57,36.98,537.18
2451027,33216,25,651,13185,655,357,12,6064,1431,357,1,175,1,1,1,100,31,205.53,16.44,221.97,26.38,423.77,69.88,51.54,84.11,466.59
2450960,6852,10,410,7264,4094,336,548,13139,3853,56,1,56,5,1,1,102,32,1600.64,96.03,1696.67,64.91,2443.20,1056.42,413.60,130.62,2604.14
2451094,44862,14,410,7264,4094,336,361,19104,4412,68,1,24,16,1,1,102,11,235.40,9.41,244.81,81.56,40.59,9.41,13.55,212.44,131.56
2450972,58243,34,648,18054,6643,217,936,7314,825,160,1,169,5,1,1,104,18,710.46,42.62,753.08,12.70,0.00,113.67,143.22,453.57,55.32
2450978,23680,43,481,10648,3159,51,898,13716,1164,120,1,98,8,1,1,107,64,3875.20,193.76,4068.96,26.78,1536.64,38.75,3491.16,345.29,1757.18
2451057,56596,110,481,10648,3159,51,673,13353,34,99,1,71,7,1,1,107,18,359.10,28.72,387.82,61.36,1197.36,301.64,11.49,45.97,1287.44
2451137,76706,76,770,16883,5220,145,750,5084,2540,427,1,117,14,1,1,108,36,6207.84,248.31,6456.15,82.43,1455.84,5773.29,91.25,343.30,1786.58
2451096,52322,49,450,1334,2394,366,438,18582,1020,227,1,78,15,1,1,110,8,1.36,0.10,1.46,44.06,4.08,0.55,0.80,0.01,48.24
2451014,9721,116,450,1334,2394,366,716,14060,2541,438,1,26,9,1,1,110,9,166.41,14.97,181.38,19.25,52.11,99.84,11.31,55.26,86.33
2451094,78832,169,450,1334,2394,366,513,10407,5695,155,1,327,8,1,1,110,72,468.00,32.76,500.76,87.15,160.56,411.84,52.22,3.94,280.47
2451042,50089,169,121,12531,7142,376,775,7276,7125,17,1,78,19,1,1,111,11,575.85,0.00,575.85,88.05,16.39,535.54,13.30,27.01,104.44
2451070,80293,82,288,16341,3426,442,398,8745,4236,275,1,22,5,1,1,113,59,3188.95,95.66,3284.61,18.85,1784.16,1466.91,1635.93,86.11,1898.67
2451091,75922,97,964,9154,1599,293,485,14497,1871,309,1,24,3,1,1,114,1,30.39,2.12,32.51,28.04,11.62,4.25,22.74,3.40,41.78
2451120,40410,43,613,14235,7089,327,613,14235,6876,327,1,406,7,1,1,115,14,156.10,1.56,157.66,74.50,1048.32,120.19,3.23,32.68,1124.38
2451019,32366,1,732,3433,215,380,304,2253,611,13,1,2,19,1,1,117,13,535.08,42.80,577.88,39.95,411.58,21.40,431.49,82.19,494.33
2451036,75334,86,116,3353,5878,359,690,10277,3910,84,1,396,20,1,1,118,1,2.60,0.00,2.60,8.55,2.08,0.05,0.28,2.27,10.63
2451063,20357,151,925,12316,5067,438,389,4049,4591,433,1,26,19,1,1,120,2,50.08,4.00,54.08,43.98,230.36,32.05,15.50,2.53,278.34
2451084,45502,37,925,12316,5067,438,221,15030,1365,191,1,177,15,1,1,120,4,134.72,5.38,140.10,74.45,81.28,83.52,47.10,4.10,161.11
2451039,74148,64,591,1855,2024,364,570,15059,4705,279,1,390,8,1,1,122,9,528.03,42.24,570.27,79.00,19.08,79.20,318.66,130.17,140.32
2451119,4941,2,876,16158,5880,382,964,13759,7124,310,1,41,2,1,1,123,30,1553.10,31.06,1584.16,33.38,1653.30,310.62,149.09,1093.39,1717.74
2451007,30988,133,744,13494,2780,498,517,6901,4901,298,1,114,16,1,1,124,9,589.86,29.49,619.35,31.06,96.66,395.20,44.77,149.89,157.21
2451123,83311,4,170,,,331,170,,,331,,81,14,1,,125,,,,,,,31.73,,35.52,
2451005,53894,82,170,6459,5293,331,144,6233,4042,167,1,406,2,1,1,125,9,755.91,45.35,801.26,24.42,383.13,309.92,80.27,365.72,452.90
2451036,85505,139,170,6459,5293,331,504,6015,6764,324,1,24,17,1,1,125,50,274.00,13.70,287.70,84.61,203.50,24.66,211.93,37.41,301.81
2451087,32771,73,231,13807,6887,415,18,15954,1694,66,1,130,2,1,1,126,31,1458.55,43.75,1502.30,13.13,1054.62,58.34,448.06,952.15,1111.50
2451023,58461,100,38,13133,4597,353,170,9005,2303,290,1,483,5,1,1,128,14,1334.76,120.12,1454.88,91.23,355.88,1081.15,50.72,202.89,567.23
2451080,70447,73,38,13133,4597,353,584,11616,2338,313,1,187,5,1,1,128,8,713.52,0.00,713.52,24.46,24.56,563.68,124.36,25.48,49.02
2451094,60162,55,708,,,,994,,,335,,75,,,,130,57,3160.65,0.00,,,,2433.70,268.97,457.98,1372.61
2451025,42502,151,796,4667,683,3,997,10902,4379,473,1,99,2,1,1,134,22,435.38,13.06,448.44,37.02,777.48,148.02,117.81,169.55,827.56
2451067,32485,163,796,4667,683,3,111,2232,1727,465,1,114,19,1,1,134,2,129.04,5.16,134.20,13.16,20.56,121.29,6.66,1.09,38.88
2451145,71633,178,796,4667,683,3,40,11004,3561,19,1,7,20,1,1,134,12,406.92,28.48,435.40,29.71,313.92,268.56,47.04,91.32,372.11
2450987,72606,62,571,655,746,210,727,10866,6807,225,1,66,13,1,1,139,9,623.61,12.47,636.08,91.82,381.06,555.01,19.20,49.40,485.35
2451065,31776,91,571,655,746,210,131,12926,1235,69,1,54,12,1,1,139,20,1267.40,50.69,1318.09,51.81,120.60,988.57,256.52,22.31,223.10
2451107,20700,118,571,655,746,210,990,10338,5738,98,1,10,18,1,1,139,51,3771.45,150.85,3922.30,32.55,1077.12,2904.01,208.18,659.26,1260.52
2451016,40555,97,571,655,746,210,470,6033,3280,251,1,195,17,1,1,139,5,779.50,31.18,810.68,0.58,75.75,623.60,144.98,10.92,107.51
2451026,65297,26,767,14542,2645,84,153,2728,7156,164,1,92,8,1,1,141,1,125.15,1.25,126.40,36.57,81.62,60.07,46.20,18.88,119.44
2451176,75299,116,767,14542,2645,84,767,14542,3894,84,1,531,7,1,1,141,63,4376.61,131.29,4507.90,6.36,437.22,2494.66,1580.83,301.12,574.87
2451142,32609,46,201,7248,6312,444,399,4203,1877,479,1,515,5,1,1,142,15,228.75,13.72,242.47,56.04,393.90,91.50,68.62,68.63,463.66
2451090,82228,172,193,13558,3676,94,349,12029,3395,313,1,151,14,1,1,143,24,1222.08,0.00,1222.08,29.54,540.24,488.83,542.60,190.65,569.78
2451052,46579,7,687,244,5968,332,909,16383,3361,146,1,143,20,1,1,148,29,267.67,10.70,278.37,44.26,112.52,246.25,4.49,16.93,167.48
2451110,67140,154,687,244,5968,332,687,244,6134,332,1,86,6,1,1,148,82,6821.58,613.94,7435.52,47.63,7696.52,3956.51,2435.30,429.77,8358.09
2451101,74575,163,122,12020,4413,335,941,16837,2551,180,1,192,13,1,1,149,2,106.42,5.32,111.74,15.73,16.22,67.04,10.63,28.75,37.27
2451113,46475,116,742,11515,5897,298,324,8807,4974,130,1,77,5,1,1,151,5,294.80,17.68,312.48,60.64,20.45,191.62,82.54,20.64,98.77
2451103,58441,151,945,6714,4930,299,948,14321,618,290,1,85,12,1,1,152,1,1.59,0.04,1.63,39.09,7.97,0.03,1.20,0.36,47.10
2451079,71785,26,839,12160,5064,500,167,15929,4316,52,1,445,14,1,1,154,74,4329.00,43.29,4372.29,35.10,1095.94,779.22,3443.28,106.50,1174.33
2451197,36709,31,393,8905,3834,178,844,12424,5317,86,1,202,6,1,1,157,18,0.00,0.00,0.00,26.39,997.20,0.00,0.00,0.00,1023.59
2451127,65342,134,393,8905,3834,178,187,9926,5795,349,1,21,12,1,1,157,5,320.50,9.61,330.11,96.93,55.55,256.40,41.66,22.44,162.09
2451011,62676,40,307,15251,1138,30,531,1087,173,442,1,566,15,1,1,158,72,840.96,58.86,899.82,7.73,164.16,176.60,471.69,192.67,230.75
2451038,22967,176,893,4478,1230,275,825,5585,3001,121,1,596,8,1,1,159,14,441.56,8.83,450.39,78.57,385.42,128.05,94.05,219.46,472.82
2451193,48981,4,511,201,1972,479,632,4089,5911,329,1,618,17,1,1,160,55,4979.15,0.00,4979.15,69.42,2009.15,4033.11,747.37,198.67,2078.57
2451147,43490,67,511,201,1972,479,115,14740,1141,270,1,114,4,1,1,160,3,159.48,6.37,165.85,22.10,3.93,31.89,37.00,90.59,32.40
2451098,70049,103,125,13987,537,143,528,13846,3104,141,1,37,16,1,1,161,1,6.11,0.18,6.29,36.31,0.94,4.03,1.68,0.40,37.43
2451026,72631,106,43,17922,4450,377,754,6984,590,189,1,171,13,1,1,163,43,79.55,2.38,81.93,23.85,325.51,63.64,1.27,14.64,351.74
2451085,33519,154,43,17922,4450,377,43,17922,3670,377,1,600,20,1,1,163,75,2034.75,81.39,2116.14,86.13,1055.25,651.12,968.54,415.09,1222.77
2451129,54362,133,43,17922,4450,377,229,3103,6907,66,1,53,9,1,1,163,19,1561.23,109.28,1670.51,94.11,1694.99,1248.98,71.81,240.44,1898.38
2451098,30343,85,34,15453,4968,482,927,1106,4658,197,1,88,14,1,1,164,2,11.38,0.00,11.38,71.97,17.08,3.98,1.62,5.78,89.05
2451143,53881,22,34,15453,4968,482,53,3144,2936,468,1,142,11,1,1,164,9,261.09,15.66,276.75,91.16,127.62,0.00,182.76,78.33,234.44
2451071,37939,14,367,19179,5368,92,933,2262,2244,262,1,28,3,1,1,165,4,230.16,18.41,248.57,52.64,131.52,78.25,148.87,3.04,202.57
2451096,75222,169,367,19179,5368,92,304,15138,3425,40,1,92,5,1,1,165,1,10.39,0.41,10.80,28.91,11.38,8.20,0.54,1.65,40.70
2451192,68424,16,708,8728,4533,369,60,5844,4039,42,1,56,18,1,1,166,67,308.20,18.49,326.69,44.94,2055.56,52.39,69.06,186.75,2118.99
2451026,40969,136,708,8728,4533,369,708,8728,6423,369,1,208,6,1,1,166,13,88.27,5.29,93.56,79.25,35.23,9.70,67.57,11.00,119.77
2451095,21816,25,73,16088,1751,190,123,679,98,321,1,38,10,1,1,167,27,9.99,0.49,10.48,22.46,166.32,1.49,1.02,7.48,189.27
2451006,23855,61,693,8101,6444,196,575,9205,4209,173,1,92,18,1,1,168,18,48.78,2.92,51.70,33.53,138.60,27.31,2.79,18.68,175.05
2450999,65198,28,693,8101,6444,196,339,730,540,109,1,170,2,1,1,168,48,50.88,0.50,51.38,77.34,101.76,16.28,5.88,28.72,179.60
2451177,41406,61,67,13357,3806,52,542,3002,4665,113,1,12,11,1,1,169,9,864.99,69.19,934.18,96.61,155.25,596.84,262.78,5.37,321.05
2451115,81694,94,256,2096,4232,20,79,13381,595,96,1,39,12,1,1,170,1,68.39,4.78,73.17,39.26,35.68,16.41,9.35,42.63,79.72
2451147,42571,124,475,5905,2408,298,796,14748,1917,486,1,117,20,1,1,173,57,3637.74,72.75,3710.49,9.23,2567.85,291.01,2911.65,435.08,2649.83
2451200,56879,49,171,17167,5946,457,490,1347,6239,424,1,44,6,1,1,174,2,27.56,0.27,27.83,95.35,47.00,9.92,0.70,16.94,142.62
2451185,66524,128,171,17167,5946,457,674,9874,5146,335,1,113,3,1,1,174,21,388.08,34.92,423.00,80.03,231.63,372.55,7.45,8.08,346.58
2451172,11891,169,171,17167,5946,457,188,11310,2974,286,1,186,2,1,1,174,1,66.46,0.66,67.12,30.32,5.72,45.19,16.59,4.68,36.70
2451143,40470,86,171,17167,5946,457,654,12565,1923,180,1,209,17,1,1,174,18,430.38,21.51,451.89,35.78,105.30,68.86,202.45,159.07,162.59
2451081,43460,104,171,17167,5946,457,225,11416,6528,372,1,181,17,1,1,174,35,2622.55,78.67,2701.22,4.17,316.40,1075.24,1268.79,278.52,399.24
2451220,7497,158,53,18291,4626,136,439,6776,2903,495,1,92,11,1,1,175,62,4628.30,370.26,4998.56,36.94,2093.74,3147.24,1407.00,74.06,2500.94
2451145,58885,109,53,18291,4626,136,467,11226,347,239,1,108,8,1,1,175,42,622.02,12.44,634.46,77.12,307.44,329.67,292.35,0.00,397.00
2451180,63732,46,53,18291,4626,136,942,3506,3133,187,1,541,15,1,1,175,12,2348.28,93.93,2442.21,9.83,1161.24,704.48,805.46,838.34,1265.00
2451124,38626,14,519,14042,3148,139,89,15123,905,111,1,82,16,1,1,176,66,434.94,8.69,443.63,6.56,417.78,269.66,120.65,44.63,433.03
2451175,63854,79,474,8591,6997,335,296,282,2830,250,1,26,16,1,1,177,8,70.32,4.21,74.53,64.28,28.56,26.01,30.57,13.74,97.05
2451106,82057,121,338,871,3053,234,97,728,4463,290,1,93,4,1,1,178,6,48.36,3.86,52.22,57.13,0.96,3.86,2.22,42.28,61.95
2451079,51115,62,338,871,3053,234,264,1400,858,425,1,141,13,1,1,178,9,687.60,48.13,735.73,15.51,387.54,336.92,35.06,315.62,451.18
2451214,52602,98,338,871,3053,234,395,6318,6138,315,1,31,20,1,1,178,26,56.16,3.36,59.52,7.96,337.22,46.05,6.16,3.95,348.54
2451070,46703,88,,16562,6535,101,,3608,,,,,7,1,1,180,63,,,1211.35,,,,,104.61,837.24
2451153,68791,122,542,13,548,51,191,1296,1623,362,1,18,19,1,1,181,31,767.56,23.02,790.58,9.98,700.60,567.99,145.68,53.89,733.60
2451219,28574,140,349,8757,5596,396,349,8757,4503,396,1,587,18,1,1,182,26,599.56,5.99,605.55,10.51,348.92,161.88,319.50,118.18,365.42
2451186,37877,127,349,8757,5596,396,294,16624,4145,491,1,600,3,1,1,182,27,475.47,0.00,475.47,7.04,608.85,104.60,348.61,22.26,615.89
