product_id,name,category,price,cost
P00174,Product 174,Books,495.03,57.96
P00175,Product 175,Clothing,323.3,116.2
P00176,Product 176,Home,144.41,103.51
P00177,Product 177,Home,107.8,159.98
P00178,Product 178,Garden,318.02,139.94
P00179,Product 179,Toys,12.34,107.21
P00180,Product 180,Sports,418.18,170.26
P00181,Product 181,Electronics,223.4,17.47
P00182,Product 182,Electronics,365.49,161.15
P00183,Product 183,Garden,23.9,17.26
P00184,Product 184,Electronics,196.63,54.48
P00185,Product 185,Books,212.15,126.42
P00186,Product 186,Garden,291.31,112.37
P00187,Product 187,Toys,297.76,89.01
P00188,Product 188,Electronics,249.58,6.11
P00189,Product 189,Home,479.02,134.44
P00190,Product 190,Garden,372.77,188.44
P00191,Product 191,Clothing,315.48,184.15
P00192,Product 192,Electronics,245.17,37.73
P00193,Product 193,Electronics,22.38,70.14
P00194,Product 194,Beauty,423.07,82.12
P00195,Product 195,Books,193.52,16.66
P00196,Product 196,Garden,195.71,9.61
P00197,Product 197,Toys,375.3,179.54
P00198,Product 198,Sports,99.13,174.56
P00199,Product 199,Clothing,291.51,70.3
P00200,Product 200,Sports,118.69,3.68
P00201,Product 201,Electronics,414.34,120.5
P00202,Product 202,Books,76.66,34.03
P00203,Product 203,Beauty,277.88,153.62
P00204,Product 204,Books,73.04,136.68
P00205,Product 205,Sports,54.98,151.0
P00206,Product 206,Electronics,318.3,136.25
P00207,Product 207,Beauty,392.7,66.31
P00208,Product 208,Garden,73.98,131.62
P00209,Product 209,Clothing,52.03,98.29
P00210,Product 210,Toys,213.89,10.98
P00211,Product 211,Beauty,151.54,82.56
P00212,Product 212,Home,297.64,38.3
P00213,Product 213,Toys,25.34,93.75
P00214,Product 214,Garden,383.93,42.67
P00215,Product 215,Home,446.72,124.64
P00216,Product 216,Clothing,104.88,52.85
P00217,Product 217,Electronics,407.42,169.56
P00218,Product 218,Clothing,80.82,118.13
P00219,Product 219,Books,352.39,67.52
P00220,Product 220,Beauty,494.06,30.93
P00221,Product 221,Clothing,358.19,26.92
P00222,Product 222,Beauty,468.85,193.04
P00223,Product 223,Beauty,330.36,193.71
P00224,Product 224,Books,69.42,68.63
P00225,Product 225,Electronics,334.49,114.9
P00226,Product 226,Garden,445.34,177.7
P00227,Product 227,Books,499.88,73.06
P00228,Product 228,Garden,199.43,155.98
P00229,Product 229,Toys,477.45,168.86
P00230,Product 230,Books,15.21,144.41
P00231,Product 231,Beauty,374.19,104.03
P00232,Product 232,Clothing,114.52,149.7
P00233,Product 233,Sports,132.47,197.9
P00234,Product 234,Toys,201.02,103.36
P00235,Product 235,Toys,493.59,145.77
P00236,Product 236,Books,179.62,81.21
P00237,Product 237,Toys,324.39,4.47
P00238,Product 238,Toys,224.77,83.2
P00239,Product 239,Home,117.22,160.31
P00240,Product 240,Clothing,368.21,35.82
P00241,Product 241,Clothing,382.02,129.62
P00242,Product 242,Toys,163.42,116.53
P00243,Product 243,Books,91.25,81.22
P00244,Product 244,Books,128.96,3.72
P00245,Product 245,Sports,61.26,190.06
P00246,Product 246,Beauty,62.9,108.27
P00247,Product 247,Garden,94.58,169.0
P00248,Product 248,Beauty,286.16,72.18
P00249,Product 249,Home,409.02,101.24
P00250,Product 250,Clothing,315.59,198.92
P00251,Product 251,Sports,462.98,50.36
P00252,Product 252,Toys,93.95,182.34
P00253,Product 253,Books,7.1,150.19
P00254,Product 254,Toys,309.93,133.45
P00255,Product 255,Clothing,147.47,101.56
P00256,Product 256,Home,42.67,193.94
P00257,Product 257,Garden,473.6,142.07
P00258,Product 258,Beauty,390.74,26.14
P00259,Product 259,Beauty,313.23,168.27
P00260,Product 260,Home,494.4,121.29
P00261,Product 261,Clothing,191.73,132.61
P00262,Product 262,Garden,182.16,68.95
P00263,Product 263,Books,113.75,139.15
P00264,Product 264,Garden,319.39,115.08
P00265,Product 265,Books,247.11,180.52
P00266,Product 266,Sports,335.11,64.83
P00267,Product 267,Home,399.46,168.71
P00268,Product 268,Electronics,342.96,125.03
P00269,Product 269,Books,188.55,105.8
P00270,Product 270,Garden,27.14,24.19
P00271,Product 271,Electronics,344.63,2.16
P00272,Product 272,Beauty,205.37,55.03
P00273,Product 273,Toys,330.05,59.05
P00274,Product 274,Home,289.31,66.04
P00275,Product 275,Toys,276.25,50.32
P00276,Product 276,Clothing,341.34,160.24
P00277,Product 277,Toys,489.98,54.45
P00278,Product 278,Books,358.35,97.7
P00279,Product 279,Electronics,94.89,158.93
P00280,Product 280,Books,310.77,197.36
P00281,Product 281,Garden,375.6,117.77
P00282,Product 282,Books,496.0,112.56
P00283,Product 283,Toys,88.16,122.56
P00284,Product 284,Books,225.29,17.55
P00285,Product 285,Beauty,185.94,36.68
P00286,Product 286,Sports,348.04,109.45
P00287,Product 287,Books,66.59,147.59
P00288,Product 288,Home,350.14,29.08
P00289,Product 289,Clothing,78.71,173.87
P00290,Product 290,Electronics,287.18,16.23
P00291,Product 291,Sports,262.5,105.34
P00292,Product 292,Home,291.54,31.95
P00293,Product 293,Books,346.66,174.9
P00294,Product 294,Sports,493.92,140.8
P00295,Product 295,Home,492.52,156.34
P00296,Product 296,Books,112.61,30.42
P00297,Product 297,Clothing,148.84,119.35
P00298,Product 298,Sports,420.83,19.59
P00299,Product 299,Garden,457.26,39.25
P00300,Product 300,Beauty,401.92,6.7
P00301,Product 301,Sports,340.68,42.1
P00302,Product 302,Sports,480.76,36.97
P00303,Product 303,Beauty,455.68,95.84
P00304,Product 304,Toys,458.32,183.32
P00305,Product 305,Beauty,348.5,134.27
P00306,Product 306,Beauty,18.39,185.35
P00307,Product 307,Electronics,416.88,199.2
P00308,Product 308,Electronics,350.91,2.53
P00309,Product 309,Garden,192.38,9.41
P00310,Product 310,Sports,159.05,158.43
P00311,Product 311,Beauty,41.96,148.8
P00312,Product 312,Books,487.04,23.31
P00313,Product 313,Garden,198.9,113.28
P00314,Product 314,Beauty,440.94,54.66
P00315,Product 315,Toys,143.56,121.7
P00316,Product 316,Clothing,220.0,89.37
P00317,Product 317,Home,325.31,143.74
P00318,Product 318,Books,191.99,20.12
P00319,Product 319,Garden,476.18,84.85
P00320,Product 320,Home,495.82,170.7
P00321,Product 321,Beauty,29.76,44.12
P00322,Product 322,Electronics,368.74,60.01
P00323,Product 323,Books,382.84,8.27
P00324,Product 324,Garden,255.33,76.87
P00325,Product 325,Clothing,91.93,134.68
P00326,Product 326,Books,241.16,29.45
P00327,Product 327,Home,328.58,42.39
P00328,Product 328,Beauty,466.7,96.98
P00329,Product 329,Electronics,233.05,63.84
P00330,Product 330,Electronics,205.28,152.96
P00331,Product 331,Clothing,363.13,16.27
P00332,Product 332,Sports,380.93,28.97
P00333,Product 333,Home,496.04,177.63
P00334,Product 334,Clothing,123.61,66.73
P00335,Product 335,Home,228.69,179.51
P00336,Product 336,Home,333.34,103.86
P00337,Product 337,Garden,404.48,191.07
P00338,Product 338,Electronics,98.06,128.39
P00339,Product 339,Books,487.36,112.37
P00340,Product 340,Clothing,276.76,191.59
P00341,Product 341,Home,179.16,47.97
P00342,Product 342,Sports,305.27,90.87
P00343,Product 343,Beauty,116.67,84.27
P00344,Product 344,Electronics,220.57,153.08
P00345,Product 345,Sports,98.38,90.13
P00346,Product 346,Clothing,457.92,67.17
P00347,Product 347,Books,445.53,157.3
P00348,Product 348,Garden,101.86,57.2
P00349,Product 349,Toys,35.76,103.02
P00350,Product 350,Electronics,415.37,79.45
P00351,Product 351,Beauty,355.41,164.92
P00352,Product 352,Clothing,306.85,61.53
P00353,Product 353,Electronics,52.2,178.01
P00354,Product 354,Electronics,197.4,87.86
P00355,Product 355,Electronics,476.0,180.58
P00356,Product 356,Home,97.05,165.57
P00357,Product 357,Clothing,118.38,197.53
P00358,Product 358,Clothing,152.31,75.48
P00359,Product 359,Garden,278.47,89.24
P00360,Product 360,Clothing,19.3,78.26
P00361,Product 361,Beauty,288.14,60.88
P00362,Product 362,Electronics,279.33,16.46
P00363,Product 363,Toys,334.12,78.01
P00364,Product 364,Home,47.75,7.73
P00365,Product 365,Clothing,469.99,178.5
P00366,Product 366,Books,256.96,170.45
P00367,Product 367,Beauty,480.24,94.15
P00368,Product 368,Electronics,307.73,140.08
P00369,Product 369,Sports,150.94,199.64
P00370,Product 370,Home,30.0,121.71
P00371,Product 371,Books,463.35,51.89
P00372,Product 372,Beauty,187.97,131.16
P00373,Product 373,Sports,408.78,75.75
P00374,Product 374,Clothing,226.16,13.88
P00375,Product 375,Books,374.08,21.88
P00376,Product 376,Sports,403.26,73.48
P00377,Product 377,Toys,349.26,75.25
P00378,Product 378,Garden,92.55,42.23
P00379,Product 379,Books,386.6,35.05
P00380,Product 380,Clothing,240.72,198.04
P00381,Product 381,Sports,414.25,27.15
P00382,Product 382,Clothing,483.95,27.07
P00383,Product 383,Electronics,472.7,46.28
P00384,Product 384,Home,410.36,54.97
P00385,Product 385,Toys,361.31,20.88
P00386,Product 386,Clothing,298.21,131.12
P00387,Product 387,Beauty,64.97,56.91
P00388,Product 388,Garden,328.05,31.13
P00389,Product 389,Books,173.57,31.32
P00390,Product 390,Toys,120.12,131.9
P00391,Product 391,Clothing,374.71,16.31
P00392,Product 392,Clothing,283.57,42.02
P00393,Product 393,Home,243.83,123.66
P00394,Product 394,Home,182.0,198.9
P00395,Product 395,Books,27.86,173.14
P00396,Product 396,Books,115.75,194.81
P00397,Product 397,Garden,62.87,55.11
P00398,Product 398,Home,330.65,190.93
P00399,Product 399,Beauty,468.9,17.95
P00400,Product 400,Toys,476.54,154.77
P00401,Product 401,Clothing,460.72,64.36
P00402,Product 402,Garden,425.08,36.56
P00403,Product 403,Books,70.7,74.26
P00404,Product 404,Sports,467.81,31.19
P00405,Product 405,Home,365.91,78.37
P00406,Product 406,Home,277.8,91.13
P00407,Product 407,Garden,162.61,66.76
P00408,Product 408,Home,88.18,73.55
P00409,Product 409,Electronics,111.84,21.68
P00410,Product 410,Books,338.59,138.36
P00411,Product 411,Electronics,425.26,151.33
P00412,Product 412,Electronics,123.32,186.33
P00413,Product 413,Sports,477.51,42.78
P00414,Product 414,Electronics,415.8,109.86
P00415,Product 415,Sports,179.14,174.93
P00416,Product 416,Clothing,422.41,75.27
P00417,Product 417,Garden,62.06,125.65
P00418,Product 418,Garden,89.61,72.88
P00419,Product 419,Home,127.9,60.32
P00420,Product 420,Sports,257.37,138.4
P00421,Product 421,Garden,304.3,115.98
P00422,Product 422,Sports,103.96,133.07
P00423,Product 423,Clothing,410.17,136.51
P00424,Product 424,Clothing,117.34,25.68
P00425,Product 425,Home,440.85,71.67
P00426,Product 426,Sports,10.48,25.52
P00427,Product 427,Sports,297.86,58.68
P00428,Product 428,Books,455.29,135.46
P00429,Product 429,Electronics,245.43,85.31
P00430,Product 430,Home,225.43,150.33
P00431,Product 431,Sports,295.32,31.99
P00432,Product 432,Books,431.75,7.25
P00433,Product 433,Sports,189.03,162.29
P00434,Product 434,Toys,365.68,109.06
P00435,Product 435,Toys,379.11,50.6
P00436,Product 436,Clothing,201.37,56.78
P00437,Product 437,Electronics,188.18,63.82
P00438,Product 438,Beauty,296.34,31.02
P00439,Product 439,Clothing,462.0,97.08
P00440,Product 440,Home,116.35,151.58
P00441,Product 441,Home,74.78,99.65
P00442,Product 442,Clothing,81.87,12.27
P00443,Product 443,Books,403.22,185.13
P00444,Product 444,Clothing,107.03,103.16
P00445,Product 445,Electronics,63.82,114.95
P00446,Product 446,Sports,449.32,70.13
P00447,Product 447,Beauty,284.18,6.72
P00448,Product 448,Toys,476.76,34.07
P00449,Product 449,Clothing,334.11,15.35
P00450,Product 450,Sports,381.89,105.16
P00451,Product 451,Books,384.62,193.81
P00452,Product 452,Electronics,325.17,16.08
P00453,Product 453,Home,304.03,24.4
P00454,Product 454,Home,153.4,15.24
P00455,Product 455,Toys,226.75,195.66
P00456,Product 456,Books,20.97,38.27
P00457,Product 457,Home,334.41,40.91
P00458,Product 458,Electronics,433.27,189.25
P00459,Product 459,Beauty,338.93,73.26
P00460,Product 460,Books,24.0,100.53
P00461,Product 461,Books,492.65,50.13
P00462,Product 462,Garden,350.17,122.87
P00463,Product 463,Clothing,457.38,116.65
P00464,Product 464,Sports,145.74,101.42
P00465,Product 465,Electronics,411.38,68.89
P00466,Product 466,Beauty,365.05,60.17
P00467,Product 467,Garden,142.0,100.72
P00468,Product 468,Electronics,476.02,63.71
P00469,Product 469,Sports,111.25,190.37
P00470,Product 470,Books,65.21,128.23
P00471,Product 471,Garden,205.59,113.02
P00472,Product 472,Beauty,270.67,23.54
P00473,Product 473,Home,391.83,86.67
P00474,Product 474,Books,403.66,99.79
P00475,Product 475,Books,182.8,174.35
P00476,Product 476,Beauty,242.74,56.45
P00477,Product 477,Home,151.59,101.95
P00478,Product 478,Electronics,420.73,90.81
P00479,Product 479,Home,109.02,81.87
P00480,Product 480,Clothing,439.71,70.15
P00481,Product 481,Electronics,494.02,117.3
P00482,Product 482,Home,367.31,83.65
P00483,Product 483,Beauty,158.74,84.78
P00484,Product 484,Garden,462.35,106.87
P00485,Product 485,Clothing,176.15,125.53
P00486,Product 486,Sports,347.51,197.84
P00487,Product 487,Toys,175.65,89.04
P00488,Product 488,Toys,154.27,91.36
P00489,Product 489,Electronics,167.35,108.47
P00490,Product 490,Garden,243.16,38.3
P00491,Product 491,Beauty,98.23,125.96
P00492,Product 492,Books,155.24,122.47
P00493,Product 493,Sports,142.21,133.54
P00494,Product 494,Beauty,462.85,118.66
P00495,Product 495,Electronics,360.14,41.56
P00496,Product 496,Electronics,86.66,188.02
P00497,Product 497,Clothing,439.3,61.41
P00498,Product 498,Beauty,10.0,59.92
P00499,Product 499,Home,225.88,99.44
P00500,Product 500,Beauty,448.36,191.4
P00501,Product 501,Toys,130.39,155.11
P00502,Product 502,Electronics,276.61,105.67
P00503,Product 503,Toys,419.78,129.56
P00504,Product 504,Home,395.09,184.04
P00505,Product 505,Home,388.84,156.38
P00506,Product 506,Clothing,370.25,8.88
P00507,Product 507,Garden,229.93,164.85
P00508,Product 508,Home,169.38,113.31
P00509,Product 509,Toys,140.06,5.13
P00510,Product 510,Electronics,267.43,118.65
P00511,Product 511,Garden,460.58,66.1
P00512,Product 512,Beauty,33.46,104.12
P00513,Product 513,Clothing,474.74,41.08
P00514,Product 514,Garden,123.46,144.73
P00515,Product 515,Electronics,96.1,133.68
P00516,Product 516,Toys,132.7,62.92
P00517,Product 517,Sports,278.63,97.94
P00518,Product 518,Clothing,97.17,36.47
P00519,Product 519,Sports,358.74,32.5
P00520,Product 520,Sports,327.21,199.44
P00521,Product 521,Toys,475.89,76.68
P00522,Product 522,Toys,65.55,42.97
P00523,Product 523,Beauty,474.91,85.15
P00524,Product 524,Electronics,182.35,68.09
P00525,Product 525,Sports,481.53,181.79
P00526,Product 526,Sports,113.81,80.56
P00527,Product 527,Home,377.73,137.62
P00528,Product 528,Sports,94.77,188.73
P00529,Product 529,Clothing,498.39,199.61
P00530,Product 530,Home,487.55,20.36
P00531,Product 531,Electronics,271.91,74.7
P00532,Product 532,Garden,400.88,14.75
P00533,Product 533,Beauty,442.06,177.12
P00534,Product 534,Beauty,363.02,20.32
P00535,Product 535,Sports,355.44,30.63
P00536,Product 536,Sports,370.52,157.46
P00537,Product 537,Garden,452.39,123.55
P00538,Product 538,Clothing,365.75,144.69
P00539,Product 539,Beauty,269.39,69.41
P00540,Product 540,Beauty,403.34,153.48
P00541,Product 541,Electronics,395.45,37.69
P00542,Product 542,Sports,35.32,131.68
P00543,Product 543,Electronics,343.88,6.74
P00544,Product 544,Home,242.65,82.86
P00545,Product 545,Electronics,29.52,19.21
P00546,Product 546,Garden,107.64,191.98
P00547,Product 547,Sports,90.35,66.5
P00548,Product 548,Electronics,42.42,186.32
P00549,Product 549,Sports,288.35,128.86
P00550,Product 550,Clothing,115.9,36.95
P00551,Product 551,Toys,217.8,6.97
P00552,Product 552,Toys,258.99,62.58
P00553,Product 553,Beauty,42.59,149.39
P00554,Product 554,Toys,384.44,58.63
P00555,Product 555,Toys,19.33,79.3
P00556,Product 556,Clothing,43.59,70.49
P00557,Product 557,Books,279.32,81.77
P00558,Product 558,Home,387.35,158.9
P00559,Product 559,Clothing,245.21,143.21
P00560,Product 560,Toys,495.37,89.52
P00561,Product 561,Toys,389.01,198.42
P00562,Product 562,Beauty,232.47,86.96
P00563,Product 563,Home,73.95,102.77
P00564,Product 564,Clothing,19.35,142.96
P00565,Product 565,Clothing,52.24,182.1
P00566,Product 566,Home,5.67,20.23
P00567,Product 567,Sports,123.93,108.01
P00568,Product 568,Home,392.04,36.66
P00569,Product 569,Home,319.06,40.13
P00570,Product 570,Beauty,289.38,53.26
P00571,Product 571,Toys,372.84,149.56
P00572,Product 572,Garden,478.2,99.57
P00573,Product 573,Home,39.45,89.66
P00574,Product 574,Books,37.37,102.15
P00575,Product 575,Clothing,72.09,135.54
P00576,Product 576,Beauty,171.05,15.53
P00577,Product 577,Garden,357.84,110.5
P00578,Product 578,Books,497.76,143.59
P00579,Product 579,Home,59.07,76.67
P00580,Product 580,Beauty,75.42,173.23
P00581,Product 581,Sports,134.92,102.01
P00582,Product 582,Home,340.51,161.69
P00583,Product 583,Beauty,156.73,88.68
P00584,Product 584,Clothing,300.77,77.87
P00585,Product 585,Home,64.85,172.5
P00586,Product 586,Garden,338.31,41.79
P00587,Product 587,Books,107.89,169.75
P00588,Product 588,Toys,457.36,102.48
P00589,Product 589,Clothing,97.89,73.79
P00590,Product 590,Sports,477.68,160.2
P00591,Product 591,Home,327.11,156.38
P00592,Product 592,Electronics,235.54,144.8
P00593,Product 593,Electronics,156.61,190.08
P00594,Product 594,Books,459.8,52.47
P00595,Product 595,Books,36.12,97.65
P00596,Product 596,Toys,186.93,150.76
P00597,Product 597,Books,186.11,71.77
P00598,Product 598,Garden,495.06,23.22
P00599,Product 599,Beauty,415.78,198.43
P00600,Product 600,Garden,85.7,164.31
P00601,Product 601,Home,311.26,163.06
P00602,Product 602,Toys,297.13,187.42
P00603,Product 603,Beauty,48.31,24.09
P00604,Product 604,Toys,438.67,27.98
P00605,Product 605,Home,443.25,61.78
P00606,Product 606,Garden,115.59,9.62
P00607,Product 607,Beauty,139.82,140.98
P00608,Product 608,Beauty,288.67,182.57
P00609,Product 609,Beauty,411.4,115.61
P00610,Product 610,Garden,406.5,130.72
P00611,Product 611,Beauty,480.39,194.56
P00612,Product 612,Clothing,36.77,147.21
P00613,Product 613,Toys,75.12,24.81
P00614,Product 614,Garden,29.15,55.48
P00615,Product 615,Books,153.35,151.72
P00616,Product 616,Beauty,238.06,113.17
P00617,Product 617,Toys,243.28,98.43
P00618,Product 618,Beauty,29.31,54.28
P00619,Product 619,Toys,307.33,189.85
P00620,Product 620,Sports,322.92,24.67
P00621,Product 621,Books,421.59,58.26
P00622,Product 622,Garden,79.81,106.71
P00623,Product 623,Beauty,345.1,147.38
P00624,Product 624,Sports,265.82,127.74
P00625,Product 625,Home,247.71,149.35
P00626,Product 626,Electronics,115.37,149.58
P00627,Product 627,Clothing,390.26,172.82
P00628,Product 628,Books,488.96,33.1
P00629,Product 629,Toys,276.1,11.21
P00630,Product 630,Garden,432.98,115.74
P00631,Product 631,Clothing,259.32,153.58
P00632,Product 632,Home,494.3,47.72
P00633,Product 633,Books,166.38,37.7
P00634,Product 634,Beauty,318.36,176.11
P00635,Product 635,Electronics,194.43,38.81
P00636,Product 636,Sports,226.53,48.81
P00637,Product 637,Electronics,16.71,98.42
P00638,Product 638,Garden,452.39,161.95
P00639,Product 639,Electronics,320.31,25.83
P00640,Product 640,Books,264.53,104.13
P00641,Product 641,Books,318.64,59.62
P00642,Product 642,Electronics,301.24,148.77
P00643,Product 643,Toys,71.75,11.59
P00644,Product 644,Garden,323.31,85.68
P00645,Product 645,Clothing,317.13,141.55
P00646,Product 646,Books,458.25,22.65
P00647,Product 647,Clothing,479.77,72.48
P00648,Product 648,Clothing,488.53,22.68
P00649,Product 649,Sports,143.99,17.07
P00650,Product 650,Home,378.1,171.06
P00651,Product 651,Toys,327.33,32.73
P00652,Product 652,Clothing,382.13,59.02
P00653,Product 653,Beauty,37.56,54.26
P00654,Product 654,Garden,464.92,27.86
P00655,Product 655,Garden,234.01,141.5
P00656,Product 656,Clothing,209.81,36.65
P00657,Product 657,Sports,301.94,135.7
P00658,Product 658,Garden,451.21,187.35
P00659,Product 659,Home,194.91,154.46
P00660,Product 660,Clothing,102.96,165.41
P00661,Product 661,Sports,448.88,119.1
