order_id,customer_id,order_date,status,channel
O0000104,C022934,2024-03-28,completed,Web
O0000105,C026529,2024-09-19,pending,Mobile
O0000106,C000558,2023-01-14,completed,Mobile
O0000107,C008385,2024-09-15,completed,Partner
O0000108,C016844,2023-07-29,completed,Store
O0000109,C044803,2023-06-09,completed,Mobile
O0000110,C038175,2023-05-06,pending,Mobile
O0000111,C022514,2023-05-14,pending,Mobile
O0000112,C003264,2024-04-11,completed,Store
O0000113,C001699,2023-05-11,completed,Web
O0000114,C027999,2024-08-21,completed,Mobile
O0000115,C011026,2024-08-07,refunded,Mobile
O0000116,C008962,2023-01-29,completed,Web
O0000117,C022829,2023-01-12,completed,Store
O0000118,C013089,2024-04-15,pending,Store
O0000119,C041437,2023-03-06,pending,Store
O0000120,C027808,2023-02-09,completed,Web
O0000121,C043200,2024-03-31,completed,Partner
O0000122,C007042,2024-06-21,completed,Partner
O0000123,C043873,2023-01-28,completed,Web
O0000124,C005473,2023-03-22,pending,Mobile
O0000125,C041355,2023-12-23,completed,Mobile
O0000126,C005124,2024-10-19,pending,Mobile
O0000127,C010590,2024-11-03,pending,Partner
O0000128,C024584,2024-04-10,refunded,Mobile
O0000129,C035753,2024-05-20,completed,Store
O0000130,C038023,2023-08-13,completed,Mobile
O0000131,C006720,2023-08-31,completed,Store
O0000132,C042359,2023-02-12,refunded,Store
O0000133,C022716,2023-02-25,pending,Mobile
O0000134,C033831,2024-11-21,completed,Web
O0000135,C011931,2024-01-26,completed,Partner
O0000136,C024731,2024-04-15,refunded,Partner
O0000137,C040317,2023-08-27,refunded,Mobile
O0000138,C030676,2024-10-18,pending,Partner
O0000139,C035181,2024-06-10,completed,Web
O0000140,C018646,2024-09-25,completed,Store
O0000141,C030049,2024-11-01,completed,Web
O0000142,C000372,2024-05-18,refunded,Partner
O0000143,C000862,2024-09-16,pending,Web
O0000144,C011879,2023-11-25,pending,Web
O0000145,C011458,2023-04-13,completed,Web
O0000146,C016406,2023-12-23,completed,Store
O0000147,C021842,2024-04-07,completed,Store
O0000148,C004757,2024-07-21,completed,Store
O0000149,C002588,2023-09-19,completed,Store
O0000150,C036209,2024-11-08,completed,Store
O0000151,C013022,2023-07-02,pending,Mobile
O0000152,C009902,2023-03-31,refunded,Web
O0000153,C032293,2023-01-15,refunded,Web
O0000154,C004942,2023-12-11,completed,Mobile
O0000155,C034350,2023-05-21,completed,Web
O0000156,C007286,2023-10-19,completed,Partner
O0000157,C026321,2023-07-26,completed,Web
O0000158,C014081,2023-06-10,completed,Web
O0000159,C032979,2023-05-13,completed,Partner
O0000160,C003774,2023-02-19,completed,Mobile
O0000161,C026208,2023-05-30,completed,Web
O0000162,C024531,2023-02-26,completed,Partner
O0000163,C044640,2024-01-20,completed,Store
O0000164,C014854,2023-07-08,completed,Partner
O0000165,C009133,2023-04-30,completed,Mobile
O0000166,C016448,2023-04-29,completed,Mobile
O0000167,C048667,2024-01-11,refunded,Store
O0000168,C033906,2024-11-09,refunded,Web
O0000169,C025566,2023-06-05,completed,Mobile
O0000170,C014865,2023-01-07,completed,Partner
O0000171,C013756,2024-07-21,completed,Mobile
O0000172,C022516,2024-04-15,completed,Mobile
O0000173,C014147,2024-01-31,completed,Store
O0000174,C017993,2024-09-02,completed,Partner
O0000175,C047588,2023-01-20,completed,Web
O0000176,C048360,2024-04-14,completed,Mobile
O0000177,C044871,2023-03-19,pending,Store
O0000178,C005859,2023-08-07,completed,Store
O0000179,C013028,2023-02-07,completed,Mobile
O0000180,C026567,2024-02-25,refunded,Mobile
O0000181,C012190,2024-06-13,pending,Mobile
O0000182,C035695,2023-01-23,completed,Partner
O0000183,C002113,2024-01-23,refunded,Store
O0000184,C044336,2023-12-04,completed,Partner
O0000185,C016366,2023-12-25,pending,Partner
O0000186,C020328,2023-07-31,completed,Web
O0000187,C012847,2023-06-26,completed,Store
O0000188,C032791,2024-07-04,completed,Store
O0000189,C042973,2024-08-15,completed,Partner
O0000190,C010177,2023-10-28,completed,Mobile
O0000191,C023848,2023-01-16,completed,Store
O0000192,C024496,2023-01-31,completed,Partner
O0000193,C008238,2023-12-21,pending,Store
O0000194,C044094,2023-09-03,refunded,Mobile
O0000195,C027724,2023-03-27,pending,Partner
O0000196,C016303,2023-12-30,completed,Store
O0000197,C022876,2024-08-01,completed,Partner
O0000198,C022102,2023-09-07,completed,Store
O0000199,C039270,2024-03-30,completed,Web
O0000200,C019877,2023-12-21,completed,Partner
O0000201,C011318,2023-02-10,completed,Store
O0000202,C012005,2024-07-01,completed,Store
O0000203,C016143,2023-10-18,completed,Partner
O0000204,C001017,2023-07-29,refunded,Mobile
O0000205,C016330,2023-10-29,completed,Store
O0000206,C048214,2024-02-21,pending,Store
O0000207,C013980,2023-01-20,completed,Store
O0000208,C014973,2023-09-14,completed,Store
O0000209,C010542,2023-07-22,completed,Web
O0000210,C035919,2023-07-23,pending,Mobile
O0000211,C012238,2024-01-16,completed,Store
O0000212,C020069,2023-07-25,refunded,Partner
O0000213,C005008,2024-05-10,completed,Mobile
O0000214,C043169,2023-03-31,completed,Web
O0000215,C008800,2023-01-14,completed,Web
O0000216,C012759,2023-06-21,refunded,Partner
O0000217,C005205,2024-10-22,completed,Partner
O0000218,C034723,2024-10-01,pending,Mobile
O0000219,C048062,2024-08-12,completed,Store
O0000220,C016787,2023-10-14,refunded,Store
O0000221,C037941,2024-11-03,completed,Store
O0000222,C017270,2023-03-26,completed,Store
O0000223,C018379,2023-02-11,refunded,Store
O0000224,C022137,2023-11-14,completed,Partner
O0000225,C048868,2023-06-19,completed,Store
O0000226,C001801,2023-03-16,refunded,Web
O0000227,C019404,2023-08-21,completed,Partner
O0000228,C023270,2023-04-24,completed,Mobile
O0000229,C006733,2023-04-30,completed,Partner
O0000230,C036495,2024-01-23,completed,Web
O0000231,C006345,2023-07-03,completed,Partner
O0000232,C047047,2024-04-22,pending,Web
O0000233,C002826,2024-05-31,pending,Mobile
O0000234,C005204,2024-05-14,completed,Web
O0000235,C007313,2023-06-29,completed,Store
O0000236,C004744,2024-08-03,completed,Mobile
O0000237,C022663,2024-01-17,pending,Mobile
O0000238,C044252,2024-10-10,refunded,Mobile
O0000239,C044962,2023-05-06,completed,Mobile
O0000240,C044876,2024-05-14,refunded,Partner
O0000241,C016124,2023-12-05,completed,Mobile
O0000242,C001666,2024-11-21,completed,Store
O0000243,C003347,2023-07-11,pending,Web
O0000244,C012322,2024-10-28,completed,Web
O0000245,C035274,2023-04-28,completed,Partner
O0000246,C015150,2024-05-31,completed,Store
O0000247,C030776,2024-04-11,pending,Store
O0000248,C046573,2024-11-08,refunded,Store
O0000249,C047996,2023-01-30,completed,Web
O0000250,C005381,2024-10-11,completed,Mobile
O0000251,C038397,2024-01-23,pending,Partner
O0000252,C030082,2024-06-05,completed,Web
O0000253,C021421,2024-11-30,pending,Mobile
O0000254,C013896,2023-07-16,completed,Store
O0000255,C021726,2023-01-01,refunded,Partner
O0000256,C026638,2024-03-01,refunded,Mobile
O0000257,C024750,2024-03-08,refunded,Mobile
O0000258,C025657,2023-01-18,completed,Partner
O0000259,C046974,2023-08-29,completed,Mobile
O0000260,C005737,2023-05-21,pending,Mobile
O0000261,C000817,2023-07-09,pending,Mobile
O0000262,C017069,2024-02-15,completed,Mobile
O0000263,C047465,2024-06-04,completed,Web
O0000264,C026128,2023-07-13,refunded,Partner
O0000265,C040802,2023-10-11,refunded,Partner
O0000266,C028379,2024-10-09,completed,Web
O0000267,C002605,2024-06-20,completed,Web
O0000268,C024231,2023-06-09,completed,Store
O0000269,C048073,2023-05-02,completed,Store
O0000270,C027429,2023-10-13,completed,Mobile
O0000271,C005923,2023-12-26,refunded,Store
O0000272,C033167,2024-01-29,completed,Partner
O0000273,C004560,2024-09-01,pending,Partner
O0000274,C044082,2023-09-19,refunded,Store
O0000275,C001208,2024-05-28,completed,Web
O0000276,C044031,2024-04-09,completed,Mobile
O0000277,C037522,2023-02-01,completed,Mobile
O0000278,C032936,2024-09-26,completed,Mobile
O0000279,C000271,2024-09-05,completed,Store
O0000280,C015282,2023-12-27,refunded,Mobile
O0000281,C002393,2024-01-30,completed,Partner
O0000282,C014721,2023-04-18,completed,Web
O0000283,C019360,2023-05-31,completed,Mobile
O0000284,C004752,2024-10-19,completed,Web
O0000285,C008232,2024-05-24,completed,Store
O0000286,C000163,2024-05-19,completed,Mobile
O0000287,C006582,2023-04-08,refunded,Store
O0000288,C021563,2023-03-21,completed,Store
O0000289,C038022,2023-11-19,completed,Mobile
O0000290,C027920,2023-01-08,refunded,Partner
O0000291,C009281,2023-12-20,completed,Partner
O0000292,C044998,2023-09-14,refunded,Store
O0000293,C029677,2024-06-21,refunded,Partner
O0000294,C014106,2023-06-19,completed,Partner
O0000295,C042048,2024-06-10,completed,Web
O0000296,C032932,2023-12-20,refunded,Mobile
O0000297,C030160,2023-12-02,pending,Web
O0000298,C006878,2023-02-26,completed,Store
O0000299,C022146,2024-06-05,completed,Store
O0000300,C027505,2024-08-07,completed,Web
O0000301,C011440,2023-11-17,pending,Mobile
O0000302,C027235,2023-12-15,completed,Partner
O0000303,C018174,2023-02-10,completed,Web
O0000304,C045822,2023-07-07,refunded,Web
O0000305,C043461,2023-05-19,completed,Web
O0000306,C018018,2024-01-07,pending,Partner
O0000307,C020551,2023-03-05,completed,Partner
O0000308,C047256,2023-04-14,refunded,Mobile
O0000309,C038301,2024-03-09,completed,Mobile
O0000310,C008204,2024-05-06,completed,Web
O0000311,C027885,2023-02-16,refunded,Partner
O0000312,C038248,2023-02-11,refunded,Store
O0000313,C034050,2023-02-27,completed,Web
O0000314,C045096,2023-04-19,completed,Partner
O0000315,C027083,2023-07-05,completed,Mobile
O0000316,C030566,2024-02-27,completed,Web
O0000317,C045066,2024-08-09,completed,Mobile
O0000318,C025375,2024-08-15,completed,Mobile
O0000319,C043467,2024-09-18,completed,Mobile
O0000320,C020149,2023-05-22,pending,Store
O0000321,C042237,2024-07-12,refunded,Mobile
O0000322,C018054,2023-11-08,pending,Web
O0000323,C025865,2023-07-21,refunded,Web
O0000324,C022619,2023-01-21,pending,Web
O0000325,C005614,2024-08-13,completed,Web
O0000326,C011586,2023-01-20,pending,Partner
O0000327,C042806,2024-07-02,completed,Store
O0000328,C044041,2024-06-05,completed,Mobile
O0000329,C000258,2024-06-03,completed,Store
O0000330,C040945,2023-04-21,completed,Mobile
O0000331,C029652,2023-03-31,pending,Web
O0000332,C041416,2023-04-23,completed,Store
O0000333,C007471,2024-09-14,pending,Web
O0000334,C012528,2024-11-16,pending,Web
O0000335,C045961,2023-02-18,completed,Store
O0000336,C017270,2023-09-19,completed,Web
O0000337,C000088,2024-04-21,pending,Store
O0000338,C001128,2023-06-26,completed,Store
O0000339,C008831,2024-02-24,pending,Web
O0000340,C018586,2023-09-23,completed,Web
O0000341,C005141,2023-12-23,completed,Web
O0000342,C008439,2023-06-24,refunded,Web
O0000343,C031105,2024-02-10,completed,Partner
O0000344,C017027,2023-02-26,completed,Store
O0000345,C026550,2023-06-28,completed,Store
O0000346,C031935,2024-10-25,completed,Web
O0000347,C002331,2024-07-09,completed,Store
O0000348,C036612,2023-12-17,completed,Partner
O0000349,C040633,2023-08-18,completed,Mobile
O0000350,C013251,2023-09-20,completed,Partner
O0000351,C033802,2023-06-20,refunded,Mobile
O0000352,C033970,2024-02-15,completed,Partner
O0000353,C027739,2023-06-20,refunded,Mobile
O0000354,C035131,2024-11-04,completed,Web
O0000355,C045280,2023-06-24,pending,Web
O0000356,C035202,2024-02-07,completed,Store
O0000357,C008432,2023-04-16,refunded,Store
O0000358,C031583,2023-05-11,refunded,Partner
O0000359,C036523,2023-03-29,completed,Web
O0000360,C020888,2023-06-17,completed,Web
O0000361,C035759,2023-04-24,refunded,Store
O0000362,C024800,2024-06-03,completed,Mobile
O0000363,C036244,2023-09-27,refunded,Store
O0000364,C000364,2023-06-12,refunded,Mobile
O0000365,C011134,2024-05-27,completed,Web
O0000366,C032204,2023-03-02,completed,Store
O0000367,C012529,2024-09-25,completed,Web
O0000368,C042387,2024-08-23,refunded,Partner
O0000369,C013275,2023-08-24,completed,Web
O0000370,C013564,2024-09-02,refunded,Partner
O0000371,C049777,2024-11-12,refunded,Mobile
O0000372,C013040,2024-10-05,completed,Partner
O0000373,C045013,2023-05-05,completed,Store
O0000374,C010580,2023-05-27,refunded,Web
O0000375,C024050,2023-10-08,completed,Web
O0000376,C036046,2024-09-12,completed,Mobile
O0000377,C018537,2024-05-24,completed,Partner
O0000378,C018073,2024-10-05,completed,Partner
O0000379,C037287,2023-06-27,completed,Store
O0000380,C046589,2024-11-14,completed,Mobile
O0000381,C023971,2023-02-08,completed,Store
O0000382,C021537,2023-02-08,completed,Web
O0000383,C032395,2024-05-09,completed,Partner
O0000384,C029507,2024-07-28,completed,Web
O0000385,C034403,2024-09-04,completed,Mobile
O0000386,C033837,2023-08-18,completed,Web
O0000387,C030885,2024-02-28,completed,Partner
O0000388,C013931,2023-06-12,completed,Web
O0000389,C021462,2023-03-27,refunded,Store
O0000390,C027961,2023-04-13,pending,Mobile
O0000391,C023207,2023-02-14,completed,Store
O0000392,C048524,2023-05-21,pending,Mobile
O0000393,C028339,2024-01-14,completed,Partner
O0000394,C039779,2024-06-19,completed,Web
O0000395,C020686,2024-01-08,completed,Store
O0000396,C012221,2024-11-30,pending,Store
O0000397,C047049,2024-01-08,completed,Store
O0000398,C006970,2023-10-13,completed,Partner
O0000399,C028407,2023-05-25,refunded,Partner
O0000400,C001379,2023-07-05,completed,Web
O0000401,C011174,2023-11-27,completed,Partner
O0000402,C045829,2024-11-10,completed,Web
O0000403,C021992,2024-11-03,completed,Store
O0000404,C008062,2023-04-13,completed,Store
O0000405,C026592,2024-11-05,completed,Mobile
O0000406,C008995,2023-06-04,refunded,Partner
O0000407,C048346,2024-03-26,completed,Store
O0000408,C021779,2023-11-18,completed,Store
O0000409,C042797,2023-12-24,completed,Store
O0000410,C000453,2023-04-04,completed,Store
O0000411,C032401,2023-08-12,completed,Store
O0000412,C045068,2023-06-18,refunded,Web
O0000413,C018725,2023-05-23,pending,Web
O0000414,C004712,2024-05-28,refunded,Partner
O0000415,C006651,2023-05-18,pending,Partner
O0000416,C005194,2024-03-04,completed,Mobile
O0000417,C018459,2023-04-18,completed,Mobile
O0000418,C015233,2024-08-29,completed,Store
O0000419,C009233,2023-09-15,completed,Partner
O0000420,C043175,2023-10-07,completed,Store
O0000421,C039307,2023-11-20,completed,Store
O0000422,C020191,2023-04-16,completed,Partner
O0000423,C016788,2023-10-04,pending,Partner
O0000424,C023426,2024-03-05,completed,Web
O0000425,C025130,2023-08-25,refunded,Partner
O0000426,C042297,2023-05-21,pending,Partner
O0000427,C018385,2023-05-12,completed,Partner
O0000428,C029962,2023-03-12,completed,Web
O0000429,C016270,2023-12-16,refunded,Partner
O0000430,C026189,2024-02-24,refunded,Mobile
O0000431,C039374,2024-04-19,completed,Mobile
O0000432,C007011,2024-02-15,completed,Partner
O0000433,C048235,2023-07-18,refunded,Web
O0000434,C007561,2023-07-03,pending,Mobile
O0000435,C020793,2023-07-20,completed,Mobile
O0000436,C030087,2024-03-10,completed,Store
O0000437,C015190,2024-04-02,completed,Mobile
O0000438,C009632,2023-02-14,completed,Partner
O0000439,C030483,2023-02-24,completed,Mobile
O0000440,C016182,2024-10-30,completed,Mobile
O0000441,C017646,2024-06-01,completed,Store
O0000442,C022998,2023-11-06,completed,Web
O0000443,C016880,2024-05-17,completed,Partner
O0000444,C019729,2023-03-03,pending,Store
O0000445,C021049,2023-02-28,completed,Mobile
O0000446,C011235,2024-10-24,pending,Mobile
O0000447,C033687,2024-04-08,pending,Web
O0000448,C045516,2024-04-10,refunded,Web
O0000449,C043425,2024-08-09,completed,Store
O0000450,C014101,2024-01-25,refunded,Store
O0000451,C016776,2023-06-14,completed,Partner
O0000452,C039840,2023-08-13,completed,Store
O0000453,C005239,2024-03-10,pending,Mobile
O0000454,C004264,2023-03-05,completed,Partner
O0000455,C047551,2024-07-03,completed,Web
O0000456,C001016,2023-03-12,pending,Web
O0000457,C010772,2024-08-01,refunded,Partner
O0000458,C021423,2024-04-29,completed,Web
O0000459,C045833,2023-12-31,completed,Mobile
O0000460,C013203,2023-11-20,pending,Mobile
O0000461,C041797,2023-03-07,refunded,Store
O0000462,C038201,2023-08-30,pending,Partner
O0000463,C032116,2024-09-15,completed,Partner
O0000464,C027584,2023-08-17,completed,Mobile
O0000465,C037406,2023-06-26,pending,Web
O0000466,C015275,2024-04-21,completed,Web
O0000467,C028237,2024-06-08,completed,Web
O0000468,C024105,2023-04-11,completed,Partner
O0000469,C017561,2024-10-02,completed,Partner
O0000470,C044642,2024-05-04,completed,Web
O0000471,C016255,2023-09-10,completed,Store
O0000472,C044338,2023-06-01,refunded,Partner
O0000473,C025905,2023-11-09,pending,Partner
O0000474,C010638,2023-05-09,completed,Store
O0000475,C040240,2023-10-31,refunded,Store
O0000476,C040960,2023-06-25,refunded,Web
O0000477,C004825,2023-09-10,completed,Store
O0000478,C023766,2024-01-29,completed,Store
O0000479,C032808,2023-08-07,completed,Store
O0000480,C041322,2023-05-08,completed,Web
O0000481,C006541,2024-10-05,completed,Mobile
O0000482,C005637,2023-09-03,pending,Web
O0000483,C032982,2023-02-10,completed,Store
O0000484,C027661,2024-08-07,completed,Store
O0000485,C019686,2023-05-19,pending,Web
O0000486,C012484,2023-11-07,refunded,Partner
O0000487,C048092,2023-11-04,completed,Partner
O0000488,C046884,2023-01-16,completed,Web
O0000489,C047713,2023-01-09,completed,Partner
O0000490,C043414,2024-07-16,completed,Partner
O0000491,C044709,2023-03-22,pending,Mobile
O0000492,C000259,2023-07-18,completed,Mobile
O0000493,C031944,2024-03-14,completed,Store
O0000494,C005217,2023-04-26,completed,Web
O0000495,C035551,2023-09-09,refunded,Web
O0000496,C033253,2023-09-17,refunded,Web
O0000497,C038169,2024-10-18,refunded,Mobile
O0000498,C018203,2024-02-20,pending,Partner
O0000499,C008061,2023-10-07,refunded,Store
O0000500,C040372,2023-11-18,completed,Mobile
O0000501,C006600,2023-07-25,pending,Partner
O0000502,C007668,2023-03-12,refunded,Store
O0000503,C046783,2023-07-08,pending,Web
O0000504,C003188,2024-03-20,completed,Web
O0000505,C009717,2024-11-22,completed,Mobile
O0000506,C044421,2024-11-14,pending,Store
O0000507,C001973,2024-06-05,completed,Mobile
O0000508,C013970,2023-06-02,refunded,Web
O0000509,C049467,2023-01-28,completed,Web
O0000510,C001434,2023-03-21,refunded,Web
O0000511,C012827,2024-01-05,pending,Mobile
O0000512,C020718,2024-04-16,completed,Web
O0000513,C044110,2023-05-11,refunded,Store
O0000514,C011806,2024-08-02,pending,Mobile
O0000515,C034023,2023-07-01,completed,Partner
O0000516,C007539,2024-03-04,pending,Partner
O0000517,C049638,2024-10-25,completed,Web
O0000518,C030307,2023-05-08,completed,Partner
O0000519,C017276,2024-01-14,pending,Store
O0000520,C037842,2024-01-25,refunded,Partner
O0000521,C043748,2023-02-22,completed,Partner
O0000522,C031027,2024-10-27,completed,Partner
O0000523,C005817,2023-04-07,completed,Web
O0000524,C042115,2024-02-29,completed,Store
O0000525,C006056,2023-05-28,completed,Partner
O0000526,C039456,2024-01-07,pending,Mobile
O0000527,C001753,2024-04-11,completed,Store
O0000528,C006908,2024-01-27,pending,Partner
O0000529,C007508,2023-02-26,refunded,Mobile
O0000530,C049007,2024-05-11,completed,Mobile
O0000531,C033339,2024-10-15,completed,Partner
O0000532,C026441,2024-09-08,completed,Mobile
O0000533,C008404,2023-02-16,pending,Partner
O0000534,C028056,2024-09-28,completed,Store
O0000535,C048779,2024-10-06,pending,Partner
O0000536,C001828,2023-08-22,pending,Web
O0000537,C015663,2023-04-25,pending,Partner
O0000538,C027348,2024-02-11,completed,Partner
O0000539,C015347,2024-07-27,completed,Partner
O0000540,C001015,2023-12-05,pending,Web
O0000541,C028800,2023-08-12,pending,Web
O0000542,C034291,2023-05-08,completed,Mobile
O0000543,C005515,2023-05-25,refunded,Web
O0000544,C029793,2024-04-29,refunded,Partner
O0000545,C017406,2023-11-30,completed,Web
O0000546,C002704,2024-05-29,refunded,Web
O0000547,C041360,2023-04-07,pending,Mobile
O0000548,C018785,2023-05-31,completed,Partner
O0000549,C047440,2024-07-28,pending,Mobile
O0000550,C041569,2024-09-26,completed,Store
O0000551,C001400,2024-08-20,pending,Store
O0000552,C014861,2023-08-08,completed,Store
O0000553,C047349,2023-01-12,pending,Partner
O0000554,C017720,2024-11-28,completed,Store
O0000555,C015319,2023-12-20,completed,Partner
O0000556,C019413,2023-06-14,pending,Mobile
O0000557,C015622,2024-02-04,completed,Mobile
O0000558,C008821,2024-07-17,pending,Store
O0000559,C007012,2023-05-31,completed,Mobile
O0000560,C042365,2024-03-27,refunded,Mobile
O0000561,C013642,2023-10-13,completed,Mobile
O0000562,C016167,2024-07-10,refunded,Web
O0000563,C048523,2023-05-18,pending,Store
O0000564,C032918,2024-04-08,completed,Partner
O0000565,C012514,2024-09-18,pending,Partner
O0000566,C013521,2023-11-19,pending,Web
O0000567,C017502,2023-04-06,completed,Web
O0000568,C006275,2023-09-29,completed,Store
O0000569,C039045,2023-10-28,refunded,Partner
O0000570,C047223,2023-11-08,pending,Mobile
O0000571,C005423,2023-08-23,completed,Store
O0000572,C034396,2023-07-26,pending,Mobile
O0000573,C043760,2024-07-15,completed,Partner
O0000574,C000305,2023-08-02,completed,Store
O0000575,C032770,2023-05-25,completed,Web
O0000576,C021697,2023-09-19,pending,Partner
O0000577,C038957,2023-01-31,completed,Store
O0000578,C046380,2023-07-28,completed,Mobile
O0000579,C010593,2023-10-02,completed,Web
O0000580,C034415,2024-10-31,completed,Mobile
O0000581,C033255,2023-03-22,completed,Mobile
O0000582,C017954,2023-02-21,completed,Web
O0000583,C014906,2024-05-01,completed,Mobile
O0000584,C049178,2023-11-13,pending,Mobile
O0000585,C028871,2023-12-03,pending,Web
O0000586,C016984,2024-03-26,completed,Web
O0000587,C019357,2024-09-26,completed,Web
O0000588,C045030,2024-04-08,completed,Store
O0000589,C002855,2023-11-02,refunded,Partner
O0000590,C005800,2023-02-23,completed,Mobile
O0000591,C001254,2023-03-05,completed,Web
O0000592,C038334,2023-04-08,completed,Partner
O0000593,C043019,2023-10-16,refunded,Web
O0000594,C046912,2023-12-26,completed,Web
O0000595,C002412,2024-10-09,completed,Web
O0000596,C042395,2024-09-27,completed,Partner
O0000597,C029158,2024-09-23,refunded,Web
O0000598,C018414,2023-03-19,completed,Partner
O0000599,C010991,2024-09-02,completed,Store
O0000600,C045564,2024-03-01,completed,Store
O0000601,C032624,2023-06-07,completed,Mobile
O0000602,C032822,2023-05-04,refunded,Partner
O0000603,C021968,2024-04-01,pending,Web
O0000604,C009798,2023-06-25,completed,Web
O0000605,C005447,2023-07-06,completed,Partner
O0000606,C018602,2023-01-07,pending,Partner
O0000607,C008437,2024-01-16,completed,Mobile
O0000608,C021106,2024-10-06,completed,Partner
O0000609,C022960,2024-11-14,completed,Partner
