payment_id,order_id,amount,method,payment_date
PAY00000076,O0000050,312.52,credit_card,2024-11-21
PAY00000077,O0000050,691.19,voucher,2024-07-05
PAY00000078,O0000051,1804.09,pix,2023-10-09
PAY00000079,O0000051,464.51,boleto,2023-07-04
PAY00000080,O0000052,1071.83,debit_card,2024-06-29
PAY00000081,O0000053,728.39,voucher,2023-06-16
PAY00000082,O0000053,114.48,voucher,2024-07-17
PAY00000083,O0000054,1748.98,voucher,2023-09-13
PAY00000084,O0000055,1724.34,debit_card,2024-10-28
PAY00000085,O0000055,1184.49,debit_card,2023-01-26
PAY00000086,O0000056,292.21,voucher,2024-01-25
PAY00000087,O0000056,1501.79,voucher,2023-09-09
PAY00000088,O0000057,188.18,pix,2024-05-12
PAY00000089,O0000058,1358.54,credit_card,2023-10-27
PAY00000090,O0000058,1257.95,pix,2024-10-10
PAY00000091,O0000059,209.7,debit_card,2023-10-28
PAY00000092,O0000059,1778.67,voucher,2024-08-07
PAY00000093,O0000060,1867.78,credit_card,2024-01-10
PAY00000094,O0000061,114.27,voucher,2023-12-30
PAY00000095,O0000062,1439.2,voucher,2024-11-07
PAY00000096,O0000062,1583.14,boleto,2023-08-31
PAY00000097,O0000063,282.13,voucher,2024-05-10
PAY00000098,O0000063,446.31,voucher,2023-03-26
PAY00000099,O0000064,1448.92,voucher,2023-11-22
PAY00000100,O0000064,1677.72,credit_card,2023-07-22
PAY00000101,O0000065,1467.67,pix,2024-04-12
PAY00000102,O0000065,435.41,boleto,2024-07-03
PAY00000103,O0000066,48.81,debit_card,2024-02-14
PAY00000104,O0000066,196.97,boleto,2023-02-09
PAY00000105,O0000067,878.88,debit_card,2024-09-08
PAY00000106,O0000067,676.9,pix,2023-04-21
PAY00000107,O0000068,1337.42,credit_card,2024-03-31
PAY00000108,O0000068,741.07,voucher,2024-04-05
PAY00000109,O0000069,1989.51,boleto,2023-06-16
PAY00000110,O0000070,855.5,voucher,2023-06-24
PAY00000111,O0000070,1913.88,debit_card,2023-09-21
PAY00000112,O0000071,602.15,boleto,2023-03-20
PAY00000113,O0000072,1648.44,pix,2023-02-25
PAY00000114,O0000073,1355.07,pix,2023-03-10
PAY00000115,O0000074,1300.84,debit_card,2024-05-04
PAY00000116,O0000074,862.85,debit_card,2023-11-20
PAY00000117,O0000075,1134.65,debit_card,2024-09-15
PAY00000118,O0000076,588.2,credit_card,2023-10-08
PAY00000119,O0000076,1569.39,credit_card,2024-01-27
PAY00000120,O0000077,1196.14,pix,2024-07-31
PAY00000121,O0000078,1204.89,pix,2023-11-17
PAY00000122,O0000079,467.35,credit_card,2024-08-05
PAY00000123,O0000079,1331.93,boleto,2023-06-14
PAY00000124,O0000080,1480.3,credit_card,2024-01-19
PAY00000125,O0000080,760.5,voucher,2023-04-01
PAY00000126,O0000081,1280.7,boleto,2024-05-25
PAY00000127,O0000082,107.29,boleto,2023-08-26
PAY00000128,O0000082,529.39,pix,2023-08-19
PAY00000129,O0000083,1487.09,pix,2024-10-10
PAY00000130,O0000083,1859.65,debit_card,2023-05-29
PAY00000131,O0000084,1333.38,credit_card,2024-06-27
PAY00000132,O0000084,1814.96,boleto,2023-09-19
PAY00000133,O0000085,1250.98,voucher,2023-09-03
PAY00000134,O0000085,248.06,debit_card,2023-11-17
PAY00000135,O0000086,428.1,credit_card,2024-08-07
PAY00000136,O0000086,1545.65,voucher,2024-11-06
PAY00000137,O0000087,144.02,debit_card,2023-06-21
PAY00000138,O0000087,1099.44,credit_card,2023-06-03
PAY00000139,O0000088,126.5,pix,2024-07-14
PAY00000140,O0000088,322.98,pix,2023-09-09
PAY00000141,O0000089,1629.28,voucher,2023-09-26
PAY00000142,O0000090,657.96,debit_card,2023-10-29
PAY00000143,O0000091,453.84,credit_card,2023-12-19
PAY00000144,O0000092,212.95,pix,2023-04-24
PAY00000145,O0000092,343.85,pix,2023-08-27
PAY00000146,O0000093,1020.13,voucher,2024-09-13
PAY00000147,O0000093,571.12,debit_card,2023-04-25
PAY00000148,O0000094,687.77,boleto,2024-02-20
PAY00000149,O0000094,1660.17,debit_card,2023-07-16
PAY00000150,O0000095,789.12,boleto,2024-07-05
PAY00000151,O0000096,1020.66,boleto,2023-07-02
PAY00000152,O0000097,1765.72,credit_card,2024-05-28
PAY00000153,O0000097,939.04,debit_card,2024-04-15
PAY00000154,O0000098,1446.78,debit_card,2023-05-06
PAY00000155,O0000098,783.07,credit_card,2024-03-31
PAY00000156,O0000099,257.29,boleto,2023-01-16
PAY00000157,O0000100,146.7,credit_card,2024-09-08
PAY00000158,O0000100,778.64,credit_card,2023-07-31
PAY00000159,O0000101,481.23,credit_card,2023-06-10
PAY00000160,O0000101,752.72,voucher,2023-11-15
PAY00000161,O0000102,1646.8,voucher,2024-03-06
PAY00000162,O0000103,1069.39,pix,2024-07-09
PAY00000163,O0000104,774.82,pix,2023-01-30
PAY00000164,O0000105,405.96,boleto,2024-04-13
PAY00000165,O0000106,243.39,debit_card,2024-08-05
PAY00000166,O0000107,976.94,boleto,2024-10-22
PAY00000167,O0000108,1558.62,debit_card,2024-05-07
PAY00000168,O0000108,534.46,boleto,2024-06-16
PAY00000169,O0000109,351.97,credit_card,2023-08-06
PAY00000170,O0000109,1043.15,boleto,2024-06-28
PAY00000171,O0000110,231.83,voucher,2023-07-15
PAY00000172,O0000111,561.78,boleto,2023-09-07
PAY00000173,O0000111,1269.52,voucher,2024-08-19
PAY00000174,O0000112,870.17,boleto,2024-06-17
PAY00000175,O0000112,1634.22,debit_card,2023-02-20
PAY00000176,O0000113,1194.17,credit_card,2024-07-14
PAY00000177,O0000114,367.9,pix,2023-02-11
PAY00000178,O0000114,921.47,boleto,2023-10-19
PAY00000179,O0000115,14.49,pix,2023-03-06
PAY00000180,O0000116,1037.32,boleto,2023-10-03
PAY00000181,O0000116,1646.1,pix,2024-11-08
PAY00000182,O0000117,1652.06,credit_card,2024-12-01
PAY00000183,O0000117,1337.32,pix,2024-07-05
PAY00000184,O0000118,903.62,voucher,2024-10-10
PAY00000185,O0000118,460.7,pix,2024-11-21
PAY00000186,O0000119,1457.79,credit_card,2023-11-24
PAY00000187,O0000120,1195.25,voucher,2023-05-04
PAY00000188,O0000120,1107.29,debit_card,2024-11-26
PAY00000189,O0000121,955.75,pix,2023-01-19
PAY00000190,O0000122,297.57,pix,2024-07-31
PAY00000191,O0000123,1796.0,voucher,2024-04-24
PAY00000192,O0000123,579.01,voucher,2024-11-23
PAY00000193,O0000124,1821.56,boleto,2023-09-17
PAY00000194,O0000124,594.4,pix,2024-02-23
PAY00000195,O0000125,1314.83,boleto,2024-10-27
PAY00000196,O0000125,1220.97,pix,2023-07-10
PAY00000197,O0000126,63.96,debit_card,2024-10-24
PAY00000198,O0000126,719.99,voucher,2024-05-19
PAY00000199,O0000127,938.41,credit_card,2024-04-21
PAY00000200,O0000128,1528.58,credit_card,2024-04-23
PAY00000201,O0000129,1959.77,debit_card,2023-09-22
PAY00000202,O0000129,1772.54,debit_card,2024-06-21
PAY00000203,O0000130,1647.83,boleto,2023-10-13
PAY00000204,O0000130,1590.0,voucher,2023-06-25
PAY00000205,O0000131,408.99,credit_card,2023-09-23
PAY00000206,O0000131,1983.3,pix,2024-01-28
PAY00000207,O0000132,507.45,pix,2023-11-27
PAY00000208,O0000133,544.88,boleto,2023-12-19
PAY00000209,O0000133,1806.04,voucher,2023-01-21
PAY00000210,O0000134,1261.51,boleto,2024-04-28
PAY00000211,O0000134,741.95,voucher,2024-05-20
PAY00000212,O0000135,70.16,voucher,2024-05-28
PAY00000213,O0000136,252.62,pix,2024-11-09
PAY00000214,O0000136,776.28,voucher,2024-01-26
PAY00000215,O0000137,1120.57,pix,2024-03-22
PAY00000216,O0000138,267.34,pix,2024-04-05
PAY00000217,O0000139,707.89,voucher,2023-07-24
PAY00000218,O0000140,1805.76,pix,2024-09-16
PAY00000219,O0000141,1013.11,credit_card,2024-03-02
PAY00000220,O0000141,816.99,pix,2023-07-23
PAY00000221,O0000142,837.0,credit_card,2023-08-14
PAY00000222,O0000142,1596.55,voucher,2023-02-17
PAY00000223,O0000143,1946.5,boleto,2023-10-05
PAY00000224,O0000144,1890.04,credit_card,2024-05-03
PAY00000225,O0000144,115.86,pix,2024-09-08
PAY00000226,O0000145,1727.58,credit_card,2024-01-01
PAY00000227,O0000145,1460.98,debit_card,2023-01-27
PAY00000228,O0000146,940.3,debit_card,2023-02-13
PAY00000229,O0000147,1596.32,pix,2023-11-15
PAY00000230,O0000147,802.77,pix,2023-08-10
PAY00000231,O0000148,1375.55,boleto,2024-11-08
PAY00000232,O0000148,1561.33,credit_card,2024-10-05
PAY00000233,O0000149,612.67,boleto,2024-11-18
PAY00000234,O0000150,1359.5,credit_card,2023-07-22
PAY00000235,O0000151,558.89,voucher,2024-02-23
PAY00000236,O0000151,735.17,voucher,2024-09-04
PAY00000237,O0000152,1264.91,boleto,2024-09-04
PAY00000238,O0000152,1960.85,voucher,2023-10-21
PAY00000239,O0000153,857.18,pix,2024-11-25
PAY00000240,O0000153,1751.71,boleto,2024-04-12
PAY00000241,O0000154,1894.56,credit_card,2024-02-07
PAY00000242,O0000154,286.58,voucher,2023-07-10
PAY00000243,O0000155,1133.27,boleto,2024-06-10
PAY00000244,O0000156,1586.42,credit_card,2023-09-21
PAY00000245,O0000157,1022.16,pix,2024-01-31
PAY00000246,O0000157,972.42,boleto,2023-06-17
PAY00000247,O0000158,286.08,pix,2023-03-18
PAY00000248,O0000159,1985.47,credit_card,2023-07-31
PAY00000249,O0000160,1351.79,voucher,2023-03-20
PAY00000250,O0000161,1246.13,pix,2024-04-04
PAY00000251,O0000161,759.88,voucher,2023-10-19
PAY00000252,O0000162,1863.64,boleto,2024-03-20
PAY00000253,O0000163,1006.49,credit_card,2024-04-23
PAY00000254,O0000163,867.22,pix,2024-08-14
PAY00000255,O0000164,357.32,voucher,2023-01-15
PAY00000256,O0000165,1842.98,boleto,2024-06-30
PAY00000257,O0000165,1736.31,debit_card,2023-12-07
PAY00000258,O0000166,587.55,debit_card,2023-07-25
PAY00000259,O0000166,1579.77,voucher,2024-09-08
PAY00000260,O0000167,1298.11,pix,2024-04-16
PAY00000261,O0000168,579.6,boleto,2023-07-12
PAY00000262,O0000168,20.22,pix,2023-01-21
PAY00000263,O0000169,1199.4,debit_card,2023-07-14
PAY00000264,O0000170,645.38,voucher,2023-01-22
PAY00000265,O0000170,1171.62,credit_card,2023-05-30
PAY00000266,O0000171,1268.61,voucher,2024-03-21
PAY00000267,O0000172,1139.97,pix,2023-10-16
PAY00000268,O0000173,286.57,voucher,2023-04-07
PAY00000269,O0000173,617.19,credit_card,2023-10-20
PAY00000270,O0000174,128.58,credit_card,2023-01-17
PAY00000271,O0000174,1904.48,boleto,2023-06-03
PAY00000272,O0000175,979.2,boleto,2024-07-10
PAY00000273,O0000175,1460.42,voucher,2023-11-15
PAY00000274,O0000176,1588.33,pix,2024-03-08
PAY00000275,O0000177,1357.14,credit_card,2023-12-17
PAY00000276,O0000178,774.42,credit_card,2023-01-11
PAY00000277,O0000179,775.63,debit_card,2023-08-16
PAY00000278,O0000179,1427.56,pix,2023-04-05
PAY00000279,O0000180,320.6,debit_card,2024-01-10
PAY00000280,O0000181,604.34,pix,2023-03-24
PAY00000281,O0000181,1307.43,pix,2023-03-18
PAY00000282,O0000182,1436.73,credit_card,2023-03-14
PAY00000283,O0000182,42.08,debit_card,2023-06-19
PAY00000284,O0000183,1696.64,voucher,2023-12-14
PAY00000285,O0000184,901.54,pix,2024-08-25
PAY00000286,O0000184,489.26,debit_card,2023-05-11
PAY00000287,O0000185,1758.9,pix,2024-05-12
PAY00000288,O0000186,121.83,boleto,2023-06-28
PAY00000289,O0000187,1033.36,boleto,2023-05-05
PAY00000290,O0000187,1574.23,credit_card,2024-09-16
PAY00000291,O0000188,286.59,pix,2023-06-11
PAY00000292,O0000189,1233.37,voucher,2024-07-08
PAY00000293,O0000190,11.0,voucher,2024-07-07
PAY00000294,O0000190,153.09,voucher,2024-08-23
PAY00000295,O0000191,1929.22,pix,2024-10-03
PAY00000296,O0000192,1936.29,voucher,2023-09-20
PAY00000297,O0000193,14.17,debit_card,2024-11-09
PAY00000298,O0000194,184.74,boleto,2023-12-29
PAY00000299,O0000195,1611.96,pix,2024-06-03
PAY00000300,O0000196,1982.36,voucher,2024-07-23
PAY00000301,O0000197,1952.47,boleto,2024-09-09
PAY00000302,O0000198,663.15,voucher,2024-02-06
PAY00000303,O0000198,340.55,pix,2024-04-29
PAY00000304,O0000199,105.39,boleto,2023-05-03
PAY00000305,O0000200,725.38,voucher,2023-02-24
PAY00000306,O0000200,1906.65,boleto,2023-01-12
PAY00000307,O0000201,1641.57,voucher,2024-03-02
PAY00000308,O0000202,36.34,debit_card,2023-05-11
PAY00000309,O0000202,198.75,pix,2023-02-08
PAY00000310,O0000203,1275.82,debit_card,2023-11-26
PAY00000311,O0000203,1928.78,voucher,2023-06-20
PAY00000312,O0000204,806.86,debit_card,2023-11-23
PAY00000313,O0000205,1960.9,credit_card,2024-03-18
PAY00000314,O0000205,533.55,credit_card,2023-05-11
PAY00000315,O0000206,1951.94,credit_card,2024-08-19
PAY00000316,O0000207,269.84,credit_card,2023-09-20
PAY00000317,O0000208,826.66,boleto,2024-03-13
PAY00000318,O0000208,413.89,credit_card,2023-02-17
PAY00000319,O0000209,368.97,pix,2024-11-01
PAY00000320,O0000209,121.96,debit_card,2023-06-18
PAY00000321,O0000210,1458.12,pix,2024-04-04
PAY00000322,O0000210,1103.31,debit_card,2024-08-27
PAY00000323,O0000211,1317.22,voucher,2024-04-27
PAY00000324,O0000211,1835.6,boleto,2024-08-30
PAY00000325,O0000212,274.51,pix,2023-10-26
PAY00000326,O0000212,828.4,credit_card,2023-07-25
PAY00000327,O0000213,967.8,pix,2024-04-18
PAY00000328,O0000213,689.09,pix,2023-04-02
PAY00000329,O0000214,416.6,pix,2023-10-10
PAY00000330,O0000215,546.39,credit_card,2024-06-15
PAY00000331,O0000216,580.95,boleto,2024-06-02
PAY00000332,O0000217,1230.8,boleto,2023-11-05
PAY00000333,O0000217,22.31,voucher,2023-01-01
PAY00000334,O0000218,1192.26,pix,2023-09-08
PAY00000335,O0000218,78.59,pix,2024-03-27
PAY00000336,O0000219,907.24,pix,2023-10-18
PAY00000337,O0000220,1111.69,pix,2024-04-08
PAY00000338,O0000221,1895.86,credit_card,2023-02-13
PAY00000339,O0000221,1976.39,boleto,2023-01-08
PAY00000340,O0000222,87.02,pix,2023-07-29
PAY00000341,O0000222,1043.39,voucher,2023-04-29
PAY00000342,O0000223,1011.34,pix,2023-11-23
PAY00000343,O0000224,733.57,debit_card,2023-05-11
PAY00000344,O0000224,1048.72,boleto,2024-08-17
PAY00000345,O0000225,552.36,debit_card,2023-10-04
PAY00000346,O0000225,869.58,voucher,2023-12-29
PAY00000347,O0000226,232.34,pix,2024-08-12
PAY00000348,O0000227,477.64,voucher,2023-11-21
PAY00000349,O0000228,1591.6,pix,2024-09-30
PAY00000350,O0000228,1253.46,voucher,2023-08-28
PAY00000351,O0000229,476.78,boleto,2023-01-15
PAY00000352,O0000230,641.52,pix,2024-10-03
PAY00000353,O0000230,970.07,boleto,2024-02-29
PAY00000354,O0000231,1389.86,credit_card,2024-08-03
PAY00000355,O0000232,609.39,debit_card,2023-10-06
PAY00000356,O0000233,97.68,boleto,2023-02-26
PAY00000357,O0000233,129.24,boleto,2023-01-29
PAY00000358,O0000234,642.41,pix,2023-09-26
PAY00000359,O0000234,1571.85,debit_card,2023-06-21
PAY00000360,O0000235,1814.77,voucher,2023-01-31
PAY00000361,O0000236,1535.64,voucher,2023-11-28
PAY00000362,O0000236,683.81,debit_card,2023-01-15
PAY00000363,O0000237,641.87,boleto,2023-06-09
PAY00000364,O0000238,1028.52,debit_card,2023-08-23
PAY00000365,O0000239,100.4,pix,2024-08-24
PAY00000366,O0000240,1167.09,pix,2024-08-01
PAY00000367,O0000240,1691.06,pix,2023-09-25
PAY00000368,O0000241,282.48,pix,2024-06-11
PAY00000369,O0000242,1043.08,credit_card,2023-02-01
PAY00000370,O0000242,936.21,debit_card,2024-09-04
PAY00000371,O0000243,42.97,pix,2024-07-29
PAY00000372,O0000243,396.47,credit_card,2023-04-24
PAY00000373,O0000244,1559.45,debit_card,2024-07-31
PAY00000374,O0000245,1514.08,debit_card,2023-01-17
PAY00000375,O0000246,1345.93,debit_card,2024-01-09
PAY00000376,O0000246,1969.48,pix,2024-09-10
PAY00000377,O0000247,35.22,pix,2023-08-16
PAY00000378,O0000248,69.1,debit_card,2024-01-10
PAY00000379,O0000249,1134.99,boleto,2024-08-25
PAY00000380,O0000250,559.29,credit_card,2023-07-05
PAY00000381,O0000250,104.24,voucher,2023-11-02
PAY00000382,O0000251,252.97,debit_card,2023-02-25
PAY00000383,O0000251,534.16,credit_card,2024-02-24
PAY00000384,O0000252,1141.89,voucher,2024-03-28
PAY00000385,O0000252,1786.17,credit_card,2024-11-15
PAY00000386,O0000253,519.0,credit_card,2024-09-07
PAY00000387,O0000254,1015.79,boleto,2023-03-01
PAY00000388,O0000254,994.62,credit_card,2023-11-13
PAY00000389,O0000255,1511.94,credit_card,2024-02-11
PAY00000390,O0000256,162.5,credit_card,2024-04-01
PAY00000391,O0000257,1996.18,credit_card,2024-06-17
PAY00000392,O0000258,851.58,voucher,2024-07-08
PAY00000393,O0000258,1841.07,pix,2023-05-30
PAY00000394,O0000259,336.1,credit_card,2024-10-17
PAY00000395,O0000260,767.7,pix,2023-09-08
PAY00000396,O0000260,1287.68,boleto,2024-10-25
PAY00000397,O0000261,1437.95,debit_card,2024-08-25
PAY00000398,O0000262,48.84,debit_card,2024-08-08
PAY00000399,O0000262,975.1,voucher,2024-10-29
PAY00000400,O0000263,1609.19,pix,2024-02-07
PAY00000401,O0000263,136.19,debit_card,2024-07-24
PAY00000402,O0000264,1587.62,voucher,2024-11-01
PAY00000403,O0000264,99.3,voucher,2024-10-28
PAY00000404,O0000265,1574.26,debit_card,2024-07-27
PAY00000405,O0000266,1425.09,pix,2024-07-16
PAY00000406,O0000267,1903.36,credit_card,2024-11-15
PAY00000407,O0000267,1647.83,pix,2023-01-28
PAY00000408,O0000268,1501.03,boleto,2024-01-31
PAY00000409,O0000268,285.56,boleto,2024-07-31
PAY00000410,O0000269,1853.63,boleto,2024-11-10
PAY00000411,O0000269,1750.88,credit_card,2023-07-09
PAY00000412,O0000270,1136.02,boleto,2023-04-16
PAY00000413,O0000271,423.53,credit_card,2024-09-13
PAY00000414,O0000271,532.61,credit_card,2023-12-18
PAY00000415,O0000272,1713.18,boleto,2023-09-09
PAY00000416,O0000273,1083.3,credit_card,2023-08-27
PAY00000417,O0000273,1938.89,credit_card,2024-04-30
PAY00000418,O0000274,678.8,pix,2024-09-16
PAY00000419,O0000274,930.2,voucher,2024-09-09
PAY00000420,O0000275,721.47,pix,2023-01-25
PAY00000421,O0000275,1810.76,pix,2024-05-16
PAY00000422,O0000276,1978.39,boleto,2023-01-20
PAY00000423,O0000276,418.93,pix,2023-12-24
PAY00000424,O0000277,390.35,boleto,2023-06-13
PAY00000425,O0000277,1940.86,credit_card,2024-02-15
PAY00000426,O0000278,982.45,boleto,2024-08-25
PAY00000427,O0000279,470.26,credit_card,2023-06-21
PAY00000428,O0000279,1809.29,voucher,2023-12-20
PAY00000429,O0000280,1255.63,voucher,2023-06-12
PAY00000430,O0000281,413.43,debit_card,2024-07-27
PAY00000431,O0000281,1500.48,credit_card,2024-11-24
PAY00000432,O0000282,164.03,debit_card,2024-06-09
PAY00000433,O0000282,1408.08,pix,2024-03-27
PAY00000434,O0000283,1041.11,voucher,2023-03-22
PAY00000435,O0000284,1390.11,boleto,2024-01-07
PAY00000436,O0000284,477.41,voucher,2023-08-14
PAY00000437,O0000285,1085.41,debit_card,2024-09-14
PAY00000438,O0000286,492.53,pix,2023-02-17
PAY00000439,O0000286,232.17,debit_card,2023-05-24
PAY00000440,O0000287,1032.55,credit_card,2023-04-06
PAY00000441,O0000287,752.53,debit_card,2024-01-17
PAY00000442,O0000288,1180.87,boleto,2024-09-10
PAY00000443,O0000288,1089.62,voucher,2024-09-26
PAY00000444,O0000289,1729.67,debit_card,2024-03-28
PAY00000445,O0000289,1721.22,pix,2024-04-22
PAY00000446,O0000290,1581.12,credit_card,2023-11-19
PAY00000447,O0000291,1045.88,voucher,2023-12-27
PAY00000448,O0000292,271.39,voucher,2023-04-27
PAY00000449,O0000292,465.51,debit_card,2023-08-16
PAY00000450,O0000293,1232.78,boleto,2024-08-12
PAY00000451,O0000293,974.95,credit_card,2024-08-23
PAY00000452,O0000294,941.06,boleto,2024-06-18
PAY00000453,O0000295,1348.5,debit_card,2024-04-22
PAY00000454,O0000295,1137.56,boleto,2024-07-04
PAY00000455,O0000296,1560.62,pix,2024-02-10
PAY00000456,O0000297,303.4,credit_card,2024-07-17
PAY00000457,O0000297,1268.42,pix,2023-03-21
PAY00000458,O0000298,1611.95,voucher,2024-09-30
PAY00000459,O0000298,227.43,pix,2023-08-08
PAY00000460,O0000299,1818.44,voucher,2024-04-12
PAY00000461,O0000299,1797.23,pix,2024-08-16
PAY00000462,O0000300,1963.92,debit_card,2023-08-13
PAY00000463,O0000301,306.38,boleto,2024-03-16
PAY00000464,O0000301,1755.12,debit_card,2024-07-03
PAY00000465,O0000302,1699.67,boleto,2024-04-11
PAY00000466,O0000302,229.98,debit_card,2024-09-22
PAY00000467,O0000303,142.86,credit_card,2024-05-16
PAY00000468,O0000303,1299.45,credit_card,2024-11-13
PAY00000469,O0000304,1683.42,credit_card,2023-05-01
PAY00000470,O0000305,1136.95,boleto,2024-05-18
PAY00000471,O0000306,1252.32,debit_card,2023-04-08
PAY00000472,O0000307,1622.98,credit_card,2023-09-01
PAY00000473,O0000308,257.83,boleto,2024-03-26
PAY00000474,O0000308,845.29,credit_card,2024-08-08
PAY00000475,O0000309,1452.93,boleto,2024-08-11
PAY00000476,O0000309,1057.08,voucher,2024-06-06
PAY00000477,O0000310,708.19,boleto,2024-10-29
PAY00000478,O0000311,1552.02,debit_card,2023-04-09
PAY00000479,O0000312,659.56,debit_card,2024-10-17
PAY00000480,O0000312,783.81,pix,2024-03-31
PAY00000481,O0000313,1227.88,voucher,2023-01-02
PAY00000482,O0000313,1195.43,voucher,2023-09-12
PAY00000483,O0000314,904.55,pix,2023-01-02
PAY00000484,O0000315,1904.19,credit_card,2024-07-03
PAY00000485,O0000316,1183.41,credit_card,2023-10-30
PAY00000486,O0000316,625.87,pix,2023-09-10
PAY00000487,O0000317,1718.69,credit_card,2023-03-16
PAY00000488,O0000318,910.89,credit_card,2024-04-21
PAY00000489,O0000318,634.49,pix,2024-05-30
PAY00000490,O0000319,1828.95,voucher,2024-04-08
PAY00000491,O0000319,881.49,voucher,2023-12-19
PAY00000492,O0000320,1437.17,credit_card,2024-04-22
PAY00000493,O0000320,175.83,credit_card,2024-01-19
PAY00000494,O0000321,1403.26,voucher,2024-04-26
PAY00000495,O0000321,482.18,credit_card,2023-04-27
PAY00000496,O0000322,51.69,boleto,2024-08-03
PAY00000497,O0000323,1332.29,debit_card,2023-09-02
PAY00000498,O0000324,1527.23,debit_card,2024-02-07
PAY00000499,O0000325,1835.87,voucher,2023-11-11
PAY00000500,O0000326,372.39,boleto,2024-08-20
PAY00000501,O0000326,115.06,voucher,2023-04-25
PAY00000502,O0000327,771.46,pix,2024-11-02
PAY00000503,O0000328,1006.68,voucher,2024-07-28
PAY00000504,O0000329,1275.77,voucher,2024-02-27
