preference_id,consumer_id,category,preference_score
PF00000116,CON0073804,Home,3
PF00000117,CON0064727,Groceries,9
PF00000118,CON0080162,Automotive,10
PF00000119,CON0065048,Groceries,9
PF00000120,CON0032472,Travel,8
PF00000121,CON0075114,Travel,7
PF00000122,CON0071457,Health,3
PF00000123,CON0070965,Travel,5
PF00000124,CON0054216,Fashion,8
PF00000125,CON0054505,Travel,5
PF00000126,CON0066552,Health,3
PF00000127,CON0036258,Entertainment,3
PF00000128,CON0096267,Fashion,5
PF00000129,CON0040280,Groceries,5
PF00000130,CON0058333,Health,2
PF00000131,CON0048313,Electronics,4
PF00000132,CON0035992,Automotive,5
PF00000133,CON0056529,Fashion,2
PF00000134,CON0061287,Fashion,7
PF00000135,CON0046431,Home,1
PF00000136,CON0000954,Entertainment,1
PF00000137,CON0003580,Automotive,1
PF00000138,CON0063677,Groceries,2
PF00000139,CON0037245,Travel,9
PF00000140,CON0088330,Health,8
PF00000141,CON0071270,Automotive,5
PF00000142,CON0080126,Travel,3
PF00000143,CON0028839,Electronics,6
PF00000144,CON0011794,Home,5
PF00000145,CON0041671,Automotive,8
PF00000146,CON0048959,Fashion,4
PF00000147,CON0063442,Electronics,6
PF00000148,CON0039668,Groceries,9
PF00000149,CON0070028,Automotive,10
PF00000150,CON0025826,Fashion,4
PF00000151,CON0072312,Electronics,3
PF00000152,CON0007377,Travel,1
PF00000153,CON0098340,Entertainment,4
PF00000154,CON0055636,Health,7
PF00000155,CON0048356,Travel,5
PF00000156,CON0061255,Travel,9
PF00000157,CON0049671,Entertainment,7
PF00000158,CON0034144,Automotive,3
PF00000159,CON0024692,Fashion,7
PF00000160,CON0095229,Groceries,8
PF00000161,CON0072061,Home,5
PF00000162,CON0069505,Automotive,8
PF00000163,CON0048973,Health,10
PF00000164,CON0091588,Groceries,5
PF00000165,CON0022834,Travel,1
PF00000166,CON0068393,Fashion,5
PF00000167,CON0047032,Entertainment,9
PF00000168,CON0051464,Home,3
PF00000169,CON0026939,Home,2
PF00000170,CON0026094,Health,10
PF00000171,CON0044116,Entertainment,4
PF00000172,CON0044431,Electronics,2
PF00000173,CON0080754,Electronics,4
PF00000174,CON0032494,Health,9
PF00000175,CON0074918,Automotive,4
PF00000176,CON0017464,Travel,7
PF00000177,CON0015544,Groceries,9
PF00000178,CON0057394,Home,3
PF00000179,CON0095629,Home,9
PF00000180,CON0068139,Fashion,6
PF00000181,CON0034445,Entertainment,8
PF00000182,CON0071444,Groceries,1
PF00000183,CON0039156,Home,2
PF00000184,CON0030515,Health,5
PF00000185,CON0020944,Automotive,1
PF00000186,CON0091245,Entertainment,8
PF00000187,CON0024554,Health,4
PF00000188,CON0044007,Travel,9
PF00000189,CON0048988,Health,7
PF00000190,CON0095508,Health,6
PF00000191,CON0014958,Home,9
PF00000192,CON0059237,Automotive,8
PF00000193,CON0063430,Home,7
PF00000194,CON0090636,Entertainment,6
PF00000195,CON0034961,Health,10
PF00000196,CON0025287,Home,10
PF00000197,CON0036290,Electronics,10
PF00000198,CON0031604,Electronics,1
PF00000199,CON0076512,Home,10
PF00000200,CON0095185,Fashion,4
PF00000201,CON0023388,Health,8
PF00000202,CON0011867,Electronics,9
PF00000203,CON0075485,Health,3
PF00000204,CON0059266,Home,8
PF00000205,CON0086975,Electronics,4
PF00000206,CON0028137,Health,7
PF00000207,CON0008062,Home,7
PF00000208,CON0095230,Home,7
PF00000209,CON0086456,Automotive,8
PF00000210,CON0006823,Travel,10
PF00000211,CON0085540,Travel,9
PF00000212,CON0014152,Electronics,4
PF00000213,CON0098959,Fashion,5
PF00000214,CON0043594,Travel,1
PF00000215,CON0041219,Electronics,8
PF00000216,CON0040034,Fashion,3
PF00000217,CON0017331,Entertainment,8
PF00000218,CON0099285,Travel,9
PF00000219,CON0090038,Health,10
PF00000220,CON0068355,Home,4
PF00000221,CON0045713,Automotive,9
PF00000222,CON0017247,Electronics,3
PF00000223,CON0032690,Fashion,1
PF00000224,CON0013568,Fashion,7
PF00000225,CON0000289,Electronics,1
PF00000226,CON0082248,Electronics,6
PF00000227,CON0065967,Travel,7
PF00000228,CON0041539,Travel,7
PF00000229,CON0046159,Fashion,1
PF00000230,CON0090622,Electronics,4
PF00000231,CON0069987,Automotive,9
PF00000232,CON0067260,Travel,10
PF00000233,CON0008494,Health,3
PF00000234,CON0066642,Health,10
PF00000235,CON0057943,Fashion,9
PF00000236,CON0035241,Automotive,5
PF00000237,CON0066811,Entertainment,9
PF00000238,CON0024556,Health,2
PF00000239,CON0077094,Health,5
PF00000240,CON0058306,Electronics,3
PF00000241,CON0052041,Travel,8
PF00000242,CON0065980,Automotive,9
PF00000243,CON0055528,Entertainment,3
PF00000244,CON0000609,Groceries,7
PF00000245,CON0023807,Electronics,8
PF00000246,CON0051991,Groceries,6
PF00000247,CON0006019,Home,4
PF00000248,CON0033193,Travel,7
PF00000249,CON0003571,Automotive,1
PF00000250,CON0085039,Home,3
PF00000251,CON0021406,Travel,3
PF00000252,CON0038394,Groceries,2
PF00000253,CON0011719,Fashion,7
PF00000254,CON0004557,Health,5
PF00000255,CON0022655,Fashion,8
PF00000256,CON0061240,Electronics,1
PF00000257,CON0073396,Electronics,2
PF00000258,CON0097456,Entertainment,9
PF00000259,CON0097845,Entertainment,7
PF00000260,CON0086852,Home,1
PF00000261,CON0092772,Entertainment,5
PF00000262,CON0008995,Groceries,4
PF00000263,CON0041061,Fashion,6
PF00000264,CON0043124,Travel,9
PF00000265,CON0072810,Electronics,9
PF00000266,CON0019676,Entertainment,6
PF00000267,CON0094942,Fashion,6
PF00000268,CON0015139,Electronics,1
PF00000269,CON0059446,Groceries,1
PF00000270,CON0012232,Automotive,5
PF00000271,CON0064469,Groceries,2
PF00000272,CON0029810,Travel,10
PF00000273,CON0012391,Travel,6
PF00000274,CON0039382,Automotive,6
PF00000275,CON0013866,Electronics,10
PF00000276,CON0050981,Travel,1
PF00000277,CON0056167,Health,3
PF00000278,CON0019844,Electronics,4
PF00000279,CON0098726,Automotive,7
PF00000280,CON0092336,Home,1
PF00000281,CON0038203,Groceries,10
PF00000282,CON0075465,Groceries,4
PF00000283,CON0068702,Health,3
PF00000284,CON0054018,Groceries,8
PF00000285,CON0027730,Entertainment,5
PF00000286,CON0088044,Home,6
PF00000287,CON0046302,Entertainment,6
PF00000288,CON0001840,Automotive,8
PF00000289,CON0014444,Home,3
PF00000290,CON0024684,Fashion,2
PF00000291,CON0082201,Travel,10
PF00000292,CON0022934,Groceries,1
PF00000293,CON0079818,Electronics,5
PF00000294,CON0002230,Groceries,3
PF00000295,CON0096920,Groceries,5
PF00000296,CON0073810,Groceries,1
PF00000297,CON0000424,Fashion,10
PF00000298,CON0063883,Entertainment,9
PF00000299,CON0067333,Groceries,5
PF00000300,CON0098976,Groceries,1
PF00000301,CON0031206,Electronics,1
PF00000302,CON0001534,Travel,9
PF00000303,CON0074213,Health,10
PF00000304,CON0092311,Fashion,2
PF00000305,CON0025180,Travel,1
PF00000306,CON0047543,Fashion,8
PF00000307,CON0067986,Groceries,4
PF00000308,CON0078367,Groceries,7
PF00000309,CON0059032,Health,4
PF00000310,CON0072493,Electronics,8
PF00000311,CON0025142,Home,4
PF00000312,CON0051683,Groceries,1
PF00000313,CON0052789,Health,1
PF00000314,CON0034747,Travel,2
PF00000315,CON0021133,Electronics,1
PF00000316,CON0052291,Electronics,1
PF00000317,CON0066806,Travel,3
PF00000318,CON0000188,Automotive,8
PF00000319,CON0087042,Fashion,6
PF00000320,CON0053849,Home,1
PF00000321,CON0000868,Fashion,2
PF00000322,CON0004872,Travel,9
PF00000323,CON0018091,Entertainment,8
PF00000324,CON0055694,Automotive,7
PF00000325,CON0064771,Automotive,8
PF00000326,CON0092768,Fashion,3
PF00000327,CON0014853,Home,4
PF00000328,CON0008726,Automotive,10
PF00000329,CON0006122,Home,1
PF00000330,CON0078088,Electronics,4
PF00000331,CON0014388,Health,5
PF00000332,CON0084501,Groceries,8
PF00000333,CON0079716,Groceries,9
PF00000334,CON0038094,Groceries,2
PF00000335,CON0092282,Automotive,5
PF00000336,CON0026944,Groceries,2
PF00000337,CON0075671,Automotive,10
PF00000338,CON0042782,Travel,4
PF00000339,CON0021666,Entertainment,6
PF00000340,CON0072271,Entertainment,7
PF00000341,CON0099314,Fashion,4
PF00000342,CON0065302,Home,2
PF00000343,CON0037906,Electronics,5
PF00000344,CON0061703,Travel,10
PF00000345,CON0036378,Home,5
PF00000346,CON0050218,Home,5
PF00000347,CON0080542,Health,5
PF00000348,CON0077064,Groceries,3
PF00000349,CON0001595,Entertainment,2
PF00000350,CON0018506,Health,1
PF00000351,CON0036108,Travel,5
PF00000352,CON0041837,Home,6
PF00000353,CON0058038,Groceries,4
PF00000354,CON0047086,Home,9
PF00000355,CON0022801,Automotive,3
PF00000356,CON0090516,Health,6
PF00000357,CON0090941,Electronics,4
PF00000358,CON0021327,Home,9
PF00000359,CON0044398,Health,8
PF00000360,CON0096858,Fashion,10
PF00000361,CON0008192,Automotive,5
PF00000362,CON0028465,Groceries,10
PF00000363,CON0016073,Travel,2
PF00000364,CON0004369,Groceries,7
PF00000365,CON0051792,Automotive,9
PF00000366,CON0021836,Home,3
PF00000367,CON0017015,Groceries,1
PF00000368,CON0066826,Entertainment,2
PF00000369,CON0018978,Home,1
PF00000370,CON0054961,Automotive,8
PF00000371,CON0020160,Automotive,8
PF00000372,CON0030655,Health,10
PF00000373,CON0012082,Groceries,2
PF00000374,CON0023902,Health,4
PF00000375,CON0058452,Travel,8
PF00000376,CON0059163,Groceries,2
PF00000377,CON0026080,Health,5
PF00000378,CON0079999,Electronics,6
PF00000379,CON0019621,Health,4
PF00000380,CON0007804,Fashion,4
PF00000381,CON0064996,Home,9
PF00000382,CON0028140,Automotive,5
PF00000383,CON0007382,Fashion,2
PF00000384,CON0097120,Groceries,8
PF00000385,CON0009695,Fashion,3
PF00000386,CON0040717,Fashion,1
PF00000387,CON0013208,Entertainment,2
PF00000388,CON0042467,Home,9
PF00000389,CON0085021,Electronics,3
PF00000390,CON0063042,Automotive,9
PF00000391,CON0076285,Groceries,10
PF00000392,CON0011202,Health,7
PF00000393,CON0009005,Travel,6
PF00000394,CON0064070,Fashion,9
PF00000395,CON0045060,Fashion,2
PF00000396,CON0036251,Groceries,2
PF00000397,CON0064942,Groceries,3
PF00000398,CON0093299,Fashion,8
PF00000399,CON0003573,Automotive,10
PF00000400,CON0004276,Travel,3
PF00000401,CON0079764,Groceries,10
PF00000402,CON0066139,Entertainment,7
PF00000403,CON0039368,Electronics,8
PF00000404,CON0054443,Fashion,9
PF00000405,CON0014542,Entertainment,4
PF00000406,CON0021044,Health,6
PF00000407,CON0085107,Entertainment,2
PF00000408,CON0053684,Home,7
PF00000409,CON0053813,Travel,9
PF00000410,CON0045579,Electronics,10
PF00000411,CON0064818,Entertainment,7
PF00000412,CON0020865,Electronics,1
PF00000413,CON0067629,Electronics,2
PF00000414,CON0006167,Travel,8
PF00000415,CON0083426,Home,6
PF00000416,CON0032118,Travel,1
PF00000417,CON0094216,Health,10
PF00000418,CON0038716,Groceries,1
PF00000419,CON0074599,Automotive,3
PF00000420,CON0075881,Electronics,3
PF00000421,CON0025028,Electronics,6
PF00000422,CON0081103,Home,10
PF00000423,CON0039700,Entertainment,5
PF00000424,CON0093611,Groceries,7
PF00000425,CON0072648,Electronics,6
PF00000426,CON0024915,Groceries,10
PF00000427,CON0026518,Travel,3
PF00000428,CON0026920,Home,9
PF00000429,CON0060982,Fashion,7
PF00000430,CON0013757,Home,6
PF00000431,CON0090650,Home,10
PF00000432,CON0011212,Travel,7
PF00000433,CON0054286,Travel,10
PF00000434,CON0082729,Home,7
PF00000435,CON0052789,Electronics,5
PF00000436,CON0030209,Home,2
PF00000437,CON0040977,Groceries,4
PF00000438,CON0015425,Groceries,3
PF00000439,CON0008617,Health,2
PF00000440,CON0017502,Health,7
PF00000441,CON0028930,Electronics,3
PF00000442,CON0075568,Groceries,6
PF00000443,CON0055865,Electronics,5
PF00000444,CON0059253,Health,7
PF00000445,CON0012841,Travel,4
PF00000446,CON0009025,Entertainment,1
PF00000447,CON0086201,Fashion,3
PF00000448,CON0005252,Groceries,10
PF00000449,CON0019241,Electronics,6
PF00000450,CON0087375,Home,8
PF00000451,CON0071643,Automotive,2
PF00000452,CON0070054,Electronics,3
PF00000453,CON0007185,Fashion,1
PF00000454,CON0098424,Electronics,3
PF00000455,CON0001954,Home,1
PF00000456,CON0064049,Entertainment,7
PF00000457,CON0095187,Automotive,2
PF00000458,CON0034201,Health,7
PF00000459,CON0067591,Travel,2
PF00000460,CON0067307,Groceries,5
PF00000461,CON0038940,Entertainment,9
PF00000462,CON0070285,Groceries,8
PF00000463,CON0003703,Automotive,6
PF00000464,CON0000878,Entertainment,6
PF00000465,CON0029074,Automotive,5
PF00000466,CON0046590,Electronics,9
PF00000467,CON0055017,Travel,4
PF00000468,CON0090483,Electronics,6
PF00000469,CON0065457,Groceries,3
PF00000470,CON0089449,Home,10
PF00000471,CON0035561,Home,1
PF00000472,CON0060366,Groceries,2
PF00000473,CON0058398,Entertainment,2
PF00000474,CON0043492,Electronics,3
PF00000475,CON0060856,Health,6
PF00000476,CON0069806,Home,9
PF00000477,CON0083205,Fashion,7
PF00000478,CON0040001,Fashion,9
PF00000479,CON0062052,Fashion,2
PF00000480,CON0031247,Home,10
PF00000481,CON0083905,Home,3
PF00000482,CON0059804,Entertainment,10
PF00000483,CON0047730,Travel,8
PF00000484,CON0091190,Groceries,5
PF00000485,CON0054982,Entertainment,7
PF00000486,CON0002481,Electronics,4
PF00000487,CON0057678,Electronics,3
PF00000488,CON0056055,Home,5
PF00000489,CON0076983,Automotive,1
PF00000490,CON0049565,Health,1
PF00000491,CON0026055,Health,8
PF00000492,CON0075987,Travel,3
PF00000493,CON0057834,Fashion,1
PF00000494,CON0017306,Fashion,5
PF00000495,CON0011266,Health,1
PF00000496,CON0005140,Fashion,6
PF00000497,CON0076188,Groceries,6
PF00000498,CON0023709,Fashion,7
PF00000499,CON0076161,Fashion,2
PF00000500,CON0081936,Travel,5
PF00000501,CON0011356,Groceries,8
PF00000502,CON0038658,Automotive,6
PF00000503,CON0033320,Entertainment,4
PF00000504,CON0066556,Health,4
PF00000505,CON0086588,Groceries,3
PF00000506,CON0097448,Fashion,10
PF00000507,CON0025962,Fashion,7
PF00000508,CON0033244,Groceries,2
PF00000509,CON0050300,Electronics,3
PF00000510,CON0030075,Home,7
PF00000511,CON0017243,Electronics,9
PF00000512,CON0040366,Automotive,2
PF00000513,CON0005376,Travel,9
PF00000514,CON0018709,Groceries,1
PF00000515,CON0079989,Health,3
PF00000516,CON0056660,Home,3
PF00000517,CON0079536,Electronics,6
PF00000518,CON0098684,Electronics,8
PF00000519,CON0096973,Travel,4
PF00000520,CON0092888,Electronics,9
PF00000521,CON0089659,Groceries,3
PF00000522,CON0037360,Automotive,9
PF00000523,CON0009312,Groceries,2
PF00000524,CON0050611,Groceries,7
PF00000525,CON0078712,Travel,5
PF00000526,CON0062574,Travel,9
PF00000527,CON0060756,Groceries,5
PF00000528,CON0078358,Travel,1
PF00000529,CON0031438,Groceries,1
PF00000530,CON0072261,Health,4
PF00000531,CON0016995,Automotive,10
PF00000532,CON0099361,Travel,6
PF00000533,CON0009859,Fashion,4
PF00000534,CON0049955,Electronics,2
PF00000535,CON0075872,Entertainment,4
PF00000536,CON0050574,Home,5
PF00000537,CON0024692,Health,1
PF00000538,CON0011679,Fashion,10
PF00000539,CON0065576,Entertainment,6
PF00000540,CON0024903,Health,1
PF00000541,CON0066351,Automotive,5
PF00000542,CON0027063,Health,10
PF00000543,CON0089049,Groceries,2
PF00000544,CON0005529,Groceries,4
PF00000545,CON0059458,Groceries,6
PF00000546,CON0075641,Automotive,3
PF00000547,CON0035191,Health,10
PF00000548,CON0051190,Fashion,5
PF00000549,CON0089058,Automotive,7
PF00000550,CON0087696,Health,10
PF00000551,CON0076583,Fashion,5
PF00000552,CON0005910,Health,2
PF00000553,CON0025138,Electronics,4
PF00000554,CON0075230,Travel,5
PF00000555,CON0075996,Electronics,5
PF00000556,CON0037441,Fashion,1
PF00000557,CON0038784,Groceries,1
PF00000558,CON0085801,Entertainment,1
PF00000559,CON0060631,Electronics,5
PF00000560,CON0069268,Health,4
PF00000561,CON0019941,Electronics,1
PF00000562,CON0088349,Entertainment,2
PF00000563,CON0059685,Travel,4
PF00000564,CON0061630,Entertainment,3
PF00000565,CON0024932,Fashion,6
PF00000566,CON0072078,Entertainment,2
PF00000567,CON0053345,Health,2
PF00000568,CON0060976,Fashion,5
PF00000569,CON0055547,Automotive,6
PF00000570,CON0063337,Home,5
PF00000571,CON0036347,Health,7
PF00000572,CON0094567,Home,9
PF00000573,CON0024966,Travel,4
PF00000574,CON0088111,Groceries,10
PF00000575,CON0060857,Entertainment,3
PF00000576,CON0092473,Travel,3
PF00000577,CON0051635,Entertainment,7
PF00000578,CON0090934,Travel,4
PF00000579,CON0076518,Home,10
PF00000580,CON0044101,Fashion,3
PF00000581,CON0082767,Travel,4
PF00000582,CON0096645,Health,3
PF00000583,CON0079613,Electronics,3
PF00000584,CON0024655,Health,10
PF00000585,CON0060475,Electronics,3
PF00000586,CON0002799,Electronics,5
PF00000587,CON0007742,Fashion,9
PF00000588,CON0077657,Fashion,5
PF00000589,CON0035843,Travel,5
PF00000590,CON0056423,Fashion,8
PF00000591,CON0039359,Home,9
PF00000592,CON0072436,Entertainment,5
PF00000593,CON0011819,Groceries,3
PF00000594,CON0028018,Health,7
PF00000595,CON0038116,Groceries,3
PF00000596,CON0048468,Electronics,2
PF00000597,CON0015550,Entertainment,8
PF00000598,CON0027733,Fashion,8
PF00000599,CON0001742,Groceries,7
PF00000600,CON0044700,Electronics,1
PF00000601,CON0075582,Travel,4
PF00000602,CON0008918,Health,9
PF00000603,CON0050399,Groceries,2
PF00000604,CON0005790,Entertainment,4
PF00000605,CON0085092,Home,1
PF00000606,CON0075238,Fashion,7
PF00000607,CON0014700,Entertainment,10
PF00000608,CON0036088,Electronics,2
PF00000609,CON0056655,Home,3
PF00000610,CON0033270,Automotive,10
PF00000611,CON0009239,Electronics,7
PF00000612,CON0045046,Travel,3
PF00000613,CON0035551,Entertainment,7
PF00000614,CON0095935,Fashion,3
PF00000615,CON0089810,Entertainment,7
PF00000616,CON0041162,Fashion,9
PF00000617,CON0000772,Travel,6
PF00000618,CON0025508,Entertainment,6
PF00000619,CON0027783,Health,9
PF00000620,CON0054062,Travel,3
PF00000621,CON0037862,Home,2
PF00000622,CON0008426,Health,1
PF00000623,CON0065614,Travel,5
PF00000624,CON0073933,Fashion,1
PF00000625,CON0082535,Home,5
PF00000626,CON0062556,Electronics,6
PF00000627,CON0000838,Electronics,7
PF00000628,CON0050788,Automotive,6
PF00000629,CON0007474,Health,1
PF00000630,CON0096508,Health,1
PF00000631,CON0097032,Automotive,3
PF00000632,CON0076166,Entertainment,10
PF00000633,CON0076857,Travel,7
PF00000634,CON0092991,Groceries,4
PF00000635,CON0086595,Groceries,1
PF00000636,CON0012996,Health,2
PF00000637,CON0099884,Fashion,7
PF00000638,CON0043174,Entertainment,7
PF00000639,CON0002543,Health,8
PF00000640,CON0036739,Groceries,4
PF00000641,CON0098428,Travel,2
PF00000642,CON0032151,Health,3
PF00000643,CON0032373,Entertainment,6
PF00000644,CON0031394,Groceries,10
PF00000645,CON0023566,Entertainment,1
PF00000646,CON0004272,Health,1
PF00000647,CON0053675,Fashion,8
PF00000648,CON0031808,Entertainment,9
PF00000649,CON0053991,Home,10
PF00000650,CON0039414,Electronics,7
PF00000651,CON0036918,Entertainment,2
PF00000652,CON0098336,Home,10
PF00000653,CON0004959,Groceries,9
PF00000654,CON0031164,Health,2
PF00000655,CON0056670,Health,1
PF00000656,CON0038791,Health,10
PF00000657,CON0084775,Health,3
PF00000658,CON0030028,Electronics,6
PF00000659,CON0073847,Groceries,4
PF00000660,CON0062846,Electronics,10
PF00000661,CON0094596,Health,4
PF00000662,CON0061611,Groceries,9
PF00000663,CON0063995,Electronics,9
PF00000664,CON0011988,Home,6
PF00000665,CON0038393,Automotive,6
PF00000666,CON0084135,Automotive,2
PF00000667,CON0067755,Groceries,5
PF00000668,CON0009182,Groceries,5
PF00000669,CON0031183,Automotive,3
PF00000670,CON0010495,Home,1
PF00000671,CON0068956,Groceries,1
PF00000672,CON0085411,Health,4
PF00000673,CON0024078,Entertainment,4
PF00000674,CON0022679,Travel,1
PF00000675,CON0071948,Entertainment,8
PF00000676,CON0068921,Groceries,6
PF00000677,CON0048613,Home,1
PF00000678,CON0006103,Entertainment,4
PF00000679,CON0003863,Automotive,9
PF00000680,CON0029367,Entertainment,10
PF00000681,CON0070617,Health,10
PF00000682,CON0070932,Entertainment,2
PF00000683,CON0035650,Travel,5
PF00000684,CON0028360,Home,9
PF00000685,CON0089543,Fashion,2
PF00000686,CON0041992,Fashion,10
PF00000687,CON0060799,Automotive,3
PF00000688,CON0098920,Travel,1
PF00000689,CON0041203,Automotive,9
PF00000690,CON0067155,Travel,1
PF00000691,CON0066555,Travel,6
PF00000692,CON0041894,Health,2
PF00000693,CON0012376,Home,8
PF00000694,CON0083268,Home,3
PF00000695,CON0037705,Fashion,6
PF00000696,CON0093006,Travel,4
PF00000697,CON0092301,Home,9
PF00000698,CON0034242,Automotive,1
PF00000699,CON0097737,Automotive,3
PF00000700,CON0047887,Health,2
PF00000701,CON0092826,Home,4
PF00000702,CON0015929,Travel,9
PF00000703,CON0036868,Groceries,5
PF00000704,CON0037827,Groceries,1
PF00000705,CON0018441,Health,10
PF00000706,CON0093472,Electronics,4
PF00000707,CON0036934,Health,3
PF00000708,CON0034866,Travel,5
PF00000709,CON0081248,Groceries,6
PF00000710,CON0010429,Health,3
PF00000711,CON0088535,Groceries,1
PF00000712,CON0050845,Fashion,4
PF00000713,CON0011335,Electronics,8
PF00000714,CON0027276,Fashion,9
PF00000715,CON0042591,Travel,7
PF00000716,CON0079967,Groceries,7
PF00000717,CON0046959,Automotive,5
PF00000718,CON0058641,Automotive,1
PF00000719,CON0030280,Health,7
PF00000720,CON0056153,Groceries,7
PF00000721,CON0090780,Electronics,2
PF00000722,CON0069030,Entertainment,6
PF00000723,CON0055202,Electronics,9
PF00000724,CON0033403,Health,4
PF00000725,CON0003641,Health,2
PF00000726,CON0095002,Home,3
PF00000727,CON0091572,Electronics,4
PF00000728,CON0082177,Home,8
PF00000729,CON0008011,Health,8
PF00000730,CON0048878,Entertainment,3
PF00000731,CON0043943,Electronics,9
PF00000732,CON0045913,Home,7
PF00000733,CON0098249,Fashion,7
PF00000734,CON0095732,Entertainment,10
PF00000735,CON0060057,Fashion,10
PF00000736,CON0037590,Health,5
PF00000737,CON0084081,Electronics,9
PF00000738,CON0020407,Groceries,9
PF00000739,CON0005748,Electronics,10
PF00000740,CON0006621,Fashion,7
PF00000741,CON0095073,Groceries,10
PF00000742,CON0061876,Entertainment,4
PF00000743,CON0086505,Entertainment,4
PF00000744,CON0097979,Groceries,3
PF00000745,CON0044054,Automotive,8
PF00000746,CON0058898,Fashion,7
PF00000747,CON0006706,Electronics,6
PF00000748,CON0069626,Fashion,8
PF00000749,CON0015651,Home,3
PF00000750,CON0044923,Electronics,1
PF00000751,CON0007909,Groceries,6
PF00000752,CON0078318,Groceries,4
PF00000753,CON0032130,Entertainment,6
PF00000754,CON0013754,Entertainment,4
PF00000755,CON0003146,Groceries,3
PF00000756,CON0027318,Electronics,4
