employee_id,department,role,hire_date,tenure_months,salary,performance_score,status
E50,Engineering,Intern,2019-01-01,73,156253,1.7,active
E51,HR,Senior,2019-01-02,73,53698,1.6,active
E52,Operations,Manager,2019-01-02,73,170089,2.2,active
E53,Engineering,Director,2019-01-02,73,71955,5.0,active
E54,HR,Junior,2019-01-01,73,177631,2.9,active
E55,Operations,Senior,2019-01-02,73,139499,2.2,active
E56,HR,Senior,2019-01-01,73,63085,3.8,active
E57,Operations,Intern,2019-01-02,73,93058,3.4,left
E58,Finance,Junior,2019-01-02,73,174050,4.0,active
E59,Sales,Director,2019-01-01,73,120082,4.9,left
E60,HR,Senior,2019-01-01,73,164802,4.6,active
E61,Finance,Director,2019-01-01,73,169747,1.3,active
E62,Finance,Manager,2019-01-02,73,138562,4.7,active
E63,Marketing,Manager,2019-01-01,73,120486,3.7,left
E64,Operations,Manager,2019-01-01,73,139075,1.9,active
E65,HR,Junior,2019-01-01,73,63994,2.6,active
E66,Operations,Manager,2019-01-02,73,131377,4.1,left
E67,Sales,Manager,2019-01-02,73,113144,1.5,left
E68,Marketing,Intern,2019-01-01,73,70967,1.9,active
E69,Engineering,Intern,2019-01-01,73,137443,2.3,active
E70,Sales,Senior,2019-01-02,73,178120,2.7,active
E71,Sales,Senior,2019-01-02,73,131645,4.6,active
E72,Sales,Junior,2019-01-02,73,96024,1.3,active
E73,Operations,Senior,2019-01-02,73,76377,1.5,active
E74,HR,Junior,2019-01-01,73,87497,3.0,active
E75,Operations,Manager,2019-01-01,73,81619,3.2,active
E76,Engineering,Intern,2019-01-01,73,104414,4.1,active
E77,Finance,Intern,2019-01-01,73,174022,4.9,active
E78,HR,Intern,2019-01-02,73,153783,4.7,active
E79,Marketing,Manager,2019-01-02,73,90503,2.1,active
E80,Sales,Senior,2019-01-02,73,145015,2.0,active
E81,Marketing,Intern,2019-01-02,73,162388,1.8,left
E82,Marketing,Junior,2019-01-02,73,179930,2.7,left
E83,Sales,Intern,2019-01-02,73,83116,2.8,left
E84,Finance,Intern,2019-01-02,73,130575,1.8,left
E85,Marketing,Junior,2019-01-02,73,164899,4.2,active
E86,Marketing,Manager,2019-01-01,73,117777,2.1,active
E87,HR,Junior,2019-01-01,73,110306,4.1,active
E88,Finance,Senior,2019-01-01,73,57700,3.9,active
E89,Operations,Junior,2019-01-02,73,148894,1.8,active
E90,HR,Senior,2019-01-02,73,93223,2.6,active
E91,Marketing,Intern,2019-01-01,73,164795,1.4,active
E92,HR,Senior,2019-01-02,73,140323,3.5,active
E93,Engineering,Intern,2019-01-02,73,108444,3.9,left
E94,HR,Manager,2019-01-02,73,91972,4.0,active
E95,Sales,Director,2019-01-02,73,56818,3.4,active
E96,Sales,Senior,2019-01-01,73,110283,3.6,active
E97,Engineering,Manager,2019-01-02,73,122278,2.7,active
E98,Marketing,Director,2019-01-02,73,59302,2.6,active
E99,Engineering,Senior,2019-01-02,73,170673,1.4,left
E100,Finance,Intern,2019-01-02,73,46053,4.2,active
E101,Sales,Manager,2019-01-02,73,69506,3.2,active
E102,Sales,Senior,2019-01-01,73,131029,2.5,active
E103,Marketing,Manager,2019-01-01,73,42397,3.1,active
E104,Finance,Senior,2019-01-01,73,77800,1.1,active
E105,Operations,Senior,2019-01-02,73,161970,1.9,active
E106,Operations,Intern,2019-01-02,73,175074,4.1,active
E107,HR,Intern,2019-01-01,73,42379,2.4,left
E108,Finance,Manager,2019-01-02,73,75292,4.4,active
E109,Marketing,Senior,2019-01-02,73,80556,2.7,active
E110,Finance,Junior,2019-01-02,73,143762,1.6,left
E111,Marketing,Intern,2019-01-02,73,173553,4.5,active
E112,Marketing,Intern,2019-01-02,73,83571,1.7,active
E113,Operations,Director,2019-01-01,73,138586,3.2,active
E114,Operations,Junior,2019-01-02,73,57437,2.0,active
E115,Operations,Junior,2019-01-02,73,116454,3.3,active
E116,Sales,Senior,2019-01-01,73,42720,4.2,active
E117,Operations,Junior,2019-01-02,73,40919,3.9,active
E118,Finance,Junior,2019-01-01,73,84755,3.1,active
E119,Operations,Manager,2019-01-01,73,178420,4.9,active
E120,Finance,Junior,2019-01-02,73,152335,5.0,active
E121,Finance,Junior,2019-01-01,73,108795,4.6,active
E122,Engineering,Director,2019-01-02,73,91307,4.9,active
E123,Sales,Manager,2019-01-01,73,173792,1.4,left
E124,Marketing,Director,2019-01-01,73,152430,4.2,active
E125,Operations,Senior,2019-01-01,73,90113,3.2,active
E126,Operations,Junior,2019-01-02,73,101057,1.9,active
E127,Operations,Senior,2019-01-02,73,144207,2.2,active
E128,Sales,Director,2019-01-02,73,158886,1.7,active
E129,HR,Director,2019-01-01,73,59856,4.4,active
E130,Marketing,Manager,2019-01-02,73,127253,4.2,active
E131,Finance,Manager,2019-01-01,73,123367,3.1,active
E132,Sales,Intern,2019-01-01,73,52245,3.3,active
E133,Engineering,Senior,2019-01-02,73,45128,4.0,active
E134,Marketing,Intern,2019-01-01,73,171994,1.5,active
E135,Marketing,Junior,2019-01-01,73,140797,1.8,active
E136,Sales,Director,2019-01-02,73,162892,3.7,active
E137,Sales,Intern,2019-01-02,73,52441,4.1,active
E138,HR,Intern,2019-01-02,73,179180,4.2,left
E139,Operations,Senior,2019-01-02,73,127120,2.5,active
E140,Sales,Junior,2019-01-01,73,120175,3.1,active
E141,HR,Intern,2019-01-02,73,70673,5.0,active
E142,Engineering,Junior,2019-01-01,73,76052,2.0,active
E143,Engineering,Director,2019-01-01,73,64196,3.0,active
E144,HR,Intern,2019-01-01,73,132628,4.6,active
E145,Sales,Intern,2019-01-01,73,128096,2.5,active
E146,Finance,Intern,2019-01-02,73,134031,1.9,left
E147,HR,Senior,2019-01-02,73,132463,1.7,active
E148,Sales,Intern,2019-01-02,73,107825,4.6,active
E149,Operations,Junior,2019-01-02,73,52668,4.6,active
E150,Sales,Manager,2019-01-02,73,105353,3.9,active
E151,Marketing,Senior,2019-01-02,73,171615,3.1,active
E152,Sales,Director,2019-01-01,73,63625,3.3,active
E153,Engineering,Manager,2019-01-02,73,100390,2.3,active
E154,Sales,Director,2019-01-02,73,111442,2.5,active
E155,Sales,Senior,2019-01-01,73,122756,3.2,active
E156,Engineering,Director,2019-01-02,73,150203,4.3,left
E157,Operations,Director,2019-01-02,73,179486,4.7,left
E158,HR,Junior,2019-01-02,73,92217,3.2,active
E159,Operations,Intern,2019-01-01,73,136300,3.2,active
E160,Operations,Director,2019-01-01,73,106595,1.3,active
E161,Sales,Intern,2019-01-01,73,78124,3.0,active
E162,HR,Junior,2019-01-01,73,111363,4.5,left
E163,Marketing,Senior,2019-01-02,73,155990,1.3,active
E164,Sales,Junior,2019-01-02,73,121623,4.7,active
E165,Sales,Junior,2019-01-02,73,117352,1.9,active
E166,Finance,Intern,2019-01-02,73,159324,2.7,active
E167,Engineering,Director,2019-01-02,73,44661,4.9,active
E168,Finance,Junior,2019-01-02,73,67091,4.0,active
E169,Operations,Director,2019-01-01,73,166479,1.2,active
E170,Sales,Director,2019-01-01,73,72982,4.1,active
E171,Operations,Junior,2019-01-02,73,132490,1.6,active
E172,Finance,Director,2019-01-02,73,126735,1.9,active
E173,Marketing,Intern,2019-01-02,73,67068,3.8,left
E174,HR,Director,2019-01-01,73,47629,4.0,active
E175,HR,Director,2019-01-02,73,154637,4.1,active
E176,Finance,Director,2019-01-02,73,117316,1.5,active
E177,Sales,Manager,2019-01-01,73,125597,3.0,left
E178,Marketing,Senior,2019-01-02,73,165920,2.8,left
E179,Engineering,Director,2019-01-01,73,60913,5.0,active
E180,Marketing,Intern,2019-01-01,73,103363,4.2,left
E181,Finance,Intern,2019-01-02,73,148578,1.1,left
E182,Engineering,Director,2019-01-02,73,169147,2.1,left
E183,Operations,Junior,2019-01-01,73,40766,2.1,left
E184,HR,Junior,2019-01-02,73,131987,4.5,left
E185,Marketing,Director,2019-01-01,73,142245,1.1,active
E186,Finance,Senior,2019-01-01,73,118902,3.4,left
E187,Marketing,Manager,2019-01-01,73,62097,1.2,active
E188,HR,Director,2019-01-02,73,104797,2.3,active
E189,HR,Senior,2019-01-02,73,92571,4.1,active
E190,Operations,Intern,2019-01-02,73,120883,3.3,active
E191,Sales,Manager,2019-01-02,73,152058,2.9,active
E192,Operations,Junior,2019-01-01,73,109180,3.0,active
E193,Engineering,Senior,2019-01-01,73,138554,3.1,active
E194,Sales,Senior,2019-01-01,73,40232,3.1,left
E195,Finance,Manager,2019-01-02,73,77277,4.9,active
E196,Marketing,Junior,2019-01-01,73,177971,1.7,active
E197,HR,Junior,2019-01-02,73,140474,1.6,active
E198,Operations,Senior,2019-01-01,73,128913,1.6,active
E199,Engineering,Intern,2019-01-02,73,108724,3.5,active
E200,HR,Manager,2019-01-01,73,158957,3.0,active
E201,Sales,Senior,2019-01-02,73,151257,1.8,left
E202,Sales,Intern,2019-01-02,73,138397,2.3,active
E203,HR,Junior,2019-01-02,73,78853,4.3,active
E204,Finance,Intern,2019-01-02,73,61658,2.0,active
E205,HR,Senior,2019-01-01,73,61644,3.4,active
E206,Finance,Director,2019-01-01,73,69433,4.4,active
E207,Engineering,Director,2019-01-02,73,73367,2.5,left
E208,HR,Junior,2019-01-01,73,76705,4.6,active
E209,HR,Manager,2019-01-02,73,112846,1.9,active
E210,Sales,Manager,2019-01-02,73,58102,2.3,active
E211,Operations,Senior,2019-01-02,73,102934,4.9,active
E212,Finance,Director,2019-01-01,73,41604,1.3,active
E213,Engineering,Manager,2019-01-01,73,40884,4.4,active
E214,Sales,Intern,2019-01-01,73,135876,1.3,left
E215,Marketing,Junior,2019-01-01,73,139118,1.2,active
E216,HR,Junior,2019-01-01,73,65088,1.3,active
E217,Engineering,Manager,2019-01-01,73,178598,4.9,active
E218,Marketing,Senior,2019-01-01,73,74636,3.2,left
E219,Operations,Junior,2019-01-01,73,53650,1.4,active
E220,Engineering,Senior,2019-01-01,73,107143,3.7,active
E221,Sales,Director,2019-01-02,73,143861,4.3,left
E222,HR,Intern,2019-01-01,73,178953,2.8,active
E223,HR,Senior,2019-01-01,73,129325,3.3,active
E224,Sales,Junior,2019-01-01,73,93925,2.8,active
E225,Marketing,Director,2019-01-02,73,154657,3.0,active
E226,Marketing,Junior,2019-01-02,73,89100,1.7,active
E227,Engineering,Senior,2019-01-01,73,65878,4.1,left
E228,Finance,Senior,2019-01-01,73,133244,2.0,active
E229,Engineering,Manager,2019-01-02,73,106775,4.8,active
E230,Sales,Junior,2019-01-01,73,82844,2.3,active
E231,Finance,Manager,2019-01-01,73,177186,3.7,active
E232,Marketing,Intern,2019-01-02,73,125545,4.3,active
E233,Finance,Manager,2019-01-02,73,108779,2.2,active
E234,Sales,Intern,2019-01-02,73,122854,3.3,left
E235,Marketing,Manager,2019-01-02,73,50518,4.3,active
E236,Finance,Intern,2019-01-01,73,124654,2.2,active
E237,Operations,Senior,2019-01-02,73,119030,1.8,active
E238,HR,Intern,2019-01-01,73,117271,4.6,left
E239,Engineering,Junior,2019-01-02,73,138208,1.7,active
E240,Marketing,Junior,2019-01-02,73,174734,3.0,active
E241,Marketing,Director,2019-01-01,73,110029,4.7,active
E242,Sales,Manager,2019-01-01,73,57766,3.7,active
E243,Engineering,Manager,2019-01-01,73,161153,4.5,active
E244,Sales,Director,2019-01-01,73,143416,1.9,active
E245,Engineering,Director,2019-01-01,73,154427,3.4,active
E246,HR,Junior,2019-01-02,73,164174,4.6,active
E247,Operations,Manager,2019-01-02,73,169777,3.6,active
E248,HR,Junior,2019-01-02,73,77268,4.4,active
E249,Finance,Senior,2019-01-02,73,103205,3.7,active
E250,HR,Senior,2019-01-01,73,154406,2.2,active
E251,HR,Director,2019-01-02,73,124410,4.2,active
E252,Sales,Intern,2019-01-01,73,157522,1.8,active
E253,Marketing,Director,2019-01-02,73,79240,4.8,active
E254,Engineering,Director,2019-01-02,73,110011,1.0,active
E255,Finance,Director,2019-01-01,73,123469,1.2,active
E256,Sales,Manager,2019-01-01,73,122991,2.9,active
E257,HR,Manager,2019-01-02,73,158930,3.8,active
E258,Finance,Manager,2019-01-01,73,156836,3.2,active
E259,Sales,Senior,2019-01-02,73,79362,1.2,active
E260,Engineering,Senior,2019-01-02,73,133945,4.4,active
E261,Finance,Manager,2019-01-01,73,139397,4.2,active
E262,Finance,Junior,2019-01-02,73,67212,1.7,left
E263,Finance,Junior,2019-01-01,73,85139,2.5,active
E264,Engineering,Intern,2019-01-02,73,70755,4.2,active
E265,Operations,Junior,2019-01-02,73,161056,3.8,active
E266,Finance,Director,2019-01-01,73,95059,3.8,active
E267,HR,Senior,2019-01-02,73,170765,3.4,active
E268,Finance,Intern,2019-01-02,73,68456,4.1,left
E269,HR,Director,2019-01-02,73,116735,2.1,left
E270,Finance,Intern,2019-01-01,73,156121,3.0,left
E271,Sales,Senior,2019-01-02,73,178123,1.2,active
E272,HR,Director,2019-01-01,73,88386,2.3,active
E273,Finance,Manager,2019-01-02,73,46643,1.8,left
E274,Marketing,Junior,2019-01-02,73,88897,4.8,active
E275,Marketing,Manager,2019-01-02,73,125977,1.4,active
E276,Operations,Senior,2019-01-02,73,167294,4.2,left
E277,Engineering,Director,2019-01-01,73,154025,2.0,active
E278,HR,Intern,2019-01-02,73,100453,2.5,active
E279,Sales,Senior,2019-01-02,73,179800,3.7,active
E280,Marketing,Junior,2019-01-01,73,43075,2.0,active
E281,Operations,Senior,2019-01-02,73,61989,3.4,active
E282,Sales,Director,2019-01-01,73,40069,1.9,active
E283,Sales,Junior,2019-01-02,73,87865,2.3,active
E284,Finance,Senior,2019-01-02,73,148168,2.7,active
E285,Engineering,Junior,2019-01-01,73,116543,4.0,active
E286,Sales,Director,2019-01-01,73,132275,1.3,active
E287,Engineering,Junior,2019-01-02,73,167057,3.3,active
E288,Operations,Director,2019-01-01,73,89097,4.0,active
E289,Sales,Manager,2019-01-01,73,107184,3.6,left
E290,Engineering,Manager,2019-01-01,73,126341,2.8,active
E291,Sales,Director,2019-01-01,73,164572,1.6,active
E292,Finance,Intern,2019-01-02,73,166604,2.4,active
E293,HR,Intern,2019-01-01,73,111883,1.6,left
E294,Engineering,Senior,2019-01-01,73,178986,1.3,left
E295,Operations,Director,2019-01-02,73,124380,2.7,active
E296,Operations,Senior,2019-01-02,73,128866,1.5,active
E297,Engineering,Senior,2019-01-01,73,50007,2.1,left
E298,Marketing,Director,2019-01-01,73,114799,3.4,active
E299,Finance,Manager,2019-01-01,73,145423,4.7,active
E300,HR,Manager,2019-01-01,73,160150,1.1,active
E301,Marketing,Junior,2019-01-01,73,81528,3.7,active
E302,Operations,Manager,2019-01-01,73,149603,3.0,active
E303,Finance,Director,2019-01-02,73,172769,4.5,active
E304,Marketing,Intern,2019-01-02,73,113958,2.2,active
E305,Sales,Intern,2019-01-02,73,135603,2.7,active
E306,Finance,Senior,2019-01-02,73,81801,1.4,active
E307,Operations,Junior,2019-01-01,73,128268,3.1,active
E308,HR,Director,2019-01-02,73,139426,4.6,left
E309,HR,Intern,2019-01-01,73,157804,3.8,active
E310,Operations,Manager,2019-01-01,73,112443,4.0,active
E311,Engineering,Senior,2019-01-02,73,52948,3.8,active
E312,Finance,Director,2019-01-01,73,85971,3.1,active
E313,Marketing,Senior,2019-01-01,73,175835,4.4,active
E314,Marketing,Manager,2019-01-01,73,43001,2.8,active
E315,Marketing,Junior,2019-01-01,73,51477,4.2,active
E316,Engineering,Manager,2019-01-02,73,110112,1.5,active
E317,Sales,Manager,2019-01-02,73,40915,3.5,active
E318,Sales,Senior,2019-01-02,73,88230,2.2,active
E319,Finance,Junior,2019-01-02,73,62922,1.2,active
E320,Sales,Intern,2019-01-02,73,92838,1.0,active
E321,Operations,Intern,2019-01-01,73,105911,1.1,active
E322,Marketing,Manager,2019-01-01,73,109552,1.2,left
E323,Engineering,Senior,2019-01-01,73,79204,2.6,left
E324,Finance,Senior,2019-01-02,73,86362,3.8,active
E325,Marketing,Intern,2019-01-01,73,40691,3.6,left
E326,HR,Junior,2019-01-02,73,101271,1.6,active
E327,Operations,Junior,2019-01-02,73,101486,4.1,left
E328,Sales,Junior,2019-01-01,73,110028,4.7,active
E329,Engineering,Director,2019-01-02,73,123550,2.9,active
E330,Sales,Junior,2019-01-01,73,120791,1.1,active
E331,Sales,Director,2019-01-02,73,91949,1.9,active
E332,Operations,Junior,2019-01-01,73,55501,3.8,active
E333,Sales,Intern,2019-01-01,73,118322,1.4,active
E334,HR,Intern,2019-01-01,73,155540,2.0,active
E335,Finance,Manager,2019-01-01,73,65251,2.4,active
E336,Operations,Senior,2019-01-02,73,151583,1.7,active
E337,HR,Senior,2019-01-02,73,174051,2.0,left
E338,Operations,Senior,2019-01-02,73,82938,4.6,active
E339,Operations,Junior,2019-01-01,73,41177,2.0,left
E340,HR,Intern,2019-01-01,73,53173,1.1,active
E341,Marketing,Manager,2019-01-02,73,123992,4.9,active
E342,Finance,Senior,2019-01-02,73,119323,3.3,active
E343,Operations,Junior,2019-01-02,73,130683,4.4,active
E344,HR,Manager,2019-01-01,73,118177,3.0,active
E345,Sales,Intern,2019-01-01,73,141391,4.1,active
E346,Marketing,Junior,2019-01-01,73,161173,4.1,active
E347,HR,Manager,2019-01-02,73,121318,3.1,active
E348,Finance,Senior,2019-01-01,73,97976,4.9,active
E349,Marketing,Director,2019-01-02,73,118037,1.6,active
E350,HR,Intern,2019-01-01,73,176863,2.9,active
E351,Sales,Junior,2019-01-01,73,48421,3.2,active
E352,HR,Senior,2019-01-02,73,74566,1.9,left
E353,HR,Intern,2019-01-01,73,71790,3.5,active
E354,Operations,Director,2019-01-02,73,104291,1.0,active
E355,Marketing,Junior,2019-01-02,73,94265,2.5,active
E356,Sales,Director,2019-01-02,73,102300,3.4,active
E357,Engineering,Senior,2019-01-01,73,98348,4.6,left
E358,Sales,Director,2019-01-01,73,52960,2.3,left
E359,Engineering,Manager,2019-01-01,73,105658,1.4,active
E360,Sales,Director,2019-01-02,73,92344,3.8,active
E361,HR,Intern,2019-01-02,73,102346,1.5,left
E362,Marketing,Director,2019-01-02,73,73793,1.7,active
E363,Sales,Intern,2019-01-01,73,106525,3.9,active
E364,HR,Intern,2019-01-02,73,136087,1.9,active
E365,Operations,Junior,2019-01-02,73,125821,5.0,active
E366,Operations,Junior,2019-01-02,73,179429,2.0,active
E367,Marketing,Senior,2019-01-02,73,160090,1.4,left
E368,Engineering,Senior,2019-01-01,73,169872,2.9,active
E369,Finance,Senior,2019-01-02,73,126013,1.2,active
E370,Engineering,Senior,2019-01-02,73,50655,2.8,left
E371,Sales,Junior,2019-01-01,73,142852,1.9,left
E372,Finance,Senior,2019-01-01,73,111489,4.5,active
E373,Operations,Director,2019-01-02,73,88249,1.7,active
E374,Marketing,Manager,2019-01-02,73,148137,3.5,active
E375,Marketing,Director,2019-01-01,73,153692,4.3,active
E376,Sales,Senior,2019-01-01,73,73526,1.2,active
E377,HR,Director,2019-01-01,73,154147,3.5,active
E378,HR,Junior,2019-01-01,73,101030,1.5,active
E379,Sales,Manager,2019-01-02,73,166188,2.6,active
E380,Marketing,Manager,2019-01-01,73,94651,1.5,active
E381,Engineering,Senior,2019-01-01,73,99274,2.0,active
E382,Marketing,Director,2019-01-01,73,152199,3.3,active
E383,Sales,Junior,2019-01-01,73,154221,3.2,active
E384,Operations,Junior,2019-01-01,73,48265,1.4,left
E385,Finance,Director,2019-01-02,73,95134,2.8,active
E386,Engineering,Junior,2019-01-02,73,150702,3.2,active
E387,Operations,Senior,2019-01-02,73,99629,5.0,active
E388,Operations,Senior,2019-01-02,73,92654,1.3,active
E389,HR,Intern,2019-01-02,73,157819,3.9,active
E390,Sales,Director,2019-01-02,73,155428,2.2,active
E391,Engineering,Manager,2019-01-02,73,157808,1.4,active
E392,Engineering,Senior,2019-01-01,73,86563,1.8,active
E393,Engineering,Junior,2019-01-01,73,50146,2.1,active
E394,Operations,Intern,2019-01-01,73,133600,4.6,active
E395,Engineering,Intern,2019-01-02,73,84952,3.9,left
E396,Marketing,Intern,2019-01-02,73,53498,3.7,active
E397,Engineering,Senior,2019-01-01,73,106931,1.8,active
E398,Finance,Intern,2019-01-01,73,67997,4.5,active
E399,Marketing,Director,2019-01-01,73,106204,1.2,active
E400,HR,Director,2019-01-01,73,76908,2.2,active
E401,Marketing,Manager,2019-01-01,73,175704,3.8,active
E402,Finance,Intern,2019-01-02,73,158225,2.9,active
E403,Engineering,Senior,2019-01-01,73,160162,1.6,active
E404,Engineering,Junior,2019-01-02,73,102648,3.1,active
E405,Sales,Senior,2019-01-02,73,75701,3.8,active
E406,Marketing,Manager,2019-01-02,73,127796,2.3,active
E407,Finance,Manager,2019-01-01,73,45982,3.4,active
E408,Sales,Director,2019-01-02,73,82843,1.4,active
E409,HR,Intern,2019-01-01,73,45664,1.2,active
E410,Operations,Manager,2019-01-01,73,63275,2.8,left
E411,HR,Junior,2019-01-01,73,163493,2.2,active
E412,Finance,Senior,2019-01-01,73,158159,1.8,active
E413,Marketing,Director,2019-01-02,73,131412,2.2,active
E414,Engineering,Manager,2019-01-02,73,115119,3.5,active
E415,Marketing,Director,2019-01-01,73,163818,3.3,active
E416,Operations,Senior,2019-01-01,73,119671,2.5,left
E417,Finance,Senior,2019-01-02,73,83274,3.0,active
E418,Finance,Senior,2019-01-02,73,167013,4.7,left
E419,Sales,Senior,2019-01-02,73,122585,3.2,active
E420,Finance,Manager,2019-01-02,73,99700,3.7,left
E421,Finance,Junior,2019-01-01,73,151873,2.6,active
E422,Engineering,Junior,2019-01-01,73,144943,3.4,left
E423,Sales,Intern,2019-01-01,73,122203,3.4,active
E424,Sales,Director,2019-01-01,73,167295,2.3,active
E425,HR,Intern,2019-01-01,73,47556,4.1,active
E426,Marketing,Junior,2019-01-01,73,174464,2.2,active
E427,HR,Junior,2019-01-01,73,102179,1.5,active
E428,Sales,Director,2019-01-01,73,144564,4.9,left
E429,Operations,Senior,2019-01-01,73,50031,4.6,active
E430,Finance,Director,2019-01-02,73,50162,3.6,left
E431,Engineering,Intern,2019-01-01,73,132736,1.6,active
E432,Engineering,Manager,2019-01-02,73,48201,3.8,active
E433,Operations,Junior,2019-01-01,73,161845,3.1,active
E434,Operations,Junior,2019-01-02,73,176483,3.8,active
E435,Marketing,Junior,2019-01-01,73,62739,4.6,active
E436,Sales,Junior,2019-01-02,73,153194,2.6,active
E437,Engineering,Junior,2019-01-02,73,158898,4.2,active
E438,Operations,Senior,2019-01-01,73,53678,3.1,left
E439,HR,Director,2019-01-01,73,66966,3.4,active
E440,Sales,Manager,2019-01-01,73,174290,4.2,active
E441,Finance,Director,2019-01-01,73,134496,2.2,active
E442,Engineering,Intern,2019-01-01,73,75482,3.7,active
E443,Finance,Senior,2019-01-01,73,57525,4.8,active
E444,Marketing,Manager,2019-01-02,73,132707,1.6,active
E445,Operations,Senior,2019-01-02,73,178563,1.8,active
E446,Engineering,Intern,2019-01-01,73,175795,4.5,left
E447,HR,Manager,2019-01-02,73,108718,3.7,active
E448,Engineering,Director,2019-01-02,73,151478,4.8,active
E449,Sales,Junior,2019-01-02,73,63271,4.9,active
E450,Marketing,Manager,2019-01-01,73,79347,1.1,active
E451,HR,Intern,2019-01-01,73,72012,4.3,active
E452,Marketing,Director,2019-01-01,73,127024,3.8,active
E453,HR,Junior,2019-01-02,73,109500,1.9,active
E454,Sales,Manager,2019-01-01,73,88639,4.5,active
E455,Finance,Senior,2019-01-02,73,54133,1.9,active
E456,Operations,Intern,2019-01-01,73,132159,1.3,left
E457,Sales,Intern,2019-01-02,73,131925,3.5,active
E458,Marketing,Intern,2019-01-01,73,106151,5.0,left
E459,HR,Manager,2019-01-02,73,122878,2.1,active
E460,HR,Director,2019-01-01,73,65014,1.5,active
E461,Marketing,Director,2019-01-01,73,48747,3.5,active
E462,Finance,Manager,2019-01-02,73,155417,4.2,active
E463,Marketing,Senior,2019-01-01,73,48977,4.8,active
E464,Engineering,Junior,2019-01-01,73,129149,3.3,active
E465,Sales,Manager,2019-01-01,73,141886,3.1,left
E466,Engineering,Junior,2019-01-01,73,103767,4.8,active
E467,Marketing,Manager,2019-01-01,73,162779,3.3,active
E468,HR,Senior,2019-01-01,73,109954,4.0,active
E469,Operations,Senior,2019-01-01,73,118138,2.5,left
E470,Operations,Junior,2019-01-02,73,173856,3.4,left
E471,Marketing,Junior,2019-01-01,73,113357,2.4,active
E472,HR,Junior,2019-01-01,73,85647,3.4,active
E473,HR,Intern,2019-01-02,73,112665,4.4,active
E474,Sales,Director,2019-01-01,73,164515,3.6,active
E475,Finance,Intern,2019-01-02,73,161052,3.0,active
E476,Engineering,Manager,2019-01-02,73,165193,1.0,active
E477,Operations,Manager,2019-01-02,73,132674,2.8,left
E478,Sales,Manager,2019-01-01,73,50700,3.2,left
E479,Engineering,Senior,2019-01-01,73,61711,2.3,active
E480,Operations,Director,2019-01-02,73,56061,4.3,active
E481,Engineering,Director,2019-01-02,73,125167,2.2,active
