campaign_id,campaign_name,channel,date,impressions,clicks,leads,spend,revenue
M25,Campaign 3,Google Ads,2024-09-03,365040,10199,1413,7189.41,9464.34
M26,Campaign 8,Google Ads,2024-10-08,171557,4050,410,5520.92,18851.28
M27,Campaign 6,Instagram,2024-05-16,444417,6535,871,12848.42,12004.59
M28,Campaign 1,Facebook,2024-08-16,103910,3335,206,19668.71,36610.12
M29,Campaign 5,Facebook,2024-11-25,240652,8196,956,6511.42,21163.15
M30,Campaign 5,TikTok,2024-06-08,357467,10701,1272,16011.63,49449.2
M31,Campaign 11,Facebook,2024-06-19,464921,12275,715,8678.79,7832.99
M32,Campaign 8,Email,2024-10-06,104349,2403,198,5384.83,7017.02
M33,Campaign 11,Instagram,2024-01-01,232767,5298,1022,12172.83,13333.55
M34,Campaign 3,Instagram,2024-09-30,405648,20203,3254,4665.13,9340.37
M35,Campaign 2,Google Ads,2024-09-26,314101,5477,1059,4070.83,15742.39
M36,Campaign 3,Email,2024-06-02,10535,491,48,12937.56,11187.9
M37,Campaign 1,Instagram,2024-10-11,308832,11966,1926,8913.31,31926.2
M38,Campaign 6,LinkedIn,2024-09-17,71324,1939,106,6573.08,24606.9
M39,Campaign 6,Instagram,2024-07-26,307575,5783,759,10879.75,31556.94
M40,Campaign 8,Email,2024-09-23,95548,4283,673,10912.4,29165.51
M41,Campaign 5,Google Ads,2024-09-18,105027,1160,157,5210.96,20455.25
M42,Campaign 11,LinkedIn,2024-11-23,72901,1305,178,9743.2,12487.05
M43,Campaign 10,Email,2024-01-19,241581,11604,1164,15637.21,41940.36
M44,Campaign 8,Google Ads,2024-10-13,78321,1747,199,1393.64,1180.17
M45,Campaign 8,Instagram,2024-05-22,315116,6157,794,8139.56,11650.43
M46,Campaign 3,LinkedIn,2024-10-06,452183,21607,2571,2975.69,9216.51
M47,Campaign 7,LinkedIn,2024-11-05,416382,7220,1385,7288.48,21518.92
M48,Campaign 1,Facebook,2024-07-12,347236,15892,2570,7953.89,14244.94
M49,Campaign 5,Email,2024-05-28,486732,22840,3861,14068.0,23701.65
M50,Campaign 8,Facebook,2024-02-07,484192,18130,2165,4844.66,4904.54
M51,Campaign 6,LinkedIn,2024-09-09,99632,3837,632,909.77,656.36
M52,Campaign 11,LinkedIn,2024-07-17,255571,11211,635,2730.75,3116.01
M53,Campaign 3,TikTok,2024-08-09,422283,18409,2531,14639.05,46768.98
M54,Campaign 8,Facebook,2024-12-27,347687,11931,2234,906.61,1819.63
M55,Campaign 5,Email,2024-11-26,220958,6271,609,4634.37,9292.72
M56,Campaign 1,Email,2024-12-02,309534,9577,858,11364.53,21921.11
M57,Campaign 11,Facebook,2024-03-02,451939,7947,998,8676.7,11248.56
M58,Campaign 8,Facebook,2024-03-07,174916,7877,1025,18221.53,47604.56
M59,Campaign 10,Facebook,2024-04-08,382628,15630,2127,3337.49,13272.01
M60,Campaign 3,Instagram,2024-05-19,336547,5514,562,10974.23,29988.59
M61,Campaign 7,TikTok,2024-04-06,104963,4291,836,9770.65,36778.4
M62,Campaign 2,TikTok,2024-12-12,67829,1721,257,16342.93,55750.62
M63,Campaign 3,Google Ads,2024-12-03,138324,1524,147,1515.38,3468.19
M64,Campaign 2,Facebook,2024-02-11,56817,1495,256,6814.37,27031.59
M65,Campaign 3,Facebook,2024-03-12,67770,2033,254,16977.48,10067.81
M66,Campaign 6,LinkedIn,2024-09-29,237543,10518,1452,1820.03,6528.21
M67,Campaign 1,Instagram,2024-09-11,66587,2136,229,14755.07,45761.56
M68,Campaign 7,Instagram,2024-08-10,187900,6223,672,13655.25,30599.59
M69,Campaign 9,Facebook,2024-04-01,371111,17527,2787,5739.77,5510.26
M70,Campaign 3,Facebook,2024-06-18,127816,2597,277,4680.85,2718.52
M71,Campaign 6,Email,2024-12-11,432484,9481,1468,11934.34,14846.94
M72,Campaign 1,LinkedIn,2024-08-12,305882,4941,659,18498.11,27503.95
M73,Campaign 3,Email,2024-02-29,143846,1950,104,14624.52,15631.74
M74,Campaign 4,Instagram,2024-09-25,75695,1452,178,18595.17,35091.13
M75,Campaign 2,Google Ads,2024-07-22,263730,5965,368,16245.55,34020.11
M76,Campaign 3,Google Ads,2024-09-20,187096,6618,760,11164.98,36808.03
M77,Campaign 10,Instagram,2024-09-20,240850,4978,556,3735.57,3630.45
M78,Campaign 8,TikTok,2024-11-10,256790,5147,410,1832.91,4392.46
M79,Campaign 6,Facebook,2024-05-24,83238,1276,100,6735.74,4169.79
M80,Campaign 5,LinkedIn,2024-02-05,230779,5320,934,11391.71,45540.82
M81,Campaign 7,Google Ads,2024-11-02,371571,15048,2395,16435.56,29611.88
M82,Campaign 8,Email,2024-11-07,373122,9443,1652,13964.48,50976.94
M83,Campaign 3,LinkedIn,2024-12-26,329418,14447,1450,11362.14,21181.95
M84,Campaign 12,TikTok,2024-08-10,109156,1119,203,1462.82,1597.22
M85,Campaign 6,Google Ads,2024-06-30,366173,8044,991,18657.83,51519.91
M86,Campaign 7,TikTok,2024-01-14,138018,5869,911,16717.77,63838.85
M87,Campaign 9,LinkedIn,2024-03-19,120267,3757,541,1190.87,1321.64
M88,Campaign 5,LinkedIn,2024-03-18,382396,12339,784,19042.67,39379.86
M89,Campaign 5,TikTok,2024-12-23,276584,7336,1376,18575.11,62537.04
M90,Campaign 7,Instagram,2024-12-09,65289,1308,226,10861.92,21125.14
M91,Campaign 6,LinkedIn,2024-08-02,320278,11861,2162,18710.07,29417.18
M92,Campaign 11,TikTok,2024-05-30,286775,5778,1019,15964.12,45063.83
M93,Campaign 3,LinkedIn,2024-04-16,274502,5793,950,2298.14,9125.6
M94,Campaign 9,LinkedIn,2024-03-04,426003,17219,3214,3543.41,13421.87
M95,Campaign 11,Google Ads,2024-12-11,177546,5653,478,13129.25,35429.2
M96,Campaign 8,Facebook,2024-04-18,135024,5290,953,16828.49,37615.21
M97,Campaign 4,Facebook,2024-08-01,74244,2566,338,8737.45,19604.58
M98,Campaign 4,LinkedIn,2024-09-04,318296,10738,1749,14268.59,12263.61
M99,Campaign 5,Facebook,2024-03-18,267487,10941,1000,14894.23,19401.19
M100,Campaign 9,LinkedIn,2024-03-04,112872,1919,306,12410.26,38578.0
M101,Campaign 7,Instagram,2024-05-29,309114,7702,945,9733.1,36252.2
M102,Campaign 8,Google Ads,2024-06-19,270864,10785,790,11883.81,37012.63
M103,Campaign 3,Email,2024-10-02,400100,15729,1578,16367.87,40296.24
M104,Campaign 7,Email,2024-04-28,71794,1352,253,15908.47,48255.28
M105,Campaign 1,LinkedIn,2024-08-24,207611,7359,1304,14874.06,44448.32
M106,Campaign 1,Email,2024-06-06,259566,5614,730,13536.1,35188.36
M107,Campaign 4,Google Ads,2024-09-08,326815,6996,792,6058.23,7103.4
M108,Campaign 1,Google Ads,2024-04-09,237381,10750,886,19240.32,54312.74
M109,Campaign 11,Email,2024-03-09,22595,796,82,3762.26,5501.01
M110,Campaign 4,Google Ads,2024-10-26,164684,2331,412,16396.0,9979.34
M111,Campaign 9,TikTok,2024-10-28,289211,10653,1074,14659.68,57124.24
M112,Campaign 2,Email,2024-01-06,125531,4932,325,19566.81,63565.75
M113,Campaign 11,Google Ads,2024-09-19,265362,11273,1875,7917.66,29691.96
M114,Campaign 6,Instagram,2024-02-19,484749,5642,692,7895.91,16008.66
M115,Campaign 1,Facebook,2024-08-01,91843,1841,322,10583.27,18274.99
M116,Campaign 12,Email,2024-06-13,461960,7190,706,2682.21,9541.14
M117,Campaign 11,TikTok,2024-05-28,350264,12347,897,1321.0,769.43
M118,Campaign 8,Email,2024-12-07,242261,3572,603,1942.68,2596.74
M119,Campaign 7,Facebook,2024-06-14,165229,5287,684,19133.28,70639.21
M120,Campaign 12,Email,2024-09-13,14296,642,58,9981.62,18330.49
M121,Campaign 7,TikTok,2024-02-17,285175,3923,257,1359.98,2037.83
M122,Campaign 11,Facebook,2024-04-03,298544,13823,1523,19618.0,63430.86
M123,Campaign 1,TikTok,2024-06-10,129141,4343,804,19541.9,66623.02
M124,Campaign 10,LinkedIn,2024-01-14,326473,11164,1889,15856.99,31833.82
M125,Campaign 7,Facebook,2024-06-01,46206,2170,325,15954.5,13914.53
M126,Campaign 4,Google Ads,2024-03-09,130129,5686,932,3588.32,13963.58
M127,Campaign 12,TikTok,2024-06-11,481358,15609,1806,19107.88,12649.23
M128,Campaign 2,TikTok,2024-06-27,280468,4505,702,1111.21,1693.85
M129,Campaign 11,Google Ads,2024-04-07,118964,5916,1046,11237.96,30998.51
M130,Campaign 11,Instagram,2024-02-28,445493,21346,1846,19354.62,50191.78
M131,Campaign 2,Instagram,2024-09-27,365024,13157,750,17580.79,68995.31
M132,Campaign 3,Instagram,2024-03-03,446414,5426,634,16549.74,19633.38
M133,Campaign 3,Email,2024-02-24,194275,2758,319,1175.99,1304.78
M134,Campaign 7,Google Ads,2024-05-07,330751,3856,444,774.2,3023.93
M135,Campaign 12,Google Ads,2024-11-20,238555,10037,924,14765.26,42200.84
M136,Campaign 3,LinkedIn,2024-03-22,491803,15040,2013,745.02,2356.14
M137,Campaign 9,Google Ads,2024-04-30,222652,3580,590,17440.88,38515.63
M138,Campaign 10,Facebook,2024-07-18,394043,4359,373,4374.34,7619.18
M139,Campaign 11,Google Ads,2024-10-27,379407,10011,1722,2898.03,10556.26
M140,Campaign 11,Facebook,2024-04-29,202133,3383,248,4868.28,8245.25
M141,Campaign 12,Email,2024-07-09,155551,3541,292,17471.98,11770.95
M142,Campaign 6,LinkedIn,2024-05-12,16047,716,101,7541.86,18125.61
M143,Campaign 6,Google Ads,2024-04-03,411827,6977,594,9549.8,12818.17
M144,Campaign 10,Email,2024-09-13,150064,2928,508,13566.62,33360.17
M145,Campaign 3,Facebook,2024-08-11,322193,6592,859,651.56,1964.14
M146,Campaign 10,Instagram,2024-02-09,358230,12084,1844,15571.13,25720.11
M147,Campaign 9,Instagram,2024-02-01,276110,9911,575,9741.64,6137.91
M148,Campaign 7,TikTok,2024-06-14,250777,10322,820,3726.97,3633.59
M149,Campaign 9,Instagram,2024-10-30,182115,8604,584,19805.57,22691.87
M150,Campaign 10,Facebook,2024-12-22,462276,10540,1634,12585.61,26786.93
M151,Campaign 8,TikTok,2024-07-30,205148,6774,1137,6356.22,8285.79
M152,Campaign 5,LinkedIn,2024-05-13,270920,13148,1556,9587.7,36945.68
M153,Campaign 4,Email,2024-02-03,159410,5127,949,12945.51,25807.8
M154,Campaign 12,LinkedIn,2024-03-12,23945,528,63,6088.16,19742.57
M155,Campaign 1,LinkedIn,2024-05-09,318117,14714,911,1116.32,1647.52
M156,Campaign 9,LinkedIn,2024-01-10,274957,8946,1033,18819.64,74593.37
M157,Campaign 8,Email,2024-04-14,322543,7115,806,2295.99,4941.92
M158,Campaign 5,Facebook,2024-08-12,63708,1976,380,17532.08,59185.4
M159,Campaign 1,Google Ads,2024-02-03,260611,11322,1724,1350.4,3613.36
M160,Campaign 8,Facebook,2024-12-13,277886,5664,658,17691.32,41342.73
M161,Campaign 3,Instagram,2024-06-16,463532,6224,742,9877.29,10628.1
M162,Campaign 1,Email,2024-08-30,219391,4188,301,7211.21,26064.22
M163,Campaign 7,Instagram,2024-10-25,88739,983,172,17953.3,25671.46
M164,Campaign 2,TikTok,2024-04-22,379152,12595,1532,13423.68,39483.23
M165,Campaign 4,Google Ads,2024-01-13,76017,2306,345,10590.71,29969.79
M166,Campaign 10,TikTok,2024-09-24,457828,20890,1312,9425.58,33014.12
M167,Campaign 8,LinkedIn,2024-05-14,357089,17812,968,7751.04,8122.32
M168,Campaign 4,TikTok,2024-10-27,170527,7628,1427,9900.42,37902.5
M169,Campaign 5,Google Ads,2024-07-15,154397,2967,461,16663.3,58763.57
M170,Campaign 12,Instagram,2024-09-30,398911,5802,730,17309.62,26645.32
M171,Campaign 7,Email,2024-01-23,256222,12025,2375,19270.87,51067.65
M172,Campaign 9,LinkedIn,2024-05-27,408068,16011,1730,8505.73,7362.9
M173,Campaign 2,LinkedIn,2024-06-11,185430,4716,839,3203.69,1971.68
M174,Campaign 9,TikTok,2024-04-09,197702,4507,348,16160.34,38210.28
M175,Campaign 5,Instagram,2024-07-21,499771,23367,3019,6755.37,7546.0
M176,Campaign 6,Google Ads,2024-12-25,227687,3516,338,19291.16,72924.02
M177,Campaign 11,Email,2024-07-22,465354,22627,3303,8489.63,9262.61
M178,Campaign 6,Instagram,2024-10-11,241927,5956,361,15396.9,31481.96
M179,Campaign 4,TikTok,2024-07-07,49937,2244,231,16598.54,33515.29
M180,Campaign 4,TikTok,2024-11-13,425764,14608,2558,13935.11,11561.05
M181,Campaign 3,Google Ads,2024-05-20,361249,17569,3061,6362.78,5877.82
M182,Campaign 7,Email,2024-04-26,463527,13424,845,16368.95,26236.33
M183,Campaign 11,Facebook,2024-11-02,41435,553,88,10378.79,18560.26
M184,Campaign 7,Facebook,2024-09-09,433906,19227,1171,4953.72,7952.1
M185,Campaign 4,Facebook,2024-11-16,343196,12862,1522,11862.08,17748.0
M186,Campaign 9,Facebook,2024-05-06,300230,3753,488,19318.98,71191.95
M187,Campaign 7,Instagram,2024-05-15,246356,8743,1127,5065.22,4234.87
M188,Campaign 10,TikTok,2024-09-29,401988,7397,786,2294.15,7469.69
M189,Campaign 11,Instagram,2024-07-14,488100,17502,1159,6593.75,13780.59
M190,Campaign 2,LinkedIn,2024-06-13,468843,18526,3255,5336.1,12503.23
M191,Campaign 11,Google Ads,2024-09-21,199572,6609,1151,4258.42,14057.39
M192,Campaign 4,Google Ads,2024-07-18,261184,4121,684,13719.46,17929.94
M193,Campaign 5,Instagram,2024-06-01,404814,7553,1254,7107.96,24981.64
M194,Campaign 12,Instagram,2024-07-23,318762,7262,1326,3686.89,10195.45
M195,Campaign 8,TikTok,2024-07-22,319872,8726,1405,14167.58,17843.04
M196,Campaign 8,LinkedIn,2024-03-15,106176,1963,196,7799.28,17206.12
M197,Campaign 11,Instagram,2024-09-16,219610,4086,226,2217.02,8681.58
M198,Campaign 1,Facebook,2024-08-27,486539,23643,2448,7051.95,22811.04
M199,Campaign 11,Google Ads,2024-09-25,476525,16236,1349,1769.13,3948.12
M200,Campaign 8,LinkedIn,2024-10-22,106887,4556,910,19473.71,32622.89
M201,Campaign 7,TikTok,2024-09-14,174315,3265,623,15474.51,59971.93
M202,Campaign 2,LinkedIn,2024-06-20,352773,10879,711,5529.99,15473.3
M203,Campaign 5,Google Ads,2024-08-14,371559,11289,1258,5643.72,6214.87
M204,Campaign 12,Instagram,2024-12-28,157470,2370,185,7077.88,25339.81
M205,Campaign 6,LinkedIn,2024-12-17,365788,17038,1099,13786.65,13206.7
M206,Campaign 12,TikTok,2024-11-13,200519,7146,646,1655.63,5046.65
M207,Campaign 9,LinkedIn,2024-11-29,32363,1273,157,14245.41,28505.47
M208,Campaign 1,Facebook,2024-12-05,426354,20896,1804,16175.15,46210.03
M209,Campaign 2,Instagram,2024-11-18,488419,11462,1385,13441.56,13075.29
M210,Campaign 5,LinkedIn,2024-05-24,484621,20537,3002,7199.31,26540.29
M211,Campaign 10,Facebook,2024-01-11,128196,6020,641,18787.37,63568.39
M212,Campaign 9,Instagram,2024-07-07,276964,6549,1087,9434.84,6151.89
M213,Campaign 7,Google Ads,2024-11-08,93004,1062,84,4781.46,10895.11
M214,Campaign 4,Email,2024-01-23,483773,21909,2890,7098.24,15949.68
M215,Campaign 2,Facebook,2024-06-09,300666,6661,715,15636.9,30215.96
M216,Campaign 9,Google Ads,2024-01-30,109595,1869,314,3741.62,9241.9
M217,Campaign 6,LinkedIn,2024-09-20,285618,8025,1374,4068.63,8577.65
M218,Campaign 6,Instagram,2024-11-25,51430,710,39,10182.41,30638.98
M219,Campaign 7,TikTok,2024-07-12,162010,3298,524,16000.09,37893.17
M220,Campaign 7,Email,2024-09-28,146567,1521,162,15401.77,49316.53
M221,Campaign 9,Google Ads,2024-10-06,328212,14848,850,8320.73,15804.08
M222,Campaign 1,TikTok,2024-03-29,270249,8659,1671,14485.29,48338.57
M223,Campaign 9,TikTok,2024-02-14,399478,9106,816,18196.47,48363.18
M224,Campaign 1,Facebook,2024-04-30,373231,15610,3066,4962.93,7536.75
M225,Campaign 4,Google Ads,2024-06-24,12530,210,37,13658.89,28049.61
M226,Campaign 7,Google Ads,2024-05-12,497791,19673,2872,8063.31,31505.73
M227,Campaign 12,Google Ads,2024-06-26,252945,4825,266,9294.79,34926.67
M228,Campaign 10,Instagram,2024-04-07,168639,2285,118,15248.59,28109.27
M229,Campaign 9,Instagram,2024-01-13,435828,11836,712,9162.06,25624.07
M230,Campaign 12,Email,2024-12-17,407411,14868,1282,17164.81,43668.43
M231,Campaign 5,Google Ads,2024-05-12,31151,1372,236,18394.75,62332.4
M232,Campaign 1,Facebook,2024-03-06,194467,2101,181,5636.17,19780.92
M233,Campaign 8,Google Ads,2024-10-20,183704,2560,461,18243.37,31464.35
M234,Campaign 2,Google Ads,2024-07-30,280366,10601,665,19461.99,11804.51
M235,Campaign 11,Email,2024-07-26,182472,7333,1234,13791.8,50155.54
M236,Campaign 5,Email,2024-01-13,485852,19733,2729,17754.08,15456.99
M237,Campaign 3,Facebook,2024-10-07,299902,3346,439,9391.88,10707.89
M238,Campaign 2,Google Ads,2024-05-31,304171,4720,382,15114.83,31917.15
M239,Campaign 1,Facebook,2024-04-24,336559,11240,1783,18047.13,15347.99
M240,Campaign 10,Instagram,2024-05-01,440882,7415,587,8164.0,27807.11
M241,Campaign 4,TikTok,2024-04-03,271441,6864,1108,13519.76,15822.61
M242,Campaign 3,Google Ads,2024-11-22,299126,14933,1128,2979.51,3810.11
M243,Campaign 12,Facebook,2024-04-11,274268,8734,1247,4069.88,7550.6
M244,Campaign 12,Google Ads,2024-06-30,493840,9295,1794,17743.33,21397.0
M245,Campaign 4,LinkedIn,2024-09-18,376000,13882,1745,15496.24,45429.61
M246,Campaign 4,TikTok,2024-01-06,400696,11375,1278,17884.38,41300.85
M247,Campaign 8,Instagram,2024-07-22,121113,2918,178,6396.12,5908.35
M248,Campaign 5,Google Ads,2024-05-07,495713,22481,4473,7798.96,13454.3
M249,Campaign 5,Facebook,2024-06-09,439513,19685,3565,11834.43,20210.36
M250,Campaign 7,LinkedIn,2024-10-19,125492,4056,288,19803.35,31354.43
M251,Campaign 8,Google Ads,2024-02-08,277379,4112,276,16779.74,65904.79
M252,Campaign 9,TikTok,2024-06-10,49746,2441,184,16345.57,43821.97
M253,Campaign 9,Instagram,2024-10-01,408014,17644,1987,1376.18,3463.69
M254,Campaign 3,Instagram,2024-11-13,150902,7354,1131,4035.1,8503.6
M255,Campaign 11,Instagram,2024-11-30,359413,7863,1280,19958.56,65219.32
M256,Campaign 1,Facebook,2024-11-08,167442,7626,1315,4617.92,5752.81
M257,Campaign 8,Google Ads,2024-07-27,156391,1593,189,2905.32,2326.42
M258,Campaign 2,TikTok,2024-06-02,224836,2492,431,6074.11,20336.17
M259,Campaign 3,Instagram,2024-03-14,399505,16681,2546,8694.58,8377.44
M260,Campaign 9,LinkedIn,2024-08-06,267992,4566,833,18580.53,10598.6
M261,Campaign 6,Facebook,2024-06-27,37130,696,77,7999.15,18997.07
M262,Campaign 12,TikTok,2024-10-14,142037,2120,268,891.4,3552.86
M263,Campaign 8,Google Ads,2024-04-10,397270,6996,1246,8073.98,26035.3
M264,Campaign 6,LinkedIn,2024-07-07,66157,2881,539,12354.95,13510.84
M265,Campaign 9,LinkedIn,2024-09-29,491996,22271,1689,8574.86,15364.13
M266,Campaign 10,Google Ads,2024-05-14,25974,292,32,13464.81,37165.12
M267,Campaign 11,LinkedIn,2024-07-18,95070,3712,323,4576.9,5373.85
M268,Campaign 7,LinkedIn,2024-02-25,458613,17077,2010,6606.7,10554.69
M269,Campaign 5,Facebook,2024-04-04,149520,5766,434,11803.89,44213.84
M270,Campaign 11,Facebook,2024-04-19,157192,6634,344,4906.22,7176.13
M271,Campaign 10,Instagram,2024-11-26,267953,8025,746,14621.41,7851.39
M272,Campaign 11,Email,2024-12-09,103388,2860,193,5927.53,17189.54
M273,Campaign 8,Email,2024-02-19,235346,5681,399,19438.85,54379.09
M274,Campaign 7,Email,2024-08-03,409738,9765,518,12894.57,35197.94
M275,Campaign 7,Facebook,2024-10-06,34153,1010,127,14025.31,44862.41
M276,Campaign 11,Google Ads,2024-12-12,463838,5807,332,13458.29,50469.5
M277,Campaign 3,Google Ads,2024-12-29,123459,6125,861,13610.3,7230.75
M278,Campaign 8,Instagram,2024-10-04,296043,12113,2362,6658.87,19414.22
M279,Campaign 9,TikTok,2024-08-22,430943,14037,1913,4135.45,7736.36
M280,Campaign 12,Instagram,2024-07-23,304115,7203,1348,8280.9,24796.86
M281,Campaign 11,Google Ads,2024-05-15,399052,11445,1260,16550.31,21677.73
M282,Campaign 7,TikTok,2024-05-16,321327,8690,1342,18185.79,19597.92
M283,Campaign 12,LinkedIn,2024-12-09,316144,14922,1707,2451.39,7480.93
M284,Campaign 2,Google Ads,2024-08-08,200698,2088,220,10063.79,37249.63
M285,Campaign 8,LinkedIn,2024-03-17,409403,9839,1415,9315.72,15047.44
M286,Campaign 4,Instagram,2024-04-09,31353,1240,218,6486.06,25924.88
M287,Campaign 10,Instagram,2024-06-12,202329,4290,283,7861.52,14081.47
M288,Campaign 2,Email,2024-04-26,390749,10135,1710,10293.89,37162.75
M289,Campaign 11,Google Ads,2024-02-09,89426,3375,263,13466.84,50124.59
M290,Campaign 1,Instagram,2024-09-01,188102,4305,226,9153.75,33096.53
M291,Campaign 11,TikTok,2024-10-11,119082,4830,871,10585.8,8714.64
M292,Campaign 4,Instagram,2024-10-15,92703,2208,135,4010.1,9183.09
M293,Campaign 4,TikTok,2024-09-01,280888,9999,1025,2991.81,8239.72
M294,Campaign 5,TikTok,2024-05-09,178305,8417,699,14418.11,26873.75
M295,Campaign 9,Email,2024-08-14,177894,6670,860,14576.37,38943.64
M296,Campaign 7,LinkedIn,2024-01-25,200199,2422,231,13404.74,23000.31
M297,Campaign 9,Google Ads,2024-03-15,348890,11926,1201,3006.73,7998.02
M298,Campaign 4,Google Ads,2024-03-23,113472,5220,383,18453.99,62985.77
M299,Campaign 5,Facebook,2024-05-19,450324,15807,1807,18901.46,64847.22
M300,Campaign 7,LinkedIn,2024-08-11,258305,7765,860,15996.98,18770.76
M301,Campaign 8,Facebook,2024-05-15,216349,3876,474,9474.45,25159.62
M302,Campaign 2,Instagram,2024-11-07,447349,21183,3479,8555.55,14257.61
M303,Campaign 1,Facebook,2024-10-21,415791,18244,2462,19979.4,38537.85
M304,Campaign 1,LinkedIn,2024-04-06,184110,6363,950,3743.46,2795.53
M305,Campaign 9,Facebook,2024-02-07,29624,866,74,17662.31,19212.6
M306,Campaign 3,Instagram,2024-11-29,280686,5065,831,11795.74,15506.63
M307,Campaign 1,LinkedIn,2024-01-15,22792,647,102,15759.74,23591.77
M308,Campaign 1,TikTok,2024-07-19,320282,6935,1167,12383.3,41510.03
M309,Campaign 3,LinkedIn,2024-12-01,15663,281,36,14174.31,23871.23
M310,Campaign 11,Facebook,2024-05-26,498702,20739,1688,4033.77,3180.85
M311,Campaign 5,Email,2024-07-20,355095,7052,993,14334.18,19987.0
M312,Campaign 7,Google Ads,2024-05-27,270673,6032,845,16078.87,23754.76
M313,Campaign 7,Email,2024-11-27,336515,8087,1591,6545.3,5394.08
M314,Campaign 9,Email,2024-12-05,199089,4366,301,4770.97,15190.09
M315,Campaign 3,LinkedIn,2024-08-11,156067,6117,830,13763.17,16198.91
M316,Campaign 12,TikTok,2024-02-25,157915,6892,575,15685.01,53241.22
M317,Campaign 10,Google Ads,2024-12-22,475613,7207,1234,4776.67,2771.55
M318,Campaign 12,Instagram,2024-12-25,147934,6351,997,12139.56,21381.73
M319,Campaign 11,Instagram,2024-01-23,247300,4963,755,8667.93,27723.64
M320,Campaign 10,TikTok,2024-12-15,138067,4884,275,15298.73,40732.27
M321,Campaign 4,Email,2024-11-19,157539,6942,595,18939.84,14645.15
M322,Campaign 4,Facebook,2024-06-30,47799,1536,217,15819.49,62670.38
M323,Campaign 11,Instagram,2024-02-02,158743,1672,136,14123.94,55445.35
M324,Campaign 3,Email,2024-06-27,288134,12886,1873,5946.29,12900.26
M325,Campaign 6,Google Ads,2024-04-10,489722,22808,3284,2642.66,2971.82
M326,Campaign 9,Facebook,2024-12-14,436316,6188,1020,10092.19,10426.85
M327,Campaign 10,LinkedIn,2024-09-27,415488,18054,2081,4630.71,2927.23
M328,Campaign 12,Facebook,2024-07-01,317515,15806,1377,1547.44,3643.23
M329,Campaign 1,Instagram,2024-05-10,154410,2470,486,5059.5,9029.96
M330,Campaign 8,Email,2024-05-15,22068,688,82,19984.99,64671.74
M331,Campaign 6,Instagram,2024-06-06,309607,11789,2209,6431.62,20863.37
M332,Campaign 11,Facebook,2024-09-28,85705,3903,294,14097.37,8153.08
M333,Campaign 2,TikTok,2024-08-13,128223,6398,693,8141.05,7504.78
M334,Campaign 8,Instagram,2024-06-04,353105,13125,2340,7051.29,19163.23
M335,Campaign 1,Facebook,2024-04-26,481491,23528,2147,5067.13,9710.42
M336,Campaign 2,Email,2024-09-02,472373,14534,1418,6699.9,7916.69
M337,Campaign 7,TikTok,2024-09-06,198580,9921,1381,16821.79,46649.56
M338,Campaign 10,Facebook,2024-12-27,290196,5704,619,19213.65,71544.1
M339,Campaign 1,Facebook,2024-12-26,271224,6226,912,18087.07,13864.53
M340,Campaign 3,Email,2024-03-12,33934,1096,62,925.04,2795.29
M341,Campaign 3,Instagram,2024-12-18,110176,4541,371,14385.3,9703.41
M342,Campaign 7,Instagram,2024-01-19,367287,4698,587,8035.06,8132.49
M343,Campaign 10,LinkedIn,2024-10-07,130155,6307,638,16190.82,54222.88
