transaction_id,customer_id,transaction_date,product,channel,amount,status
T62,C1907,2024-11-13,Mortgage,Mobile,2956.67,refunded
T63,C1760,2024-10-09,Mortgage,Branch,1395.81,pending
T64,C1824,2024-04-19,Loan,Web,1963.09,completed
T65,C1214,2024-09-27,Mortgage,API,3548.37,completed
T66,C1471,2024-09-17,Investment,Partner,4406.96,pending
T67,C1008,2024-01-23,Investment,Partner,606.67,completed
T68,C1420,2024-06-09,Credit Card,Branch,1083.37,completed
T69,C1474,2024-05-05,Investment,Branch,1862.21,pending
T70,C1946,2024-06-11,Savings,Branch,4794.3,refunded
T71,C1534,2024-02-26,Credit Card,Mobile,2373.95,pending
T72,C1425,2024-08-12,Credit Card,Branch,2324.36,refunded
T73,C1915,2024-07-19,Mortgage,Branch,887.2,completed
T74,C1143,2024-01-04,Checking,Mobile,1589.83,completed
T75,C1681,2024-08-31,Loan,Mobile,3567.84,refunded
T76,C1230,2024-05-06,Credit Card,Web,1647.02,completed
T77,C1851,2024-04-17,Investment,Branch,4498.86,completed
T78,C1713,2024-07-26,Savings,Web,4833.24,completed
T79,C1561,2024-04-27,Checking,Web,1423.58,refunded
T80,C1648,2024-03-15,Mortgage,API,3225.81,completed
T81,C1765,2024-03-21,Savings,Mobile,1213.92,completed
T82,C1869,2024-10-09,Investment,Web,1069.02,completed
T83,C1038,2024-02-14,Credit Card,Mobile,4854.61,completed
T84,C1681,2024-03-12,Checking,Partner,3111.46,completed
T85,C1100,2024-01-01,Mortgage,Branch,3994.23,completed
T86,C1766,2024-01-22,Checking,Web,2754.97,completed
T87,C1519,2024-04-11,Loan,Branch,3447.59,completed
T88,C1158,2024-03-05,Investment,Web,2961.66,completed
T89,C1162,2024-10-02,Investment,Web,994.45,completed
T90,C1485,2024-11-23,Credit Card,Partner,56.31,pending
T91,C1369,2024-09-22,Savings,Partner,4629.51,pending
T92,C1468,2024-09-07,Checking,Mobile,2741.0,refunded
T93,C1212,2024-06-20,Loan,Web,1113.66,completed
T94,C1817,2024-04-20,Investment,Partner,1130.06,pending
T95,C1128,2024-02-13,Mortgage,Mobile,3724.8,refunded
T96,C1463,2024-03-26,Investment,API,2493.39,completed
T97,C1354,2024-02-27,Checking,API,921.99,completed
T98,C1679,2024-03-15,Mortgage,API,2914.66,pending
T99,C1137,2024-03-15,Mortgage,API,2991.21,completed
T100,C1954,2024-02-16,Credit Card,API,1281.21,refunded
T101,C1786,2024-06-04,Investment,Partner,4549.06,completed
T102,C1305,2024-01-29,Checking,Branch,2675.53,completed
T103,C1288,2024-08-02,Investment,Web,4338.06,completed
T104,C1919,2024-09-17,Mortgage,Web,3182.13,pending
T105,C1350,2024-09-26,Savings,Mobile,893.64,refunded
T106,C1146,2024-12-28,Credit Card,API,914.8,refunded
T107,C1437,2024-12-02,Checking,Web,2099.05,completed
T108,C1118,2024-03-08,Savings,Web,4958.24,pending
T109,C1538,2024-06-14,Mortgage,Mobile,162.03,completed
T110,C1196,2024-12-12,Savings,Partner,214.34,pending
T111,C1490,2024-12-31,Credit Card,Web,3017.77,completed
T112,C1076,2024-10-28,Mortgage,API,4803.07,refunded
T113,C1114,2024-05-03,Mortgage,API,1796.18,completed
T114,C1723,2024-01-13,Mortgage,Partner,1290.28,refunded
T115,C1306,2024-09-26,Mortgage,Partner,288.29,refunded
T116,C1092,2024-08-03,Savings,Web,2001.75,pending
T117,C1589,2024-05-23,Loan,Web,1912.41,completed
T118,C1249,2024-11-11,Savings,Web,2840.01,completed
T119,C1316,2024-06-29,Investment,Web,113.95,completed
T120,C1101,2024-06-28,Mortgage,Web,4705.08,refunded
T121,C1862,2024-01-15,Checking,Mobile,3906.43,completed
T122,C1795,2024-06-12,Savings,Web,425.75,pending
T123,C1405,2024-11-06,Mortgage,Partner,903.75,pending
T124,C1357,2024-04-20,Credit Card,Mobile,4100.49,refunded
T125,C1969,2024-08-02,Loan,API,632.38,completed
T126,C1583,2024-05-23,Savings,Partner,1817.27,refunded
T127,C1576,2024-12-29,Investment,Partner,2468.12,completed
T128,C1577,2024-06-08,Savings,Web,2011.99,completed
T129,C1268,2024-08-03,Investment,API,747.08,pending
T130,C1365,2024-08-02,Mortgage,Mobile,2635.33,pending
T131,C1367,2024-04-11,Loan,Branch,3812.75,refunded
T132,C1638,2024-06-22,Investment,Web,2748.75,completed
T133,C1602,2024-08-23,Investment,Web,463.08,refunded
T134,C1731,2024-03-10,Loan,Branch,309.41,pending
T135,C1263,2024-04-26,Mortgage,Mobile,1179.74,completed
T136,C1947,2024-01-07,Mortgage,API,533.18,refunded
T137,C1340,2024-01-06,Investment,Branch,2040.14,refunded
T138,C1343,2024-04-08,Credit Card,Mobile,4054.81,completed
T139,C1503,2024-07-04,Loan,Web,2098.66,completed
T140,C1696,2024-09-08,Checking,Partner,3186.35,pending
T141,C1953,2024-07-26,Mortgage,Partner,369.34,completed
T142,C1531,2024-11-07,Savings,API,4385.58,completed
T143,C1446,2024-04-08,Credit Card,Partner,1842.18,completed
T144,C1141,2024-05-16,Credit Card,Branch,2999.55,completed
T145,C1019,2024-05-01,Checking,Branch,3397.56,completed
T146,C1104,2024-04-10,Investment,API,4434.87,completed
T147,C1825,2024-01-26,Loan,Partner,1098.89,completed
T148,C1454,2024-05-04,Loan,API,2920.12,completed
T149,C1292,2024-03-09,Checking,Partner,132.89,completed
T150,C1458,2024-04-15,Investment,Branch,4887.79,completed
T151,C1643,2024-08-26,Mortgage,API,4257.45,completed
T152,C1542,2024-01-26,Credit Card,Web,258.89,refunded
T153,C1108,2024-03-12,Mortgage,Mobile,2163.15,completed
T154,C1685,2024-05-09,Savings,API,4676.15,refunded
T155,C1997,2024-06-22,Credit Card,Web,1379.49,completed
T156,C1065,2024-10-02,Investment,Web,3311.16,pending
T157,C1621,2024-05-01,Investment,Web,2983.75,completed
T158,C1155,2024-02-10,Mortgage,Branch,2262.61,completed
T159,C1009,2024-10-13,Checking,Branch,2258.39,completed
T160,C1897,2024-07-02,Mortgage,API,2189.1,refunded
T161,C1727,2024-08-09,Savings,Branch,1686.92,completed
T162,C1905,2024-07-17,Credit Card,Mobile,1014.79,completed
T163,C1701,2024-05-21,Savings,Branch,2307.33,completed
T164,C1736,2024-12-28,Credit Card,Mobile,2453.11,completed
T165,C1444,2024-05-20,Investment,Partner,3289.55,completed
T166,C1539,2024-09-23,Credit Card,Web,310.02,pending
T167,C1734,2024-12-21,Checking,Partner,4433.86,refunded
T168,C1017,2024-03-13,Savings,Web,1256.9,completed
T169,C1535,2024-03-27,Savings,API,2376.63,refunded
T170,C1037,2024-09-05,Mortgage,Web,2005.9,pending
T171,C1520,2024-06-20,Mortgage,Mobile,4204.35,completed
T172,C1698,2024-08-09,Checking,Mobile,4113.31,completed
T173,C1274,2024-07-31,Investment,Partner,284.87,completed
T174,C1801,2024-11-20,Checking,Branch,2700.72,pending
T175,C1033,2024-06-24,Mortgage,API,3531.65,completed
T176,C1390,2024-06-02,Investment,Web,1853.14,pending
T177,C1653,2024-09-04,Loan,Branch,3763.61,refunded
T178,C1401,2024-11-11,Investment,Partner,780.75,completed
T179,C1515,2024-02-18,Investment,Mobile,2067.75,completed
T180,C1273,2024-07-16,Investment,API,4090.76,completed
T181,C1210,2024-10-27,Loan,Branch,153.67,completed
T182,C1704,2024-06-21,Investment,Mobile,878.8,refunded
T183,C1139,2024-05-18,Mortgage,Branch,3443.64,pending
T184,C1144,2024-05-21,Mortgage,Web,2092.74,refunded
T185,C1550,2024-06-07,Loan,Branch,3216.53,completed
T186,C1235,2024-09-08,Investment,API,37.5,completed
T187,C1456,2024-10-27,Loan,Partner,4964.05,completed
T188,C1235,2024-08-24,Investment,Mobile,3139.23,completed
T189,C1300,2024-05-18,Loan,API,1421.53,completed
T190,C1072,2024-10-22,Checking,Branch,2950.34,completed
T191,C1404,2024-03-07,Credit Card,Mobile,1897.98,pending
T192,C1455,2024-05-25,Mortgage,API,4428.82,completed
T193,C1694,2024-01-14,Checking,Web,2185.5,refunded
T194,C1137,2024-03-13,Loan,Mobile,1824.04,completed
T195,C1430,2024-12-24,Investment,Mobile,2364.72,completed
T196,C1904,2024-01-11,Credit Card,Mobile,4583.17,completed
T197,C1923,2024-12-23,Checking,Web,3702.64,completed
T198,C1023,2024-02-25,Investment,Branch,3975.29,completed
T199,C1324,2024-01-02,Credit Card,Web,4991.77,pending
T200,C1302,2024-07-06,Mortgage,Branch,1119.95,refunded
T201,C1373,2024-04-23,Savings,Partner,2963.92,refunded
T202,C1318,2024-03-18,Loan,Mobile,4276.61,refunded
T203,C1269,2024-08-04,Investment,Branch,3778.12,completed
T204,C1941,2024-09-29,Loan,Mobile,45.0,pending
T205,C1317,2024-06-30,Checking,Mobile,4965.7,completed
T206,C1468,2024-05-28,Checking,Branch,3956.21,completed
T207,C1689,2024-12-10,Credit Card,Partner,4012.45,completed
T208,C1851,2024-10-17,Investment,Partner,3774.76,completed
T209,C1823,2024-08-05,Loan,Branch,2383.05,refunded
T210,C1695,2024-09-02,Credit Card,API,3884.09,refunded
T211,C1697,2024-12-10,Loan,Web,4497.02,completed
T212,C1390,2024-06-28,Loan,API,2856.99,pending
T213,C1290,2024-09-22,Checking,API,1078.44,completed
T214,C1740,2024-07-26,Investment,Web,3767.55,refunded
T215,C1633,2024-03-01,Savings,API,4387.38,completed
T216,C1621,2024-09-12,Loan,API,4873.98,refunded
T217,C1824,2024-08-22,Loan,Partner,3138.33,completed
T218,C1244,2024-01-22,Loan,API,2990.94,pending
T219,C1665,2024-06-16,Credit Card,API,3392.71,completed
T220,C1857,2024-09-09,Mortgage,Web,1408.54,completed
T221,C1317,2024-01-11,Mortgage,Web,3234.15,refunded
T222,C1499,2024-07-18,Loan,Partner,3636.32,completed
T223,C1371,2024-08-02,Credit Card,Branch,4609.25,completed
T224,C1421,2024-04-14,Investment,Web,921.71,completed
T225,C1809,2024-10-13,Mortgage,API,1504.97,completed
T226,C1895,2024-07-14,Loan,Mobile,3822.55,completed
T227,C1872,2024-09-28,Investment,API,2241.29,completed
T228,C1003,2024-07-01,Investment,API,1412.06,completed
T229,C1554,2024-01-27,Credit Card,Branch,3012.81,completed
T230,C1965,2024-04-07,Investment,Partner,989.55,pending
T231,C1863,2024-02-09,Mortgage,API,2078.9,pending
T232,C1690,2024-08-04,Checking,API,4843.04,pending
T233,C1587,2024-07-27,Credit Card,Mobile,4478.32,pending
T234,C1179,2024-01-05,Mortgage,Mobile,2066.7,pending
T235,C1807,2024-03-08,Loan,Mobile,1559.81,completed
T236,C1109,2024-01-20,Checking,Branch,1346.29,pending
T237,C1886,2024-12-17,Savings,Partner,1452.25,completed
T238,C1077,2024-11-23,Credit Card,Branch,3938.02,pending
T239,C1153,2024-05-29,Checking,Partner,2902.79,completed
T240,C1137,2024-01-25,Credit Card,Branch,336.96,completed
T241,C1707,2024-02-20,Savings,Partner,2053.49,completed
T242,C1954,2024-02-14,Credit Card,Web,4549.03,refunded
T243,C1598,2024-06-10,Mortgage,API,3283.15,refunded
T244,C1407,2024-06-03,Loan,API,3399.54,completed
T245,C1352,2024-06-21,Loan,Partner,4508.16,completed
T246,C1363,2024-04-06,Investment,Partner,1110.91,completed
T247,C1592,2024-11-01,Savings,Web,3118.36,completed
T248,C1245,2024-11-26,Investment,Mobile,2422.01,pending
T249,C1310,2024-06-17,Credit Card,Partner,4656.71,completed
T250,C1745,2024-08-23,Investment,Partner,465.56,refunded
T251,C1540,2024-04-10,Investment,Branch,2626.04,pending
T252,C1053,2024-04-06,Investment,API,1996.58,refunded
T253,C1762,2024-05-14,Loan,Branch,1428.43,completed
T254,C1993,2024-05-07,Loan,Branch,4576.36,pending
T255,C1899,2024-02-07,Checking,API,504.34,refunded
T256,C1769,2024-08-21,Loan,Web,4364.39,completed
T257,C1210,2024-10-01,Mortgage,Web,2257.64,completed
T258,C1838,2024-12-02,Credit Card,Partner,2529.21,pending
T259,C1686,2024-10-25,Checking,Mobile,4063.06,refunded
T260,C1833,2024-03-22,Checking,Web,2786.75,completed
T261,C1757,2024-04-19,Mortgage,API,288.94,completed
T262,C1941,2024-03-24,Investment,Partner,1105.29,completed
T263,C1102,2024-03-10,Savings,API,1584.8,completed
T264,C1475,2024-09-16,Checking,API,3778.21,completed
T265,C1093,2024-01-30,Checking,Mobile,4234.37,completed
T266,C1474,2024-03-24,Checking,API,4380.72,completed
T267,C1637,2024-02-06,Checking,Mobile,3253.3,refunded
T268,C1983,2024-03-16,Mortgage,API,4536.32,completed
T269,C1869,2024-08-11,Checking,API,2451.79,completed
T270,C1388,2024-01-26,Credit Card,Web,166.58,completed
T271,C1526,2024-03-12,Savings,Branch,1055.51,completed
T272,C1707,2024-02-13,Loan,API,536.11,completed
T273,C1290,2024-05-28,Savings,Partner,4609.05,pending
T274,C1276,2024-11-01,Checking,Branch,384.6,completed
T275,C1609,2024-01-28,Credit Card,Branch,4172.45,refunded
T276,C1120,2024-06-13,Mortgage,Branch,4719.49,refunded
T277,C1568,2024-12-19,Checking,Partner,3278.91,completed
T278,C1866,2024-12-18,Loan,Mobile,976.34,completed
T279,C1407,2024-02-04,Credit Card,API,4202.29,completed
T280,C1868,2024-07-14,Loan,Mobile,4977.63,refunded
T281,C1021,2024-04-03,Loan,API,2785.8,completed
T282,C1913,2024-11-04,Credit Card,Web,126.79,completed
T283,C1703,2024-01-20,Investment,Mobile,3131.15,completed
T284,C1128,2024-09-27,Investment,Web,1579.5,completed
T285,C1313,2024-11-13,Credit Card,Partner,2434.74,pending
T286,C1466,2024-01-28,Credit Card,Partner,2849.8,completed
T287,C1904,2024-04-13,Investment,API,2732.39,completed
T288,C1944,2024-04-22,Checking,Partner,593.32,completed
T289,C1162,2024-07-17,Checking,Partner,4205.28,completed
T290,C1457,2024-09-15,Mortgage,Web,4927.96,pending
T291,C1907,2024-02-10,Mortgage,Web,3675.1,completed
T292,C1201,2024-08-21,Investment,Web,834.72,completed
T293,C1484,2024-12-16,Mortgage,Partner,3483.4,completed
T294,C1518,2024-07-09,Loan,Mobile,1835.81,completed
T295,C1672,2024-08-21,Savings,API,2377.38,completed
T296,C1341,2024-01-21,Savings,Partner,4679.49,completed
T297,C1151,2024-11-19,Mortgage,Mobile,1002.51,pending
T298,C1562,2024-07-19,Mortgage,Mobile,3102.56,refunded
T299,C1856,2024-11-12,Investment,Mobile,4051.89,refunded
T300,C1900,2024-01-28,Mortgage,Partner,2631.06,refunded
T301,C1002,2024-02-24,Mortgage,Partner,3568.94,refunded
T302,C1462,2024-09-09,Checking,Partner,415.5,refunded
T303,C1777,2024-06-13,Savings,Branch,718.72,completed
T304,C1325,2024-06-26,Mortgage,API,2534.42,completed
T305,C1738,2024-10-17,Checking,API,680.63,refunded
T306,C1133,2024-07-19,Checking,API,286.43,completed
T307,C1416,2024-04-05,Mortgage,API,2984.87,completed
T308,C1013,2024-06-20,Checking,Branch,2094.72,completed
T309,C1801,2024-06-19,Investment,Web,912.08,refunded
T310,C1814,2024-05-11,Savings,Mobile,1751.03,pending
T311,C1941,2024-12-27,Checking,Branch,3458.9,refunded
T312,C1124,2024-09-27,Checking,API,2135.91,refunded
T313,C1773,2024-10-23,Investment,Partner,2084.8,completed
T314,C1781,2024-12-24,Investment,API,803.25,pending
T315,C1971,2024-01-26,Savings,Mobile,4035.72,completed
T316,C1753,2024-06-09,Investment,API,440.11,completed
T317,C1265,2024-08-22,Credit Card,API,1316.4,refunded
T318,C1134,2024-04-03,Savings,Partner,2608.9,completed
T319,C1174,2024-03-31,Credit Card,Web,247.17,pending
T320,C1857,2024-11-13,Loan,Partner,3211.25,pending
T321,C1700,2024-12-15,Checking,Partner,1655.19,completed
T322,C1792,2024-03-22,Mortgage,Branch,686.21,pending
T323,C1151,2024-07-12,Credit Card,Partner,4358.82,completed
T324,C1988,2024-10-16,Savings,Partner,1768.83,refunded
T325,C1780,2024-07-12,Credit Card,Branch,4831.49,pending
T326,C1865,2024-06-07,Checking,Branch,4456.92,completed
T327,C1607,2024-01-06,Loan,Partner,3087.95,refunded
T328,C1453,2024-02-20,Investment,API,443.8,completed
T329,C1344,2024-06-03,Savings,Mobile,4072.5,refunded
T330,C1082,2024-04-25,Checking,Mobile,2148.68,pending
T331,C1055,2024-03-18,Checking,API,1443.82,completed
T332,C1478,2024-07-25,Savings,Partner,2949.72,completed
T333,C1291,2024-11-28,Credit Card,Partner,2523.63,completed
T334,C1778,2024-08-07,Credit Card,API,922.65,completed
T335,C1357,2024-10-18,Checking,Mobile,4246.86,refunded
T336,C1572,2024-01-19,Credit Card,Web,922.33,completed
T337,C1067,2024-05-16,Savings,Web,4037.72,pending
T338,C1198,2024-07-28,Investment,Mobile,4418.08,completed
T339,C1823,2024-01-31,Credit Card,Mobile,379.56,pending
T340,C1673,2024-06-27,Loan,Partner,1625.96,pending
T341,C1244,2024-06-04,Savings,Partner,1722.62,refunded
T342,C1519,2024-08-20,Checking,Branch,2380.83,completed
T343,C1304,2024-09-09,Savings,Partner,1352.84,refunded
T344,C1729,2024-09-02,Loan,Partner,3406.49,completed
T345,C1828,2024-03-31,Credit Card,Partner,2450.25,refunded
T346,C1879,2024-01-16,Savings,Web,3743.26,refunded
T347,C1317,2024-09-30,Mortgage,API,22.4,refunded
T348,C1581,2024-09-30,Loan,Web,208.43,completed
T349,C1153,2024-02-23,Mortgage,Branch,2595.28,refunded
T350,C1867,2024-05-28,Loan,Mobile,2211.31,completed
T351,C1013,2024-08-04,Checking,Mobile,61.13,completed
T352,C1373,2024-09-08,Credit Card,Web,522.77,completed
T353,C1639,2024-05-11,Mortgage,Branch,345.54,refunded
T354,C1908,2024-02-20,Loan,Branch,354.17,completed
T355,C1224,2024-05-24,Loan,Partner,3661.05,completed
T356,C1041,2024-11-27,Savings,Web,1061.95,completed
T357,C1268,2024-01-22,Mortgage,Branch,1735.25,pending
T358,C1419,2024-07-19,Credit Card,Branch,1181.08,pending
T359,C1709,2024-08-14,Credit Card,Mobile,2338.12,completed
T360,C1535,2024-07-07,Investment,Mobile,2151.81,refunded
T361,C1276,2024-07-06,Mortgage,Mobile,2837.91,completed
T362,C1205,2024-10-09,Checking,Mobile,4123.1,pending
T363,C1404,2024-11-12,Savings,Mobile,462.72,completed
T364,C1311,2024-08-10,Savings,API,3543.12,completed
T365,C1516,2024-12-13,Checking,Web,1929.52,completed
T366,C1927,2024-07-27,Investment,Partner,2996.88,completed
T367,C1046,2024-07-07,Savings,Branch,2977.31,refunded
T368,C1433,2024-03-09,Checking,Partner,2007.24,completed
T369,C1442,2024-11-07,Mortgage,Branch,1489.74,refunded
T370,C1420,2024-01-02,Checking,Mobile,75.22,refunded
T371,C1479,2024-11-17,Loan,Branch,159.5,completed
T372,C1733,2024-01-01,Loan,Web,2455.14,refunded
T373,C1060,2024-10-20,Mortgage,Mobile,3721.15,completed
T374,C1654,2024-05-01,Loan,Web,4986.17,completed
T375,C1445,2024-05-28,Savings,Mobile,4163.67,completed
T376,C1281,2024-08-28,Savings,Web,3337.08,completed
T377,C1871,2024-08-25,Investment,API,2588.77,completed
T378,C1842,2024-02-12,Mortgage,Web,1765.79,refunded
T379,C1791,2024-08-29,Mortgage,Mobile,4524.99,completed
T380,C1854,2024-08-27,Investment,Web,61.81,refunded
T381,C1422,2024-08-24,Savings,API,2313.31,pending
T382,C1438,2024-06-18,Savings,Web,4249.14,completed
T383,C1170,2024-11-03,Checking,API,1455.35,completed
T384,C1516,2024-01-19,Investment,Branch,4364.5,completed
T385,C1880,2024-10-05,Loan,Mobile,3503.82,completed
T386,C1418,2024-08-12,Checking,Partner,545.55,completed
T387,C1749,2024-07-04,Credit Card,Mobile,733.61,completed
T388,C1800,2024-10-29,Loan,Mobile,960.44,completed
T389,C1205,2024-12-24,Investment,Web,680.07,completed
T390,C1125,2024-10-25,Investment,Web,708.56,completed
T391,C1560,2024-08-07,Checking,Partner,3279.77,pending
T392,C1249,2024-05-28,Mortgage,Web,2272.88,pending
T393,C1112,2024-08-21,Credit Card,Partner,234.14,completed
T394,C1558,2024-08-11,Mortgage,Mobile,3240.61,completed
T395,C1501,2024-07-17,Credit Card,Branch,2176.25,completed
T396,C1213,2024-05-25,Loan,Mobile,1549.55,completed
T397,C1520,2024-07-28,Credit Card,Partner,4857.88,completed
T398,C1842,2024-12-18,Credit Card,Branch,803.72,completed
T399,C1683,2024-08-13,Mortgage,API,4049.5,pending
T400,C1251,2024-12-15,Credit Card,API,2014.2,completed
T401,C1948,2024-07-20,Loan,Branch,1588.08,completed
T402,C1551,2024-08-27,Investment,Web,3027.78,completed
T403,C1234,2024-03-20,Mortgage,Partner,2592.67,completed
T404,C1304,2024-08-17,Checking,Branch,2614.89,completed
T405,C1663,2024-06-20,Savings,Branch,2113.0,pending
T406,C1390,2024-10-20,Mortgage,Partner,971.76,completed
T407,C1372,2024-08-16,Credit Card,Web,2299.69,refunded
T408,C1537,2024-09-02,Savings,Web,341.77,completed
T409,C1580,2024-09-30,Checking,Partner,2545.21,completed
T410,C1879,2024-04-06,Loan,Partner,1724.99,refunded
T411,C1373,2024-04-21,Loan,API,4955.94,completed
T412,C1525,2024-07-01,Investment,API,2475.07,pending
T413,C1236,2024-08-03,Loan,API,3285.47,pending
T414,C1105,2024-10-16,Investment,Mobile,3811.35,completed
T415,C1260,2024-12-02,Investment,Branch,1406.09,pending
T416,C1793,2024-01-17,Checking,Mobile,2622.64,completed
T417,C1317,2024-06-06,Mortgage,Mobile,3708.1,completed
T418,C1420,2024-02-05,Savings,Mobile,4202.08,completed
T419,C1412,2024-02-15,Credit Card,Branch,3446.29,completed
T420,C1149,2024-08-06,Mortgage,Mobile,3239.83,completed
T421,C1787,2024-12-07,Savings,Mobile,77.99,pending
T422,C1560,2024-03-22,Mortgage,Partner,1080.83,completed
T423,C1629,2024-07-12,Checking,API,3402.12,completed
T424,C1732,2024-06-14,Loan,Web,4634.48,pending
T425,C1352,2024-09-08,Savings,API,1227.88,refunded
T426,C1452,2024-03-14,Credit Card,Mobile,151.77,completed
T427,C1441,2024-11-09,Savings,Partner,4932.68,refunded
T428,C1264,2024-07-23,Loan,Partner,1072.59,completed
T429,C1104,2024-06-14,Credit Card,Branch,4821.0,refunded
T430,C1378,2024-07-23,Mortgage,Mobile,711.53,refunded
T431,C1822,2024-12-20,Credit Card,Partner,4574.46,completed
T432,C1197,2024-01-27,Savings,Mobile,2006.18,pending
T433,C1543,2024-07-08,Savings,Web,1107.49,pending
T434,C1461,2024-08-01,Checking,Mobile,3192.87,completed
T435,C1188,2024-12-02,Savings,API,2190.27,refunded
T436,C1059,2024-04-14,Mortgage,Mobile,1607.61,refunded
T437,C1379,2024-01-16,Mortgage,Web,1846.54,completed
T438,C1421,2024-03-24,Checking,Partner,2170.22,completed
T439,C1031,2024-03-19,Credit Card,Mobile,1237.78,pending
T440,C1478,2024-03-05,Checking,Mobile,4625.11,pending
T441,C1851,2024-08-11,Loan,Partner,1669.54,completed
T442,C1268,2024-11-22,Savings,Branch,1394.73,completed
T443,C1853,2024-11-21,Investment,Mobile,4327.13,completed
T444,C1853,2024-06-08,Credit Card,Mobile,2506.14,pending
T445,C1546,2024-10-08,Checking,Mobile,2088.94,completed
T446,C1176,2024-01-29,Loan,Branch,2106.53,completed
T447,C1500,2024-10-19,Investment,Branch,3463.78,completed
T448,C1726,2024-12-07,Mortgage,Partner,1364.34,completed
T449,C1663,2024-07-31,Checking,Branch,3053.15,completed
T450,C1981,2024-08-26,Mortgage,Web,1532.77,pending
T451,C1096,2024-10-04,Investment,Web,4929.44,refunded
T452,C1424,2024-03-16,Investment,API,2484.01,completed
T453,C1906,2024-06-14,Mortgage,Partner,586.04,pending
T454,C1952,2024-11-04,Mortgage,Partner,4139.78,pending
T455,C1312,2024-08-10,Savings,API,2407.99,refunded
T456,C1915,2024-10-25,Mortgage,Branch,1866.33,completed
T457,C1579,2024-08-06,Mortgage,API,2077.96,completed
T458,C1516,2024-01-13,Loan,API,964.2,completed
T459,C1579,2024-06-16,Savings,Branch,2609.47,completed
T460,C1904,2024-07-30,Checking,Partner,751.06,pending
