user_id,signup_date,plan,top_feature,sessions,days_active,mrr,status
U58,2024-01-03,Enterprise,Dashboard,45,4,104.77,active
U59,2023-10-07,Pro,Integrations,81,0,255.38,active
U60,2023-03-14,Pro,AI Insights,165,3,158.0,churned
U61,2023-11-05,Enterprise,Integrations,104,10,280.42,active
U62,2024-02-20,Free,API,105,3,422.63,churned
U63,2023-07-12,Business,Dashboard,64,20,21.36,active
U64,2023-07-04,Pro,Dashboard,120,17,132.84,trial
U65,2023-08-16,Enterprise,API,60,1,133.97,active
U66,2023-12-16,Enterprise,Automation,127,20,189.67,trial
U67,2024-05-03,Business,Reports,91,16,112.61,active
U68,2023-01-17,Enterprise,AI Insights,98,23,83.59,trial
U69,2024-05-03,Pro,Reports,189,25,155.83,active
U70,2023-03-02,Enterprise,Automation,88,19,253.15,active
U71,2023-07-06,Pro,API,30,5,161.46,churned
U72,2023-12-14,Pro,Reports,196,2,26.4,active
U73,2023-05-28,Enterprise,Reports,37,4,89.14,trial
U74,2024-02-10,Business,Dashboard,169,17,433.74,churned
U75,2023-06-02,Business,Integrations,143,10,286.32,active
U76,2023-07-25,Enterprise,Automation,12,4,250.59,active
U77,2024-05-13,Free,Dashboard,18,7,47.48,active
U78,2023-10-05,Free,Integrations,71,26,197.88,trial
U79,2023-10-10,Pro,Automation,95,4,236.89,active
U80,2024-01-13,Pro,AI Insights,31,16,348.29,active
U81,2023-11-19,Enterprise,API,36,16,397.38,active
U82,2023-03-12,Pro,AI Insights,4,29,36.23,churned
U83,2024-03-14,Free,Automation,190,16,315.87,active
U84,2023-08-04,Business,AI Insights,127,6,476.93,active
U85,2023-01-06,Free,Reports,152,5,228.55,churned
U86,2023-02-02,Business,Integrations,157,11,292.42,active
U87,2023-10-07,Business,Integrations,77,5,260.29,churned
U88,2023-12-25,Free,Automation,67,8,438.46,active
U89,2023-09-15,Pro,Automation,21,1,217.01,active
U90,2023-12-09,Enterprise,Dashboard,114,14,191.45,trial
U91,2023-09-24,Free,Reports,151,14,292.86,active
U92,2023-09-06,Pro,Reports,116,5,51.86,active
U93,2024-05-01,Free,API,123,10,385.84,active
U94,2023-03-17,Free,Automation,141,6,265.95,active
U95,2023-08-08,Enterprise,Integrations,175,3,457.94,churned
U96,2023-08-29,Enterprise,Reports,142,13,179.51,active
U97,2024-05-11,Pro,Dashboard,112,13,69.12,active
U98,2024-01-13,Business,Automation,76,1,190.18,active
U99,2023-12-15,Enterprise,API,51,24,198.32,trial
U100,2024-03-13,Enterprise,Reports,128,20,284.45,trial
U101,2023-10-27,Pro,Reports,169,2,369.88,active
U102,2023-05-15,Free,API,116,7,369.92,churned
U103,2024-04-16,Business,Automation,123,10,113.05,trial
U104,2024-03-27,Business,Reports,49,7,444.98,active
U105,2024-02-18,Pro,AI Insights,132,17,179.3,active
U106,2024-03-11,Pro,AI Insights,176,13,489.24,active
U107,2023-02-09,Business,Dashboard,108,4,195.4,active
U108,2023-11-10,Business,API,106,25,78.03,active
U109,2023-02-20,Business,Dashboard,171,8,350.49,churned
U110,2023-08-09,Pro,AI Insights,127,21,155.63,trial
U111,2024-01-13,Business,AI Insights,93,3,38.86,churned
U112,2023-11-13,Pro,API,143,3,226.99,active
U113,2023-11-22,Business,Reports,106,2,314.21,active
U114,2024-05-08,Business,Automation,129,17,474.63,active
U115,2024-04-24,Pro,AI Insights,129,12,431.96,active
U116,2024-02-13,Pro,API,61,3,73.92,active
U117,2023-08-06,Pro,Dashboard,27,11,47.92,active
U118,2023-09-22,Business,API,84,7,198.47,active
U119,2023-01-22,Free,Automation,51,29,319.32,active
U120,2023-10-15,Free,Integrations,182,10,35.44,trial
U121,2023-03-18,Pro,Dashboard,64,7,255.68,trial
U122,2024-05-05,Enterprise,Integrations,165,20,440.29,active
U123,2023-01-15,Enterprise,Integrations,120,3,261.09,active
U124,2024-02-12,Business,Automation,20,11,464.78,active
U125,2023-08-20,Pro,API,133,2,281.17,trial
U126,2023-08-14,Pro,Reports,84,18,277.66,churned
U127,2024-03-01,Business,Dashboard,24,15,488.81,active
U128,2024-01-11,Pro,Reports,76,13,104.03,active
U129,2024-03-24,Enterprise,Integrations,115,0,455.43,trial
U130,2023-09-28,Free,AI Insights,14,2,147.14,active
U131,2023-01-27,Pro,AI Insights,194,8,463.44,active
U132,2024-01-12,Free,AI Insights,153,30,280.22,active
U133,2024-01-11,Pro,Integrations,172,30,327.24,active
U134,2023-08-02,Business,Dashboard,69,30,1.05,active
U135,2023-03-30,Free,Integrations,197,7,28.18,trial
U136,2023-12-23,Business,API,87,25,268.01,trial
U137,2024-01-26,Enterprise,Integrations,47,11,115.63,active
U138,2023-11-15,Pro,AI Insights,73,11,247.77,active
U139,2024-05-09,Enterprise,API,154,8,267.98,active
U140,2024-01-12,Enterprise,Automation,165,11,52.32,active
U141,2023-08-28,Business,Dashboard,180,30,452.99,churned
U142,2024-03-12,Free,AI Insights,33,26,294.65,active
U143,2023-03-03,Pro,Reports,120,27,111.53,active
U144,2023-03-30,Free,AI Insights,103,3,139.77,active
U145,2023-03-24,Pro,Integrations,26,19,471.03,churned
U146,2023-11-11,Free,Dashboard,55,17,367.55,active
U147,2024-01-28,Enterprise,Automation,33,9,448.33,active
U148,2023-12-07,Pro,Automation,20,29,360.78,churned
U149,2023-05-02,Business,Automation,28,22,432.74,churned
U150,2023-05-04,Business,API,71,12,182.24,active
U151,2023-10-22,Free,API,91,9,0.14,active
U152,2023-05-16,Enterprise,AI Insights,70,21,2.7,trial
U153,2023-10-30,Enterprise,AI Insights,150,25,266.41,active
U154,2023-12-14,Free,API,6,12,100.24,churned
U155,2024-04-20,Business,Reports,61,15,82.8,trial
U156,2023-01-15,Pro,Dashboard,97,16,427.12,active
U157,2023-10-02,Pro,Dashboard,123,8,226.42,churned
U158,2023-06-25,Free,API,148,30,354.24,active
U159,2024-04-25,Enterprise,Automation,37,19,326.54,trial
U160,2023-06-18,Business,Dashboard,32,9,63.97,active
U161,2023-07-16,Free,Dashboard,194,24,72.8,active
U162,2023-09-22,Enterprise,Automation,109,2,239.56,active
U163,2023-02-24,Free,Dashboard,182,20,424.69,active
U164,2023-04-28,Business,API,130,29,56.61,active
U165,2023-05-21,Enterprise,Dashboard,41,24,42.16,active
U166,2023-04-02,Free,AI Insights,5,18,126.12,active
U167,2023-02-18,Business,Integrations,134,22,324.3,trial
U168,2023-06-14,Free,Integrations,61,30,308.27,active
U169,2023-03-06,Business,Dashboard,1,14,20.97,active
U170,2023-07-12,Enterprise,API,141,25,386.88,trial
U171,2024-03-29,Pro,Reports,59,7,185.16,trial
U172,2024-04-06,Free,Automation,78,26,291.79,active
U173,2023-12-26,Business,AI Insights,41,8,268.9,trial
U174,2023-06-23,Free,Dashboard,134,13,317.82,active
U175,2024-05-06,Free,Automation,109,9,227.38,trial
U176,2023-09-06,Free,Integrations,147,9,176.22,active
U177,2023-08-21,Enterprise,AI Insights,95,26,430.89,churned
U178,2023-09-26,Pro,API,17,21,99.6,active
U179,2024-03-03,Pro,Integrations,61,14,354.35,active
U180,2023-06-12,Enterprise,Dashboard,182,1,331.38,trial
U181,2023-09-18,Business,API,2,22,123.41,active
U182,2023-02-25,Pro,AI Insights,75,20,168.32,churned
U183,2023-01-09,Enterprise,Reports,131,3,54.21,active
U184,2024-01-08,Enterprise,Reports,58,9,255.07,active
U185,2023-05-28,Free,Integrations,90,9,88.16,churned
U186,2023-10-22,Free,Dashboard,191,24,432.8,active
U187,2023-06-23,Pro,Integrations,143,19,433.89,active
U188,2023-05-07,Enterprise,Integrations,196,16,52.21,active
U189,2024-02-18,Business,Dashboard,111,19,61.83,active
U190,2023-06-09,Enterprise,Reports,43,16,120.12,active
U191,2023-09-19,Free,Reports,67,10,479.32,churned
U192,2024-02-12,Free,Integrations,43,20,314.44,active
U193,2023-12-28,Enterprise,Reports,165,16,341.03,trial
U194,2024-01-26,Business,Automation,99,22,376.28,active
U195,2023-05-11,Business,AI Insights,190,18,233.35,trial
U196,2023-02-06,Business,Integrations,171,26,156.22,active
U197,2024-04-04,Business,Reports,78,27,253.39,active
U198,2023-04-04,Enterprise,API,157,29,170.71,active
U199,2024-02-24,Business,Automation,156,16,252.79,trial
U200,2024-02-10,Enterprise,Dashboard,80,14,364.65,churned
U201,2023-10-29,Free,Integrations,7,5,137.56,active
U202,2023-10-07,Business,Reports,50,3,414.74,churned
U203,2023-11-12,Business,AI Insights,157,1,76.41,churned
U204,2024-01-05,Pro,Automation,110,28,266.32,active
U205,2023-05-20,Business,Automation,120,17,463.16,active
U206,2023-01-01,Pro,AI Insights,198,20,326.96,churned
U207,2023-12-25,Enterprise,Reports,104,30,146.35,churned
U208,2023-07-11,Pro,AI Insights,73,22,462.85,trial
U209,2024-01-07,Business,Automation,91,25,117.28,active
U210,2024-04-04,Free,Reports,20,5,343.72,churned
U211,2023-03-15,Business,API,171,24,494.49,churned
U212,2023-07-25,Business,Automation,10,14,341.37,active
U213,2024-03-03,Business,Reports,11,26,386.71,trial
U214,2023-07-02,Pro,API,19,27,125.19,trial
U215,2023-01-28,Business,Dashboard,110,7,347.14,churned
U216,2024-02-07,Business,Reports,9,26,347.75,trial
U217,2023-09-24,Business,Automation,97,13,328.85,trial
U218,2023-11-22,Enterprise,Integrations,185,3,112.65,active
U219,2024-02-06,Free,API,86,20,169.1,active
U220,2023-08-07,Business,AI Insights,151,10,168.21,active
U221,2023-05-22,Free,AI Insights,34,15,98.79,trial
U222,2023-09-11,Business,Dashboard,47,11,293.78,churned
U223,2023-07-10,Pro,API,154,3,181.1,active
U224,2023-07-22,Free,Automation,56,6,438.81,active
U225,2024-03-04,Pro,Dashboard,100,10,331.67,active
U226,2023-05-27,Business,Automation,60,13,272.42,active
U227,2024-05-02,Free,AI Insights,10,28,103.81,active
U228,2024-03-15,Free,AI Insights,60,17,233.64,active
U229,2023-09-28,Pro,Automation,75,8,417.12,active
U230,2023-06-10,Pro,Automation,121,2,391.04,active
U231,2023-12-08,Pro,AI Insights,82,20,476.43,churned
U232,2023-07-18,Enterprise,Integrations,12,4,343.23,active
U233,2023-11-26,Pro,API,115,24,227.8,active
U234,2023-09-08,Free,Integrations,134,11,54.47,active
U235,2023-04-25,Business,Reports,93,8,177.75,active
U236,2023-11-03,Free,API,184,28,395.45,active
U237,2024-03-08,Pro,AI Insights,21,10,164.44,churned
U238,2024-04-18,Enterprise,Reports,37,21,463.68,active
U239,2023-02-14,Business,Dashboard,59,17,56.06,active
U240,2023-09-23,Free,Integrations,156,20,6.24,active
U241,2023-04-18,Business,Automation,36,25,391.93,trial
U242,2023-05-28,Business,Reports,86,26,491.23,active
U243,2023-11-01,Free,Integrations,151,12,246.84,active
U244,2023-07-19,Business,AI Insights,39,26,436.11,active
U245,2024-01-27,Enterprise,AI Insights,39,1,302.58,active
U246,2024-03-10,Pro,Reports,90,10,473.01,churned
U247,2023-06-20,Enterprise,Integrations,160,9,104.59,trial
U248,2023-12-14,Enterprise,AI Insights,173,29,367.34,active
U249,2023-01-30,Business,Dashboard,183,7,7.61,churned
U250,2023-07-04,Enterprise,Automation,122,16,240.49,churned
U251,2023-05-30,Free,Reports,51,26,375.85,trial
U252,2024-04-09,Enterprise,Reports,196,15,182.85,active
U253,2023-06-20,Enterprise,API,31,20,285.42,trial
U254,2024-04-10,Free,AI Insights,175,14,5.0,active
U255,2023-05-04,Business,Dashboard,80,4,13.33,active
U256,2023-04-06,Business,AI Insights,193,21,318.4,trial
U257,2023-01-03,Enterprise,Dashboard,128,2,355.83,active
U258,2023-06-10,Pro,Reports,49,19,13.81,trial
U259,2024-01-11,Free,Reports,70,18,5.86,active
U260,2024-04-26,Pro,API,77,9,13.78,churned
U261,2023-08-10,Enterprise,Integrations,15,10,55.96,active
U262,2023-03-20,Business,Integrations,42,24,258.71,trial
U263,2023-04-15,Pro,API,136,20,426.29,churned
U264,2024-04-20,Business,Reports,116,13,233.62,active
U265,2024-02-27,Business,Dashboard,122,14,382.3,active
U266,2023-11-27,Free,API,97,6,31.22,active
U267,2023-05-14,Enterprise,API,187,28,351.58,active
U268,2024-04-07,Free,Dashboard,47,28,131.09,active
U269,2023-12-26,Enterprise,Dashboard,176,7,257.39,active
U270,2023-06-01,Free,Automation,110,13,415.18,active
U271,2023-01-02,Pro,Dashboard,36,30,33.13,churned
U272,2024-05-12,Free,API,115,29,442.88,active
U273,2024-05-04,Pro,AI Insights,93,1,493.27,active
U274,2024-03-07,Enterprise,Reports,170,16,244.19,active
U275,2023-01-14,Pro,Dashboard,88,26,228.98,trial
U276,2024-01-16,Business,AI Insights,124,13,363.23,active
U277,2023-09-09,Free,API,12,21,409.61,active
U278,2023-04-22,Pro,Dashboard,138,24,414.46,active
U279,2023-07-26,Business,API,34,1,116.93,active
U280,2023-04-01,Enterprise,Reports,159,25,445.57,active
U281,2023-09-11,Free,Automation,8,23,205.16,active
U282,2023-07-07,Pro,Dashboard,135,0,389.61,trial
U283,2023-01-15,Free,Reports,114,24,51.06,active
U284,2023-03-22,Business,Dashboard,120,8,420.43,active
U285,2023-11-25,Business,API,35,9,268.05,trial
U286,2023-12-13,Pro,Reports,197,5,68.91,trial
U287,2023-02-15,Pro,Dashboard,181,20,287.89,active
U288,2023-05-29,Enterprise,Reports,39,24,100.91,active
U289,2023-09-24,Pro,Automation,110,30,37.81,active
U290,2023-07-27,Business,Reports,8,0,151.96,trial
U291,2023-05-11,Free,API,89,4,398.4,active
U292,2023-09-23,Pro,Integrations,64,2,117.19,churned
U293,2024-04-27,Free,Dashboard,198,26,331.96,churned
U294,2023-05-05,Enterprise,AI Insights,88,16,459.8,trial
U295,2023-03-11,Business,Dashboard,2,0,326.1,churned
U296,2023-01-07,Free,API,96,17,462.58,active
U297,2024-04-14,Pro,Integrations,131,23,422.44,active
U298,2024-03-21,Enterprise,Automation,51,6,327.3,trial
U299,2023-08-12,Pro,AI Insights,158,21,97.23,active
U300,2023-03-16,Free,AI Insights,146,15,94.57,active
U301,2024-03-21,Enterprise,Integrations,149,29,305.05,trial
U302,2024-05-13,Free,AI Insights,45,18,239.24,active
U303,2023-07-11,Free,Reports,38,7,181.58,trial
U304,2023-07-12,Free,API,90,19,323.98,active
U305,2024-03-04,Free,Automation,27,20,465.81,active
U306,2023-09-04,Free,Automation,3,24,121.87,active
U307,2023-07-08,Pro,API,179,8,439.18,churned
U308,2023-05-25,Pro,AI Insights,191,8,96.98,churned
U309,2024-03-01,Free,Automation,71,23,148.42,churned
U310,2023-09-01,Business,Dashboard,154,7,117.89,active
U311,2023-11-07,Pro,API,58,22,298.93,churned
U312,2023-03-25,Free,API,94,13,237.13,active
U313,2024-02-28,Enterprise,API,63,16,133.15,trial
U314,2023-09-24,Enterprise,Dashboard,196,14,176.8,active
U315,2023-09-30,Pro,API,14,21,459.11,active
U316,2024-01-16,Free,Integrations,104,4,190.94,active
U317,2023-07-20,Free,Integrations,24,13,369.4,trial
U318,2024-03-13,Enterprise,Dashboard,125,11,393.37,active
U319,2023-11-13,Enterprise,Dashboard,89,6,468.79,trial
U320,2023-07-09,Free,Dashboard,74,1,176.64,churned
U321,2023-10-23,Pro,API,14,25,490.42,active
U322,2023-11-09,Pro,AI Insights,44,27,190.01,active
U323,2023-11-10,Enterprise,Dashboard,36,3,424.97,active
U324,2023-01-17,Business,Reports,100,10,215.76,trial
U325,2023-12-29,Enterprise,API,91,24,147.57,active
U326,2024-04-27,Free,Automation,193,27,232.26,active
U327,2023-05-26,Pro,Automation,30,26,78.95,active
U328,2023-12-09,Business,Integrations,161,3,458.68,trial
U329,2023-09-23,Free,Integrations,20,3,52.25,churned
U330,2023-01-04,Enterprise,AI Insights,103,25,169.52,active
U331,2023-08-07,Pro,Reports,196,12,400.82,trial
U332,2023-05-07,Business,API,184,23,376.28,churned
U333,2023-05-23,Business,Automation,3,6,188.11,active
U334,2024-02-03,Enterprise,Automation,13,1,350.43,trial
U335,2023-07-04,Free,Automation,153,23,340.42,trial
U336,2023-10-04,Free,Integrations,161,14,377.27,active
U337,2024-05-03,Business,Dashboard,8,19,280.9,active
U338,2024-02-22,Business,Reports,11,12,73.85,active
U339,2023-04-01,Free,API,183,30,295.13,churned
U340,2024-01-10,Enterprise,AI Insights,99,12,434.93,active
U341,2023-11-03,Enterprise,Automation,87,8,491.6,churned
U342,2024-04-03,Enterprise,API,82,25,2.56,active
U343,2023-11-16,Pro,Integrations,196,3,369.61,trial
U344,2023-08-12,Pro,Integrations,40,21,275.72,active
U345,2023-03-24,Business,Automation,18,3,482.65,churned
U346,2024-05-13,Free,AI Insights,123,12,277.71,active
U347,2023-06-24,Pro,API,183,24,397.12,active
U348,2024-02-08,Enterprise,Reports,120,13,113.34,active
U349,2023-12-23,Business,Integrations,197,27,101.3,trial
U350,2023-12-02,Pro,Automation,16,6,171.82,churned
U351,2023-05-22,Pro,API,62,3,412.53,active
U352,2023-03-08,Pro,API,26,5,404.65,trial
U353,2023-06-10,Enterprise,Automation,164,11,346.7,churned
U354,2023-04-27,Pro,Automation,49,10,438.47,active
U355,2024-04-03,Business,API,95,6,244.91,active
U356,2023-06-19,Free,API,174,24,182.01,trial
U357,2024-04-10,Business,AI Insights,196,7,53.36,active
U358,2023-11-10,Pro,Dashboard,3,23,424.89,trial
U359,2023-02-08,Business,Reports,77,5,2.42,churned
U360,2023-12-03,Business,Reports,172,21,31.49,active
U361,2024-03-22,Enterprise,API,157,8,334.09,active
U362,2023-03-21,Enterprise,Dashboard,179,12,109.13,churned
U363,2023-06-07,Enterprise,Integrations,164,22,300.76,active
U364,2023-03-05,Enterprise,API,5,16,264.69,active
U365,2023-02-15,Free,Reports,118,19,154.81,active
U366,2023-01-06,Pro,Dashboard,191,16,376.27,trial
U367,2023-05-19,Free,AI Insights,182,29,180.66,trial
U368,2023-04-10,Pro,API,154,2,378.41,active
U369,2023-04-01,Pro,Integrations,175,25,446.45,active
U370,2023-01-29,Enterprise,API,54,16,471.98,active
U371,2023-12-26,Business,Dashboard,110,14,237.56,trial
U372,2023-04-15,Business,Integrations,119,19,425.37,active
U373,2024-03-30,Pro,Integrations,199,13,92.87,trial
U374,2023-12-11,Pro,API,118,11,160.23,active
U375,2024-03-08,Business,API,178,13,30.72,active
U376,2023-06-05,Pro,API,157,2,170.22,trial
U377,2023-08-08,Enterprise,API,116,12,54.76,active
U378,2023-06-22,Business,Automation,44,21,407.49,active
U379,2023-09-19,Business,API,200,19,143.51,active
U380,2023-07-28,Pro,Automation,29,28,282.65,active
U381,2023-01-23,Free,Dashboard,29,13,250.3,trial
U382,2023-03-12,Enterprise,Integrations,160,4,211.67,active
U383,2023-08-23,Business,Integrations,150,6,220.4,active
U384,2023-10-05,Enterprise,API,15,6,267.04,active
U385,2023-10-01,Enterprise,API,142,24,180.37,active
U386,2023-10-01,Enterprise,API,160,12,92.84,active
U387,2023-05-24,Enterprise,Automation,125,10,475.81,active
U388,2023-08-25,Business,API,115,21,111.22,active
U389,2024-02-12,Business,API,200,9,146.2,active
U390,2023-09-16,Pro,Dashboard,149,7,467.31,active
U391,2024-04-02,Pro,Integrations,4,14,49.93,trial
U392,2023-04-25,Free,Reports,19,26,90.24,active
U393,2023-12-06,Free,Automation,128,6,18.66,active
U394,2023-09-09,Pro,Reports,59,6,361.0,trial
U395,2023-09-16,Pro,Dashboard,169,5,125.09,trial
U396,2024-03-08,Pro,Integrations,0,28,492.01,trial
U397,2024-01-05,Free,Dashboard,164,3,351.98,active
U398,2023-09-25,Business,API,5,8,236.61,active
U399,2024-04-09,Pro,Automation,91,19,148.04,churned
U400,2023-08-11,Business,Dashboard,16,5,48.18,active
U401,2023-11-25,Business,API,134,9,362.75,active
U402,2023-06-09,Business,Dashboard,184,3,232.77,active
U403,2023-06-17,Free,Reports,64,25,348.83,active
U404,2024-01-03,Free,Dashboard,136,16,89.7,active
U405,2023-08-19,Pro,AI Insights,108,10,126.44,active
U406,2023-04-06,Free,Integrations,107,5,377.46,active
U407,2023-12-23,Enterprise,Dashboard,138,10,256.76,active
U408,2023-02-13,Free,Integrations,98,24,483.3,churned
U409,2023-09-18,Enterprise,AI Insights,51,22,235.38,active
U410,2023-07-18,Business,Dashboard,179,11,384.04,active
U411,2023-01-09,Free,API,32,10,256.27,active
U412,2023-04-28,Free,Integrations,46,25,327.45,trial
U413,2024-05-02,Pro,Integrations,188,21,153.32,trial
U414,2024-04-24,Business,Automation,117,24,301.49,trial
U415,2023-06-23,Free,API,178,19,183.61,active
U416,2023-02-17,Enterprise,Integrations,119,19,261.08,active
U417,2023-12-23,Business,AI Insights,133,12,248.52,churned
U418,2023-10-11,Business,Automation,43,28,233.37,active
U419,2023-09-20,Pro,Integrations,135,0,86.61,active
U420,2023-12-16,Free,AI Insights,19,18,289.16,active
U421,2024-03-22,Free,Reports,172,30,314.24,trial
U422,2024-02-06,Enterprise,API,84,26,200.03,active
U423,2023-01-29,Pro,Integrations,104,11,12.66,active
U424,2024-04-06,Free,Reports,10,7,245.42,active
U425,2023-12-03,Free,Dashboard,198,5,297.04,active
U426,2023-06-19,Free,AI Insights,28,2,394.39,active
U427,2023-01-15,Pro,Dashboard,149,30,272.83,active
U428,2023-01-27,Free,AI Insights,104,26,84.17,churned
U429,2023-09-02,Pro,Dashboard,189,26,412.09,active
U430,2023-10-24,Free,Dashboard,120,14,295.87,churned
U431,2023-10-02,Free,Reports,190,0,254.73,active
U432,2024-04-29,Free,Reports,166,18,467.35,churned
U433,2024-05-09,Enterprise,Integrations,166,12,5.48,active
U434,2024-01-26,Pro,Dashboard,50,22,122.84,active
U435,2023-01-01,Enterprise,Automation,10,17,302.02,active
U436,2023-01-31,Business,Reports,96,21,351.73,active
U437,2024-03-03,Enterprise,Integrations,12,28,287.28,trial
U438,2023-10-18,Free,Integrations,56,6,255.08,active
U439,2023-02-22,Business,API,66,23,188.89,churned
U440,2023-07-15,Enterprise,Dashboard,1,3,172.45,active
U441,2023-08-18,Enterprise,API,51,11,437.28,churned
U442,2023-11-09,Pro,Integrations,133,23,485.63,active
U443,2023-12-08,Free,Dashboard,26,14,153.59,trial
U444,2023-12-25,Enterprise,Dashboard,10,19,204.76,active
U445,2024-03-23,Pro,Integrations,59,19,236.64,active
U446,2023-12-20,Enterprise,Reports,54,22,107.37,active
U447,2023-04-04,Business,Automation,183,17,54.1,active
U448,2023-03-24,Enterprise,AI Insights,126,3,488.93,active
U449,2024-03-16,Pro,Integrations,198,4,197.05,trial
U450,2023-08-03,Free,Reports,86,24,352.94,active
U451,2023-05-28,Enterprise,AI Insights,37,12,458.63,trial
U452,2023-09-20,Pro,Reports,39,5,5.83,active
U453,2023-05-13,Enterprise,Dashboard,198,7,376.42,trial
U454,2023-04-06,Enterprise,Dashboard,124,12,414.79,active
U455,2023-02-26,Enterprise,Dashboard,7,12,247.52,active
U456,2023-02-10,Enterprise,AI Insights,163,27,394.9,churned
U457,2023-01-30,Pro,API,101,23,291.02,active
U458,2023-03-02,Business,Dashboard,63,13,387.37,active
U459,2023-09-27,Business,AI Insights,65,6,175.07,trial
U460,2024-01-02,Business,API,169,23,55.06,active
U461,2024-02-16,Free,AI Insights,49,15,270.79,active
U462,2023-02-09,Business,Integrations,185,14,460.55,active
U463,2023-03-06,Pro,API,146,17,399.19,active
U464,2023-03-21,Business,Integrations,20,30,412.25,active
U465,2024-02-15,Enterprise,Automation,181,23,25.37,churned
U466,2024-01-26,Business,API,18,3,332.61,trial
U467,2023-12-26,Pro,API,183,29,232.08,trial
U468,2024-05-13,Pro,Integrations,121,22,190.53,churned
U469,2023-04-22,Free,API,168,0,227.72,churned
U470,2023-06-18,Enterprise,API,47,28,423.39,trial
U471,2023-02-16,Business,Dashboard,100,3,392.61,trial
U472,2023-01-15,Enterprise,API,62,21,231.38,trial
U473,2023-12-15,Enterprise,Reports,102,9,258.03,churned
U474,2023-08-02,Business,API,81,11,68.0,active
U475,2023-02-07,Enterprise,Dashboard,93,1,53.03,churned
U476,2023-05-09,Pro,AI Insights,131,29,312.93,trial
U477,2023-02-26,Business,API,195,13,401.09,active
U478,2023-02-03,Business,Automation,33,25,58.18,churned
U479,2023-06-16,Enterprise,Integrations,50,7,263.28,trial
U480,2023-04-26,Business,Integrations,12,12,459.44,active
U481,2023-11-18,Enterprise,Integrations,144,8,39.23,active
U482,2023-09-06,Free,Dashboard,118,8,428.53,active
U483,2023-06-06,Free,Reports,103,7,9.65,active
U484,2023-05-12,Enterprise,Dashboard,29,21,38.78,active
