shipment_id,sku,warehouse,order_date,ship_date,lead_time_days,quantity,cost,status
S45,SKU1703,West DC,2024-12-07,2024-12-11,4,405,177.47,in_transit
S46,SKU4154,East DC,2024-08-12,2024-08-17,5,195,12.38,delayed
S47,SKU7642,East DC,2024-06-03,2024-06-07,4,132,130.54,delivered
S48,SKU3302,South DC,2024-07-08,2024-07-18,10,399,62.93,delayed
S49,SKU4373,South DC,2024-12-15,2024-12-27,12,394,85.06,delivered
S50,SKU2668,South DC,2024-02-04,2024-02-12,8,339,172.22,delayed
S51,SKU4787,Central DC,2024-09-09,2024-09-16,7,106,85.89,delayed
S52,SKU9360,Central DC,2024-11-22,2024-11-30,8,117,114.73,delivered
S53,SKU7880,East DC,2024-02-04,2024-02-09,5,141,180.05,delivered
S54,SKU5847,East DC,2024-10-24,2024-11-02,9,69,42.71,delivered
S55,SKU9648,West DC,2024-09-10,2024-09-17,7,268,122.74,delayed
S56,SKU5826,East DC,2024-11-05,2024-11-11,6,198,133.62,delivered
S57,SKU1141,Central DC,2024-03-05,2024-03-15,10,404,83.4,delayed
S58,SKU5847,Central DC,2024-08-18,2024-08-27,9,290,84.7,delivered
S59,SKU9648,Central DC,2024-01-19,2024-01-24,5,252,142.17,delivered
S60,SKU3302,Central DC,2024-01-06,2024-01-10,4,259,132.45,delivered
S61,SKU4373,South DC,2024-01-25,2024-02-02,8,281,178.56,delivered
S62,SKU6835,East DC,2024-05-10,2024-05-24,14,408,39.13,delivered
S63,SKU9738,East DC,2024-05-16,2024-05-18,2,404,154.12,delivered
S64,SKU3525,Central DC,2024-05-11,2024-05-25,14,235,102.56,delivered
S65,SKU2279,Central DC,2024-09-02,2024-09-06,4,441,100.83,delayed
S66,SKU8036,East DC,2024-05-19,2024-05-27,8,429,177.58,delivered
S67,SKU5826,Central DC,2024-11-16,2024-11-21,5,57,155.1,delivered
S68,SKU4787,East DC,2024-07-15,2024-07-29,14,344,66.67,in_transit
S69,SKU8432,Central DC,2024-08-05,2024-08-19,14,44,148.32,in_transit
S70,SKU4359,West DC,2024-10-30,2024-11-08,9,427,105.23,delivered
S71,SKU9344,South DC,2024-05-17,2024-05-23,6,309,56.76,delivered
S72,SKU8562,South DC,2024-11-13,2024-11-16,3,291,34.09,delivered
S73,SKU3525,East DC,2024-05-04,2024-05-09,5,250,95.09,delivered
S74,SKU7592,West DC,2024-05-10,2024-05-22,12,285,119.02,delivered
S75,SKU3368,East DC,2024-07-06,2024-07-19,13,374,24.48,delivered
S76,SKU9648,East DC,2024-12-24,2025-01-05,12,398,109.26,in_transit
S77,SKU4373,South DC,2024-09-07,2024-09-10,3,47,39.87,delivered
S78,SKU8562,Central DC,2024-09-08,2024-09-19,11,369,43.78,delivered
S79,SKU1411,East DC,2024-06-30,2024-07-09,9,251,187.62,delayed
S80,SKU4417,East DC,2024-01-30,2024-02-09,10,497,123.89,delivered
S81,SKU8036,South DC,2024-11-08,2024-11-17,9,63,143.51,delayed
S82,SKU3173,West DC,2024-06-17,2024-06-25,8,177,162.97,delivered
S83,SKU4787,Central DC,2024-10-24,2024-11-01,8,286,72.06,delivered
S84,SKU3280,East DC,2024-10-21,2024-10-23,2,71,117.82,delayed
S85,SKU9344,South DC,2024-03-26,2024-04-02,7,251,175.08,delivered
S86,SKU3280,South DC,2024-05-22,2024-05-28,6,49,141.5,in_transit
S87,SKU2724,East DC,2024-08-21,2024-08-22,1,26,66.91,delivered
S88,SKU9349,Central DC,2024-02-15,2024-02-19,4,483,62.99,delayed
S89,SKU3525,South DC,2024-11-14,2024-11-15,1,211,166.48,delivered
S90,SKU9875,Central DC,2024-06-09,2024-06-23,14,421,177.19,delivered
S91,SKU1070,West DC,2024-03-22,2024-03-30,8,272,99.14,delivered
S92,SKU4359,South DC,2024-03-29,2024-03-30,1,148,194.09,in_transit
S93,SKU9360,West DC,2024-03-01,2024-03-12,11,458,99.19,delivered
S94,SKU2724,East DC,2024-12-22,2024-12-30,8,94,184.74,delivered
S95,SKU1313,Central DC,2024-06-12,2024-06-18,6,120,57.35,delivered
S96,SKU1441,East DC,2024-06-23,2024-07-07,14,79,170.39,delivered
S97,SKU6835,West DC,2024-01-06,2024-01-12,6,408,57.09,delivered
S98,SKU7346,West DC,2024-03-07,2024-03-17,10,139,132.77,delivered
S99,SKU5847,Central DC,2024-06-21,2024-06-26,5,185,118.89,delivered
S100,SKU4359,East DC,2024-03-09,2024-03-11,2,245,135.53,delivered
S101,SKU3027,Central DC,2024-04-08,2024-04-16,8,170,107.06,delivered
S102,SKU3173,Central DC,2024-12-14,2024-12-17,3,418,106.18,delivered
S103,SKU3280,South DC,2024-02-07,2024-02-19,12,362,162.16,delivered
S104,SKU8036,East DC,2024-06-27,2024-06-28,1,235,170.75,delayed
S105,SKU8432,West DC,2024-11-21,2024-12-05,14,388,115.61,delivered
S106,SKU4944,West DC,2024-01-29,2024-02-04,6,440,180.86,in_transit
S107,SKU9360,West DC,2024-02-08,2024-02-21,13,189,44.54,in_transit
S108,SKU1313,West DC,2024-09-28,2024-10-09,11,380,96.33,delivered
S109,SKU1070,West DC,2024-02-07,2024-02-09,2,255,22.53,delayed
S110,SKU7880,West DC,2024-01-31,2024-02-08,8,61,72.29,delivered
S111,SKU6835,Central DC,2024-10-29,2024-11-09,11,330,117.28,delivered
S112,SKU6835,West DC,2024-10-14,2024-10-26,12,303,116.1,delivered
S113,SKU7979,West DC,2024-04-29,2024-05-06,7,292,50.55,delayed
S114,SKU3525,West DC,2024-05-09,2024-05-14,5,173,74.01,in_transit
S115,SKU9344,West DC,2024-01-03,2024-01-07,4,369,18.83,delivered
S116,SKU5092,East DC,2024-10-15,2024-10-29,14,268,148.01,delivered
S117,SKU8432,South DC,2024-01-01,2024-01-08,7,355,42.01,in_transit
S118,SKU7979,West DC,2024-07-03,2024-07-17,14,322,16.52,delivered
S119,SKU1009,West DC,2024-11-01,2024-11-12,11,373,126.57,delivered
S120,SKU5847,West DC,2024-04-17,2024-04-26,9,163,166.27,in_transit
S121,SKU6006,South DC,2024-02-19,2024-02-24,5,76,155.04,delayed
S122,SKU9349,South DC,2024-06-05,2024-06-16,11,303,34.02,delayed
S123,SKU1141,South DC,2024-09-25,2024-09-30,5,478,163.52,delivered
S124,SKU5910,West DC,2024-03-31,2024-04-11,11,333,67.79,delayed
S125,SKU4787,East DC,2024-09-16,2024-09-23,7,493,159.84,in_transit
S126,SKU7642,West DC,2024-07-02,2024-07-11,9,309,18.45,delivered
S127,SKU3302,Central DC,2024-09-18,2024-09-21,3,243,121.98,delivered
S128,SKU9875,South DC,2024-06-24,2024-07-07,13,91,194.12,in_transit
S129,SKU9349,South DC,2024-06-18,2024-06-26,8,175,131.75,delayed
S130,SKU2668,Central DC,2024-06-17,2024-06-30,13,22,72.38,delivered
S131,SKU7592,South DC,2024-10-09,2024-10-23,14,115,106.0,delivered
S132,SKU3280,Central DC,2024-09-01,2024-09-15,14,351,110.5,delivered
S133,SKU1441,West DC,2024-01-03,2024-01-07,4,257,120.38,delivered
S134,SKU5092,South DC,2024-01-24,2024-02-03,10,282,98.21,delivered
S135,SKU1141,East DC,2024-08-17,2024-08-31,14,382,7.86,delivered
S136,SKU3173,East DC,2024-06-26,2024-07-02,6,131,29.75,delivered
S137,SKU6006,Central DC,2024-02-08,2024-02-09,1,237,65.88,delivered
S138,SKU4944,South DC,2024-10-17,2024-10-29,12,129,171.2,in_transit
S139,SKU4359,West DC,2024-08-20,2024-09-01,12,260,124.68,in_transit
S140,SKU5826,West DC,2024-11-17,2024-11-19,2,285,79.69,delayed
S141,SKU4359,Central DC,2024-08-11,2024-08-19,8,19,7.09,delayed
S142,SKU3280,South DC,2024-05-12,2024-05-23,11,342,31.54,delivered
S143,SKU7979,South DC,2024-01-18,2024-01-28,10,121,49.15,in_transit
S144,SKU9360,Central DC,2024-04-07,2024-04-19,12,315,193.7,delivered
S145,SKU1313,Central DC,2024-05-23,2024-05-27,4,2,81.72,delayed
S146,SKU9349,West DC,2024-12-23,2024-12-30,7,193,7.57,delivered
S147,SKU9565,East DC,2024-12-31,2025-01-04,4,16,45.55,delayed
S148,SKU9565,West DC,2024-06-15,2024-06-17,2,360,163.78,delivered
S149,SKU4359,West DC,2024-09-15,2024-09-24,9,61,62.61,delivered
S150,SKU3280,South DC,2024-01-13,2024-01-23,10,361,132.99,delivered
S151,SKU9565,Central DC,2024-12-18,2024-12-21,3,79,167.75,delivered
S152,SKU9349,East DC,2024-07-17,2024-07-28,11,420,68.48,delivered
S153,SKU8432,West DC,2024-05-02,2024-05-05,3,339,102.02,delivered
S154,SKU1703,South DC,2024-07-30,2024-08-12,13,319,85.15,delivered
S155,SKU7642,Central DC,2024-11-11,2024-11-12,1,431,35.34,delayed
S156,SKU8432,East DC,2024-03-26,2024-03-28,2,93,103.92,delayed
S157,SKU3027,West DC,2024-07-20,2024-07-25,5,271,93.16,delivered
S158,SKU9565,West DC,2024-06-12,2024-06-20,8,367,5.09,delayed
S159,SKU2002,East DC,2024-03-18,2024-03-19,1,288,133.3,delayed
S160,SKU7087,Central DC,2024-07-20,2024-07-26,6,356,188.71,delivered
S161,SKU3525,West DC,2024-05-29,2024-06-02,4,387,82.65,delivered
S162,SKU5873,South DC,2024-01-07,2024-01-15,8,386,173.13,delivered
S163,SKU7643,South DC,2024-06-21,2024-06-25,4,459,163.48,delivered
S164,SKU1411,West DC,2024-08-29,2024-09-03,5,203,184.37,delayed
S165,SKU8036,South DC,2024-12-26,2025-01-09,14,269,73.12,in_transit
S166,SKU4154,Central DC,2024-03-27,2024-04-04,8,76,107.09,delayed
S167,SKU7979,South DC,2024-05-16,2024-05-20,4,421,11.19,delivered
S168,SKU8036,East DC,2024-12-17,2024-12-30,13,27,43.74,delivered
S169,SKU5873,West DC,2024-05-09,2024-05-16,7,458,28.32,delivered
S170,SKU2724,Central DC,2024-05-12,2024-05-19,7,266,131.53,in_transit
S171,SKU6006,West DC,2024-10-08,2024-10-11,3,259,66.39,delivered
S172,SKU1313,South DC,2024-11-10,2024-11-14,4,404,83.2,in_transit
S173,SKU5873,East DC,2024-11-03,2024-11-13,10,483,38.77,delivered
S174,SKU7642,Central DC,2024-09-21,2024-09-28,7,334,112.69,delivered
S175,SKU9648,Central DC,2024-03-01,2024-03-11,10,50,138.16,delayed
S176,SKU6442,East DC,2024-09-03,2024-09-07,4,372,103.57,delivered
S177,SKU4787,West DC,2024-12-16,2024-12-17,1,247,113.89,delivered
S178,SKU9360,Central DC,2024-10-24,2024-10-26,2,166,122.41,in_transit
S179,SKU8432,Central DC,2024-03-13,2024-03-26,13,44,39.25,delivered
S180,SKU5847,South DC,2024-08-03,2024-08-04,1,105,85.37,delayed
S181,SKU7643,South DC,2024-02-04,2024-02-11,7,266,65.3,delivered
S182,SKU3280,East DC,2024-05-05,2024-05-10,5,407,85.62,delayed
S183,SKU4373,Central DC,2024-07-26,2024-07-27,1,228,142.3,delivered
S184,SKU9565,East DC,2024-05-18,2024-05-22,4,275,42.32,in_transit
S185,SKU7592,East DC,2024-11-15,2024-11-25,10,442,147.65,in_transit
S186,SKU7346,South DC,2024-01-19,2024-01-30,11,409,72.38,delivered
S187,SKU6442,Central DC,2024-09-03,2024-09-10,7,121,14.35,delayed
S188,SKU5910,West DC,2024-06-09,2024-06-19,10,453,86.63,in_transit
S189,SKU1441,West DC,2024-11-02,2024-11-11,9,100,126.8,in_transit
S190,SKU1313,Central DC,2024-09-02,2024-09-03,1,172,137.64,delivered
S191,SKU2110,West DC,2024-01-05,2024-01-09,4,369,157.0,delivered
S192,SKU2724,Central DC,2024-03-20,2024-04-03,14,492,64.29,delayed
S193,SKU7643,East DC,2024-03-28,2024-03-29,1,180,89.24,delivered
S194,SKU7880,West DC,2024-11-27,2024-12-07,10,122,112.42,in_transit
S195,SKU7346,South DC,2024-05-17,2024-05-31,14,25,71.86,delivered
S196,SKU9360,Central DC,2024-10-02,2024-10-12,10,469,105.62,delayed
S197,SKU3302,Central DC,2024-07-09,2024-07-21,12,296,102.09,delivered
S198,SKU7643,East DC,2024-03-08,2024-03-18,10,264,111.62,delayed
S199,SKU1141,East DC,2024-07-10,2024-07-14,4,269,55.71,delivered
S200,SKU5847,South DC,2024-08-01,2024-08-06,5,255,66.01,delivered
S201,SKU1070,West DC,2024-01-21,2024-01-24,3,369,184.2,delivered
S202,SKU8432,West DC,2024-08-12,2024-08-26,14,100,183.86,delivered
S203,SKU6835,South DC,2024-06-14,2024-06-15,1,210,175.69,delayed
S204,SKU7979,South DC,2024-05-21,2024-05-23,2,66,128.5,delayed
S205,SKU1411,East DC,2024-07-20,2024-07-27,7,99,128.08,delivered
S206,SKU2279,East DC,2024-03-31,2024-04-02,2,261,155.93,in_transit
S207,SKU1009,South DC,2024-07-21,2024-07-27,6,479,145.23,delivered
S208,SKU3302,East DC,2024-12-22,2024-12-29,7,374,111.19,in_transit
S209,SKU4154,West DC,2024-05-03,2024-05-04,1,143,28.49,delivered
S210,SKU3280,West DC,2024-10-13,2024-10-25,12,495,114.81,delivered
S211,SKU7643,South DC,2024-03-04,2024-03-11,7,442,138.66,delayed
S212,SKU6835,Central DC,2024-08-29,2024-09-09,11,48,199.83,in_transit
S213,SKU2724,South DC,2024-01-09,2024-01-19,10,267,66.41,delivered
S214,SKU5847,South DC,2024-08-24,2024-08-31,7,182,198.44,delayed
S215,SKU2668,South DC,2024-09-14,2024-09-28,14,178,106.27,in_transit
S216,SKU7087,Central DC,2024-03-09,2024-03-22,13,485,45.23,delivered
S217,SKU8036,Central DC,2024-11-23,2024-12-03,10,302,30.23,delivered
S218,SKU1703,West DC,2024-07-22,2024-08-02,11,425,42.97,in_transit
S219,SKU9344,West DC,2024-05-15,2024-05-17,2,250,158.2,delivered
S220,SKU9565,East DC,2024-07-01,2024-07-15,14,244,157.16,delivered
S221,SKU5092,East DC,2024-06-21,2024-06-30,9,92,197.18,in_transit
S222,SKU6835,East DC,2024-11-11,2024-11-13,2,296,29.4,in_transit
S223,SKU5528,South DC,2024-04-30,2024-05-10,10,62,94.09,delivered
S224,SKU4373,Central DC,2024-03-05,2024-03-08,3,335,126.42,delivered
S225,SKU4787,Central DC,2024-12-31,2025-01-06,6,425,114.5,delivered
S226,SKU9875,East DC,2024-05-15,2024-05-21,6,90,137.76,delayed
S227,SKU9565,Central DC,2024-12-29,2025-01-08,10,126,70.16,in_transit
S228,SKU2110,West DC,2024-10-27,2024-11-08,12,94,23.92,delivered
S229,SKU7979,West DC,2024-05-01,2024-05-07,6,224,52.82,delayed
S230,SKU1009,Central DC,2024-03-28,2024-04-03,6,141,9.93,delayed
S231,SKU3368,West DC,2024-12-03,2024-12-11,8,155,102.16,delivered
S232,SKU7979,Central DC,2024-08-03,2024-08-16,13,326,132.09,in_transit
S233,SKU9648,South DC,2024-12-09,2024-12-20,11,264,92.61,delivered
S234,SKU4373,Central DC,2024-09-09,2024-09-12,3,215,81.56,delayed
S235,SKU5873,Central DC,2024-09-19,2024-09-29,10,329,24.94,in_transit
S236,SKU5910,East DC,2024-06-19,2024-06-24,5,260,173.46,delayed
S237,SKU1441,West DC,2024-12-11,2024-12-14,3,336,33.38,in_transit
S238,SKU5910,West DC,2024-04-03,2024-04-08,5,480,176.05,in_transit
S239,SKU4944,South DC,2024-05-23,2024-06-03,11,368,166.53,delivered
S240,SKU1313,Central DC,2024-11-07,2024-11-08,1,332,150.26,delivered
S241,SKU9360,South DC,2024-05-14,2024-05-16,2,421,185.39,delivered
S242,SKU3525,Central DC,2024-06-18,2024-06-25,7,203,160.92,delivered
S243,SKU5847,South DC,2024-01-06,2024-01-16,10,214,160.36,in_transit
S244,SKU8036,Central DC,2024-07-07,2024-07-09,2,392,161.08,delivered
S245,SKU5528,Central DC,2024-12-20,2024-12-29,9,300,120.99,delivered
S246,SKU9565,West DC,2024-08-20,2024-08-28,8,491,55.84,in_transit
S247,SKU9738,East DC,2024-09-25,2024-09-29,4,23,90.53,delivered
S248,SKU6835,South DC,2024-02-25,2024-03-09,13,253,93.7,in_transit
S249,SKU8036,East DC,2024-11-27,2024-12-05,8,318,185.51,delayed
S250,SKU4359,East DC,2024-08-14,2024-08-15,1,163,100.63,delivered
S251,SKU1009,Central DC,2024-09-12,2024-09-26,14,317,175.08,delayed
S252,SKU3173,West DC,2024-09-03,2024-09-11,8,51,70.28,delayed
S253,SKU8562,East DC,2024-08-26,2024-09-07,12,458,135.65,delivered
S254,SKU2110,West DC,2024-10-30,2024-11-01,2,266,155.16,delivered
S255,SKU3027,Central DC,2024-07-13,2024-07-22,9,362,93.62,in_transit
S256,SKU7592,West DC,2024-10-28,2024-11-01,4,304,60.48,delivered
S257,SKU3027,Central DC,2024-04-15,2024-04-29,14,472,170.25,delayed
S258,SKU4373,Central DC,2024-07-22,2024-07-27,5,238,125.19,delivered
S259,SKU2724,West DC,2024-05-14,2024-05-21,7,488,119.86,delivered
S260,SKU6006,West DC,2024-05-13,2024-05-27,14,433,20.45,delayed
S261,SKU3173,South DC,2024-03-31,2024-04-11,11,484,34.67,delivered
S262,SKU9360,East DC,2024-11-06,2024-11-16,10,9,9.26,delivered
S263,SKU1313,East DC,2024-04-12,2024-04-21,9,31,164.97,delivered
S264,SKU1009,Central DC,2024-03-17,2024-03-19,2,36,39.12,delivered
S265,SKU8562,West DC,2024-03-22,2024-03-23,1,137,80.87,in_transit
S266,SKU3173,West DC,2024-09-21,2024-10-04,13,393,22.76,delayed
S267,SKU8036,Central DC,2024-05-20,2024-05-21,1,328,100.11,delivered
S268,SKU3525,Central DC,2024-01-26,2024-02-06,11,249,40.04,delayed
S269,SKU3280,East DC,2024-10-21,2024-10-31,10,428,153.64,in_transit
S270,SKU5847,East DC,2024-05-25,2024-06-01,7,337,74.07,delivered
S271,SKU5847,Central DC,2024-03-31,2024-04-10,10,460,199.52,in_transit
S272,SKU4154,Central DC,2024-07-20,2024-07-31,11,397,180.99,delayed
S273,SKU4359,Central DC,2024-05-17,2024-05-28,11,149,102.58,in_transit
S274,SKU7880,East DC,2024-11-26,2024-12-04,8,202,121.75,delivered
S275,SKU1141,Central DC,2024-07-19,2024-07-25,6,443,134.42,delayed
S276,SKU4373,East DC,2024-02-26,2024-03-08,11,142,50.7,delivered
S277,SKU8432,South DC,2024-06-06,2024-06-20,14,475,45.17,delivered
S278,SKU4373,Central DC,2024-09-12,2024-09-26,14,268,139.17,delivered
S279,SKU1703,Central DC,2024-07-30,2024-08-05,6,170,28.97,delivered
S280,SKU5826,South DC,2024-10-02,2024-10-07,5,39,78.17,in_transit
S281,SKU7087,South DC,2024-12-02,2024-12-15,13,190,29.09,delivered
S282,SKU7087,West DC,2024-08-20,2024-08-25,5,333,150.5,in_transit
S283,SKU4154,Central DC,2024-08-23,2024-08-28,5,234,184.8,delayed
S284,SKU4359,South DC,2024-01-10,2024-01-24,14,274,144.14,in_transit
S285,SKU1009,West DC,2024-05-08,2024-05-09,1,362,86.9,delivered
S286,SKU4359,Central DC,2024-12-13,2024-12-18,5,415,95.26,delivered
S287,SKU8432,West DC,2024-07-24,2024-07-30,6,421,99.7,delivered
S288,SKU3302,West DC,2024-03-31,2024-04-14,14,295,95.52,delivered
S289,SKU8562,West DC,2024-01-29,2024-01-30,1,213,70.88,delivered
S290,SKU8562,East DC,2024-09-29,2024-10-11,12,164,90.06,in_transit
S291,SKU5528,West DC,2024-02-12,2024-02-26,14,202,149.68,delivered
S292,SKU1411,Central DC,2024-11-23,2024-12-02,9,32,169.61,delivered
S293,SKU3173,West DC,2024-04-26,2024-05-08,12,473,10.75,delivered
S294,SKU1141,East DC,2024-06-16,2024-06-23,7,330,162.36,in_transit
S295,SKU1070,Central DC,2024-04-03,2024-04-05,2,167,124.03,delivered
S296,SKU2002,West DC,2024-12-03,2024-12-07,4,250,69.77,in_transit
S297,SKU7642,Central DC,2024-06-16,2024-06-18,2,23,109.3,delivered
S298,SKU7880,South DC,2024-04-29,2024-05-10,11,464,69.52,delivered
S299,SKU8562,Central DC,2024-07-12,2024-07-16,4,43,157.71,delivered
S300,SKU7880,Central DC,2024-06-21,2024-06-22,1,359,91.92,delivered
S301,SKU7979,West DC,2024-01-14,2024-01-16,2,97,48.99,delivered
S302,SKU5847,West DC,2024-06-30,2024-07-05,5,7,122.17,delayed
S303,SKU1313,West DC,2024-01-05,2024-01-16,11,79,176.25,delayed
S304,SKU5528,West DC,2024-11-12,2024-11-19,7,477,188.89,delivered
S305,SKU3368,East DC,2024-10-26,2024-11-06,11,5,12.6,in_transit
S306,SKU7643,East DC,2024-02-10,2024-02-12,2,496,27.91,delivered
S307,SKU9648,West DC,2024-03-05,2024-03-15,10,293,183.72,delivered
S308,SKU1313,West DC,2024-01-22,2024-01-25,3,471,161.08,delivered
S309,SKU7642,East DC,2024-06-07,2024-06-21,14,375,174.07,delayed
S310,SKU3027,Central DC,2024-12-17,2024-12-28,11,424,186.79,delivered
S311,SKU8562,Central DC,2024-04-17,2024-04-21,4,350,54.23,in_transit
S312,SKU9738,East DC,2024-10-05,2024-10-09,4,235,14.89,delivered
S313,SKU4787,East DC,2024-10-16,2024-10-30,14,93,33.13,delivered
S314,SKU9344,South DC,2024-02-22,2024-03-07,14,314,38.56,delivered
S315,SKU8562,South DC,2024-05-10,2024-05-13,3,193,93.5,delayed
S316,SKU1441,East DC,2024-04-03,2024-04-12,9,27,172.65,delivered
S317,SKU9648,West DC,2024-10-08,2024-10-13,5,463,131.19,delivered
S318,SKU9349,East DC,2024-09-06,2024-09-20,14,148,115.88,delivered
S319,SKU1141,South DC,2024-04-26,2024-05-07,11,471,118.69,delivered
S320,SKU9875,South DC,2024-07-07,2024-07-20,13,269,132.78,delivered
S321,SKU2724,East DC,2024-12-14,2024-12-19,5,13,177.39,delayed
S322,SKU9875,South DC,2024-07-06,2024-07-15,9,250,78.41,delayed
S323,SKU5092,West DC,2024-07-04,2024-07-16,12,372,56.22,delivered
S324,SKU9648,East DC,2024-05-29,2024-06-01,3,485,66.85,delivered
S325,SKU9738,West DC,2024-08-24,2024-09-07,14,15,8.93,in_transit
S326,SKU6442,South DC,2024-08-04,2024-08-15,11,69,128.1,delivered
S327,SKU2279,South DC,2024-03-23,2024-03-27,4,213,168.79,delivered
S328,SKU7979,South DC,2024-11-23,2024-11-25,2,349,76.84,delivered
S329,SKU5873,South DC,2024-06-22,2024-07-03,11,366,144.26,delayed
S330,SKU8036,Central DC,2024-01-05,2024-01-12,7,31,137.51,delayed
S331,SKU7643,East DC,2024-01-05,2024-01-07,2,267,35.28,delayed
S332,SKU5528,South DC,2024-10-25,2024-11-01,7,39,114.89,in_transit
S333,SKU9875,East DC,2024-09-26,2024-10-06,10,453,16.24,delayed
S334,SKU8562,Central DC,2024-04-26,2024-05-05,9,369,38.05,delivered
S335,SKU5847,East DC,2024-06-12,2024-06-14,2,170,174.66,in_transit
S336,SKU7087,East DC,2024-08-23,2024-08-27,4,153,155.94,delivered
S337,SKU3027,South DC,2024-07-14,2024-07-19,5,28,181.75,in_transit
S338,SKU3302,West DC,2024-02-24,2024-02-28,4,303,18.82,delayed
S339,SKU1141,East DC,2024-12-19,2024-12-28,9,469,72.03,delivered
S340,SKU3280,East DC,2024-12-18,2024-12-24,6,163,13.95,delivered
S341,SKU3302,Central DC,2024-05-04,2024-05-12,8,292,82.6,delivered
S342,SKU3027,Central DC,2024-08-09,2024-08-12,3,353,69.78,delivered
S343,SKU9344,East DC,2024-12-28,2025-01-07,10,484,150.31,delivered
S344,SKU2110,East DC,2024-01-09,2024-01-19,10,357,19.17,delivered
S345,SKU9344,East DC,2024-04-14,2024-04-19,5,61,171.6,delayed
S346,SKU9349,South DC,2024-02-25,2024-02-29,4,303,70.0,delivered
S347,SKU7346,East DC,2024-02-07,2024-02-17,10,458,49.52,in_transit
S348,SKU1441,South DC,2024-11-19,2024-11-29,10,326,150.29,delivered
S349,SKU2668,Central DC,2024-04-20,2024-04-25,5,309,22.96,delayed
S350,SKU3368,West DC,2024-03-10,2024-03-17,7,161,98.66,delivered
S351,SKU9875,East DC,2024-01-16,2024-01-19,3,15,26.86,delayed
S352,SKU5826,South DC,2024-07-22,2024-07-25,3,112,131.79,in_transit
