consumer_id,age,gender,income_bracket,education,region
CON0000165,66,M,50-75K,Graduate,West
CON0000166,78,M,75-100K,HS,East
CON0000167,56,M,25-50K,College,South
CON0000168,70,M,<25K,College,South
CON0000169,56,F,<25K,Graduate,East
CON0000170,83,F,50-75K,College,East
CON0000171,72,F,100K+,Graduate,South
CON0000172,75,M,75-100K,Graduate,South
CON0000173,25,M,75-100K,Bachelors,South
CON0000174,72,M,100K+,College,West
CON0000175,54,F,75-100K,College,South
CON0000176,38,M,100K+,College,West
CON0000177,81,M,100K+,Bachelors,North
CON0000178,33,M,100K+,College,South
CON0000179,60,M,<25K,HS,North
CON0000180,77,M,75-100K,Bachelors,West
CON0000181,60,F,75-100K,Graduate,South
CON0000182,68,M,75-100K,HS,North
CON0000183,87,M,25-50K,College,West
CON0000184,48,F,100K+,Bachelors,East
CON0000185,84,M,75-100K,Graduate,North
CON0000186,49,M,100K+,College,East
CON0000187,44,F,75-100K,HS,West
CON0000188,38,F,<25K,Graduate,West
CON0000189,80,F,<25K,HS,West
CON0000190,32,F,<25K,College,South
CON0000191,80,M,75-100K,Graduate,West
CON0000192,43,F,<25K,HS,South
CON0000193,84,M,50-75K,Bachelors,South
CON0000194,71,M,75-100K,Graduate,West
CON0000195,58,M,50-75K,Graduate,North
CON0000196,75,M,<25K,HS,South
CON0000197,78,F,75-100K,Bachelors,South
CON0000198,22,M,25-50K,College,West
CON0000199,61,M,100K+,HS,North
CON0000200,71,F,<25K,Bachelors,East
CON0000201,86,F,50-75K,HS,East
CON0000202,30,F,<25K,Bachelors,West
CON0000203,82,M,75-100K,College,South
CON0000204,22,M,50-75K,HS,North
CON0000205,78,M,25-50K,HS,North
CON0000206,68,F,75-100K,Bachelors,North
CON0000207,49,M,100K+,Graduate,East
CON0000208,42,M,100K+,Graduate,West
CON0000209,41,F,100K+,Graduate,East
CON0000210,67,M,<25K,HS,East
CON0000211,37,M,<25K,College,West
CON0000212,39,F,25-50K,College,East
CON0000213,24,F,<25K,College,North
CON0000214,19,M,100K+,College,South
CON0000215,81,F,100K+,Graduate,South
CON0000216,27,F,<25K,Bachelors,East
CON0000217,80,M,50-75K,Bachelors,East
CON0000218,85,M,75-100K,Graduate,North
CON0000219,68,F,75-100K,College,West
CON0000220,76,M,75-100K,HS,North
CON0000221,41,M,50-75K,Graduate,East
CON0000222,31,F,100K+,Graduate,East
CON0000223,46,M,100K+,Graduate,South
CON0000224,70,M,50-75K,Bachelors,South
CON0000225,47,M,50-75K,College,North
CON0000226,32,F,75-100K,HS,South
CON0000227,43,M,75-100K,Bachelors,East
CON0000228,87,F,75-100K,Bachelors,East
CON0000229,21,F,<25K,HS,North
CON0000230,39,F,<25K,HS,West
CON0000231,59,F,100K+,Bachelors,South
CON0000232,71,F,25-50K,College,North
CON0000233,86,F,25-50K,HS,East
CON0000234,77,F,<25K,Bachelors,South
CON0000235,38,F,50-75K,Bachelors,West
CON0000236,70,F,100K+,Bachelors,South
CON0000237,40,F,50-75K,Bachelors,North
CON0000238,51,F,25-50K,College,West
CON0000239,65,F,50-75K,College,South
CON0000240,68,F,<25K,College,West
CON0000241,86,F,<25K,College,South
CON0000242,56,M,<25K,College,West
CON0000243,75,M,100K+,College,West
CON0000244,66,F,<25K,HS,South
CON0000245,65,F,25-50K,Bachelors,South
CON0000246,82,M,25-50K,HS,South
CON0000247,81,M,75-100K,HS,North
CON0000248,55,M,<25K,HS,South
CON0000249,83,M,100K+,Graduate,East
CON0000250,19,M,50-75K,Graduate,East
CON0000251,38,M,<25K,Bachelors,East
CON0000252,58,F,50-75K,Graduate,East
CON0000253,87,M,75-100K,Graduate,East
CON0000254,58,M,75-100K,Bachelors,North
CON0000255,36,M,100K+,Bachelors,East
CON0000256,76,M,25-50K,College,South
CON0000257,57,F,50-75K,Graduate,East
CON0000258,63,F,100K+,College,North
CON0000259,45,F,100K+,HS,North
CON0000260,43,F,25-50K,Bachelors,West
CON0000261,30,F,<25K,HS,East
CON0000262,64,F,50-75K,HS,East
CON0000263,24,F,75-100K,HS,West
CON0000264,60,F,100K+,Bachelors,North
CON0000265,39,F,25-50K,College,South
CON0000266,63,M,75-100K,Graduate,East
CON0000267,47,M,25-50K,Bachelors,North
CON0000268,55,F,75-100K,HS,South
CON0000269,63,M,50-75K,College,South
CON0000270,70,M,50-75K,Graduate,South
CON0000271,47,M,50-75K,HS,South
CON0000272,25,M,75-100K,HS,West
CON0000273,83,M,25-50K,Graduate,South
CON0000274,49,M,75-100K,Graduate,North
CON0000275,71,F,50-75K,HS,South
CON0000276,77,M,<25K,Bachelors,North
CON0000277,63,F,75-100K,Bachelors,East
CON0000278,51,F,100K+,Graduate,East
CON0000279,78,F,50-75K,College,West
CON0000280,56,F,50-75K,Graduate,South
CON0000281,59,M,25-50K,Graduate,East
CON0000282,78,F,25-50K,College,South
CON0000283,54,M,<25K,Bachelors,West
CON0000284,86,F,75-100K,Bachelors,West
CON0000285,45,F,75-100K,Graduate,West
CON0000286,44,M,75-100K,HS,West
CON0000287,31,M,25-50K,HS,West
CON0000288,50,F,<25K,College,South
CON0000289,40,F,75-100K,College,East
CON0000290,39,F,75-100K,HS,North
CON0000291,28,F,75-100K,Bachelors,East
CON0000292,58,F,50-75K,Graduate,South
CON0000293,61,M,100K+,HS,East
CON0000294,51,F,50-75K,College,West
CON0000295,41,M,75-100K,College,East
CON0000296,84,M,25-50K,Graduate,South
CON0000297,85,F,50-75K,Graduate,West
CON0000298,87,F,75-100K,HS,North
CON0000299,87,F,25-50K,College,South
CON0000300,73,F,<25K,College,East
CON0000301,71,M,100K+,College,West
CON0000302,33,M,<25K,Bachelors,East
CON0000303,74,F,25-50K,Graduate,South
CON0000304,24,M,50-75K,HS,East
CON0000305,52,F,50-75K,HS,North
CON0000306,60,F,100K+,HS,South
CON0000307,38,F,50-75K,HS,East
CON0000308,64,M,25-50K,Graduate,North
CON0000309,26,M,75-100K,Bachelors,West
CON0000310,31,M,50-75K,Bachelors,South
CON0000311,43,M,100K+,Graduate,North
CON0000312,35,F,75-100K,Graduate,East
CON0000313,60,M,50-75K,HS,North
CON0000314,34,F,75-100K,HS,North
CON0000315,26,M,25-50K,College,South
CON0000316,63,M,50-75K,HS,South
CON0000317,81,M,<25K,Graduate,West
CON0000318,46,F,25-50K,Graduate,South
CON0000319,48,F,75-100K,HS,South
CON0000320,39,M,75-100K,Graduate,West
CON0000321,39,F,50-75K,College,West
CON0000322,22,M,75-100K,Bachelors,West
CON0000323,36,M,100K+,Bachelors,East
CON0000324,41,F,50-75K,Bachelors,North
CON0000325,89,F,<25K,Bachelors,West
CON0000326,39,F,25-50K,College,South
CON0000327,30,F,75-100K,Graduate,East
CON0000328,61,M,100K+,Graduate,West
CON0000329,21,M,25-50K,College,North
CON0000330,79,F,100K+,Bachelors,South
CON0000331,34,M,<25K,Bachelors,South
CON0000332,54,M,100K+,Graduate,East
CON0000333,57,M,<25K,College,East
CON0000334,88,M,100K+,HS,South
CON0000335,35,M,75-100K,Bachelors,East
CON0000336,26,F,<25K,HS,South
CON0000337,42,F,25-50K,Bachelors,West
CON0000338,69,M,50-75K,Bachelors,West
CON0000339,77,M,25-50K,HS,East
CON0000340,74,F,<25K,Bachelors,West
CON0000341,34,F,25-50K,College,South
CON0000342,60,F,25-50K,College,South
CON0000343,47,F,<25K,Graduate,East
CON0000344,67,F,75-100K,Graduate,East
CON0000345,61,F,<25K,College,East
CON0000346,53,F,<25K,Graduate,East
CON0000347,38,F,100K+,Bachelors,South
CON0000348,53,M,75-100K,Graduate,North
CON0000349,35,F,25-50K,HS,East
CON0000350,18,M,25-50K,HS,North
CON0000351,64,F,50-75K,HS,East
CON0000352,61,F,<25K,College,South
CON0000353,52,F,25-50K,Graduate,South
CON0000354,30,M,25-50K,HS,East
CON0000355,35,F,75-100K,Graduate,East
CON0000356,77,M,75-100K,HS,West
CON0000357,76,F,100K+,College,North
CON0000358,76,F,25-50K,College,West
CON0000359,28,M,50-75K,Bachelors,East
CON0000360,18,F,25-50K,Bachelors,West
CON0000361,24,M,75-100K,Bachelors,North
CON0000362,88,M,25-50K,Bachelors,West
CON0000363,60,M,100K+,College,South
CON0000364,63,F,<25K,HS,West
CON0000365,62,M,25-50K,Bachelors,North
CON0000366,85,F,50-75K,Graduate,West
CON0000367,57,M,<25K,Bachelors,East
CON0000368,88,M,100K+,Graduate,West
CON0000369,89,M,25-50K,Graduate,North
CON0000370,60,M,75-100K,Bachelors,South
CON0000371,61,M,50-75K,HS,West
CON0000372,20,M,<25K,Bachelors,South
CON0000373,65,F,<25K,College,South
CON0000374,70,M,25-50K,College,South
CON0000375,55,F,100K+,Bachelors,West
CON0000376,48,M,50-75K,College,West
CON0000377,47,M,25-50K,College,North
CON0000378,64,F,50-75K,College,South
CON0000379,73,F,50-75K,Graduate,West
CON0000380,37,F,75-100K,College,West
CON0000381,62,F,25-50K,HS,West
CON0000382,82,M,25-50K,Graduate,South
CON0000383,44,F,100K+,Graduate,West
CON0000384,81,F,50-75K,Bachelors,South
CON0000385,25,F,<25K,HS,South
CON0000386,65,M,<25K,College,East
CON0000387,34,M,100K+,College,East
CON0000388,51,M,100K+,College,East
CON0000389,86,M,100K+,Graduate,East
CON0000390,33,F,100K+,HS,East
CON0000391,70,M,100K+,College,North
CON0000392,76,F,<25K,College,North
CON0000393,39,F,50-75K,HS,West
CON0000394,43,F,50-75K,Graduate,East
CON0000395,46,M,50-75K,HS,North
CON0000396,22,M,75-100K,HS,South
CON0000397,58,F,75-100K,College,North
CON0000398,35,F,100K+,College,East
CON0000399,67,M,100K+,HS,West
CON0000400,47,M,100K+,HS,West
CON0000401,36,F,25-50K,Graduate,East
CON0000402,65,M,<25K,College,East
CON0000403,51,M,<25K,Graduate,East
CON0000404,68,F,75-100K,Bachelors,East
CON0000405,22,F,75-100K,Bachelors,South
CON0000406,76,M,25-50K,College,South
CON0000407,74,M,25-50K,Graduate,West
CON0000408,57,F,<25K,Bachelors,South
CON0000409,88,F,25-50K,College,East
CON0000410,47,M,25-50K,Bachelors,West
CON0000411,64,F,50-75K,College,South
CON0000412,21,M,100K+,Graduate,North
CON0000413,39,F,100K+,Graduate,North
CON0000414,71,F,100K+,College,South
CON0000415,73,M,50-75K,Graduate,West
CON0000416,78,F,75-100K,Bachelors,South
CON0000417,79,F,50-75K,College,East
CON0000418,38,F,75-100K,Graduate,West
CON0000419,50,F,50-75K,Bachelors,South
CON0000420,50,F,50-75K,College,North
CON0000421,83,M,50-75K,Bachelors,West
CON0000422,29,F,25-50K,College,North
CON0000423,45,M,<25K,College,North
CON0000424,72,M,<25K,Graduate,South
CON0000425,70,M,<25K,HS,West
CON0000426,86,M,25-50K,Bachelors,North
CON0000427,34,M,25-50K,College,North
CON0000428,25,M,75-100K,College,North
CON0000429,85,F,<25K,College,South
CON0000430,71,F,50-75K,Graduate,South
CON0000431,88,M,50-75K,Graduate,South
CON0000432,30,M,50-75K,HS,South
CON0000433,49,M,50-75K,Bachelors,East
CON0000434,37,M,75-100K,Graduate,North
CON0000435,50,M,50-75K,Bachelors,East
CON0000436,87,M,<25K,College,North
CON0000437,88,F,25-50K,Bachelors,South
CON0000438,65,M,50-75K,HS,North
CON0000439,70,F,<25K,Bachelors,North
CON0000440,27,F,25-50K,HS,South
CON0000441,62,F,<25K,Bachelors,West
CON0000442,19,F,75-100K,HS,North
CON0000443,58,F,75-100K,Graduate,South
CON0000444,76,M,<25K,Graduate,South
CON0000445,41,F,75-100K,HS,South
CON0000446,23,F,50-75K,College,East
CON0000447,76,M,25-50K,Bachelors,South
CON0000448,32,F,25-50K,College,West
CON0000449,53,F,75-100K,HS,West
CON0000450,83,M,<25K,Bachelors,South
CON0000451,71,F,<25K,HS,East
CON0000452,19,F,<25K,HS,North
CON0000453,42,M,75-100K,Bachelors,East
CON0000454,52,M,50-75K,Bachelors,West
CON0000455,65,F,50-75K,Bachelors,North
CON0000456,49,M,25-50K,College,West
CON0000457,69,F,75-100K,College,East
CON0000458,85,M,25-50K,Bachelors,West
CON0000459,76,F,100K+,College,West
CON0000460,83,F,75-100K,Graduate,South
CON0000461,42,F,<25K,Graduate,West
CON0000462,19,F,50-75K,College,North
CON0000463,62,F,75-100K,HS,South
CON0000464,42,M,<25K,Bachelors,North
CON0000465,80,M,100K+,Graduate,South
CON0000466,73,F,50-75K,HS,South
CON0000467,32,M,75-100K,Graduate,South
CON0000468,80,F,50-75K,Bachelors,East
CON0000469,51,M,75-100K,Bachelors,South
CON0000470,28,F,25-50K,HS,North
CON0000471,49,M,100K+,College,South
CON0000472,33,F,<25K,Graduate,East
CON0000473,71,F,75-100K,Bachelors,East
CON0000474,42,F,50-75K,HS,East
CON0000475,61,M,100K+,HS,South
CON0000476,36,M,25-50K,HS,East
CON0000477,83,M,100K+,Bachelors,East
CON0000478,76,M,25-50K,College,West
CON0000479,36,F,100K+,Graduate,North
CON0000480,84,M,<25K,HS,North
CON0000481,47,M,50-75K,HS,West
CON0000482,73,M,100K+,Bachelors,East
CON0000483,71,M,25-50K,Bachelors,South
CON0000484,90,M,<25K,College,West
CON0000485,79,M,75-100K,College,North
CON0000486,20,M,25-50K,Graduate,East
CON0000487,45,F,50-75K,HS,West
CON0000488,31,F,<25K,Graduate,East
CON0000489,19,M,50-75K,Bachelors,South
CON0000490,26,M,100K+,Bachelors,North
CON0000491,24,F,25-50K,Graduate,West
CON0000492,27,F,50-75K,HS,North
CON0000493,62,M,25-50K,Bachelors,East
CON0000494,89,F,25-50K,Graduate,South
CON0000495,58,M,100K+,HS,West
CON0000496,42,F,100K+,College,South
CON0000497,77,F,25-50K,Graduate,North
CON0000498,74,F,100K+,HS,West
CON0000499,64,F,25-50K,HS,North
CON0000500,18,M,50-75K,Graduate,West
CON0000501,37,M,<25K,Graduate,West
CON0000502,49,M,<25K,HS,South
CON0000503,88,M,100K+,Graduate,South
CON0000504,58,M,25-50K,College,South
CON0000505,89,F,50-75K,College,North
CON0000506,26,F,50-75K,College,West
CON0000507,90,F,25-50K,Graduate,West
CON0000508,22,F,50-75K,College,East
CON0000509,88,F,75-100K,HS,North
CON0000510,65,F,<25K,Graduate,West
CON0000511,75,F,25-50K,Graduate,North
CON0000512,89,F,100K+,College,West
CON0000513,21,M,<25K,College,North
CON0000514,39,F,<25K,Bachelors,South
CON0000515,57,F,50-75K,College,South
CON0000516,38,M,100K+,College,West
CON0000517,66,M,<25K,Bachelors,West
CON0000518,66,F,100K+,Graduate,East
CON0000519,67,F,100K+,College,North
CON0000520,22,F,75-100K,HS,East
CON0000521,60,M,100K+,College,North
CON0000522,76,F,<25K,HS,West
CON0000523,44,M,<25K,College,South
CON0000524,33,F,50-75K,HS,West
CON0000525,33,F,50-75K,College,West
CON0000526,71,M,<25K,College,East
CON0000527,19,F,<25K,Graduate,North
CON0000528,34,F,25-50K,Bachelors,North
CON0000529,25,M,75-100K,HS,North
CON0000530,29,M,50-75K,College,West
CON0000531,69,M,75-100K,HS,North
CON0000532,84,M,50-75K,Graduate,East
CON0000533,31,F,<25K,HS,East
CON0000534,39,F,50-75K,Graduate,South
CON0000535,89,F,50-75K,College,West
CON0000536,75,F,<25K,Bachelors,North
CON0000537,78,M,75-100K,College,West
CON0000538,50,M,<25K,Bachelors,East
CON0000539,41,M,<25K,HS,North
CON0000540,60,F,75-100K,HS,West
CON0000541,42,F,75-100K,Graduate,North
CON0000542,67,M,<25K,Graduate,South
CON0000543,33,F,25-50K,HS,North
CON0000544,47,M,75-100K,College,South
CON0000545,71,F,75-100K,Bachelors,South
CON0000546,29,M,<25K,Bachelors,East
CON0000547,51,M,100K+,HS,South
CON0000548,49,M,<25K,Graduate,East
CON0000549,77,F,100K+,Bachelors,North
CON0000550,31,M,50-75K,Bachelors,East
CON0000551,65,M,50-75K,Graduate,North
CON0000552,53,F,50-75K,College,North
CON0000553,26,F,100K+,College,North
CON0000554,87,F,<25K,Graduate,North
CON0000555,42,F,100K+,College,North
CON0000556,30,M,25-50K,Bachelors,West
CON0000557,35,M,50-75K,HS,South
CON0000558,30,F,75-100K,HS,East
CON0000559,24,F,75-100K,Bachelors,East
CON0000560,42,F,100K+,Graduate,South
CON0000561,81,F,<25K,Bachelors,East
CON0000562,19,M,75-100K,Graduate,North
CON0000563,58,M,50-75K,Bachelors,North
CON0000564,58,F,25-50K,College,West
CON0000565,45,M,50-75K,HS,East
CON0000566,63,F,<25K,HS,South
CON0000567,24,M,75-100K,College,East
CON0000568,33,F,50-75K,HS,South
CON0000569,27,M,50-75K,Bachelors,East
CON0000570,42,M,25-50K,Bachelors,East
CON0000571,80,F,50-75K,Bachelors,East
CON0000572,22,F,<25K,Bachelors,South
CON0000573,76,F,75-100K,Bachelors,East
CON0000574,86,F,25-50K,Bachelors,North
CON0000575,60,M,50-75K,HS,North
CON0000576,81,F,100K+,Graduate,North
CON0000577,55,M,75-100K,College,South
CON0000578,51,M,50-75K,College,East
CON0000579,75,M,50-75K,College,East
CON0000580,60,F,50-75K,Graduate,North
CON0000581,71,M,<25K,Graduate,North
CON0000582,78,M,100K+,Bachelors,East
CON0000583,33,M,100K+,Graduate,North
CON0000584,62,M,100K+,HS,East
CON0000585,35,M,75-100K,Graduate,North
CON0000586,69,M,50-75K,Bachelors,North
CON0000587,62,M,<25K,HS,East
CON0000588,61,M,100K+,Bachelors,North
CON0000589,33,M,<25K,College,South
CON0000590,45,M,100K+,Bachelors,West
CON0000591,31,M,25-50K,HS,North
CON0000592,60,M,100K+,HS,South
CON0000593,84,F,25-50K,Graduate,West
CON0000594,53,M,75-100K,Graduate,West
CON0000595,46,F,<25K,Graduate,South
CON0000596,47,M,25-50K,College,East
CON0000597,42,M,50-75K,College,West
CON0000598,35,F,25-50K,HS,South
CON0000599,65,F,100K+,Graduate,West
CON0000600,54,F,100K+,Graduate,South
CON0000601,83,M,25-50K,Graduate,East
CON0000602,31,M,25-50K,Graduate,West
CON0000603,35,F,<25K,HS,East
CON0000604,48,F,100K+,HS,North
CON0000605,90,M,50-75K,Bachelors,West
CON0000606,38,F,<25K,Bachelors,South
CON0000607,71,M,25-50K,College,West
CON0000608,36,F,75-100K,HS,South
CON0000609,90,F,50-75K,HS,West
CON0000610,27,M,75-100K,College,West
CON0000611,20,F,100K+,College,South
CON0000612,87,M,100K+,Graduate,West
CON0000613,35,F,100K+,HS,West
CON0000614,75,M,25-50K,Graduate,East
CON0000615,19,F,100K+,College,North
CON0000616,76,M,100K+,Graduate,North
CON0000617,74,F,100K+,Graduate,West
CON0000618,85,F,<25K,HS,North
CON0000619,26,F,25-50K,College,South
CON0000620,29,F,100K+,Graduate,West
CON0000621,30,M,25-50K,College,North
CON0000622,42,M,25-50K,HS,West
CON0000623,61,M,<25K,Bachelors,East
CON0000624,37,M,100K+,College,North
CON0000625,30,M,75-100K,HS,North
CON0000626,65,F,75-100K,Graduate,West
CON0000627,82,M,75-100K,Bachelors,South
CON0000628,84,F,<25K,HS,North
CON0000629,59,M,25-50K,Bachelors,East
CON0000630,50,F,100K+,Graduate,West
CON0000631,36,F,25-50K,Graduate,East
CON0000632,80,F,<25K,Bachelors,South
CON0000633,49,F,75-100K,Bachelors,North
CON0000634,74,F,25-50K,Graduate,North
CON0000635,72,F,100K+,HS,West
CON0000636,65,F,50-75K,College,South
CON0000637,75,M,<25K,Graduate,East
CON0000638,48,F,100K+,College,West
CON0000639,42,M,75-100K,Bachelors,North
CON0000640,67,F,75-100K,HS,North
CON0000641,73,F,50-75K,College,West
CON0000642,37,M,25-50K,Graduate,East
CON0000643,58,F,75-100K,College,South
CON0000644,90,M,100K+,HS,North
CON0000645,88,F,75-100K,Bachelors,North
CON0000646,79,F,<25K,Graduate,West
CON0000647,85,M,<25K,HS,West
CON0000648,90,M,25-50K,Bachelors,East
CON0000649,20,F,50-75K,Graduate,East
CON0000650,74,M,100K+,Bachelors,West
CON0000651,65,F,25-50K,College,South
CON0000652,58,F,75-100K,Graduate,East
CON0000653,27,F,75-100K,Graduate,South
CON0000654,19,M,25-50K,HS,North
CON0000655,37,F,25-50K,HS,West
CON0000656,55,F,75-100K,Bachelors,East
CON0000657,70,M,<25K,Bachelors,East
CON0000658,82,F,<25K,Bachelors,North
CON0000659,20,M,50-75K,Bachelors,West
CON0000660,73,M,100K+,College,East
CON0000661,50,M,<25K,Bachelors,South
CON0000662,60,M,50-75K,College,West
CON0000663,67,F,100K+,HS,East
CON0000664,48,M,100K+,Graduate,East
CON0000665,50,F,75-100K,HS,South
CON0000666,73,F,100K+,College,South
CON0000667,69,F,75-100K,College,West
CON0000668,53,M,50-75K,College,North
CON0000669,84,F,<25K,Bachelors,South
CON0000670,22,M,50-75K,HS,North
CON0000671,64,F,<25K,HS,West
CON0000672,90,M,25-50K,Bachelors,East
CON0000673,21,F,25-50K,HS,East
CON0000674,84,F,75-100K,HS,South
CON0000675,45,F,100K+,College,West
CON0000676,83,M,<25K,HS,West
CON0000677,18,F,50-75K,Graduate,East
CON0000678,33,M,100K+,Graduate,West
CON0000679,51,M,<25K,Bachelors,East
