account_id,customer_id,account_type,balance,opened_date
A0000250,C002703,Checking,39898.66,2022-05-25
A0000251,C046627,Savings,34910.35,2020-06-18
A0000252,C045679,Checking,99001.1,2019-11-18
A0000253,C007781,Checking,58514.51,2019-04-05
A0000254,C016419,Credit,25064.13,2022-04-19
A0000255,C021672,Savings,74260.51,2020-06-16
A0000256,C013456,Investment,53879.28,2022-08-08
A0000257,C019424,Savings,53914.16,2021-04-01
A0000258,C032200,Investment,18552.38,2019-08-19
A0000259,C007793,Credit,57800.8,2019-08-24
A0000260,C004270,Checking,82501.62,2021-03-26
A0000261,C008489,Checking,49554.72,2021-05-03
A0000262,C027452,Investment,6532.41,2019-10-13
A0000263,C009778,Investment,57064.54,2022-11-30
A0000264,C012771,Savings,26247.46,2020-10-23
A0000265,C032380,Savings,80757.79,2021-05-15
A0000266,C039232,Credit,50557.62,2022-01-09
A0000267,C036999,Savings,41591.04,2022-03-22
A0000268,C013653,Savings,516.06,2019-05-01
A0000269,C042337,Credit,66980.94,2022-11-22
A0000270,C009855,Investment,27987.69,2020-07-08
A0000271,C018662,Credit,95345.98,2020-08-13
A0000272,C026759,Savings,59927.46,2020-01-07
A0000273,C037180,Credit,81044.1,2020-07-01
A0000274,C012970,Savings,4963.95,2022-05-27
A0000275,C006015,Credit,47141.09,2022-03-15
A0000276,C018238,Savings,18917.04,2021-08-12
A0000277,C006095,Checking,30782.43,2022-03-05
A0000278,C008509,Credit,26260.06,2020-06-13
A0000279,C019263,Credit,82991.53,2019-08-03
A0000280,C009670,Savings,47644.18,2022-01-31
A0000281,C049765,Credit,6448.95,2019-03-29
A0000282,C021293,Checking,39378.46,2022-03-29
A0000283,C006965,Investment,49494.02,2020-09-14
A0000284,C011955,Investment,89883.5,2020-08-04
A0000285,C016760,Investment,51825.25,2020-03-21
A0000286,C041547,Investment,273.69,2022-01-30
A0000287,C040992,Savings,10428.77,2021-03-13
A0000288,C039058,Savings,52290.45,2022-07-31
A0000289,C038565,Credit,44371.7,2023-01-30
A0000290,C024611,Credit,69949.88,2022-09-24
A0000291,C019699,Savings,77351.1,2021-02-12
A0000292,C027140,Investment,65979.74,2022-07-04
A0000293,C002963,Investment,23715.47,2020-05-20
A0000294,C035037,Checking,54385.75,2022-06-16
A0000295,C043443,Credit,40239.06,2020-07-19
A0000296,C023175,Credit,13869.14,2019-08-07
A0000297,C008611,Credit,20028.6,2022-01-05
A0000298,C040029,Savings,43540.14,2019-03-07
A0000299,C007163,Investment,92542.53,2019-07-10
A0000300,C013116,Savings,20719.61,2019-12-03
A0000301,C000418,Investment,94391.52,2019-05-29
A0000302,C023841,Investment,80162.81,2019-10-16
A0000303,C035353,Savings,9585.9,2019-08-23
A0000304,C007883,Savings,61696.18,2019-09-26
A0000305,C022472,Savings,40396.84,2019-04-19
A0000306,C010789,Credit,61383.43,2019-11-10
A0000307,C042660,Savings,78144.47,2021-05-09
A0000308,C018812,Investment,52253.86,2019-06-20
A0000309,C028995,Savings,69728.81,2020-12-06
A0000310,C006797,Credit,99434.34,2022-02-23
A0000311,C014551,Checking,88729.95,2021-08-02
A0000312,C043801,Credit,90737.11,2022-04-01
A0000313,C048279,Investment,66998.97,2022-03-02
A0000314,C003187,Savings,91906.33,2020-10-29
A0000315,C047528,Savings,95566.93,2020-03-18
A0000316,C036057,Savings,87708.71,2019-09-17
A0000317,C042833,Savings,77184.01,2023-01-13
A0000318,C049429,Credit,86.29,2019-10-27
A0000319,C005615,Savings,96073.22,2022-12-09
A0000320,C035841,Credit,22580.97,2019-06-19
A0000321,C006027,Investment,96697.62,2021-11-10
A0000322,C017062,Credit,66462.51,2019-02-24
A0000323,C002937,Credit,41408.97,2021-01-05
A0000324,C038017,Investment,45062.69,2021-04-12
A0000325,C003554,Credit,69829.49,2021-11-06
A0000326,C035940,Credit,29441.75,2019-03-24
A0000327,C045133,Savings,43082.75,2019-03-28
A0000328,C034715,Investment,52813.58,2019-10-13
A0000329,C038412,Investment,60990.1,2022-05-11
A0000330,C047770,Investment,60818.73,2020-12-01
A0000331,C013728,Investment,16507.51,2019-03-13
A0000332,C045860,Savings,3340.57,2019-02-18
A0000333,C038270,Checking,46783.7,2019-12-16
A0000334,C025903,Checking,79403.93,2019-07-28
A0000335,C047784,Checking,67700.86,2022-08-24
A0000336,C004583,Credit,74784.38,2019-08-19
A0000337,C048628,Checking,56109.13,2019-10-18
A0000338,C011411,Checking,30343.76,2019-11-13
A0000339,C017710,Checking,3566.41,2021-07-03
A0000340,C018842,Checking,38774.07,2021-03-09
A0000341,C046323,Savings,15097.36,2022-10-24
A0000342,C023310,Investment,71183.43,2021-07-14
A0000343,C048505,Investment,75649.96,2019-11-26
A0000344,C015023,Checking,85548.62,2021-05-05
A0000345,C044337,Credit,78894.0,2022-11-29
A0000346,C021803,Credit,44801.5,2019-02-18
A0000347,C037484,Credit,44184.62,2022-05-13
A0000348,C006687,Credit,12889.17,2022-01-05
A0000349,C027007,Savings,17267.6,2019-07-05
A0000350,C013606,Credit,88191.12,2019-04-30
A0000351,C031342,Credit,80154.09,2021-01-16
A0000352,C023885,Checking,33203.65,2022-07-07
A0000353,C041217,Savings,97015.09,2022-02-04
A0000354,C036530,Investment,96163.77,2021-03-27
A0000355,C014113,Checking,5941.73,2019-12-24
A0000356,C029123,Investment,60043.27,2020-10-31
A0000357,C037761,Investment,83324.19,2019-10-19
A0000358,C016127,Savings,70557.66,2022-11-05
A0000359,C020288,Savings,52041.59,2022-06-02
A0000360,C039928,Investment,57940.58,2020-10-29
A0000361,C025847,Investment,4957.0,2021-12-27
A0000362,C035483,Investment,48041.2,2022-02-05
A0000363,C039090,Savings,2882.16,2020-05-27
A0000364,C025540,Credit,11859.69,2020-01-28
A0000365,C022698,Savings,44679.32,2019-12-13
A0000366,C018153,Savings,88321.75,2020-05-26
A0000367,C018822,Savings,19647.0,2020-05-03
A0000368,C017474,Investment,92964.68,2021-03-07
A0000369,C047188,Checking,4547.47,2020-08-18
A0000370,C032885,Checking,6245.56,2022-08-15
A0000371,C008721,Credit,49623.83,2021-08-19
A0000372,C020360,Investment,56275.72,2021-11-25
A0000373,C016720,Checking,94485.13,2020-03-01
A0000374,C030215,Credit,65815.77,2019-03-12
A0000375,C006874,Credit,91960.66,2019-09-01
A0000376,C024172,Investment,37997.89,2020-02-19
A0000377,C028521,Credit,30821.26,2022-04-14
A0000378,C027821,Investment,23047.7,2019-09-07
A0000379,C015140,Credit,83827.21,2020-12-08
A0000380,C026031,Credit,71599.88,2023-01-17
A0000381,C022842,Savings,10419.33,2021-09-12
A0000382,C018853,Savings,18828.41,2021-03-25
A0000383,C033124,Credit,88216.68,2022-04-12
A0000384,C005009,Checking,2765.59,2022-12-12
A0000385,C003134,Investment,13650.43,2020-02-07
A0000386,C014793,Savings,50457.02,2021-05-14
A0000387,C008503,Savings,35034.79,2019-12-16
A0000388,C019811,Checking,92308.7,2023-01-21
A0000389,C039188,Savings,89284.5,2020-04-02
A0000390,C042376,Investment,34899.03,2021-09-06
A0000391,C011022,Investment,17509.69,2022-08-05
A0000392,C034644,Investment,63598.19,2020-07-16
A0000393,C042208,Investment,46120.86,2021-05-20
A0000394,C045639,Investment,76683.05,2022-01-11
A0000395,C018410,Checking,80752.7,2021-06-26
A0000396,C042441,Investment,18939.44,2021-06-12
A0000397,C033665,Investment,15731.56,2021-10-19
A0000398,C012246,Checking,39770.62,2021-07-20
A0000399,C010965,Checking,90959.76,2020-05-22
A0000400,C044495,Credit,75156.21,2021-05-15
A0000401,C038227,Checking,41821.49,2020-09-13
A0000402,C044215,Investment,39002.62,2020-12-07
A0000403,C028373,Investment,94892.12,2019-10-12
A0000404,C018834,Credit,49872.34,2020-07-07
A0000405,C030643,Credit,58661.39,2019-11-27
A0000406,C020005,Checking,52242.7,2022-09-13
A0000407,C031506,Credit,56843.76,2020-05-03
A0000408,C033530,Credit,14275.83,2019-11-28
A0000409,C030011,Credit,98357.03,2019-10-12
A0000410,C000806,Credit,49992.78,2021-09-14
A0000411,C044890,Checking,75013.55,2019-05-27
A0000412,C041476,Checking,61333.71,2020-10-10
A0000413,C022415,Credit,24289.52,2019-05-09
A0000414,C006542,Investment,61729.73,2020-03-24
A0000415,C003685,Savings,19274.46,2022-08-09
A0000416,C032089,Credit,72571.24,2020-06-19
A0000417,C022821,Checking,72059.64,2021-01-17
A0000418,C002484,Investment,26197.04,2022-12-15
A0000419,C041720,Investment,17512.63,2020-04-02
A0000420,C027476,Credit,75715.65,2020-04-12
A0000421,C000475,Checking,29557.57,2020-06-19
A0000422,C008764,Credit,26811.45,2019-10-13
A0000423,C030216,Credit,78500.24,2020-08-13
A0000424,C002179,Savings,82986.03,2020-06-28
A0000425,C005466,Checking,90131.73,2021-12-12
A0000426,C026133,Savings,84789.68,2020-08-27
A0000427,C021033,Savings,83835.83,2021-12-31
A0000428,C034921,Checking,42086.37,2021-06-11
A0000429,C007877,Investment,74441.06,2019-07-22
A0000430,C048692,Investment,71223.76,2020-03-09
A0000431,C023879,Investment,90215.88,2020-10-08
A0000432,C019692,Credit,43417.35,2021-09-09
A0000433,C024563,Checking,37422.01,2021-11-10
A0000434,C024254,Checking,89942.49,2020-12-22
A0000435,C047682,Investment,84790.25,2020-01-16
A0000436,C048426,Investment,36918.32,2021-05-10
A0000437,C033563,Checking,83353.08,2020-06-02
A0000438,C025572,Checking,4208.17,2021-09-17
A0000439,C024799,Savings,6.15,2020-12-31
A0000440,C043344,Investment,78866.64,2023-01-04
A0000441,C010051,Credit,98986.3,2022-09-19
A0000442,C009463,Investment,95682.86,2022-04-03
A0000443,C000406,Savings,80213.53,2021-12-03
A0000444,C006958,Credit,99911.19,2019-06-08
A0000445,C029421,Savings,27055.87,2022-06-14
A0000446,C044862,Checking,82303.21,2021-05-24
A0000447,C046253,Investment,52112.57,2020-05-08
A0000448,C020899,Checking,83835.53,2019-09-29
A0000449,C038059,Credit,33401.08,2019-10-03
A0000450,C013054,Savings,7838.44,2021-07-08
A0000451,C006014,Investment,7224.5,2020-12-24
A0000452,C014703,Credit,15821.44,2023-02-09
A0000453,C003855,Credit,85209.04,2020-03-26
A0000454,C003733,Savings,61312.74,2019-07-01
A0000455,C028299,Credit,85391.58,2020-05-28
A0000456,C030554,Investment,98731.98,2021-10-08
A0000457,C026742,Investment,58936.64,2019-12-25
A0000458,C017822,Savings,55117.29,2022-07-23
A0000459,C040968,Credit,65772.07,2022-10-17
A0000460,C046202,Savings,98732.8,2021-05-01
A0000461,C040601,Investment,9371.24,2019-03-01
A0000462,C042090,Savings,15544.92,2019-06-02
A0000463,C042922,Credit,46654.88,2019-10-11
A0000464,C014424,Credit,68475.28,2020-08-17
A0000465,C012784,Investment,14699.66,2021-05-30
A0000466,C038006,Investment,10701.31,2020-10-10
A0000467,C036741,Investment,62666.05,2022-11-22
A0000468,C013295,Investment,88907.04,2022-07-15
A0000469,C006171,Credit,91527.41,2020-11-06
A0000470,C032504,Savings,97759.37,2019-02-12
A0000471,C041409,Checking,54787.3,2022-03-03
A0000472,C004230,Investment,3758.51,2021-09-21
A0000473,C006856,Savings,25193.93,2020-07-18
A0000474,C041327,Credit,22258.1,2021-05-11
A0000475,C049796,Credit,96748.38,2020-05-02
A0000476,C031703,Checking,86027.45,2019-09-23
A0000477,C013188,Savings,25947.04,2021-09-19
A0000478,C008063,Checking,21393.67,2022-01-12
A0000479,C017573,Credit,21680.64,2022-02-15
A0000480,C011662,Credit,4706.05,2022-08-24
A0000481,C038687,Checking,43720.77,2020-08-29
A0000482,C014124,Investment,34061.11,2020-10-03
A0000483,C037338,Investment,37943.77,2019-10-02
A0000484,C015770,Savings,54946.44,2019-08-14
A0000485,C020855,Investment,90732.12,2020-11-06
A0000486,C019612,Checking,37905.95,2019-04-27
A0000487,C025919,Savings,17661.9,2022-03-03
A0000488,C039433,Investment,26599.81,2020-01-03
A0000489,C007476,Checking,33959.96,2021-11-20
A0000490,C005232,Savings,92844.56,2020-03-12
A0000491,C030810,Checking,89874.22,2019-02-02
A0000492,C013517,Credit,68252.57,2022-10-08
A0000493,C031984,Checking,5473.63,2021-08-06
A0000494,C022287,Checking,50157.91,2020-09-26
A0000495,C047215,Investment,84988.13,2022-07-15
A0000496,C027015,Checking,10172.9,2021-10-14
A0000497,C025984,Investment,75154.12,2020-07-03
A0000498,C023649,Savings,58065.49,2021-02-06
A0000499,C016466,Investment,7077.28,2022-08-27
A0000500,C026708,Checking,62244.95,2019-07-24
A0000501,C031083,Credit,76988.11,2021-07-28
A0000502,C027146,Checking,25177.4,2022-02-05
A0000503,C041480,Investment,67059.97,2019-05-22
A0000504,C018049,Savings,65112.25,2020-09-09
A0000505,C005016,Credit,78714.84,2021-12-22
A0000506,C020352,Checking,83297.31,2021-05-23
A0000507,C044561,Checking,82273.41,2020-08-17
A0000508,C038105,Checking,80084.48,2021-06-06
A0000509,C047011,Investment,54932.76,2021-04-03
A0000510,C006946,Checking,61204.26,2020-05-19
A0000511,C031703,Investment,12863.69,2021-08-05
A0000512,C021410,Credit,3865.5,2019-02-07
A0000513,C002825,Credit,72879.42,2020-03-13
A0000514,C033905,Credit,42319.93,2021-09-26
A0000515,C008161,Savings,69119.69,2019-12-27
A0000516,C028664,Investment,59489.86,2021-07-01
A0000517,C006328,Investment,97575.54,2022-01-16
A0000518,C015084,Savings,33059.4,2021-08-21
A0000519,C000591,Investment,43560.01,2021-05-17
A0000520,C029277,Savings,48738.97,2020-08-10
A0000521,C017826,Credit,90228.74,2023-02-02
A0000522,C036388,Savings,92064.93,2020-07-07
A0000523,C037403,Investment,11895.02,2020-08-20
A0000524,C035842,Investment,2380.75,2021-01-21
A0000525,C002027,Credit,49908.27,2022-03-14
A0000526,C009339,Credit,61193.4,2019-04-15
A0000527,C040543,Investment,94621.53,2020-07-03
A0000528,C026715,Checking,50635.69,2020-10-02
A0000529,C002729,Credit,30578.61,2020-02-26
A0000530,C041957,Checking,65767.03,2020-09-26
A0000531,C029918,Investment,61292.17,2022-11-09
A0000532,C004814,Checking,55597.49,2021-09-04
A0000533,C026305,Checking,736.13,2020-05-11
A0000534,C031934,Savings,26741.23,2022-08-15
A0000535,C041786,Savings,94762.82,2020-10-12
A0000536,C018687,Savings,57630.69,2020-02-27
A0000537,C041396,Checking,24515.33,2019-10-17
A0000538,C009009,Credit,89259.23,2020-03-30
A0000539,C040922,Savings,13033.99,2022-02-08
A0000540,C043528,Savings,62266.49,2019-11-10
A0000541,C048403,Checking,64161.84,2019-06-14
A0000542,C020292,Credit,56330.84,2021-01-15
A0000543,C013189,Investment,10051.0,2019-03-23
A0000544,C033034,Savings,8390.27,2019-09-21
A0000545,C042268,Checking,75418.68,2020-02-16
A0000546,C009803,Savings,44528.46,2021-11-11
A0000547,C036778,Investment,74974.35,2019-06-07
A0000548,C030181,Savings,78750.93,2020-06-18
A0000549,C019125,Checking,89033.12,2019-05-11
A0000550,C018475,Savings,10264.02,2021-11-08
A0000551,C028789,Checking,20798.72,2020-05-07
A0000552,C018773,Credit,21668.2,2020-07-18
A0000553,C026745,Investment,84571.53,2021-08-29
A0000554,C032501,Savings,29963.95,2021-08-14
A0000555,C037206,Savings,68754.04,2019-11-24
A0000556,C030318,Credit,53352.61,2020-01-15
A0000557,C013847,Checking,67997.47,2019-04-21
A0000558,C040969,Savings,58521.66,2020-10-17
