loan_id,customer_id,loan_date,amount,interest_rate,term_months,status
L000111,C022808,2023-03-02,15536.11,10.4,60,active
L000112,C008874,2021-03-06,188295.61,9.7,36,paid
L000113,C007381,2020-01-05,463771.64,14.38,48,defaulted
L000114,C013510,2020-05-18,132192.04,6.68,48,active
L000115,C010244,2020-03-28,257087.43,4.03,48,active
L000116,C008290,2020-12-20,205417.71,12.94,12,active
L000117,C041728,2021-12-22,42628.17,8.04,12,active
L000118,C029883,2020-04-26,288529.9,11.63,12,active
L000119,C025153,2020-06-06,301488.37,6.72,36,active
L000120,C046848,2020-08-11,166307.83,10.49,48,active
L000121,C038291,2021-11-04,476687.1,9.34,12,paid
L000122,C004213,2022-09-02,117506.51,9.91,60,defaulted
L000123,C014868,2021-07-13,350622.23,5.36,36,active
L000124,C029811,2020-08-16,332736.02,12.99,60,paid
L000125,C026983,2020-04-10,440835.37,8.56,48,active
L000126,C029920,2020-01-21,61066.11,8.01,36,active
L000127,C002222,2022-11-21,117634.96,9.7,60,active
L000128,C047547,2021-12-25,330433.29,12.65,60,paid
L000129,C006453,2020-09-28,216871.14,10.45,24,active
L000130,C017805,2021-04-06,156222.12,7.58,24,paid
L000131,C048762,2020-09-19,160354.53,13.19,48,defaulted
L000132,C006505,2023-02-18,38500.8,14.04,60,active
L000133,C023888,2021-12-10,357457.21,12.86,24,defaulted
L000134,C049189,2023-02-19,458955.0,7.6,48,active
L000135,C022576,2021-01-02,380233.21,12.51,24,active
L000136,C010440,2021-12-12,93415.26,7.92,60,active
L000137,C047165,2020-02-28,447356.32,9.27,48,paid
L000138,C047309,2022-10-26,362614.49,14.73,60,defaulted
L000139,C006110,2022-10-06,467315.01,12.43,24,defaulted
L000140,C040921,2020-06-28,131622.44,12.01,24,defaulted
L000141,C013882,2020-02-24,157412.18,13.08,36,active
L000142,C037937,2020-06-17,423860.05,8.08,36,active
L000143,C003422,2021-03-27,267615.56,7.82,48,paid
L000144,C020271,2021-01-08,286459.84,14.89,60,active
L000145,C033139,2022-02-14,358463.3,4.72,60,defaulted
L000146,C036975,2022-12-08,104351.46,5.54,48,active
L000147,C022570,2021-04-21,227065.22,10.47,60,paid
L000148,C019758,2023-01-31,190471.46,9.44,36,active
L000149,C034011,2020-11-07,148320.5,3.55,60,active
L000150,C029442,2020-12-04,283668.44,5.77,12,paid
L000151,C047446,2022-04-26,16635.65,8.62,60,paid
L000152,C041215,2021-05-28,360637.06,7.6,48,active
L000153,C002173,2021-10-20,397383.91,6.45,12,active
L000154,C022942,2020-07-23,391390.35,5.35,12,paid
L000155,C037935,2020-04-27,239854.72,7.99,60,active
L000156,C039550,2023-03-27,422627.43,14.62,36,paid
L000157,C042263,2022-07-14,467050.14,13.29,36,active
L000158,C007939,2020-10-06,297016.47,12.24,48,paid
L000159,C017167,2021-07-16,451136.08,4.58,60,active
L000160,C048231,2022-06-22,306464.39,12.43,36,active
L000161,C008226,2020-02-23,71429.47,3.38,48,active
L000162,C040722,2022-03-11,338055.45,14.77,12,defaulted
L000163,C005795,2020-12-20,338128.43,9.85,48,active
L000164,C017508,2022-11-01,401997.49,12.97,24,active
L000165,C024776,2023-04-15,253346.95,13.12,36,paid
L000166,C032428,2021-04-29,254769.44,4.19,60,active
L000167,C018157,2022-05-30,166133.06,13.86,12,defaulted
L000168,C040696,2022-05-28,200318.74,14.38,60,paid
L000169,C024539,2023-04-07,4949.97,5.18,12,active
L000170,C047436,2022-08-17,400715.19,4.97,36,active
L000171,C026519,2023-03-17,129133.53,13.3,48,paid
L000172,C004249,2020-02-02,475786.98,7.17,24,defaulted
L000173,C018452,2020-03-08,352376.27,9.19,12,paid
L000174,C042086,2021-05-27,481497.82,8.12,36,active
L000175,C033543,2022-08-11,211185.57,3.34,60,active
L000176,C036638,2022-03-18,22031.94,4.39,24,active
L000177,C008387,2021-02-07,91095.7,7.32,24,active
L000178,C040032,2021-04-07,172102.85,8.46,48,active
L000179,C019000,2021-09-13,439353.23,10.35,60,active
L000180,C020721,2021-05-24,283859.39,8.54,36,active
L000181,C035388,2021-01-15,6319.54,4.8,36,active
L000182,C004927,2020-07-11,88072.74,9.03,60,defaulted
L000183,C015854,2020-10-01,480433.02,12.87,60,active
L000184,C003868,2023-02-11,302806.06,14.17,24,active
L000185,C034159,2022-07-16,144684.72,7.12,24,active
L000186,C014222,2022-04-12,218084.24,9.98,24,active
L000187,C044513,2022-12-06,180196.66,13.56,60,paid
L000188,C038436,2021-08-30,154440.86,14.05,12,active
L000189,C011211,2022-09-22,193513.24,11.39,24,paid
L000190,C019071,2020-11-21,461411.44,6.17,48,defaulted
L000191,C010476,2022-01-20,234335.35,5.24,12,paid
L000192,C018691,2020-08-19,19331.07,5.96,12,defaulted
L000193,C000427,2021-10-21,455798.67,9.74,60,active
L000194,C018527,2021-07-07,183309.51,4.13,36,active
L000195,C016127,2020-03-05,262463.88,12.44,48,paid
L000196,C024072,2020-04-17,217873.38,6.5,24,defaulted
L000197,C044864,2020-03-17,316160.31,6.77,60,active
L000198,C006144,2021-06-12,164959.41,7.74,48,active
L000199,C023948,2020-06-29,43838.78,11.26,36,active
L000200,C000307,2020-07-19,436539.84,6.12,60,defaulted
L000201,C039548,2020-01-09,300396.38,7.46,24,active
L000202,C028201,2020-07-27,47388.4,6.3,24,active
L000203,C006140,2023-03-05,142050.3,4.08,48,paid
L000204,C009780,2022-08-18,268828.18,10.92,48,active
L000205,C034412,2020-10-16,88358.23,11.91,36,active
L000206,C001612,2021-01-16,320146.26,14.43,36,defaulted
L000207,C020121,2022-05-19,69406.67,10.4,48,active
L000208,C028334,2021-05-10,5681.11,13.7,24,active
L000209,C000248,2021-11-28,378900.02,6.81,12,active
L000210,C030751,2022-08-12,147303.99,5.45,36,active
L000211,C025245,2022-04-22,28366.4,6.3,12,active
L000212,C042118,2020-09-12,144231.05,5.44,36,defaulted
L000213,C028365,2020-03-18,114430.15,7.2,48,active
L000214,C037147,2020-04-26,386878.99,10.46,48,defaulted
L000215,C003741,2022-04-12,499168.66,9.63,48,active
L000216,C008951,2022-06-25,16522.96,9.09,48,paid
L000217,C047988,2021-01-02,165146.78,11.0,60,active
L000218,C048593,2023-01-05,392058.33,3.31,24,active
L000219,C045019,2022-05-08,174003.26,13.08,36,active
L000220,C001021,2021-09-15,341278.97,6.64,36,defaulted
L000221,C023782,2022-04-23,490503.13,10.22,12,active
L000222,C047374,2022-01-15,422454.18,11.39,24,active
L000223,C028393,2021-11-02,489519.46,5.95,48,defaulted
L000224,C026642,2022-03-22,310747.47,13.21,12,defaulted
L000225,C002264,2022-12-05,422710.04,12.43,60,active
L000226,C037828,2021-12-30,65829.5,6.77,36,active
L000227,C013157,2021-04-25,368395.15,13.05,12,active
L000228,C014060,2022-04-22,291550.26,5.44,48,active
L000229,C014665,2021-01-30,104753.77,11.53,60,defaulted
L000230,C042333,2022-07-31,471697.0,7.75,60,defaulted
L000231,C004537,2022-06-16,431965.08,5.12,24,paid
L000232,C012922,2020-06-23,347888.63,11.82,36,active
L000233,C017475,2022-03-07,210862.18,13.08,36,defaulted
L000234,C041689,2020-01-04,353109.0,5.55,24,defaulted
L000235,C014213,2023-02-01,169203.85,9.5,48,defaulted
L000236,C037779,2020-03-31,242136.75,10.63,60,defaulted
L000237,C043162,2022-03-27,422120.03,6.21,36,active
L000238,C030064,2023-02-16,469066.91,7.34,48,defaulted
L000239,C020592,2022-01-26,441360.91,13.73,48,active
L000240,C007426,2021-01-21,367999.88,3.7,60,paid
L000241,C032584,2021-10-29,465289.15,12.96,12,active
L000242,C007080,2022-12-05,11567.72,4.68,36,active
L000243,C032700,2021-08-01,80354.94,13.13,48,active
L000244,C006315,2021-08-27,365599.13,3.83,24,paid
L000245,C045116,2020-06-29,139498.3,8.87,24,defaulted
L000246,C023031,2021-10-21,378188.31,3.42,48,active
L000247,C029772,2020-02-18,108080.46,5.44,48,active
L000248,C004502,2022-06-11,493179.35,3.16,60,defaulted
L000249,C044340,2020-11-26,274973.05,12.5,48,active
L000250,C024581,2022-10-29,301947.32,4.22,60,active
L000251,C002827,2022-11-21,338774.53,7.27,24,paid
L000252,C001777,2022-03-01,133117.86,13.25,36,defaulted
L000253,C036957,2021-09-16,33885.74,14.71,24,defaulted
L000254,C015120,2021-03-15,130819.31,5.88,24,defaulted
L000255,C010585,2021-06-09,216122.41,8.61,12,paid
L000256,C038647,2022-07-23,365517.54,12.7,24,active
L000257,C048674,2021-09-19,162515.62,9.83,36,active
L000258,C016107,2022-10-14,102338.62,13.55,12,active
L000259,C046134,2021-11-17,352866.41,12.66,36,paid
L000260,C011713,2022-08-20,457958.99,9.79,24,active
L000261,C030102,2021-09-10,298483.18,11.36,36,paid
L000262,C001256,2022-01-11,139639.55,12.55,60,paid
L000263,C037889,2022-11-23,50085.8,7.99,48,active
L000264,C005258,2021-01-11,279320.39,7.44,12,active
L000265,C033185,2022-05-11,53606.04,4.9,24,defaulted
L000266,C013501,2020-10-30,460449.82,8.82,36,defaulted
L000267,C012567,2020-09-30,34706.92,8.88,36,active
L000268,C020808,2021-08-29,174661.7,7.07,36,active
L000269,C003349,2022-01-22,126092.55,11.2,48,active
L000270,C049041,2021-06-20,166445.33,5.61,60,active
L000271,C025697,2021-02-22,473489.69,3.44,60,paid
L000272,C026691,2020-07-03,323282.89,6.24,12,active
L000273,C035298,2020-10-28,70007.28,13.14,24,active
L000274,C008356,2021-03-16,29507.3,6.54,36,active
L000275,C029199,2021-08-23,318988.38,7.06,60,active
L000276,C010622,2020-12-18,483972.45,6.2,12,active
L000277,C011126,2022-12-22,469602.53,10.29,60,active
L000278,C034416,2022-01-06,90220.58,11.48,36,active
L000279,C018882,2022-09-24,146866.26,6.84,12,defaulted
L000280,C047886,2020-12-26,70734.04,5.62,24,active
L000281,C041506,2022-09-10,491199.52,8.11,60,active
L000282,C000433,2021-10-19,217851.82,3.83,48,paid
L000283,C007652,2020-04-21,424881.46,8.63,48,active
L000284,C038022,2022-01-06,341012.5,4.49,12,defaulted
L000285,C024752,2022-01-19,242923.27,10.61,60,defaulted
L000286,C001614,2022-04-17,148297.5,6.03,48,paid
L000287,C004286,2021-06-11,349481.51,9.01,60,active
L000288,C048014,2022-07-30,471705.63,8.26,60,defaulted
L000289,C020153,2022-01-02,161374.86,7.07,36,defaulted
L000290,C030340,2022-03-11,108930.32,7.31,36,active
L000291,C009572,2021-07-08,257746.86,14.11,36,paid
L000292,C035802,2020-12-06,489899.06,9.9,48,active
L000293,C042601,2020-11-15,421977.86,8.25,60,active
L000294,C047530,2021-06-03,370448.82,9.34,12,active
L000295,C031693,2022-06-28,46417.5,3.34,12,paid
L000296,C010888,2020-03-22,371506.42,3.03,48,defaulted
L000297,C042735,2021-08-07,311669.74,5.29,36,active
L000298,C033884,2020-04-14,254835.59,7.19,12,active
L000299,C025901,2020-03-07,279949.98,14.07,24,defaulted
L000300,C042001,2021-12-19,32832.33,9.29,24,active
L000301,C029343,2020-11-26,406464.57,5.42,60,active
L000302,C031289,2021-12-16,28130.53,4.45,60,paid
L000303,C036315,2020-10-21,93791.07,8.97,36,active
L000304,C001269,2022-05-24,394186.38,9.75,48,defaulted
L000305,C031299,2021-08-18,324376.18,10.26,24,active
L000306,C044187,2020-06-19,356809.67,6.75,48,active
L000307,C019422,2020-04-18,445734.42,14.67,12,active
L000308,C048043,2021-06-23,434409.31,5.85,24,defaulted
L000309,C027580,2021-03-22,46894.28,3.73,12,active
L000310,C033531,2021-05-13,289685.67,10.3,12,active
L000311,C001273,2022-04-07,166528.58,10.33,48,active
L000312,C039024,2022-08-15,402164.56,4.73,48,active
L000313,C031814,2021-09-27,141145.28,4.87,24,active
L000314,C022594,2021-12-01,263565.96,4.6,36,active
L000315,C001689,2021-10-14,448263.43,13.32,36,paid
L000316,C043802,2022-10-22,295765.92,12.9,24,paid
L000317,C018009,2020-03-07,270831.19,11.01,48,active
L000318,C035633,2020-05-17,252278.57,8.56,60,defaulted
L000319,C039377,2022-02-04,350330.56,7.9,48,active
L000320,C002820,2020-07-15,478316.73,12.68,24,active
L000321,C037110,2020-12-25,151680.63,12.78,36,active
L000322,C016489,2021-04-21,141702.17,11.78,36,defaulted
L000323,C004368,2022-06-05,442405.4,13.7,12,active
L000324,C030506,2020-10-21,422199.5,10.5,12,active
L000325,C032280,2021-10-24,433812.67,6.96,60,active
L000326,C047248,2022-03-26,436352.81,11.73,24,active
L000327,C032541,2022-11-09,120933.63,6.01,60,active
L000328,C036504,2020-12-13,423446.92,8.84,24,defaulted
L000329,C009360,2021-06-29,316839.85,9.28,36,active
L000330,C047375,2021-08-19,314722.34,6.51,12,active
L000331,C034446,2020-11-05,190624.0,14.66,48,active
L000332,C031283,2020-02-05,418313.22,6.65,12,paid
L000333,C029311,2021-07-04,321687.38,14.74,48,defaulted
L000334,C032034,2022-07-12,193670.6,6.94,48,paid
L000335,C010208,2022-02-09,88165.59,12.26,24,active
L000336,C000467,2020-05-26,495018.22,11.4,60,active
L000337,C046882,2020-02-17,54227.8,5.83,12,active
L000338,C013777,2022-09-09,342482.21,13.9,36,active
L000339,C012549,2022-02-16,209584.09,5.8,24,active
L000340,C017851,2021-03-06,441887.81,8.54,36,active
L000341,C015618,2020-12-28,348413.23,8.51,48,paid
L000342,C034075,2021-04-26,328562.92,5.62,24,defaulted
L000343,C002015,2020-03-03,54330.53,8.7,12,paid
L000344,C047175,2022-08-01,451272.84,7.94,60,active
L000345,C022786,2020-10-04,70947.24,11.72,60,defaulted
L000346,C045625,2023-04-11,312910.1,8.48,48,active
L000347,C040798,2021-05-20,3402.57,9.62,24,active
L000348,C032904,2023-03-17,178025.1,4.76,60,paid
L000349,C029975,2020-07-31,8333.56,8.41,24,active
L000350,C011323,2022-06-09,154424.35,10.26,12,active
L000351,C040666,2022-04-23,131883.14,6.77,12,paid
L000352,C029161,2022-03-10,378085.1,6.04,36,defaulted
L000353,C033455,2021-02-18,476595.16,14.46,12,active
L000354,C009646,2022-04-24,78708.31,8.52,24,active
L000355,C007760,2022-01-04,195182.59,5.7,12,active
L000356,C002000,2022-01-24,317752.03,5.45,12,active
L000357,C015376,2023-02-01,66140.55,5.23,36,defaulted
L000358,C006512,2022-09-18,379421.65,11.56,36,defaulted
L000359,C013782,2021-06-03,127675.3,8.69,24,active
L000360,C007461,2021-07-21,223547.48,9.47,60,active
L000361,C049589,2021-12-25,395024.11,6.97,12,active
L000362,C037679,2020-03-30,124486.67,14.05,60,paid
L000363,C044043,2020-02-29,434043.09,4.93,12,paid
L000364,C021178,2022-01-11,119084.75,14.56,36,active
L000365,C018266,2020-12-22,19110.3,6.68,36,active
L000366,C004882,2022-01-14,132711.78,10.95,36,active
L000367,C012613,2022-06-14,102086.51,8.43,60,active
L000368,C048350,2020-11-11,11108.07,5.59,36,paid
L000369,C026849,2020-08-11,356043.43,8.88,12,active
L000370,C044437,2020-09-29,153004.46,12.98,12,active
L000371,C028783,2022-03-23,32530.97,7.07,36,paid
L000372,C029201,2022-12-29,121935.74,13.67,36,active
L000373,C035093,2022-09-25,182099.63,13.66,48,active
L000374,C024479,2022-06-03,466996.66,13.63,36,active
L000375,C023205,2022-10-29,302680.15,10.43,60,defaulted
L000376,C009514,2022-05-15,478700.11,4.38,24,defaulted
L000377,C032107,2021-01-12,106012.81,14.4,36,paid
L000378,C030322,2022-03-29,473876.15,10.92,60,active
L000379,C010775,2020-07-29,441271.94,12.27,24,paid
L000380,C026147,2021-10-28,454258.59,10.98,12,active
L000381,C014197,2022-01-13,156737.15,11.22,12,paid
L000382,C013083,2021-05-21,5341.5,5.37,12,defaulted
L000383,C014300,2021-01-26,229454.02,14.25,48,paid
L000384,C040245,2022-06-10,312408.95,5.04,12,active
L000385,C040509,2022-08-05,468627.01,8.71,60,active
L000386,C042272,2023-01-27,44317.1,3.76,12,defaulted
L000387,C041228,2021-12-13,170303.97,14.47,48,active
L000388,C021657,2020-04-21,21142.89,9.79,36,paid
L000389,C001916,2020-05-10,9224.62,8.01,48,active
L000390,C026299,2020-03-23,377397.26,4.07,48,active
L000391,C019920,2020-11-29,362717.86,14.05,36,active
L000392,C021378,2020-09-04,23618.0,11.5,48,active
L000393,C040344,2023-02-15,303537.41,7.68,36,active
L000394,C004767,2020-12-08,442474.77,4.3,24,active
L000395,C038248,2020-12-19,385204.43,12.74,48,active
L000396,C039010,2021-03-12,88203.56,3.89,60,defaulted
L000397,C006957,2022-02-24,308499.69,13.59,60,active
L000398,C006957,2022-10-17,294922.63,5.99,36,active
L000399,C016390,2021-06-10,17495.13,7.58,48,defaulted
L000400,C044176,2022-12-10,226936.06,9.08,36,active
L000401,C012843,2020-12-11,438508.39,11.66,60,active
L000402,C034008,2021-11-07,486751.83,8.82,24,active
L000403,C002859,2021-06-19,311689.39,9.78,60,defaulted
L000404,C038646,2020-08-14,408191.73,6.08,12,paid
L000405,C005777,2023-01-18,447923.7,6.96,60,defaulted
L000406,C014072,2022-08-01,334275.99,10.6,12,defaulted
L000407,C034462,2022-07-31,85790.24,14.41,12,active
L000408,C040939,2022-03-31,51407.12,12.59,12,active
L000409,C007806,2022-03-02,220095.31,11.02,12,active
L000410,C021655,2021-07-25,494510.66,5.3,24,defaulted
L000411,C043034,2020-03-20,276442.4,4.59,12,active
L000412,C039131,2022-04-14,343174.48,8.34,60,defaulted
L000413,C023637,2020-05-22,203555.32,12.34,48,active
L000414,C004090,2021-04-09,377139.03,11.25,36,active
L000415,C023884,2020-06-02,304039.9,12.15,24,active
L000416,C026532,2020-07-27,325114.76,4.97,12,active
L000417,C048167,2020-08-31,136830.5,5.88,60,active
L000418,C038808,2023-01-30,335004.54,3.55,24,active
L000419,C039686,2020-02-16,195501.24,5.79,48,paid
L000420,C015982,2020-10-10,190503.83,4.23,48,active
L000421,C049181,2022-12-21,427242.46,3.7,24,active
L000422,C002757,2020-09-11,376858.16,14.88,36,defaulted
L000423,C017868,2020-04-22,1977.26,10.01,24,active
L000424,C016844,2021-03-27,405487.9,12.7,24,defaulted
L000425,C034175,2020-06-16,405635.09,7.33,12,active
L000426,C049671,2023-01-09,174930.42,8.58,48,defaulted
L000427,C023395,2020-03-10,252942.96,12.99,60,paid
L000428,C015180,2022-08-04,260988.54,6.98,48,active
L000429,C017150,2022-04-23,271867.38,9.28,36,active
L000430,C018500,2022-03-07,174363.88,8.85,12,active
L000431,C025922,2023-04-01,6831.98,14.81,48,active
L000432,C017883,2022-11-02,462871.02,9.64,12,paid
L000433,C002422,2022-05-07,453484.94,13.08,36,active
L000434,C015307,2020-12-29,124674.46,7.82,60,defaulted
L000435,C028136,2022-03-11,298975.7,10.82,60,defaulted
L000436,C028754,2020-11-04,425307.53,10.59,12,active
L000437,C030905,2021-04-02,160613.88,10.87,36,active
L000438,C027546,2022-05-17,415088.51,9.4,48,active
L000439,C031205,2022-12-05,313748.7,6.13,24,active
L000440,C049544,2021-03-07,136879.51,11.61,24,paid
L000441,C043020,2022-02-05,69391.69,3.73,24,paid
L000442,C034238,2022-01-19,272150.74,11.43,12,active
L000443,C027056,2020-09-03,292204.22,4.67,12,defaulted
L000444,C039191,2020-06-17,57515.51,8.7,24,defaulted
L000445,C021627,2022-02-20,205731.39,11.43,60,paid
L000446,C036234,2023-03-20,127962.46,6.64,36,defaulted
L000447,C040027,2020-05-03,332897.45,6.61,24,active
L000448,C047749,2020-10-30,480530.18,6.32,36,defaulted
L000449,C031683,2021-05-05,336642.42,5.27,24,defaulted
L000450,C044080,2021-10-31,148034.66,3.1,36,defaulted
L000451,C040687,2021-09-24,401385.38,12.75,36,active
L000452,C047554,2020-08-09,76917.02,11.64,24,active
L000453,C003380,2021-09-18,255523.15,12.86,60,active
L000454,C027387,2022-02-07,309989.75,14.27,60,active
L000455,C007556,2021-12-29,487134.6,10.32,36,defaulted
L000456,C031037,2021-05-19,144261.47,5.84,60,active
L000457,C003791,2020-12-16,463340.23,10.46,12,active
L000458,C014732,2022-04-04,195414.86,3.11,36,active
L000459,C044157,2020-04-08,82695.44,4.54,12,active
L000460,C032223,2021-03-19,125941.1,3.38,60,active
L000461,C018478,2022-10-28,205935.68,14.26,60,active
L000462,C049431,2020-04-22,334963.17,3.39,24,paid
L000463,C046768,2022-03-01,279700.3,3.83,60,active
L000464,C025790,2021-06-10,136832.11,14.19,24,active
L000465,C011637,2020-02-05,100181.19,9.69,36,active
L000466,C016042,2022-01-16,45643.94,7.87,24,paid
L000467,C025197,2020-09-08,217261.59,7.25,24,active
L000468,C048197,2020-08-09,153882.38,9.93,60,active
L000469,C004894,2021-08-05,466197.94,14.79,36,paid
L000470,C041775,2022-03-16,201245.61,9.43,24,active
L000471,C019040,2022-03-25,135687.84,3.75,36,active
L000472,C030295,2022-05-17,105700.99,13.24,24,active
L000473,C011859,2021-11-24,166133.07,7.38,48,active
L000474,C039302,2022-12-24,110042.24,4.72,24,active
L000475,C028009,2023-03-29,163987.36,7.75,36,active
L000476,C048369,2022-01-02,173674.97,5.83,60,active
L000477,C012603,2022-06-09,403845.61,5.6,48,active
L000478,C011273,2020-12-24,18850.81,3.16,12,active
L000479,C001827,2020-05-29,140161.26,11.66,60,active
L000480,C014622,2022-02-21,100090.71,9.42,36,active
L000481,C048233,2021-09-30,456041.22,8.25,60,paid
L000482,C017156,2023-02-17,343147.51,3.57,12,active
L000483,C033735,2022-01-28,73748.26,12.38,24,defaulted
L000484,C019282,2022-06-29,469962.58,9.32,60,active
