individual_id,household_id,age,gender,education,employment,income
I00000232,H0015103,31,F,Bachelors,Employed,39585
I00000233,H0071653,93,F,Some College,Student,30426
I00000234,H0052515,51,F,HS Diploma,Student,305405
I00000235,H0082820,15,M,HS Diploma,Self-Employed,361926
I00000236,H0077342,80,M,Bachelors,Self-Employed,48538
I00000237,H0053642,12,M,Less than HS,Retired,307200
I00000238,H0097826,8,M,Less than HS,Retired,96540
I00000239,H0067004,74,M,HS Diploma,Self-Employed,18495
I00000240,H0045449,48,M,Bachelors,Unemployed,88250
I00000241,H0048168,97,F,Masters,Employed,31827
I00000242,H0060576,0,F,Doctorate,Unemployed,418607
I00000243,H0007299,46,F,Some College,Retired,79472
I00000244,H0013541,58,F,Less than HS,Self-Employed,20892
I00000245,H0001422,67,F,Bachelors,Unemployed,111356
I00000246,H0066046,22,M,Less than HS,Retired,299810
I00000247,H0096316,28,F,Some College,Self-Employed,389365
I00000248,H0062383,77,M,Masters,Retired,246550
I00000249,H0015342,72,F,Less than HS,Student,380827
I00000250,H0010201,81,M,Some College,Unemployed,313817
I00000251,H0095581,2,F,Less than HS,Employed,431673
I00000252,H0000098,88,F,Less than HS,Unemployed,138052
I00000253,H0043799,41,F,HS Diploma,Employed,461607
I00000254,H0007439,12,M,Some College,Retired,162645
I00000255,H0083454,96,M,Masters,Student,230647
I00000256,H0089960,81,F,Bachelors,Self-Employed,414397
I00000257,H0019847,33,F,Some College,Retired,101762
I00000258,H0016692,57,M,Some College,Employed,70920
I00000259,H0023508,90,F,Some College,Unemployed,278196
I00000260,H0077073,35,F,Less than HS,Self-Employed,46454
I00000261,H0097219,70,F,Masters,Retired,85123
I00000262,H0051710,38,M,HS Diploma,Retired,143458
I00000263,H0010438,55,M,Masters,Unemployed,64112
I00000264,H0098472,59,M,Bachelors,Self-Employed,41755
I00000265,H0062240,84,M,Less than HS,Retired,150750
I00000266,H0041123,92,M,Doctorate,Employed,33883
I00000267,H0093255,98,F,Some College,Retired,218400
I00000268,H0020723,56,F,Doctorate,Student,294802
I00000269,H0020108,23,M,Doctorate,Retired,365164
I00000270,H0009486,64,M,Doctorate,Retired,346022
I00000271,H0079382,38,F,Masters,Unemployed,228310
I00000272,H0059803,2,M,Bachelors,Retired,99967
I00000273,H0094635,69,F,Less than HS,Employed,321610
I00000274,H0088572,53,F,Less than HS,Retired,53508
I00000275,H0093151,19,F,Masters,Student,326786
I00000276,H0059971,53,M,Doctorate,Unemployed,118756
I00000277,H0088594,91,F,Less than HS,Employed,464942
I00000278,H0013023,43,M,HS Diploma,Employed,451765
I00000279,H0092508,62,F,Bachelors,Retired,481115
I00000280,H0075103,97,M,HS Diploma,Employed,293700
I00000281,H0099888,54,M,Doctorate,Retired,193534
I00000282,H0068034,21,M,Less than HS,Student,488097
I00000283,H0094021,77,F,Some College,Retired,85784
I00000284,H0036805,49,M,Doctorate,Retired,258345
I00000285,H0050794,39,F,Doctorate,Student,206305
I00000286,H0039850,98,M,Less than HS,Unemployed,112381
I00000287,H0049476,46,F,HS Diploma,Unemployed,195609
I00000288,H0050646,20,F,Bachelors,Self-Employed,352510
I00000289,H0086117,17,M,Masters,Student,202177
I00000290,H0001249,5,M,Masters,Employed,148004
I00000291,H0006008,0,F,Doctorate,Retired,41276
I00000292,H0072550,15,F,Less than HS,Employed,242178
I00000293,H0098622,82,F,HS Diploma,Unemployed,86163
I00000294,H0098916,28,M,Doctorate,Student,387350
I00000295,H0034964,36,F,Doctorate,Employed,67655
I00000296,H0046414,22,M,Masters,Student,203257
I00000297,H0031695,66,M,Doctorate,Employed,105800
I00000298,H0063006,99,M,HS Diploma,Retired,432286
I00000299,H0075238,5,F,Less than HS,Retired,283661
I00000300,H0068479,39,M,Some College,Employed,302664
I00000301,H0050997,54,M,Masters,Unemployed,467293
I00000302,H0069064,87,F,HS Diploma,Retired,227888
I00000303,H0063291,95,M,HS Diploma,Employed,480862
I00000304,H0014281,38,M,Some College,Student,459321
I00000305,H0066212,74,F,Bachelors,Retired,258275
I00000306,H0039304,43,F,Bachelors,Retired,198506
I00000307,H0060557,10,F,HS Diploma,Employed,96754
I00000308,H0013973,52,M,Some College,Self-Employed,204125
I00000309,H0016095,73,F,Some College,Employed,314798
I00000310,H0091832,31,F,Bachelors,Retired,20782
I00000311,H0008738,3,F,Less than HS,Employed,131591
I00000312,H0033312,96,M,HS Diploma,Employed,416149
I00000313,H0037092,25,M,HS Diploma,Employed,80077
I00000314,H0064580,34,M,Less than HS,Self-Employed,290706
I00000315,H0049911,39,M,Masters,Retired,266209
I00000316,H0028803,85,F,Doctorate,Student,226596
I00000317,H0021444,39,M,Some College,Employed,413047
I00000318,H0011169,52,F,Some College,Unemployed,11684
I00000319,H0046816,12,F,Bachelors,Student,244874
I00000320,H0072601,13,F,Doctorate,Self-Employed,369708
I00000321,H0066608,84,M,Doctorate,Employed,68429
I00000322,H0007859,39,M,Bachelors,Employed,270778
I00000323,H0045581,17,M,Less than HS,Unemployed,386864
I00000324,H0096761,82,M,HS Diploma,Unemployed,201119
I00000325,H0000154,11,F,Bachelors,Employed,336748
I00000326,H0059206,65,M,Bachelors,Student,33985
I00000327,H0053060,39,M,HS Diploma,Employed,126912
I00000328,H0028384,4,F,HS Diploma,Student,441506
I00000329,H0042057,63,F,Some College,Retired,231903
I00000330,H0098974,57,F,Less than HS,Employed,355455
I00000331,H0047056,40,F,Bachelors,Student,422383
I00000332,H0039104,95,F,Some College,Self-Employed,302798
I00000333,H0068516,29,F,Bachelors,Student,334687
I00000334,H0076343,54,M,Doctorate,Student,28901
I00000335,H0051985,56,M,Bachelors,Student,223940
I00000336,H0057751,2,M,HS Diploma,Self-Employed,370807
I00000337,H0021053,3,F,Less than HS,Retired,452716
I00000338,H0002530,74,F,HS Diploma,Employed,14130
I00000339,H0084065,60,F,Bachelors,Employed,33649
I00000340,H0051873,53,F,Doctorate,Retired,57962
I00000341,H0017269,76,F,Doctorate,Unemployed,142099
I00000342,H0000923,32,M,Doctorate,Employed,227184
I00000343,H0020805,86,F,HS Diploma,Unemployed,414168
I00000344,H0009399,89,F,Doctorate,Unemployed,100631
I00000345,H0058731,32,F,HS Diploma,Student,206741
I00000346,H0078165,81,M,Some College,Retired,349792
I00000347,H0093090,75,F,HS Diploma,Unemployed,441364
I00000348,H0088693,70,M,HS Diploma,Self-Employed,310765
I00000349,H0086002,19,M,HS Diploma,Retired,327899
I00000350,H0073391,9,M,HS Diploma,Self-Employed,278759
I00000351,H0029915,22,M,HS Diploma,Retired,62370
I00000352,H0052687,33,F,Doctorate,Employed,161197
I00000353,H0092274,87,F,Bachelors,Self-Employed,142073
I00000354,H0037113,74,F,Doctorate,Self-Employed,261335
I00000355,H0086158,4,M,Less than HS,Self-Employed,216199
I00000356,H0051609,23,M,Less than HS,Self-Employed,439013
I00000357,H0030579,10,F,Doctorate,Employed,318051
I00000358,H0063736,68,F,Bachelors,Employed,103898
I00000359,H0037884,91,M,Less than HS,Student,461368
I00000360,H0057774,99,F,Bachelors,Retired,78305
I00000361,H0019185,31,M,Less than HS,Self-Employed,344144
I00000362,H0028201,26,F,Doctorate,Student,246216
I00000363,H0096503,8,M,Bachelors,Student,364013
I00000364,H0034472,12,M,Doctorate,Unemployed,408264
I00000365,H0057071,59,F,Doctorate,Unemployed,280674
I00000366,H0073250,52,F,Bachelors,Unemployed,357199
I00000367,H0038609,41,F,Masters,Student,485193
I00000368,H0095628,20,M,Masters,Student,188003
I00000369,H0009522,36,F,Masters,Unemployed,421772
I00000370,H0077902,79,F,Less than HS,Self-Employed,162591
I00000371,H0037663,49,F,HS Diploma,Unemployed,439406
I00000372,H0071927,29,F,Bachelors,Retired,37167
I00000373,H0000454,100,M,Some College,Employed,452547
I00000374,H0071098,91,M,Less than HS,Self-Employed,169208
I00000375,H0049686,31,F,Some College,Self-Employed,217709
I00000376,H0014008,74,M,Masters,Student,499394
I00000377,H0072350,78,F,Bachelors,Self-Employed,37332
I00000378,H0005734,75,M,Bachelors,Employed,155044
I00000379,H0003004,38,F,HS Diploma,Student,199232
I00000380,H0075105,91,F,HS Diploma,Employed,461434
I00000381,H0022390,15,F,Masters,Self-Employed,218308
I00000382,H0074671,78,F,Some College,Self-Employed,309249
I00000383,H0091563,94,F,Bachelors,Retired,316477
I00000384,H0096093,22,F,Doctorate,Unemployed,493021
I00000385,H0094790,34,M,Bachelors,Unemployed,365830
I00000386,H0048032,82,F,Some College,Student,475428
I00000387,H0052740,33,F,Masters,Employed,57184
I00000388,H0083276,11,M,HS Diploma,Retired,272636
I00000389,H0081231,46,M,Some College,Self-Employed,207811
I00000390,H0016996,59,F,Bachelors,Self-Employed,476974
I00000391,H0097401,70,M,Masters,Self-Employed,298148
I00000392,H0002035,100,F,Masters,Unemployed,320436
I00000393,H0054805,31,F,Some College,Employed,450899
I00000394,H0059103,43,F,Masters,Employed,321929
I00000395,H0003990,8,M,HS Diploma,Retired,129327
I00000396,H0029211,28,M,Doctorate,Self-Employed,66061
I00000397,H0011187,42,M,HS Diploma,Retired,174272
I00000398,H0004234,32,M,Bachelors,Self-Employed,195574
I00000399,H0001718,44,M,Doctorate,Employed,486747
I00000400,H0016053,30,F,Doctorate,Retired,271327
I00000401,H0005844,55,F,Some College,Student,345242
I00000402,H0023907,62,M,Less than HS,Employed,323209
I00000403,H0035998,67,F,Less than HS,Employed,411874
I00000404,H0055426,51,F,Doctorate,Retired,179540
I00000405,H0067867,28,F,Bachelors,Retired,490068
I00000406,H0017743,68,M,Doctorate,Employed,26587
I00000407,H0090734,53,M,Some College,Employed,260480
I00000408,H0094964,9,F,Bachelors,Student,188016
I00000409,H0061853,96,F,HS Diploma,Self-Employed,391619
I00000410,H0085397,2,F,Masters,Unemployed,124525
I00000411,H0002456,38,F,Masters,Unemployed,165644
I00000412,H0018449,62,F,Some College,Unemployed,362684
I00000413,H0038766,17,M,Doctorate,Self-Employed,58018
I00000414,H0036327,31,M,HS Diploma,Self-Employed,162347
I00000415,H0062196,46,F,Doctorate,Employed,244817
I00000416,H0087540,48,M,Masters,Student,285649
I00000417,H0056793,50,F,Less than HS,Self-Employed,292336
I00000418,H0043936,90,F,HS Diploma,Student,480251
I00000419,H0015331,54,M,Doctorate,Employed,100064
I00000420,H0028662,80,M,Bachelors,Self-Employed,466208
I00000421,H0042011,66,M,Some College,Student,469151
I00000422,H0010108,16,M,Masters,Employed,293056
I00000423,H0013666,5,M,Bachelors,Self-Employed,351873
I00000424,H0093542,65,F,Bachelors,Unemployed,281894
I00000425,H0063377,42,M,Some College,Employed,173665
I00000426,H0016725,50,M,Masters,Student,93032
I00000427,H0041863,9,M,Bachelors,Unemployed,209640
I00000428,H0043822,82,F,Some College,Retired,126673
I00000429,H0081902,60,F,Less than HS,Self-Employed,351732
I00000430,H0064293,54,F,Masters,Student,492799
I00000431,H0059875,34,M,Bachelors,Self-Employed,236100
I00000432,H0097173,58,F,Bachelors,Employed,312477
I00000433,H0070499,48,F,Some College,Self-Employed,474527
I00000434,H0071395,66,F,Doctorate,Employed,212746
I00000435,H0034864,17,F,Bachelors,Employed,458483
I00000436,H0085231,21,M,Less than HS,Unemployed,76595
I00000437,H0052204,66,M,Masters,Retired,168622
I00000438,H0087211,39,M,Some College,Self-Employed,84138
I00000439,H0005038,79,M,Bachelors,Student,151948
I00000440,H0062562,46,M,Bachelors,Retired,230174
I00000441,H0099703,29,F,HS Diploma,Unemployed,236152
I00000442,H0068909,63,M,Some College,Unemployed,424517
I00000443,H0024221,76,M,Less than HS,Student,328079
I00000444,H0001124,21,M,Masters,Employed,437618
I00000445,H0084220,71,M,Bachelors,Student,365100
I00000446,H0019996,15,F,Masters,Employed,53818
I00000447,H0085222,63,M,Masters,Employed,309691
I00000448,H0083919,48,M,HS Diploma,Student,71689
I00000449,H0074955,30,F,Doctorate,Unemployed,298664
I00000450,H0079122,52,F,Less than HS,Student,390957
I00000451,H0086611,48,F,Bachelors,Retired,280916
I00000452,H0030591,58,M,Less than HS,Self-Employed,144232
I00000453,H0050209,17,F,HS Diploma,Unemployed,239127
I00000454,H0025217,51,M,Doctorate,Employed,118624
I00000455,H0011073,46,M,Doctorate,Employed,176449
I00000456,H0020297,28,M,Doctorate,Unemployed,355994
I00000457,H0076714,83,F,Less than HS,Employed,312470
I00000458,H0006536,67,F,Masters,Self-Employed,366528
I00000459,H0004508,44,F,Masters,Employed,326444
I00000460,H0068088,81,M,Doctorate,Retired,130820
I00000461,H0069803,73,M,Less than HS,Employed,38656
I00000462,H0099320,2,M,Doctorate,Self-Employed,260541
I00000463,H0094252,65,F,Doctorate,Employed,364488
I00000464,H0086128,3,F,Less than HS,Student,489107
I00000465,H0090469,54,F,Bachelors,Self-Employed,61607
I00000466,H0003070,18,M,Less than HS,Student,233718
I00000467,H0038624,84,F,Less than HS,Employed,16423
I00000468,H0070663,43,M,Less than HS,Retired,489426
I00000469,H0084005,13,F,Some College,Student,493609
I00000470,H0076463,61,M,Some College,Unemployed,215894
I00000471,H0093904,16,F,HS Diploma,Self-Employed,272017
I00000472,H0029077,56,M,HS Diploma,Student,467773
I00000473,H0067362,12,M,Masters,Retired,478672
I00000474,H0060162,11,M,Less than HS,Employed,87535
I00000475,H0025941,74,M,Some College,Unemployed,78767
I00000476,H0058167,77,F,Doctorate,Employed,161049
I00000477,H0092622,59,F,Less than HS,Retired,176026
I00000478,H0051763,2,M,Less than HS,Student,254635
I00000479,H0084292,17,M,Doctorate,Unemployed,99317
I00000480,H0050161,91,M,Doctorate,Student,19976
I00000481,H0044841,77,F,Less than HS,Student,163692
I00000482,H0002102,58,F,HS Diploma,Self-Employed,161647
I00000483,H0046457,73,M,Less than HS,Student,55371
I00000484,H0054045,88,M,Masters,Retired,231231
I00000485,H0092273,72,M,Masters,Retired,111911
I00000486,H0012179,61,F,Masters,Unemployed,318882
I00000487,H0058650,24,F,Masters,Employed,70166
I00000488,H0027070,73,M,Bachelors,Unemployed,346626
I00000489,H0066169,19,M,Less than HS,Self-Employed,422099
I00000490,H0099289,81,M,Less than HS,Retired,425127
I00000491,H0021047,55,F,Less than HS,Self-Employed,460394
I00000492,H0003218,6,M,HS Diploma,Self-Employed,416143
I00000493,H0041284,76,F,Bachelors,Retired,206873
I00000494,H0032017,81,M,HS Diploma,Unemployed,431415
I00000495,H0093871,56,F,Less than HS,Employed,442089
I00000496,H0064604,89,F,HS Diploma,Student,260428
I00000497,H0063552,72,F,Less than HS,Student,343599
I00000498,H0063656,0,F,Masters,Self-Employed,103707
I00000499,H0034562,69,M,Masters,Unemployed,470961
I00000500,H0060861,92,F,Some College,Employed,499999
I00000501,H0055654,86,F,Less than HS,Self-Employed,119596
I00000502,H0070966,24,F,Some College,Employed,192821
I00000503,H0083109,29,F,HS Diploma,Self-Employed,9308
I00000504,H0048016,59,M,Some College,Retired,290069
I00000505,H0052986,59,M,Masters,Self-Employed,462116
I00000506,H0039306,26,M,Less than HS,Unemployed,483246
I00000507,H0058286,25,M,Some College,Unemployed,420095
I00000508,H0042634,28,F,Bachelors,Self-Employed,379232
I00000509,H0041260,6,M,Some College,Unemployed,227689
I00000510,H0079195,45,F,Masters,Retired,18623
I00000511,H0055715,56,M,Doctorate,Student,459267
I00000512,H0093799,86,M,Bachelors,Employed,442961
